,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-150.0,10183.0,2184.0,165.6,1,0.0,False
26119,0 days 00:57:48.162000,-126.21375691629439,10241.286614864082,2185.5359877905576,160.0,1,0.0,False
26120,0 days 00:57:48.490000,-62.0,10337.0,2189.0,152.7111111111111,1,0.0,False
26121,0 days 00:57:48.522000,-57.040994381385865,10344.023455697592,2189.344367832534,152.0,1,0.0,False
26122,0 days 00:57:48.842000,-5.772020803145531,10406.514785205942,2193.1924527101182,146.0,1,0.0,False
26123,0 days 00:57:48.950000,41.0,10440.0,2195.0,144.312496,1,0.0,False
26124,0 days 00:57:49.110000,137.0,10500.0,2198.0,141.812496,1,0.0,False
26125,0 days 00:57:49.162000,159.36538240457296,10512.803709017619,2198.7084238409157,141.0,1,0.0,False
26126,0 days 00:57:49.402000,204.75570307406792,10527.538709075485,2200.48494008187,140.0,1,0.0,False
26127,0 days 00:57:49.450000,217.0,10530.0,2201.0,140.12,1,0.0,False
26128,0 days 00:57:49.650000,290.0,10546.0,2204.0,140.62,1,0.0,False
26129,0 days 00:57:49.802000,344.2879179919955,10554.728999650326,2206.262606537866,141.0,1,0.0,False
26130,0 days 00:57:49.890000,384.0,10556.0,2208.0,142.1,1,0.0,False
26131,0 days 00:57:50.042000,479.6379615915621,10549.781801724328,2212.3416734736757,144.0,1,0.0,False
26132,0 days 00:57:50.190000,560.0,10541.0,2216.0,146.0555591111111,1,0.0,False
26133,0 days 00:57:50.402000,594.1896162917773,10533.733697075331,2217.609773599889,149.0,1,0.0,False
26134,0 days 00:57:50.430000,600.0,10532.0,2218.0,149.6000054857143,1,0.0,False
26135,0 days 00:57:50.682000,702.1976258134483,10499.507848645242,2224.7925510807218,155.0,1,0.0,False
26136,0 days 00:57:50.689000,706.0,10498.0,2225.0,155.0,1,0.0,False
26137,0 days 00:57:50.922000,850.7497501103974,10430.672986709707,2231.3518499775428,155.0,1,0.0,False
26138,0 days 00:57:51.009000,894.0,10409.0,2233.0,158.8666695111111,1,0.0,False
26139,0 days 00:57:51.282000,958.1472243415407,10373.145679404197,2235.23637262323,171.0,1,0.0,False
26140,0 days 00:57:51.409000,1003.0,10340.0,2238.0,180.5250048,1,0.0,False
26141,0 days 00:57:51.442000,1019.6316117764281,10327.502129342663,2239.110122833114,183.0,1,0.0,False
26142,0 days 00:57:51.609000,1122.0,10249.0,2246.0,188.218752,1,0.0,False
26143,0 days 00:57:51.762000,1202.3746653308629,10182.85849760548,2250.530517596373,193.0,1,0.0,False
26144,0 days 00:57:52.049000,1309.0,10086.0,2255.0,200.15512244381299,1,0.0,False
26145,0 days 00:57:52.123000,1328.5901352598605,10067.546881702014,2255.884929744713,202.0,1,0.0,False
26146,0 days 00:57:52.283000,1367.3502196143697,10029.377473859602,2257.7924093668544,208.0,1,0.0,False
26147,0 days 00:57:52.349000,1392.0,10004.0,2259.0,209.6499968,1,0.0,False
26148,0 days 00:57:52.483000,1462.0533649584897,9930.623878045008,2262.394068158306,213.0,1,0.0,False
26149,0 days 00:57:52.669000,1561.0,9826.0,2267.0,217.66165317051983,1,0.0,False
26150,0 days 00:57:52.882000,1613.8867377459658,9769.314896545722,2268.9194732131996,223.0,1,0.0,False
