,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-1832.0,3251.0,2131.0,169.8,1,0.0,False
26119,0 days 00:57:48.162000,-1867.9363083707037,3313.9297072912163,2125.8318307004038,174.0,1,0.0,False
26120,0 days 00:57:48.490000,-1936.0,3439.0,2116.0,188.57777777777778,1,0.0,False
26121,0 days 00:57:48.522000,-1941.499717110806,3449.32161875928,2115.204805680104,190.0,1,0.0,False
26122,0 days 00:57:48.842000,-1992.115841774167,3555.124765220674,2107.4014224049542,198.0,1,0.0,False
26123,0 days 00:57:48.950000,-2014.0,3621.0,2103.0,201.375008,1,0.0,False
26124,0 days 00:57:49.110000,-2050.0,3745.0,2095.0,206.375008,1,0.0,False
26125,0 days 00:57:49.162000,-2058.186770659188,3775.137068347302,2093.1548368859167,208.0,1,0.0,False
26126,0 days 00:57:49.402000,-2072.7650634547713,3851.9440949487707,2089.169056670081,215.0,1,0.0,False
26127,0 days 00:57:49.450000,-2075.0,3873.0,2088.0,215.96,1,0.0,False
26128,0 days 00:57:49.650000,-2085.0,3992.0,2081.0,219.96,1,0.0,False
26129,0 days 00:57:49.802000,-2087.00741568993,4077.750637090782,2076.030248732046,223.0,1,0.0,False
26130,0 days 00:57:49.890000,-2080.0,4139.0,2073.0,223.73333333333332,1,0.0,False
26131,0 days 00:57:50.042000,-2047.4384946218165,4284.434395459252,2066.895849607033,225.0,1,0.0,False
26132,0 days 00:57:50.190000,-2014.0,4406.0,2062.0,228.28889457777777,1,0.0,False
26133,0 days 00:57:50.402000,-1993.4086308898004,4457.442028969276,2059.397364811089,233.0,1,0.0,False
26134,0 days 00:57:50.430000,-1989.0,4466.0,2059.0,233.7000064,1,0.0,False
26135,0 days 00:57:50.682000,-1912.954795217487,4615.478021371701,2053.187309334728,240.0,1,0.0,False
26136,0 days 00:57:50.689000,-1910.0,4621.0,2053.0,240.05833386666666,1,0.0,False
26137,0 days 00:57:50.922000,-1792.8949679764426,4829.970513037494,2046.684268480068,242.0,1,0.0,False
26138,0 days 00:57:51.009000,-1757.0,4892.0,2045.0,243.93333475555556,1,0.0,False
26139,0 days 00:57:51.282000,-1701.4520916711579,4982.136558190016,2043.3661397899455,250.0,1,0.0,False
26140,0 days 00:57:51.409000,-1663.0,5045.0,2043.0,250.7937504,1,0.0,False
26141,0 days 00:57:51.442000,-1648.9305068403885,5068.43445356412,2042.8476906806409,251.0,1,0.0,False
26142,0 days 00:57:51.609000,-1563.0,5214.0,2042.0,253.609376,1,0.0,False
26143,0 days 00:57:51.762000,-1496.0890856237559,5332.743570946572,2041.9702182149654,256.0,1,0.0,False
26144,0 days 00:57:52.049000,-1408.0,5498.0,2043.0,259.18005441947247,1,0.0,False
26145,0 days 00:57:52.123000,-1391.687607662388,5528.211724529303,2043.13354110238,260.0,1,0.0,False
26146,0 days 00:57:52.283000,-1359.0111069415432,5587.746372608015,2043.4696269149329,264.0,1,0.0,False
26147,0 days 00:57:52.349000,-1338.0,5626.0,2044.0,264.32999936,1,0.0,False
26148,0 days 00:57:52.483000,-1278.0363654941834,5735.319839477384,2045.944853433847,265.0,1,0.0,False
