,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-3229.0,2949.0,2253.0,260.6,1,0.0,False
26119,0 days 00:57:48.162000,-3147.615352107766,2877.5352040082616,2252.0117248939832,262.0,1,0.0,False
26120,0 days 00:57:48.490000,-2996.0,2745.0,2250.0,266.55555555555554,1,0.0,False
26121,0 days 00:57:48.522000,-2984.224664335752,2734.5764036292976,2249.830568487923,267.0,1,0.0,False
26122,0 days 00:57:48.842000,-2869.144601500674,2633.1398545270877,2248.0729638097946,262.0,1,0.0,False
26123,0 days 00:57:48.950000,-2795.0,2572.0,2247.0,249.8499712,1,0.0,False
26124,0 days 00:57:49.110000,-2655.0,2459.0,2245.0,231.8499712,1,0.0,False
26125,0 days 00:57:49.162000,-2623.6587111055214,2434.008582943629,2244.520253081155,226.0,1,0.0,False
26126,0 days 00:57:49.402000,-2569.9258678407764,2394.5112279863347,2243.335048336633,196.0,1,0.0,False
26127,0 days 00:57:49.450000,-2556.0,2385.0,2243.0,192.88,1,0.0,False
26128,0 days 00:57:49.650000,-2471.0,2327.0,2241.0,179.88,1,0.0,False
26129,0 days 00:57:49.802000,-2413.0442722497987,2290.2389368607382,2239.2334511842523,170.0,1,0.0,False
26130,0 days 00:57:49.890000,-2373.0,2269.0,2238.0,165.96666666666667,1,0.0,False
26131,0 days 00:57:50.042000,-2278.3747058951044,2226.344012461277,2235.332327707823,159.0,1,0.0,False
26132,0 days 00:57:50.190000,-2201.0,2194.0,2233.0,152.42221084444444,1,0.0,False
26133,0 days 00:57:50.402000,-2171.011833231413,2184.2948861581945,2231.2707727812112,143.0,1,0.0,False
26134,0 days 00:57:50.430000,-2164.0,2183.0,2231.0,142.2999936,1,0.0,False
26135,0 days 00:57:50.682000,-2037.9089648065544,2165.03901399922,2227.147659974792,136.0,1,0.0,False
26136,0 days 00:57:50.689000,-2034.0,2165.0,2227.0,135.76666453333334,1,0.0,False
26137,0 days 00:57:50.922000,-1912.2240828631504,2184.2344557665556,2221.0204476119684,128.0,1,0.0,False
26138,0 days 00:57:51.009000,-1879.0,2193.0,2219.0,126.30833208888889,1,0.0,False
26139,0 days 00:57:51.282000,-1829.3839017701587,2210.585678225388,2214.695968925546,121.0,1,0.0,False
26140,0 days 00:57:51.409000,-1801.0,2231.0,2212.0,119.4124992,1,0.0,False
26141,0 days 00:57:51.442000,-1790.8696505049863,2238.7166282982125,2211.1126500086543,119.0,1,0.0,False
26142,0 days 00:57:51.609000,-1731.0,2288.0,2206.0,116.9124992,1,0.0,False
26143,0 days 00:57:51.762000,-1690.175259459406,2332.978015945333,2202.093677031675,115.0,1,0.0,False
26144,0 days 00:57:52.049000,-1648.0,2404.0,2197.0,111.81994558052756,1,0.0,False
26145,0 days 00:57:52.123000,-1640.8806995143243,2417.0930632162745,2196.0434564069483,111.0,1,0.0,False
26146,0 days 00:57:52.283000,-1629.1252673415358,2443.3613166885116,2194.147744321576,110.0,1,0.0,False
26147,0 days 00:57:52.349000,-1624.0,2461.0,2193.0,110.32999936,1,0.0,False
26148,0 days 00:57:52.483000,-1612.33822270958,2512.388790303947,2189.8212322656664,111.0,1,0.0,False
26149,0 days 00:57:52.669000,-1599.0,2587.0,2185.0,112.86466126820793,1,0.0,False
26150,0 days 00:57:52.882000,-1596.9453281056099,2630.3267566382237,2181.140787844956,115.0,1,0.0,False
26151,0 days 00:57:52.889000,-1597.0,2632.0,2181.0,115.1750016,1,0.0,False
26152,0 days 00:57:53.042000,-1599.3442720377216,2679.307342522043,2177.4052871272374,119.0,1,0.0,False
26153,0 days 00:57:53.170000,-1604.0,2725.0,2174.0,120.6,1,0.0,False
26154,0 days 00:57:53.202000,-1605.670495405316,2736.1125916789774,2173.136353974304,121.0,1,0.0,False
26155,0 days 00:57:53.450000,-1625.0,2820.0,2166.0,127.2,1,0.0,False
26156,0 days 00:57:53.482000,-1628.1953440165014,2831.032628986744,2164.9526537136103,128.0,1,0.0,False
26157,0 days 00:57:53.670000,-1650.0,2897.0,2159.0,136.46001152,1,0.0,False
26158,0 days 00:57:53.682000,-1651.5642006604742,2901.221900899267,2158.72718123673,137.0,1,1.4836063064587657,True
26159,0 days 00:57:53.842000,-1674.4033981631947,2957.676992922162,2155.822800764444,137.0,1,1.3738062232108859,True
26160,0 days 00:57:53.890000,-1682.0,2975.0,2154.0,139.4,1,1.2449713801744668,True
26161,0 days 00:57:53.950000,-1692.0,2997.0,2151.0,142.4000128,1,1.2054642264805542,True
26162,0 days 00:57:54.110000,-1721.0,3056.0,2147.0,150.4000128,1,1.0319148738694117,True
26163,0 days 00:57:54.202000,-1737.3455814757663,3087.3223404418504,2144.9210555652476,155.0,1,0.9168746591553298,True
26164,0 days 00:57:54.362000,-1768.9101379650076,3144.1528255016233,2140.0515000890236,159.0,1,0.6822867680093243,True
26165,0 days 00:57:54.430000,-1789.0,3179.0,2137.0,162.9666816,1,0.5863809715612845,True
26166,0 days 00:57:54.602000,-1855.7488895934355,3292.943509375739,2127.1357712194163,173.0,1,0.38163439546136063,False
26167,0 days 00:57:54.650000,-1871.0,3319.0,2125.0,173.87272727272727,1,0.3310664253238888,False
26168,0 days 00:57:54.950000,-1915.0,3398.0,2120.0,179.3272773818182,1,0.15221431670479552,False
26169,0 days 00:57:55.042000,-1931.8630542017174,3430.6892651500216,2117.5192325491394,181.0,1,0.06277368226559578,False
26170,0 days 00:57:55.270000,-1987.0,3551.0,2108.0,195.6571593142857,1,-0.08075048049429574,False
26171,0 days 00:57:55.322000,-1999.8639803759856,3585.544325721746,2105.4991844512233,199.0,1,-0.17875596524249834,False
26172,0 days 00:57:55.522000,-2043.773088116607,3720.867764105538,2096.270038123526,205.0,1,-0.31243178035608105,False
26173,0 days 00:57:55.530000,-2045.0,3725.0,2096.0,205.16,1,-0.33606512244062003,False
26174,0 days 00:57:55.722000,-2061.3947211656923,3791.454041440404,2091.9903915049663,209.0,1,-0.37412599095587656,False
26175,0 days 00:57:55.810000,-2067.0,3827.0,2090.0,211.2,1,-0.4631023887638579,False
26176,0 days 00:57:55.990000,-2081.0,3933.0,2084.0,215.7000064,1,-0.49222398906264536,False
26177,0 days 00:57:56.002000,-2081.7320117145973,3940.0210201825485,2083.6041717128064,216.0,1,-0.5632157592186292,True
26178,0 days 00:57:56.202000,-2086.471545628842,4051.685665749398,2077.4796628686336,223.0,1,-0.6025180567123996,True
26179,0 days 00:57:56.270000,-2082.0,4102.0,2075.0,223.7555584,1,-0.6309477331597619,True
26180,0 days 00:57:56.510000,-2044.0,4322.0,2065.0,226.42222506666667,1,-0.63814094683536,True
26181,0 days 00:57:56.562000,-2036.6976328849803,4353.454190492896,2063.629737656165,227.0,1,-0.6421465395183815,True
26182,0 days 00:57:56.830000,-1999.0,4443.0,2060.0,231.78571885714285,1,-0.6573004183704779,True
26183,0 days 00:57:56.842000,-1996.1662901988466,4448.985377794137,2059.7495638006094,232.0,1,-0.6782812439920975,True
26184,0 days 00:57:56.990000,-1954.0,4538.0,2056.0,234.69091374545454,1,-0.6811968098973158,True
26185,0 days 00:57:57.269000,-1865.0,4703.0,2050.0,239.76363752727272,1,-0.6388993702187198,True
26186,0 days 00:57:57.282000,-1859.3182664033022,4712.96591845691,2049.7071341234587,240.0,1,-0.6402592374583482,True
26187,0 days 00:57:57.442000,-1775.6748714990028,4857.692278334039,2045.876541101281,245.0,1,-0.6024101158602336,True
26188,0 days 00:57:57.549000,-1728.0,4939.0,2044.0,246.60500096,1,-0.5820616516420893,True
26189,0 days 00:57:57.642000,-1701.3912988620682,4983.465788558772,2043.2022647302765,248.0,1,-0.5704243769836114,True
26190,0 days 00:57:57.802000,-1674.3647784273671,5026.536398080338,2043.073383035965,251.0,1,-0.5563745458781675,True
26191,0 days 00:57:57.849000,-1663.0,5045.0,2043.0,251.5875008,1,-0.5398499968178679,True
26192,0 days 00:57:57.962000,-1627.0498162710228,5104.13623610228,2042.6622727742663,253.0,1,-0.5195478864533554,True
26193,0 days 00:57:58.149000,-1555.0,5227.0,2042.0,255.6714294857143,1,-0.464876281009057,False
26194,0 days 00:57:58.242000,-1522.7588722436353,5285.951986761635,2041.8858909196151,257.0,1,-0.4507147523686994,False
26195,0 days 00:57:58.349000,-1487.0,5353.0,2042.0,258.0268716369302,1,-0.41573893100376125,False
26196,0 days 00:57:58.569000,-1411.0,5493.0,2043.0,260.1381952350605,1,-0.37660823594002496,False
26197,0 days 00:57:58.763000,-1343.8253661889453,5614.415863127565,2043.6404454591056,262.0,1,-0.33955715579876145,False
26198,0 days 00:57:58.809000,-1328.0,5643.0,2044.0,263.1499968,1,-0.3111366729110263,False
26199,0 days 00:57:58.963000,-1274.9028245247302,5739.332254677742,2046.0774125370242,267.0,1,-0.2813376347260669,False
26200,0 days 00:57:59.029000,-1250.0,5785.0,2047.0,267.27499946666666,1,-0.22479653180458295,False
26201,0 days 00:57:59.109000,-1218.0,5844.0,2048.0,267.6083328,1,-0.20890903624528556,False
26202,0 days 00:57:59.203000,-1185.0978836869615,5903.909946585114,2049.344585628683,268.0,1,-0.1595731996218401,False
26203,0 days 00:57:59.289000,-1153.0,5962.0,2051.0,269.43932955795515,1,-0.13081522576082807,False
26204,0 days 00:57:59.442000,-1074.8855650169278,6104.1842930635175,2055.4193006252,272.0,1,-0.08530076318465495,False
26205,0 days 00:57:59.630000,-978.0,6281.0,2061.0,274.01428845714287,1,-0.04091671831621803,False
26206,0 days 00:57:59.722000,-947.4428727836927,6336.7560496764145,2062.625124819562,275.0,1,0.0338187721591713,False
26207,0 days 00:57:59.922000,-911.3162499300597,6402.5043783265155,2064.6230273676606,276.0,1,0.053185958401149244,False
26208,0 days 00:58:00.050000,-875.0,6468.0,2069.0,276.0,1,0.11285278857852606,False
26209,0 days 00:58:00.090000,-860.0,6495.0,2071.0,276.0,1,0.13376319141224444,False
26210,0 days 00:58:00.322000,-772.8332539411957,6651.84979310981,2078.7732319524043,276.0,1,0.19230603619103415,False
26211,0 days 00:58:00.330000,-770.0,6657.0,2079.0,276.125,1,0.20226482511257116,False
26212,0 days 00:58:00.590000,-672.0,6834.0,2088.0,280.187504,1,0.2607848867379753,False
26213,0 days 00:58:00.642000,-643.3486949852983,6883.415570703906,2091.0208563082215,281.0,1,0.27367099687775837,False
26214,0 days 00:58:00.870000,-506.0,7114.0,2106.0,281.63333404444444,1,0.33036977065675305,False
26215,0 days 00:58:01.002000,-469.0612879768344,7172.487635919204,2109.6835785798467,282.0,1,0.3483279144593841,False
26216,0 days 00:58:01.202000,-420.9975557607484,7236.4797948247315,2114.5474291923083,281.0,1,0.3826678527028847,False
26217,0 days 00:58:01.210000,-417.0,7242.0,2115.0,281.0,1,0.37405958830420205,False
26218,0 days 00:58:01.430000,-269.0,7448.0,2132.0,281.0,1,0.443158253811008,False
26219,0 days 00:58:01.482000,-241.92671139189474,7484.897803186646,2134.8756609010006,281.0,1,0.4481187297863868,False
26220,0 days 00:58:01.722000,-170.1008703257849,7576.33471316705,2140.813306499347,278.0,1,0.4910084578806919,False
26221,0 days 00:58:01.790000,-146.0,7607.0,2143.0,273.87141302857145,1,0.48797820045125884,False
26222,0 days 00:58:01.950000,-75.0,7700.0,2150.0,264.15712731428573,1,0.5084406603134258,True
26223,0 days 00:58:02.002000,-52.95387543339785,7730.296044382652,2152.002622006055,261.0,1,0.4971443166037401,False
26224,0 days 00:58:02.162000,7.469393283235813,7819.335204696431,2156.77909562174,245.0,1,0.5137730773488388,True
26225,0 days 00:58:02.210000,24.0,7846.0,2158.0,242.75,1,0.4927095181252974,False
