,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,190.0,8400.0,2173.0,214.93333333333334,1,0.0,False
26119,0 days 00:57:48.162000,190.07723275488271,8488.517780192777,2174.3089150873793,214.0,1,0.0,False
26120,0 days 00:57:48.490000,160.0,8649.0,2175.0,216.73333333333332,1,0.0,False
26121,0 days 00:57:48.522000,157.16044914818085,8660.965320543859,2175.0590246075685,217.0,1,0.0,False
26122,0 days 00:57:48.842000,124.0502651028441,8778.289525542152,2175.8604609393515,224.0,1,0.0,False
26123,0 days 00:57:48.950000,93.0,8865.0,2176.0,225.3500032,1,0.0,False
26124,0 days 00:57:49.110000,30.0,9034.0,2176.0,227.3500032,1,0.0,False
26125,0 days 00:57:49.162000,16.13533402114114,9070.711018051983,2175.962932680318,228.0,1,0.0,False
26126,0 days 00:57:49.402000,-5.952952779578654,9126.681151113775,2175.858770885664,230.0,1,0.0,False
26127,0 days 00:57:49.450000,-13.0,9145.0,2176.0,231.08,1,0.0,False
26128,0 days 00:57:49.650000,-59.0,9267.0,2177.0,235.58,1,0.0,False
26129,0 days 00:57:49.802000,-90.41094845908644,9353.467709941557,2176.9967417920734,239.0,1,0.0,False
26130,0 days 00:57:49.890000,-110.0,9416.0,2177.0,239.73333333333332,1,0.0,False
26131,0 days 00:57:50.042000,-151.6943716959244,9568.599119587017,2177.4942303334583,241.0,1,0.0,False
26132,0 days 00:57:50.190000,-184.0,9697.0,2178.0,232.77776355555557,1,0.0,False
26133,0 days 00:57:50.402000,-192.28451203383514,9748.729908725305,2177.9842923315096,221.0,1,0.0,False
26134,0 days 00:57:50.430000,-193.0,9757.0,2178.0,218.69997897142858,1,0.0,False
26135,0 days 00:57:50.682000,-202.1765789011341,9899.05880335684,2178.9401972717133,198.0,1,0.0,False
26136,0 days 00:57:50.689000,-202.0,9904.0,2179.0,197.62082986666667,1,0.0,False
26137,0 days 00:57:50.922000,-178.02315659571008,10080.873275398615,2182.008457204246,185.0,1,0.0,False
26138,0 days 00:57:51.009000,-168.0,10132.0,2183.0,182.09999786666665,1,0.0,False
26139,0 days 00:57:51.282000,-146.39580098275547,10203.770066604835,2184.5466548088466,173.0,1,0.0,False
26140,0 days 00:57:51.409000,-122.0,10244.0,2186.0,166.6499968,1,0.0,False
26141,0 days 00:57:51.442000,-112.89298542523726,10258.625113828239,2186.5552651059165,165.0,1,0.0,False
26142,0 days 00:57:51.609000,-55.0,10346.0,2190.0,160.3031232,1,0.0,False
26143,0 days 00:57:51.762000,-1.8730460058242213,10406.313120123967,2192.610593010958,156.0,1,0.0,False
26144,0 days 00:57:52.049000,83.0,10470.0,2196.0,148.04986395131888,1,0.0,False
26145,0 days 00:57:52.123000,98.92109192313082,10480.794333436801,2196.687162540053,146.0,1,0.0,False
26146,0 days 00:57:52.283000,131.3150977829631,10498.826930940782,2198.1330386430495,143.0,1,0.0,False
26147,0 days 00:57:52.349000,153.0,10507.0,2199.0,142.34000128,1,0.0,False
26148,0 days 00:57:52.483000,216.0007834660829,10526.16813998881,2201.372403804701,141.0,1,0.0,False
26149,0 days 00:57:52.669000,308.0,10549.0,2205.0,141.93233063410398,1,0.0,False
26150,0 days 00:57:52.882000,362.07937878941215,10554.922909676534,2207.91067688338,143.0,1,0.0,False
26151,0 days 00:57:52.889000,364.0,10555.0,2208.0,143.0437504,1,0.0,False
26152,0 days 00:57:53.042000,415.46899221422444,10556.486887908086,2209.966153808139,144.0,1,0.0,False
26153,0 days 00:57:53.170000,465.0,10555.0,2212.0,147.2,1,0.0,False
26154,0 days 00:57:53.202000,477.39032443223306,10553.941187899864,2212.608910848844,148.0,1,0.0,False
