,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,261.0,-1481.0,2387.0,160.66666666666666,1,0.0,False
26119,0 days 00:57:48.162000,194.7044591954965,-1467.6205849330076,2387.079182755182,163.0,1,0.0,False
26120,0 days 00:57:48.490000,69.0,-1416.0,2388.0,174.84444444444443,1,0.0,False
26121,0 days 00:57:48.522000,59.65712976504478,-1411.7316227254034,2388.0939337018135,176.0,1,0.0,False
26122,0 days 00:57:48.842000,-28.973399695927398,-1364.6435262287432,2388.9109249694206,186.0,1,0.0,False
26123,0 days 00:57:48.950000,-92.0,-1320.0,2389.0,190.0500096,1,0.0,False
26124,0 days 00:57:49.110000,-215.0,-1228.0,2389.0,196.0500096,1,0.0,False
26125,0 days 00:57:49.162000,-243.08216156538015,-1206.4030141378853,2389.084095186185,198.0,1,0.0,False
26126,0 days 00:57:49.402000,-296.4614379277754,-1160.643486263893,2389.913906766118,203.0,1,0.0,False
26127,0 days 00:57:49.450000,-311.0,-1148.0,2390.0,204.68,1,0.0,False
26128,0 days 00:57:49.650000,-399.0,-1073.0,2390.0,211.68,1,0.0,False
26129,0 days 00:57:49.802000,-462.3502756696274,-1017.7456991916117,2390.0683018533455,217.0,1,0.0,False
26130,0 days 00:57:49.890000,-508.0,-977.0,2390.0,217.73333333333332,1,0.0,False
26131,0 days 00:57:50.042000,-617.7981986709132,-877.8548543082563,2389.492335445881,219.0,1,0.0,False
26132,0 days 00:57:50.190000,-710.0,-794.0,2389.0,222.7000064,1,0.0,False
26133,0 days 00:57:50.402000,-749.27045581858,-757.2908461311398,2388.990573766899,228.0,1,0.0,False
26134,0 days 00:57:50.430000,-756.0,-751.0,2389.0,228.6000054857143,1,0.0,False
26135,0 days 00:57:50.682000,-875.4819583897958,-641.1045896582906,2388.999015128617,234.0,1,0.0,False
26136,0 days 00:57:50.689000,-880.0,-637.0,2389.0,234.11666773333334,1,0.0,False
26137,0 days 00:57:50.922000,-1054.3505548279338,-480.05638538633605,2389.0718175880506,238.0,1,0.0,False
26138,0 days 00:57:51.009000,-1107.0,-433.0,2389.0,239.93333475555556,1,0.0,False
26139,0 days 00:57:51.282000,-1186.852467467782,-362.99103154880794,2388.241545883739,246.0,1,0.0,False
26140,0 days 00:57:51.409000,-1242.0,-316.0,2388.0,246.7937504,1,0.0,False
26141,0 days 00:57:51.442000,-1262.2818757009431,-298.70610179521185,2387.974218936948,247.0,1,0.0,False
26142,0 days 00:57:51.609000,-1388.0,-192.0,2388.0,250.6531264,1,0.0,False
26143,0 days 00:57:51.762000,-1493.0155110641413,-105.26590649323037,2388.01811031317,254.0,1,0.0,False
