,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-3513.0,3197.0,2257.0,256.1333333333333,1,0.0,False
26119,0 days 00:57:48.162000,-3431.402613245127,3127.0248654918537,2256.020057558148,258.0,1,0.0,False
26120,0 days 00:57:48.490000,-3282.0,2996.0,2254.0,265.2888888888889,1,0.0,False
26121,0 days 00:57:48.522000,-3270.8233573557754,2986.1672450375013,2253.8294920662192,266.0,1,0.0,False
26122,0 days 00:57:48.842000,-3161.065450264872,2889.9100175915137,2252.066205706503,268.0,1,0.0,False
26123,0 days 00:57:48.950000,-3080.0,2819.0,2251.0,269.687504,1,0.0,False
26124,0 days 00:57:49.110000,-2921.0,2680.0,2249.0,272.187504,1,0.0,False
26125,0 days 00:57:49.162000,-2884.8783026850256,2648.477773743147,2248.493652382615,273.0,1,0.0,False
26126,0 days 00:57:49.402000,-2819.7307117480646,2592.825493761251,2247.215631600445,259.0,1,0.0,False
26127,0 days 00:57:49.450000,-2803.0,2579.0,2247.0,252.76,1,0.0,False
26128,0 days 00:57:49.650000,-2703.0,2497.0,2246.0,226.76,1,0.0,False
26129,0 days 00:57:49.802000,-2636.302258571602,2444.3370229982606,2244.9790622412793,207.0,1,0.0,False
26130,0 days 00:57:49.890000,-2592.0,2412.0,2244.0,201.13333333333333,1,0.0,False
26131,0 days 00:57:50.042000,-2490.49536858288,2342.72749158367,2241.320262024175,191.0,1,0.0,False
26132,0 days 00:57:50.190000,-2407.0,2288.0,2239.0,180.72220444444446,1,0.0,False
26133,0 days 00:57:50.402000,-2372.5953902828182,2268.785258769881,2238.1474505638953,166.0,1,0.0,False
26134,0 days 00:57:50.430000,-2367.0,2266.0,2238.0,164.89998994285713,1,0.0,False
26135,0 days 00:57:50.682000,-2269.541048494266,2219.351842670112,2235.117010679344,155.0,1,0.0,False
26136,0 days 00:57:50.689000,-2266.0,2218.0,2235.0,154.62082986666667,1,0.0,False
26137,0 days 00:57:50.922000,-2133.9685501456183,2179.3672705465933,2230.3022823803994,142.0,1,0.0,False
26138,0 days 00:57:51.009000,-2095.0,2170.0,2229.0,140.06666524444444,1,0.0,False
26139,0 days 00:57:51.282000,-2038.660997331128,2162.0869196359554,2227.8384766939857,134.0,1,0.0,False
26140,0 days 00:57:51.409000,-2002.0,2167.0,2226.0,130.8249984,1,0.0,False
26141,0 days 00:57:51.442000,-1988.4615058463105,2169.0050442870292,2225.202743033217,130.0,1,0.0,False
26142,0 days 00:57:51.609000,-1906.0,2184.0,2220.0,126.8687488,1,0.0,False
26143,0 days 00:57:51.762000,-1844.5208168661525,2205.570340251416,2216.096881189413,124.0,1,0.0,False
26144,0 days 00:57:52.049000,-1770.0,2253.0,2211.0,119.22991837079134,1,0.0,False
26145,0 days 00:57:52.123000,-1757.0077297541964,2262.4341332846057,2209.8692294237835,118.0,1,0.0,False
26146,0 days 00:57:52.283000,-1734.0391649699534,2282.7484729117273,2207.39185774808,118.0,1,0.0,False
