,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-1613.0,2498.0,2191.0,108.46666666666667,1,0.0,False
26119,0 days 00:57:48.162000,-1602.0880125755,2541.3663963055897,2187.9603315799163,108.0,1,0.0,False
26120,0 days 00:57:48.490000,-1597.0,2625.0,2182.0,109.82222222222222,1,0.0,False
26121,0 days 00:57:48.522000,-1596.7891648524042,2631.2014545270767,2181.524271243662,110.0,1,0.0,False
26122,0 days 00:57:48.842000,-1598.1533722550294,2691.7840703375327,2176.5725004111314,114.0,1,0.0,False
26123,0 days 00:57:48.950000,-1607.0,2739.0,2173.0,116.7000064,1,0.0,False
26124,0 days 00:57:49.110000,-1628.0,2833.0,2166.0,120.7000064,1,0.0,False
26125,0 days 00:57:49.162000,-1633.3605537801739,2854.597913447154,2164.2986071594696,122.0,1,0.0,False
26126,0 days 00:57:49.402000,-1649.0558340756559,2896.533376811391,2160.1069406857237,130.0,1,0.0,False
26127,0 days 00:57:49.450000,-1654.0,2908.0,2159.0,131.2,1,0.0,False
26128,0 days 00:57:49.650000,-1683.0,2977.0,2153.0,136.2,1,0.0,False
26129,0 days 00:57:49.802000,-1705.836678423652,3026.355321938076,2149.6295356199716,140.0,1,0.0,False
26130,0 days 00:57:49.890000,-1725.0,3063.0,2147.0,144.4,1,0.0,False
26131,0 days 00:57:50.042000,-1775.7791902541162,3153.708929051306,2139.6737614952362,152.0,1,0.0,False
26132,0 days 00:57:50.190000,-1820.0,3231.0,2133.0,156.52223004444446,1,0.0,False
26133,0 days 00:57:50.402000,-1839.5090160439288,3265.1638441539762,2129.4966333049256,163.0,1,0.0,False
26134,0 days 00:57:50.430000,-1843.0,3271.0,2129.0,163.80000731428572,1,0.0,False
26135,0 days 00:57:50.682000,-1902.8948767497839,3374.9233954197216,2121.3025657694975,171.0,1,0.0,False
26136,0 days 00:57:50.689000,-1905.0,3379.0,2121.0,171.40833706666666,1,0.0,False
26137,0 days 00:57:50.922000,-1981.0997467931154,3541.2389639528724,2108.7535524814216,185.0,1,0.0,False
26138,0 days 00:57:51.009000,-2003.0,3591.0,2105.0,187.1750016,1,0.0,False
26139,0 days 00:57:51.282000,-2031.8549792946094,3668.3569450831665,2099.472572189328,194.0,1,0.0,False
