,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,0.0,9111.0,2176.0,234.13333333333333,1,0.0,False
26119,0 days 00:57:48.162000,-33.41139093845865,9198.826290844787,2176.1445183997853,236.0,1,0.0,False
26120,0 days 00:57:48.490000,-93.0,9364.0,2177.0,241.46666666666667,1,0.0,False
26121,0 days 00:57:48.522000,-97.74040758390436,9376.905020246306,2177.0882705335603,242.0,1,0.0,False
26122,0 days 00:57:48.842000,-141.48987639031043,9505.550057316332,2177.8934585835955,243.0,1,0.0,False
26123,0 days 00:57:48.950000,-161.0,9592.0,2178.0,233.5499776,1,0.0,False
26124,0 days 00:57:49.110000,-193.0,9757.0,2178.0,219.5499776,1,0.0,False
26125,0 days 00:57:49.162000,-199.45635026030035,9794.214059024287,2178.0236517674844,215.0,1,0.0,False
26126,0 days 00:57:49.402000,-202.7120621642055,9860.048784055674,2178.6429704493394,199.0,1,0.0,False
26127,0 days 00:57:49.450000,-202.0,9877.0,2179.0,196.12,1,0.0,False
26128,0 days 00:57:49.650000,-198.0,9979.0,2181.0,184.12,1,0.0,False
26129,0 days 00:57:49.802000,-190.24286995148358,10046.986361503454,2181.4338978346623,175.0,1,0.0,False
26130,0 days 00:57:49.890000,-179.0,10091.0,2182.0,170.6,1,0.0,False
26131,0 days 00:57:50.042000,-142.55384737747968,10189.254188743893,2184.556583007865,163.0,1,0.0,False
26132,0 days 00:57:50.190000,-108.0,10269.0,2187.0,158.88888177777778,1,0.0,False
26133,0 days 00:57:50.402000,-88.6315431156455,10300.281696876356,2187.8046729735233,153.0,1,0.0,False
26134,0 days 00:57:50.430000,-85.0,10305.0,2188.0,152.2999936,1,0.0,False
26135,0 days 00:57:50.682000,-21.623019277142422,10383.46258438315,2191.865836616596,146.0,1,0.0,False
26136,0 days 00:57:50.689000,-19.0,10386.0,2192.0,145.88333226666666,1,0.0,False
26137,0 days 00:57:50.922000,90.02973242529568,10470.152114313376,2196.6923837861905,142.0,1,0.0,False
26138,0 days 00:57:51.009000,124.0,10493.0,2198.0,141.03333262222222,1,0.0,False
26139,0 days 00:57:51.282000,176.63893512493718,10519.840493073336,2199.661554091194,138.0,1,0.0,False
26140,0 days 00:57:51.409000,216.0,10529.0,2201.0,137.2062496,1,0.0,False
26141,0 days 00:57:51.442000,230.5831265178386,10532.338949167208,2201.526631065227,137.0,1,0.0,False
