,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-3532.0,1761.0,2383.0,3.1999999999999997,1,0.0,False
26119,0 days 00:57:48.162000,-3534.4154393447975,1762.9015758364585,2383.0,6.0,1,0.0,False
26120,0 days 00:57:48.490000,-3544.0,1770.0,2383.0,15.11111111111111,1,0.0,False
26121,0 days 00:57:48.522000,-3544.723353039304,1770.6228132310332,2383.0,16.0,1,0.0,False
26122,0 days 00:57:48.842000,-3552.686081900307,1778.32088235181,2383.0,24.0,1,0.0,False
26123,0 days 00:57:48.950000,-3562.0,1786.0,2383.0,27.0375072,1,0.0,False
26124,0 days 00:57:49.110000,-3582.0,1802.0,2383.0,31.5375072,1,0.0,False
26125,0 days 00:57:49.162000,-3586.862262938743,1805.9547935880403,2383.0,33.0,1,0.0,False
26126,0 days 00:57:49.402000,-3598.1546587476155,1815.6747675822387,2383.0,39.0,1,0.0,False
26127,0 days 00:57:49.450000,-3601.0,1818.0,2383.0,40.2,1,0.0,False
26128,0 days 00:57:49.650000,-3621.0,1834.0,2383.0,45.2,1,0.0,False
26129,0 days 00:57:49.802000,-3653.973579470821,1861.248849603847,2383.0000000000005,49.0,1,0.0,False
26130,0 days 00:57:49.890000,-3679.0,1882.0,2383.0,51.56666666666667,1,0.0,False
26131,0 days 00:57:50.042000,-3730.313580198789,1924.4563541420773,2382.999999999993,56.0,1,0.0,False
26132,0 days 00:57:50.190000,-3770.0,1957.0,2383.0,59.7000064,1,0.0,False
26133,0 days 00:57:50.402000,-3783.899782441568,1967.396127918293,2383.0000000000186,65.0,1,0.0,False
26134,0 days 00:57:50.430000,-3786.0,1969.0,2383.0,66.20001097142857,1,0.0,False
26135,0 days 00:57:50.682000,-3827.2920141374316,2001.683639308945,2382.9999999999686,77.0,1,0.0,False
26136,0 days 00:57:50.689000,-3829.0,2003.0,2383.0,77.46667093333333,1,0.0,False
26137,0 days 00:57:50.922000,-3899.1808600286818,2055.7924612062034,2383.0000000016416,93.0,1,0.0,False
26138,0 days 00:57:51.009000,-3921.0,2072.0,2383.0,96.14166897777778,1,0.0,False
26139,0 days 00:57:51.282000,-3955.8531556518983,2097.016617709371,2382.9999999859538,106.0,1,0.0,False
26140,0 days 00:57:51.409000,-3986.0,2116.0,2383.0,113.937504,1,0.0,False
26141,0 days 00:57:51.442000,-3997.3385148143893,2123.0563478914346,2383.0000000074433,116.0,1,0.0,False
26142,0 days 00:57:51.609000,-4069.0,2167.0,2383.0,121.7406272,1,0.0,False
26143,0 days 00:57:51.762000,-4131.76731458762,2203.63280006895,2382.9999997184327,127.0,1,0.0,False
26144,0 days 00:57:52.049000,-4228.0,2256.0,2383.0,149.2603809363071,1,0.0,False
26145,0 days 00:57:52.123000,-4246.461467788236,2265.575689078302,2383.000000747638,155.0,1,0.0,False
26146,0 days 00:57:52.283000,-4284.38004117508,2284.877608144397,2383.000001845489,160.0,1,0.0,False
26147,0 days 00:57:52.349000,-4309.0,2298.0,2383.0,163.2999936,1,0.0,False
26148,0 days 00:57:52.483000,-4379.422165880224,2336.432497409804,2382.9999912025387,170.0,1,0.0,False
26149,0 days 00:57:52.669000,-4481.0,2393.0,2383.0,177.4586450728317,1,0.0,False
26150,0 days 00:57:52.882000,-4540.71610438985,2428.5717752132928,2383.0000080019877,186.0,1,0.0,False
26151,0 days 00:57:52.889000,-4543.0,2430.0,2383.0,186.3062528,1,0.0,False
26152,0 days 00:57:53.042000,-4607.040933501942,2470.605923300638,2382.999646282982,193.0,1,0.0,False
26153,0 days 00:57:53.170000,-4669.0,2511.0,2383.0,195.4,1,0.0,False
26154,0 days 00:57:53.202000,-4684.170648121609,2521.111269074123,2383.0002924774594,196.0,1,0.0,False
26155,0 days 00:57:53.450000,-4799.0,2601.0,2383.0,205.74285714285713,1,0.0,False
26156,0 days 00:57:53.482000,-4813.861048582743,2611.845337360515,2382.998293350756,207.0,1,0.0,False
26157,0 days 00:57:53.670000,-4902.0,2678.0,2383.0,212.64000768,1,0.0,False
26158,0 days 00:57:53.682000,-4907.680821744689,2682.3076489131936,2383.003097630968,213.0,1,-0.3676123252881696,False
26159,0 days 00:57:53.842000,-4984.323181095327,2740.439728298886,2383.0462284492573,218.0,1,-0.4003442508346628,False
26160,0 days 00:57:53.890000,-5008.0,2758.0,2383.0,218.93333333333334,1,-0.4145633942794419,False
26161,0 days 00:57:53.950000,-5038.0,2780.0,2383.0,220.1000049777778,1,-0.4331654570195877,False
26162,0 days 00:57:54.110000,-5117.0,2840.0,2383.0,223.2111160888889,1,-0.46854752847860875,False
26163,0 days 00:57:54.202000,-5165.546685675437,2876.8791498779165,2373.8754765768113,225.0,1,-0.4985751170696339,False
26164,0 days 00:57:54.362000,-5264.127292857305,2951.101852591108,2345.678239521978,229.0,1,-0.5764011691255962,True
26165,0 days 00:57:54.430000,-5320.0,2993.0,2338.0,230.416672,1,-0.6575273233844307,True
26166,0 days 00:57:54.602000,-5491.5858717646215,3121.603487856301,2333.114208792374,234.0,1,-0.792429852968854,True
26167,0 days 00:57:54.650000,-5529.0,3150.0,2333.0,232.14545454545456,1,-0.8524783578658219,True
26168,0 days 00:57:54.950000,-5618.0,3224.0,2331.0,220.55453556363636,1,-0.9680550520988541,True
26169,0 days 00:57:55.042000,-5649.202825749213,3250.984901161206,2329.6174078731037,217.0,1,-1.016300672872677,True
26170,0 days 00:57:55.270000,-5758.0,3347.0,2325.0,200.71426742857142,1,-1.2415792456019095,True
26171,0 days 00:57:55.322000,-5785.274585753544,3372.85346672808,2323.898612124654,197.0,1,-1.2849456782609596,True
26172,0 days 00:57:55.522000,-5882.299239386919,3469.240018563967,2320.104303415464,169.0,1,-1.5456975778258235,True
26173,0 days 00:57:55.530000,-5885.0,3472.0,2320.0,168.32,1,-1.5829785838274335,True
26174,0 days 00:57:55.722000,-5920.242241586741,3510.4119271964855,2318.643663655511,152.0,1,-1.7816018064486285,True
26175,0 days 00:57:55.810000,-5934.0,3528.0,2318.0,146.65714285714284,1,-1.8350519769436848,True
26176,0 days 00:57:55.990000,-5974.0,3581.0,2316.0,135.7285558857143,1,-1.9372821023143036,True
