,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-2083.0,3954.0,2083.0,211.13333333333333,1,0.0,False
26119,0 days 00:57:48.162000,-2087.9679696780654,4041.579417369986,2078.960505509973,213.0,1,0.0,False
26120,0 days 00:57:48.490000,-2071.0,4206.0,2071.0,221.2,1,0.0,False
26121,0 days 00:57:48.522000,-2069.432302110165,4218.3804215511245,2070.394500688617,222.0,1,0.0,False
26122,0 days 00:57:48.842000,-2045.0646071584677,4338.175284153256,2064.7058145207898,228.0,1,0.0,False
26123,0 days 00:57:48.950000,-2008.0,4423.0,2061.0,230.0250048,1,0.0,False
26124,0 days 00:57:49.110000,-1927.0,4588.0,2054.0,233.0250048,1,0.0,False
26125,0 days 00:57:49.162000,-1907.884403636111,4625.6592546705,2052.5122746688735,234.0,1,0.0,False
26126,0 days 00:57:49.402000,-1867.8967544295726,4697.389973270746,2050.5959049024796,237.0,1,0.0,False
26127,0 days 00:57:49.450000,-1857.0,4717.0,2050.0,237.96,1,0.0,False
26128,0 days 00:57:49.650000,-1792.0,4835.0,2046.0,241.96,1,0.0,False
26129,0 days 00:57:49.802000,-1742.1846455153986,4916.507294395195,2043.8156523082052,245.0,1,0.0,False
26130,0 days 00:57:49.890000,-1706.0,4975.0,2043.0,247.2,1,0.0,False
26131,0 days 00:57:50.042000,-1620.3349330788662,5117.3052829167145,2042.2474532839665,251.0,1,0.0,False
26132,0 days 00:57:50.190000,-1549.0,5238.0,2042.0,252.6444472888889,1,0.0,False
26133,0 days 00:57:50.402000,-1519.7708549577703,5291.93538173586,2041.9688443425337,255.0,1,0.0,False
26134,0 days 00:57:50.430000,-1515.0,5301.0,2042.0,255.30000274285715,1,0.0,False
26135,0 days 00:57:50.682000,-1429.3025112949697,5458.961644384647,2042.940484952552,258.0,1,0.0,False
26136,0 days 00:57:50.689000,-1426.0,5465.0,2043.0,258.14583466666664,1,0.0,False
26137,0 days 00:57:50.922000,-1296.7809962936326,5700.45694074537,2046.0258738445318,263.0,1,0.0,False
26138,0 days 00:57:51.009000,-1258.0,5771.0,2047.0,263.96666737777775,1,0.0,False
26139,0 days 00:57:51.282000,-1202.5792648908025,5871.649911644949,2048.3811645026635,267.0,1,0.0,False
26140,0 days 00:57:51.409000,-1165.0,5940.0,2050.0,268.5875008,1,0.0,False
26141,0 days 00:57:51.442000,-1150.9834652256932,5965.511395965141,2050.643163640363,269.0,1,0.0,False
26142,0 days 00:57:51.609000,-1064.0,6124.0,2055.0,270.0437504,1,0.0,False
26143,0 days 00:57:51.762000,-993.5199811497271,6252.9651236585905,2059.6844713571654,271.0,1,0.0,False
26144,0 days 00:57:52.049000,-896.0,6431.0,2068.0,274.18005441947247,1,0.0,False
26145,0 days 00:57:52.123000,-878.0115575350617,6463.023660966345,2069.4320123399602,275.0,1,0.0,False
26146,0 days 00:57:52.283000,-842.7926742942961,6524.836437596317,2072.1300211479984,275.0,1,0.0,False
26147,0 days 00:57:52.349000,-821.0,6564.0,2074.0,275.65999872,1,0.0,False
26148,0 days 00:57:52.483000,-759.8574825620187,6675.38825804221,2079.560057906433,277.0,1,0.0,False
26149,0 days 00:57:52.669000,-672.0,6835.0,2088.0,277.93233063410395,1,0.0,False
26150,0 days 00:57:52.882000,-618.9758647791468,6925.64778125741,2093.788721648792,279.0,1,0.0,False
26151,0 days 00:57:52.889000,-617.0,6929.0,2094.0,279.0437504,1,0.0,False
