,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,854.0,-396.0,2366.0,197.8,1,0.0,False
26119,0 days 00:57:48.162000,904.6906347953054,-454.512094868271,2368.2890116443996,195.0,1,0.0,False
26120,0 days 00:57:48.490000,972.0,-567.0,2371.0,175.86666666666667,1,0.0,False
26121,0 days 00:57:48.522000,976.7649267730518,-575.451349107948,2371.2582897739007,174.0,1,0.0,False
26122,0 days 00:57:48.842000,1016.0001103836846,-657.8994484516952,2374.1622523578717,163.0,1,0.0,False
26123,0 days 00:57:48.950000,1028.0,-719.0,2375.0,161.312496,1,0.0,False
26124,0 days 00:57:49.110000,1044.0,-839.0,2376.0,158.812496,1,0.0,False
26125,0 days 00:57:49.162000,1046.8786757904004,-866.2327756315211,2376.281348764232,158.0,1,0.0,False
26126,0 days 00:57:49.402000,1044.8715825489908,-915.7687799887779,2377.5940097602347,146.0,1,0.0,False
26127,0 days 00:57:49.450000,1043.0,-929.0,2378.0,145.16,1,0.0,False
26128,0 days 00:57:49.650000,1032.0,-1009.0,2380.0,141.66,1,0.0,False
26129,0 days 00:57:49.802000,1020.3296893124525,-1063.4235341698961,2380.5679364049897,139.0,1,0.0,False
26130,0 days 00:57:49.890000,1007.0,-1099.0,2381.0,138.63333333333333,1,0.0,False
26131,0 days 00:57:50.042000,966.4421682429985,-1178.5087189277197,2382.6142596932477,138.0,1,0.0,False
26132,0 days 00:57:50.190000,929.0,-1243.0,2384.0,135.53332906666665,1,0.0,False
26133,0 days 00:57:50.402000,909.6099670326219,-1268.1385024906672,2383.985220779645,132.0,1,0.0,False
26134,0 days 00:57:50.430000,906.0,-1272.0,2384.0,131.89999908571428,1,0.0,False
26135,0 days 00:57:50.682000,841.663494338415,-1336.8867912356818,2384.9697779287208,131.0,1,0.0,False
26136,0 days 00:57:50.689000,839.0,-1339.0,2385.0,131.0875008,1,0.0,False
26137,0 days 00:57:50.922000,728.4759595011411,-1409.5883127547381,2385.8221791548817,134.0,1,0.0,False
26138,0 days 00:57:51.009000,694.0,-1429.0,2386.0,135.45000106666666,1,0.0,False
26139,0 days 00:57:51.282000,640.0195225139252,-1453.2744692854646,2386.0536039223853,140.0,1,0.0,False
26140,0 days 00:57:51.409000,599.0,-1463.0,2386.0,140.0,1,0.0,False
26141,0 days 00:57:51.442000,583.8021389928496,-1466.5055102008678,2385.9898770104005,140.0,1,0.0,False
26142,0 days 00:57:51.609000,489.0,-1486.0,2386.0,145.218752,1,0.0,False
26143,0 days 00:57:51.762000,408.59136026570405,-1493.0440659562792,2386.2117462695387,150.0,1,0.0,False
26144,0 days 00:57:52.049000,291.0,-1486.0,2387.0,157.95013604868112,1,0.0,False
26145,0 days 00:57:52.123000,269.33713336211684,-1483.8051329138339,2387.2319420772424,160.0,1,0.0,False
26146,0 days 00:57:52.283000,226.81899008417957,-1475.8410005559972,2387.7670657129497,171.0,1,0.0,False
26147,0 days 00:57:52.349000,200.0,-1467.0,2388.0,173.30999552,1,0.0,False
26148,0 days 00:57:52.483000,124.03078453222504,-1437.1860075754294,2388.49431305407,178.0,1,0.0,False
26149,0 days 00:57:52.669000,16.0,-1389.0,2389.0,184.06014912167578,1,0.0,False
26150,0 days 00:57:52.882000,-43.74210624948079,-1352.558180699675,2389.0012286438414,191.0,1,0.0,False
26151,0 days 00:57:52.889000,-46.0,-1351.0,2389.0,191.1312512,1,0.0,False
26152,0 days 00:57:53.042000,-109.76068725924443,-1306.5469107804875,2389.0143210309407,194.0,1,0.0,False
26153,0 days 00:57:53.170000,-171.0,-1262.0,2389.0,196.4,1,0.0,False
26154,0 days 00:57:53.202000,-185.81052062589018,-1250.784160233673,2388.982060943995,197.0,1,0.0,False
26155,0 days 00:57:53.450000,-296.0,-1162.0,2389.0,207.62857142857143,1,0.0,False
26156,0 days 00:57:53.482000,-310.1733092760872,-1150.1056439703768,2389.110960868864,209.0,1,0.0,False
26157,0 days 00:57:53.670000,-394.0,-1078.0,2390.0,213.7000064,1,0.0,False
26158,0 days 00:57:53.682000,-399.3820557990368,-1073.2767351540713,2390.0284029493446,214.0,1,-1.1971280555201327,True
26159,0 days 00:57:53.842000,-471.4174285239759,-1009.2115503433291,2390.020822708728,216.0,1,-1.0838118950487379,True
26160,0 days 00:57:53.890000,-493.0,-990.0,2390.0,217.46666666666667,1,-0.9813378076606843,True
