,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-1183.0,-367.0,2388.0,250.13333333333333,1,0.0,False
26119,0 days 00:57:48.162000,-1252.3677053194053,-306.5025790035023,2387.708561200837,252.0,1,0.0,False
26120,0 days 00:57:48.490000,-1388.0,-192.0,2388.0,260.2,1,0.0,False
26121,0 days 00:57:48.522000,-1398.7764592729325,-183.06421841014213,2388.0202065121325,261.0,1,0.0,False
26122,0 days 00:57:48.842000,-1511.5369585098517,-91.00462157029754,2388.0132488380877,266.0,1,0.0,False
26123,0 days 00:57:48.950000,-1595.0,-23.0,2388.0,268.0250048,1,0.0,False
26124,0 days 00:57:49.110000,-1758.0,110.0,2388.0,271.0250048,1,0.0,False
26125,0 days 00:57:49.162000,-1795.359303027726,140.57205513628952,2387.99997742995,272.0,1,0.0,False
26126,0 days 00:57:49.402000,-1868.0301959543826,200.64009391148912,2387.997334310368,273.0,1,0.0,False
26127,0 days 00:57:49.450000,-1888.0,217.0,2388.0,274.08,1,0.0,False
26128,0 days 00:57:49.650000,-2008.0,315.0,2388.0,278.58,1,0.0,False
26129,0 days 00:57:49.802000,-2092.3912154907202,384.85181079991054,2387.9083949603755,282.0,1,0.0,False
26130,0 days 00:57:49.890000,-2153.0,435.0,2388.0,282.73333333333335,1,0.0,False
26131,0 days 00:57:50.042000,-2299.540936537684,555.5745694482467,2388.6276982884588,284.0,1,0.0,False
26132,0 days 00:57:50.190000,-2423.0,657.0,2389.0,286.0555591111111,1,0.0,False
26133,0 days 00:57:50.402000,-2476.0325727393433,700.6787734155985,2388.090736004505,289.0,1,0.0,False
26134,0 days 00:57:50.430000,-2485.0,708.0,2388.0,289.20000182857143,1,0.0,False
26135,0 days 00:57:50.682000,-2642.1364096331204,836.1893228171278,2387.9960381976894,291.0,1,0.0,False
26136,0 days 00:57:50.689000,-2648.0,841.0,2388.0,291.14583466666664,1,0.0,False
26137,0 days 00:57:50.922000,-2871.92466875016,1025.6385664022578,2388.0175100425963,296.0,1,0.0,False
26138,0 days 00:57:51.009000,-2939.0,1081.0,2388.0,296.0,1,0.0,False
26139,0 days 00:57:51.282000,-3038.6573806652023,1162.8055636229738,2387.9455613097384,296.0,1,0.0,False
26140,0 days 00:57:51.409000,-3106.0,1218.0,2388.0,298.3812512,1,0.0,False
26141,0 days 00:57:51.442000,-3130.8212050560865,1238.3705641323818,2388.027659159284,299.0,1,0.0,False
26142,0 days 00:57:51.609000,-3285.0,1365.0,2388.0,299.0,1,0.0,False
26143,0 days 00:57:51.762000,-3414.533677561285,1471.4636731240153,2386.964810803726,299.0,1,0.0,False
26144,0 days 00:57:52.049000,-3600.0,1624.0,2384.0,304.56509523407675,1,0.0,False
26145,0 days 00:57:52.123000,-3632.977932472602,1651.1179516092573,2383.604690202996,306.0,1,0.0,False
26146,0 days 00:57:52.283000,-3695.266257597965,1702.2731231804307,2382.875686979343,307.0,1,0.0,False
26147,0 days 00:57:52.349000,-3734.0,1734.0,2382.0,307.32999936,1,0.0,False
26148,0 days 00:57:52.483000,-3843.393755519459,1823.496775433395,2378.9137849937615,308.0,1,0.0,False
26149,0 days 00:57:52.669000,-4000.0,1951.0,2374.0,309.39849595115595,1,0.0,False
26150,0 days 00:57:52.882000,-4091.501528005437,2023.2717692835874,2371.09936273712,311.0,1,0.0,False
26151,0 days 00:57:52.889000,-4095.0,2026.0,2371.0,311.0875008,1,0.0,False
26152,0 days 00:57:53.042000,-4193.201393852537,2102.547733055652,2368.403443140508,313.0,1,0.0,False
26153,0 days 00:57:53.170000,-4287.0,2176.0,2366.0,313.8,1,0.0,False
26154,0 days 00:57:53.202000,-4309.62549529434,2193.8143258933696,2365.4142911187905,314.0,1,0.0,False
26155,0 days 00:57:53.450000,-4478.0,2327.0,2361.0,314.0,1,0.0,False
26156,0 days 00:57:53.482000,-4499.882687199291,2344.2013038615028,2360.4262941527477,314.0,1,0.0,False
26157,0 days 00:57:53.670000,-4630.0,2446.0,2357.0,314.94000128,1,0.0,False
26158,0 days 00:57:53.682000,-4638.324221173573,2452.5143251236996,2356.777181924269,315.0,1,-0.2991834556975215,False
26159,0 days 00:57:53.842000,-4749.109943605216,2539.2847482713046,2353.809510133953,316.0,1,-0.34357689014087234,False
26160,0 days 00:57:53.890000,-4782.0,2565.0,2353.0,316.26666666666665,1,-0.3614517457650127,False
26161,0 days 00:57:53.950000,-4823.0,2597.0,2352.0,316.60000142222225,1,-0.38370782280210686,False
26162,0 days 00:57:54.110000,-4935.0,2684.0,2348.0,317.4888903111111,1,-0.4321355426830321,False
26163,0 days 00:57:54.202000,-4994.50184830435,2729.859192661949,2346.300795655128,318.0,1,-0.4692480400781893,False
26164,0 days 00:57:54.362000,-5098.6853613562835,2809.902834778172,2344.3347532452885,318.0,1,-0.5569073556676045,True
26165,0 days 00:57:54.430000,-5158.0,2856.0,2343.0,318.0,1,-0.6477713919938118,True
26166,0 days 00:57:54.602000,-5343.544406542296,3001.365370976681,2338.1793303877093,318.0,1,-0.7974845765724303,True
26167,0 days 00:57:54.650000,-5385.0,3034.0,2337.0,311.8909090909091,1,-0.8627526202479028,True
26168,0 days 00:57:54.950000,-5497.0,3124.0,2333.0,273.7090583272727,1,-1.0071590332925298,True
26169,0 days 00:57:55.042000,-5537.085961898042,3156.721730165229,2331.8410238745264,262.0,1,-1.067107254439471,True
26170,0 days 00:57:55.270000,-5673.0,3271.0,2328.0,231.87139474285715,1,-1.3285399621158769,True
26171,0 days 00:57:55.322000,-5707.377825507082,3301.6490625657884,2326.8027304544808,225.0,1,-1.3788788811133346,True
26172,0 days 00:57:55.522000,-5830.559797366213,3415.7346457271724,2322.1216198251186,203.0,1,-1.6604063522816503,True
26173,0 days 00:57:55.530000,-5834.0,3419.0,2322.0,202.28,1,-1.6946317056325155,True
26174,0 days 00:57:55.722000,-5879.167763575019,3464.395585648187,2320.7606342499253,185.0,1,-1.881837823040174,True
26175,0 days 00:57:55.810000,-5897.0,3485.0,2320.0,176.82857142857142,1,-1.9406599707252337,True
26176,0 days 00:57:55.990000,-5949.0,3547.0,2317.0,160.11426194285715,1,-2.033494967560515,True
26177,0 days 00:57:56.002000,-5952.265005350428,3551.0233147475783,2316.8224432794495,159.0,1,-2.038896865942942,True
26178,0 days 00:57:56.202000,-5997.867107110831,3612.4452416682066,2314.7359487470135,144.0,1,-2.130821615531548,True
26179,0 days 00:57:56.270000,-6013.0,3639.0,2314.0,140.4110976,1,-2.1598919588712326,True
26180,0 days 00:57:56.510000,-6065.0,3753.0,2311.0,127.74443093333333,1,-2.2759606664252963,True
26181,0 days 00:57:56.562000,-6071.355655610969,3769.049401755312,2310.631381740088,125.0,1,-2.2977854341749215,True
26182,0 days 00:57:56.830000,-6080.0,3813.0,2310.0,113.51427474285714,1,-2.350030420298778,True
26183,0 days 00:57:56.842000,-6080.343170313379,3815.9498667721173,2309.9479391913824,113.0,1,-2.3594993177745436,True
26184,0 days 00:57:56.990000,-6085.0,3860.0,2309.0,109.63635781818182,1,-2.4039239743817875,True
26185,0 days 00:57:57.269000,-6078.0,3938.0,2306.0,103.29545309090909,1,-2.4399235694700763,True
26186,0 days 00:57:57.282000,-6076.5656394245825,3942.288030837354,2305.8467495890004,103.0,1,-2.475421863548976,True
26187,0 days 00:57:57.442000,-6049.820329248017,4001.792897674618,2303.9552118556644,101.0,1,-2.4947482055300596,True
26188,0 days 00:57:57.549000,-6032.0,4034.0,2303.0,101.0,1,-2.5218070216124806,True
26189,0 days 00:57:57.642000,-6020.5373082211845,4050.9278068406547,2302.5043499011254,101.0,1,-2.5384308618312628,True
26190,0 days 00:57:57.802000,-6004.644031506809,4064.144110657226,2302.1354450861695,96.0,1,-2.54182031214185,True
26191,0 days 00:57:57.849000,-5998.0,4069.0,2302.0,94.8249984,1,-2.564319048347409,True
26192,0 days 00:57:57.962000,-5977.530195905118,4083.8507446945496,2301.583185874507,92.0,1,-2.563076004793214,True
26193,0 days 00:57:58.149000,-5935.0,4111.0,2301.0,89.99642788571428,1,-2.5856234801288083,True
26194,0 days 00:57:58.242000,-5913.3410463334385,4120.86954930111,2301.017626902897,89.0,1,-2.582578115517457,True
26195,0 days 00:57:58.349000,-5888.0,4130.0,2301.0,90.02687163693022,1,-2.5744670979023834,True
26196,0 days 00:57:58.569000,-5834.0,4145.0,2300.0,92.1381952350605,1,-2.5714128585564424,True
26197,0 days 00:57:58.763000,-5784.282549650428,4154.41634745537,2299.314083924703,94.0,1,-2.5428842451729587,True
26198,0 days 00:57:58.809000,-5772.0,4156.0,2299.0,94.45999872,1,-2.5553549959724733,True
26199,0 days 00:57:58.963000,-5729.356963600526,4159.496177051671,2297.3662238980096,96.0,1,-2.5220410007094434,True
26200,0 days 00:57:59.029000,-5711.0,4161.0,2297.0,98.4749952,1,-2.5386771516966125,True
26201,0 days 00:57:59.109000,-5689.0,4163.0,2297.0,101.4749952,1,-2.5216570014587965,True
26202,0 days 00:57:59.203000,-5663.500742579075,4163.6755463518175,2296.657380246663,105.0,1,-2.494146086174814,True
26203,0 days 00:57:59.289000,-5636.0,4163.0,2296.0,107.1589943369327,1,-2.468475410435458,True
26204,0 days 00:57:59.442000,-5567.428530951262,4159.983280923981,2294.2801917599377,111.0,1,-2.3961602016460803,True
26205,0 days 00:57:59.630000,-5481.0,4155.0,2292.0,118.38572434285715,1,-2.3224353329113856,True
26206,0 days 00:57:59.722000,-5453.296110837809,4152.961416139433,2291.1993341595585,122.0,1,-2.19389911992323,True
26207,0 days 00:57:59.922000,-5418.377046589217,4148.866489054458,2290.1746231652282,130.0,1,-2.1344047830841055,True
26208,0 days 00:58:00.050000,-5380.0,4144.0,2290.0,133.84,1,-2.006919566992615,True
26209,0 days 00:58:00.090000,-5364.0,4142.0,2290.0,135.04,1,-1.9525201773202652,True
26210,0 days 00:58:00.322000,-5274.0072184086475,4127.521010626687,2288.0839094414355,142.0,1,-1.703348193751637,True
26211,0 days 00:58:00.330000,-5271.0,4127.0,2288.0,142.475,1,-1.653826704847711,True
26212,0 days 00:58:00.590000,-5161.0,4106.0,2285.0,157.9125152,1,-1.384284529664527,True
26213,0 days 00:58:00.642000,-5128.207783486116,4098.533766324609,2284.1314587321563,161.0,1,-1.3545523150060876,True
26214,0 days 00:58:00.870000,-4967.0,4059.0,2280.0,169.86667662222223,1,-1.182981375936154,True
26215,0 days 00:58:01.002000,-4914.239723648816,4044.8668185158226,2278.876264057007,175.0,1,-1.128637879905258,True
26216,0 days 00:58:01.202000,-4870.054233986765,4030.67750060457,2278.0549666085194,188.0,1,-1.0363104968860635,True
26217,0 days 00:58:01.210000,-4868.0,4030.0,2278.0,188.22857142857143,1,-1.0226474559517162,True
