,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-1597.0,2619.0,2182.0,117.13333333333334,1,0.0,False
26119,0 days 00:57:48.162000,-1596.2358184992208,2668.7141479358556,2178.4856734741074,119.0,1,0.0,False
26120,0 days 00:57:48.490000,-1611.0,2763.0,2171.0,124.46666666666667,1,0.0,False
26121,0 days 00:57:48.522000,-1612.2404873364392,2770.07019939893,2170.4191760589392,125.0,1,0.0,False
26122,0 days 00:57:48.842000,-1627.6942853779972,2839.882818217286,2164.543336876942,134.0,1,0.0,False
26123,0 days 00:57:48.950000,-1648.0,2893.0,2160.0,137.375008,1,0.0,False
26124,0 days 00:57:49.110000,-1692.0,2998.0,2151.0,142.375008,1,0.0,False
26125,0 days 00:57:49.162000,-1702.580620176882,3022.045525853172,2148.9309156782674,144.0,1,0.0,False
26126,0 days 00:57:49.402000,-1727.5944171680171,3068.7937556093652,2145.000332425346,156.0,1,0.0,False
26127,0 days 00:57:49.450000,-1735.0,3082.0,2144.0,157.92,1,0.0,False
26128,0 days 00:57:49.650000,-1779.0,3162.0,2138.0,165.92,1,0.0,False
26129,0 days 00:57:49.802000,-1812.3047006483632,3218.468459305365,2133.3855659112633,172.0,1,0.0,False
26130,0 days 00:57:49.890000,-1837.0,3261.0,2130.0,174.93333333333334,1,0.0,False
26131,0 days 00:57:50.042000,-1896.8385716277273,3368.109209897008,2121.91579540373,180.0,1,0.0,False
26132,0 days 00:57:50.190000,-1947.0,3460.0,2115.0,186.16667733333333,1,0.0,False
26133,0 days 00:57:50.402000,-1966.8774340231516,3501.5444907031674,2111.5408342701867,195.0,1,0.0,False
26134,0 days 00:57:50.430000,-1970.0,3509.0,2111.0,195.90000822857144,1,0.0,False
26135,0 days 00:57:50.682000,-2020.5135629600577,3640.053146267095,2102.3219263007923,204.0,1,0.0,False
26136,0 days 00:57:50.689000,-2022.0,3645.0,2102.0,204.1750016,1,0.0,False
26137,0 days 00:57:50.922000,-2065.855500624159,3835.9436410081003,2089.6502177706766,210.0,1,0.0,False
26138,0 days 00:57:51.009000,-2077.0,3894.0,2086.0,211.93333475555556,1,0.0,False
26139,0 days 00:57:51.282000,-2088.7558695999915,3985.3000618986416,2081.032916444087,218.0,1,0.0,False
26140,0 days 00:57:51.409000,-2085.0,4051.0,2078.0,219.5875008,1,0.0,False
26141,0 days 00:57:51.442000,-2083.247585345729,4075.097944762185,2076.8691050478765,220.0,1,0.0,False
26142,0 days 00:57:51.609000,-2068.0,4223.0,2070.0,223.1312512,1,0.0,False
