,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-1501.0,-99.0,2388.0,258.1333333333333,1,0.0,False
26119,0 days 00:57:48.162000,-1584.573782058815,-30.85979633826753,2387.991710361282,260.0,1,0.0,False
26120,0 days 00:57:48.490000,-1739.0,94.0,2388.0,265.46666666666664,1,0.0,False
26121,0 days 00:57:48.522000,-1750.4535009761585,103.36953112028593,2388.0005750811993,266.0,1,0.0,False
26122,0 days 00:57:48.842000,-1861.7939159085454,195.76023493107027,2388.000381074259,269.0,1,0.0,False
26123,0 days 00:57:48.950000,-1945.0,264.0,2388.0,270.3500032,1,0.0,False
26124,0 days 00:57:49.110000,-2109.0,398.0,2388.0,272.3500032,1,0.0,False
26125,0 days 00:57:49.162000,-2146.512868923976,428.75693175182147,2388.0000169819773,273.0,1,0.0,False
26126,0 days 00:57:49.402000,-2218.287433764467,488.64965579606667,2388.0000033441715,273.0,1,0.0,False
26127,0 days 00:57:49.450000,-2238.0,505.0,2388.0,273.72,1,0.0,False
26128,0 days 00:57:49.650000,-2357.0,603.0,2388.0,276.72,1,0.0,False
26129,0 days 00:57:49.802000,-2440.8838375015634,671.7474960237779,2387.9999965100205,279.0,1,0.0,False
26130,0 days 00:57:49.890000,-2501.0,721.0,2388.0,280.1,1,0.0,False
26131,0 days 00:57:50.042000,-2645.9793501671825,839.9099730468573,2388.0000254564957,282.0,1,0.0,False
26132,0 days 00:57:50.190000,-2768.0,940.0,2388.0,283.2333354666667,1,0.0,False
26133,0 days 00:57:50.402000,-2820.243881266933,982.7926292940308,2387.99992837417,285.0,1,0.0,False
26134,0 days 00:57:50.430000,-2829.0,990.0,2388.0,285.0,1,0.0,False
26135,0 days 00:57:50.682000,-2982.27828095451,1116.294777799397,2388.0001242686444,285.0,1,0.0,False
26136,0 days 00:57:50.689000,-2988.0,1121.0,2388.0,285.1166677333333,1,0.0,False
26137,0 days 00:57:50.922000,-3206.792123012169,1300.6102507213059,2387.993598234231,289.0,1,0.0,False
26138,0 days 00:57:51.009000,-3273.0,1355.0,2388.0,289.24166684444447,1,0.0,False
26139,0 days 00:57:51.282000,-3375.8495638282484,1440.0116272065932,2387.9215471606867,290.0,1,0.0,False
26140,0 days 00:57:51.409000,-3445.0,1497.0,2387.0,290.7937504,1,0.0,False
26141,0 days 00:57:51.442000,-3470.14486513718,1517.6755888787316,2386.613752106424,291.0,1,0.0,False
26142,0 days 00:57:51.609000,-3624.0,1644.0,2384.0,292.0437504,1,0.0,False
26143,0 days 00:57:51.762000,-3747.2297544622293,1744.9703319732664,2381.452706361587,293.0,1,0.0,False
26144,0 days 00:57:52.049000,-3915.0,1882.0,2377.0,294.5900272097362,1,0.0,False
26145,0 days 00:57:52.123000,-3945.5671445556895,1906.907325501054,2376.0579658235592,295.0,1,0.0,False
26146,0 days 00:57:52.283000,-4005.284852030359,1955.1127824332764,2374.095454696955,296.0,1,0.0,False
26147,0 days 00:57:52.349000,-4043.0,1985.0,2373.0,296.32999936,1,0.0,False
26148,0 days 00:57:52.483000,-4149.955723446103,2069.0472077452214,2370.12323311821,297.0,1,0.0,False
26149,0 days 00:57:52.669000,-4303.0,2189.0,2366.0,297.466165317052,1,0.0,False
26150,0 days 00:57:52.882000,-4390.683192971014,2258.383504133619,2363.101538510978,298.0,1,0.0,False
26151,0 days 00:57:52.889000,-4394.0,2261.0,2363.0,298.0,1,0.0,False
26152,0 days 00:57:53.042000,-4486.942812520438,2334.0268327204976,2360.416655119938,298.0,1,0.0,False
26153,0 days 00:57:53.170000,-4576.0,2404.0,2358.0,298.0,1,0.0,False
26154,0 days 00:57:53.202000,-4597.581026888851,2420.997185563598,2357.3936480724687,298.0,1,0.0,False
26155,0 days 00:57:53.450000,-4759.0,2548.0,2353.0,299.77142857142854,1,0.0,False
26156,0 days 00:57:53.482000,-4779.938240760447,2564.2811516826496,2352.5567649168784,300.0,1,0.0,False
26157,0 days 00:57:53.670000,-4904.0,2660.0,2350.0,300.0,1,0.0,False
26158,0 days 00:57:53.682000,-4911.906490422071,2666.096975299812,2349.7700096710532,300.0,1,-0.38988371969908636,False
26159,0 days 00:57:53.842000,-5017.159816072483,2747.366957289462,2345.9816316872043,300.0,1,-0.45095166098817674,False
26160,0 days 00:57:53.890000,-5049.0,2772.0,2345.0,300.0,1,-0.47546833886208695,False
26161,0 days 00:57:53.950000,-5089.0,2803.0,2344.0,300.0,1,-0.5080340612750899,True
26162,0 days 00:57:54.110000,-5194.0,2885.0,2342.0,300.0,1,-0.5780297490902924,True
26163,0 days 00:57:54.202000,-5252.38301129686,2930.3448872360186,2340.6589067202017,300.0,1,-0.6330796623110628,True
26164,0 days 00:57:54.362000,-5358.6581962213595,3013.108902136323,2337.648545732856,300.0,1,-0.7669463859350402,True
26165,0 days 00:57:54.430000,-5416.0,3059.0,2336.0,296.3166528,1,-0.9006813239894919,True
26166,0 days 00:57:54.602000,-5587.808669075972,3199.2562312223426,2331.0865745064084,287.0,1,-1.1129700542795378,True
26167,0 days 00:57:54.650000,-5625.0,3230.0,2330.0,278.92727272727274,1,-1.2001117756663902,True
26168,0 days 00:57:54.950000,-5712.0,3306.0,2327.0,228.47268421818183,1,-1.3596475329628985,True
26169,0 days 00:57:55.042000,-5741.364910421499,3332.3436565153315,2325.8878870632507,213.0,1,-1.4187475043629103,True
26170,0 days 00:57:55.270000,-5841.0,3426.0,2322.0,182.87139474285715,1,-1.6605004797813254,True
26171,0 days 00:57:55.322000,-5864.784206894764,3451.073723643715,2320.9651223400037,176.0,1,-1.6990061773992946,True
26172,0 days 00:57:55.522000,-5946.742767473333,3544.323932380368,2317.112062900263,165.0,1,-1.9144239488585741,True
26173,0 days 00:57:55.530000,-5949.0,3547.0,2317.0,164.0,1,-1.9397756683099097,True
26174,0 days 00:57:55.722000,-5978.021334773699,3584.543892696116,2315.427596750619,140.0,1,-2.0673710783818744,True
26175,0 days 00:57:55.810000,-5989.0,3602.0,2315.0,135.6,1,-2.1035234970949293,True
26176,0 days 00:57:55.990000,-6021.0,3655.0,2314.0,126.5999872,1,-2.1759166075724794,True
26177,0 days 00:57:56.002000,-6023.017213090847,3658.4861655276986,2313.899486197348,126.0,1,-2.180146805576646,True
26178,0 days 00:57:56.202000,-6050.908173593095,3712.686708222477,2311.612803460809,122.0,1,-2.2880211168740323,True
26179,0 days 00:57:56.270000,-6059.0,3736.0,2311.0,118.222208,1,-2.3114087576495645,True
26180,0 days 00:57:56.510000,-6082.0,3835.0,2310.0,104.88887466666667,1,-2.3866926045554826,True
26181,0 days 00:57:56.562000,-6084.425322624126,3848.9312332161007,2309.749276517236,102.0,1,-2.4016510678914207,True
26182,0 days 00:57:56.830000,-6084.0,3887.0,2308.0,94.34284982857143,1,-2.438999354258989,True
26183,0 days 00:57:56.842000,-6083.78008961099,3889.5280857444236,2307.92264766143,94.0,1,-2.445427344601074,True
26184,0 days 00:57:56.990000,-6080.0,3927.0,2307.0,92.3181789090909,1,-2.476572755020915,True
26185,0 days 00:57:57.269000,-6059.0,3990.0,2305.0,89.14772654545455,1,-2.497513695139532,True
26186,0 days 00:57:57.282000,-6056.954292618817,3993.383272178664,2304.86812220081,89.0,1,-2.5286206088695184,True
26187,0 days 00:57:57.442000,-6022.923378635316,4040.0393790789644,2302.9225524935614,85.0,1,-2.5372603733227415,True
26188,0 days 00:57:57.549000,-6002.0,4065.0,2302.0,84.46499968,1,-2.554170425301342,True
26189,0 days 00:57:57.642000,-5989.6340609327035,4077.8187313545486,2301.744481462806,84.0,1,-2.561734699562234,True
26190,0 days 00:57:57.802000,-5974.640704091539,4087.290140527499,2302.0224694258472,85.0,1,-2.560081557590158,True
26191,0 days 00:57:57.849000,-5968.0,4091.0,2302.0,85.5875008,1,-2.579147932306607,True
26192,0 days 00:57:57.962000,-5946.810707131143,4102.76922715778,2301.6736614384586,87.0,1,-2.5719847167336645,True
26193,0 days 00:57:58.149000,-5902.0,4125.0,2301.0,90.33928685714285,1,-2.5822602718757524,True
26194,0 days 00:57:58.242000,-5879.474924687166,4133.298401633443,2301.074508582513,92.0,1,-2.575882768892786,True
26195,0 days 00:57:58.349000,-5853.0,4141.0,2301.0,93.64299461908836,1,-2.55499393555793,True
26196,0 days 00:57:58.569000,-5795.0,4153.0,2299.0,97.02111237609678,1,-2.542665796064639,True
26197,0 days 00:57:58.763000,-5741.2098967874845,4160.009031075726,2298.126384976913,100.0,1,-2.497165687097308,True
26198,0 days 00:57:58.809000,-5728.0,4161.0,2298.0,101.37999616,1,-2.504723875884152,True
26199,0 days 00:57:58.963000,-5682.313997383099,4162.381193020319,2297.553322845843,106.0,1,-2.453663203399265,True
26200,0 days 00:57:59.029000,-5662.0,4163.0,2297.0,108.19999573333334,1,-2.457661955624833,True
26201,0 days 00:57:59.109000,-5637.0,4164.0,2296.0,110.8666624,1,-2.4303142531918853,True
26202,0 days 00:57:59.203000,-5608.892681368426,4163.711746588698,2295.399393793433,114.0,1,-2.378924537073466,True
26203,0 days 00:57:59.289000,-5579.0,4162.0,2295.0,117.59832389488781,1,-2.3343332477212173,True
26204,0 days 00:57:59.442000,-5503.691971190064,4155.970129574752,2293.4610326393013,124.0,1,-2.215166380227215,True
26205,0 days 00:57:59.630000,-5408.0,4147.0,2291.0,132.05715382857142,1,-2.0980005123232717,True
26206,0 days 00:57:59.722000,-5376.978705399266,4143.742425007468,2289.989404809712,136.0,1,-1.901643619036957,True
26207,0 days 00:57:59.922000,-5337.2698900254845,4138.15952685273,2288.326327118816,146.0,1,-1.820135786938537,True
26208,0 days 00:58:00.050000,-5296.0,4131.0,2288.0,152.4,1,-1.6712431604828886,True
26209,0 days 00:58:00.090000,-5279.0,4128.0,2288.0,154.4,1,-1.6151923392189367,True
26210,0 days 00:58:00.322000,-5177.464404288668,4109.6881992046,2285.110002509973,166.0,1,-1.382780434529411,True
26211,0 days 00:58:00.330000,-5174.0,4109.0,2285.0,166.325,1,-1.3434617690061983,True
26212,0 days 00:58:00.590000,-5053.0,4081.0,2282.0,176.8875104,1,-1.1359701479266762,True
26213,0 days 00:58:00.642000,-5020.946758021314,4072.5446639694387,2281.272770996017,179.0,1,-1.112157455335308,True
26214,0 days 00:58:00.870000,-4874.0,4032.0,2278.0,186.60000853333332,1,-0.9927986531010976,True
26215,0 days 00:58:01.002000,-4832.489073567257,4020.5573886893267,2277.2129501317645,191.0,1,-0.9586591078379765,True
26216,0 days 00:58:01.202000,-4773.686430163885,3999.766886175521,2276.1044572435685,199.0,1,-0.8857600269092308,True
26217,0 days 00:58:01.210000,-4769.0,3998.0,2276.0,199.2,1,-0.8666896736436992,True
26218,0 days 00:58:01.430000,-4598.0,3932.0,2272.0,204.7000064,1,-0.7642154216802688,True
26219,0 days 00:58:01.482000,-4566.989166944213,3919.5190600661986,2271.2564536254,206.0,1,-0.7290177093608918,True
26220,0 days 00:58:01.722000,-4484.908040300662,3882.1761303156895,2269.4062879118696,217.0,1,-0.6371964040917993,True
26221,0 days 00:58:01.790000,-4456.0,3868.0,2269.0,218.45714834285715,1,-0.6110521110531634,True
