,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-1811.0,4800.0,2047.0,241.66666666666666,1,0.0,False
26119,0 days 00:57:48.162000,-1760.346778538508,4888.025485561349,2044.4706313668655,244.0,1,0.0,False
26120,0 days 00:57:48.490000,-1662.0,5047.0,2043.0,248.55555555555554,1,0.0,False
26121,0 days 00:57:48.522000,-1654.5695890477812,5058.845152413697,2042.8915111117956,249.0,1,0.0,False
26122,0 days 00:57:48.842000,-1583.4752187745426,5176.459506518636,2041.7571731416779,252.0,1,0.0,False
26123,0 days 00:57:48.950000,-1534.0,5266.0,2042.0,254.7000064,1,0.0,False
26124,0 days 00:57:49.110000,-1438.0,5443.0,2043.0,258.7000064,1,0.0,False
26125,0 days 00:57:49.162000,-1415.9806169546216,5483.637798600578,2043.221541905912,260.0,1,0.0,False
26126,0 days 00:57:49.402000,-1372.8366376482495,5562.500648046545,2043.6924666117418,262.0,1,0.0,False
26127,0 days 00:57:49.450000,-1361.0,5584.0,2044.0,262.6,1,0.0,False
26128,0 days 00:57:49.650000,-1290.0,5713.0,2046.0,265.1,1,0.0,False
26129,0 days 00:57:49.802000,-1239.8880924524722,5803.830070898189,2046.826707356953,267.0,1,0.0,False
26130,0 days 00:57:49.890000,-1204.0,5869.0,2048.0,267.73333333333335,1,0.0,False
26131,0 days 00:57:50.042000,-1117.5813785339938,6026.343503430198,2052.507390552517,269.0,1,0.0,False
26132,0 days 00:57:50.190000,-1045.0,6159.0,2057.0,270.6444472888889,1,0.0,False
26133,0 days 00:57:50.402000,-1014.2354894957863,6216.426020615387,2059.586063132603,273.0,1,0.0,False
26134,0 days 00:57:50.430000,-1009.0,6226.0,2060.0,273.20000182857143,1,0.0,False
26135,0 days 00:57:50.682000,-916.4654503508634,6392.763643797284,2066.722165619277,275.0,1,0.0,False
26136,0 days 00:57:50.689000,-913.0,6399.0,2067.0,275.05833386666666,1,0.0,False
26137,0 days 00:57:50.922000,-780.4519082949728,6637.707596020974,2078.570532971475,277.0,1,0.0,False
26138,0 days 00:57:51.009000,-741.0,6709.0,2082.0,277.4833336888889,1,0.0,False
26139,0 days 00:57:51.282000,-683.9574770857323,6813.172540304819,2086.292238674626,279.0,1,0.0,False
26140,0 days 00:57:51.409000,-643.0,6885.0,2091.0,279.0,1,0.0,False
26141,0 days 00:57:51.442000,-627.6441579289914,6911.687089270181,2092.9028558084997,279.0,1,0.0,False
26142,0 days 00:57:51.609000,-531.0,7076.0,2105.0,280.0437504,1,0.0,False
26143,0 days 00:57:51.762000,-447.5530492170424,7204.541948214187,2114.171419854437,281.0,1,0.0,False
26144,0 days 00:57:52.049000,-324.0,7373.0,2126.0,281.79501360486813,1,0.0,False
26145,0 days 00:57:52.123000,-301.74426512699324,7403.237867632945,2128.3867660420897,282.0,1,0.0,False
26146,0 days 00:57:52.283000,-258.6884009052252,7461.481264893528,2133.269030254012,282.0,1,0.0,False
26147,0 days 00:57:52.349000,-231.0,7498.0,2136.0,282.0,1,0.0,False
26148,0 days 00:57:52.483000,-151.68635391638657,7601.344399152216,2143.1975872355342,282.0,1,0.0,False
26149,0 days 00:57:52.669000,-40.0,7748.0,2153.0,271.7443630248564,1,0.0,False
26150,0 days 00:57:52.882000,13.234469752255979,7828.006088875927,2157.860269786045,260.0,1,0.0,False
26151,0 days 00:57:52.889000,15.0,7831.0,2158.0,259.7374976,1,0.0,False
26152,0 days 00:57:53.042000,63.02659826659254,7915.34902648601,2161.3789932112213,254.0,1,0.0,False
26153,0 days 00:57:53.170000,104.0,7997.0,2164.0,245.2,1,0.0,False
26154,0 days 00:57:53.202000,112.75783734126061,8016.948175627804,2164.5423915692118,243.0,1,0.0,False
26155,0 days 00:57:53.450000,162.0,8167.0,2168.0,232.37142857142857,1,0.0,False
26156,0 days 00:57:53.482000,166.33087247003112,8186.215737844306,2168.547117688798,231.0,1,0.0,False
26157,0 days 00:57:53.670000,184.0,8300.0,2172.0,223.47998976,1,0.0,False
26158,0 days 00:57:53.682000,184.78768216753448,8307.416436330912,2172.179505753252,223.0,1,0.42239117262771303,False
26159,0 days 00:57:53.842000,191.26466582839558,8407.30920934945,2173.8538616048972,223.0,1,0.38403953107813,False
26160,0 days 00:57:53.890000,191.0,8436.0,2174.0,223.0,1,0.3632930064739599,False
