,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-331.0,7363.0,2125.0,279.46666666666664,1,0.0,False
26119,0 days 00:57:48.162000,-261.189760827775,7458.747534181304,2131.862836206114,279.0,1,0.0,False
26120,0 days 00:57:48.490000,-140.0,7614.0,2144.0,268.06666666666666,1,0.0,False
26121,0 days 00:57:48.522000,-130.84067702933334,7625.131953666523,2144.867321502961,267.0,1,0.0,False
26122,0 days 00:57:48.842000,-46.405585511890926,7731.526632875018,2152.1111644768825,242.0,1,0.0,False
26123,0 days 00:57:48.950000,1.0,7809.0,2156.0,237.2749888,1,0.0,False
26124,0 days 00:57:49.110000,87.0,7961.0,2163.0,230.2749888,1,0.0,False
26125,0 days 00:57:49.162000,105.61018481720471,7995.756526829617,2164.4212944176143,228.0,1,0.0,False
26126,0 days 00:57:49.402000,130.61994535005175,8063.048516938022,2165.622998142494,221.0,1,0.0,False
26127,0 days 00:57:49.450000,136.0,8082.0,2166.0,219.92,1,0.0,False
26128,0 days 00:57:49.650000,169.0,8197.0,2169.0,215.42,1,0.0,False
26129,0 days 00:57:49.802000,184.2264219199762,8278.697726767754,2170.964999294615,212.0,1,0.0,False
26130,0 days 00:57:49.890000,187.0,8337.0,2172.0,211.26666666666668,1,0.0,False
26131,0 days 00:57:50.042000,180.9640589514939,8476.687725876911,2173.8216013686924,210.0,1,0.0,False
26132,0 days 00:57:50.190000,171.0,8594.0,2175.0,211.6444472888889,1,0.0,False
26133,0 days 00:57:50.402000,161.48976259915537,8644.482230538444,2174.973901591278,214.0,1,0.0,False
26134,0 days 00:57:50.430000,159.0,8653.0,2175.0,214.50000457142858,1,0.0,False
26135,0 days 00:57:50.682000,114.83110779929315,8801.503537515704,2175.982206827444,219.0,1,0.0,False
26136,0 days 00:57:50.689000,113.0,8807.0,2176.0,219.14583466666667,1,0.0,False
26137,0 days 00:57:50.922000,36.872158769140135,9015.551020902198,2175.9824996757898,224.0,1,0.0,False
26138,0 days 00:57:51.009000,13.0,9078.0,2176.0,224.96666737777778,1,0.0,False
26139,0 days 00:57:51.282000,-24.34089219456849,9172.067504380351,2176.7604329474993,228.0,1,0.0,False
26140,0 days 00:57:51.409000,-48.0,9237.0,2177.0,230.3812512,1,0.0,False
26141,0 days 00:57:51.442000,-56.490139129461845,9260.924063779416,2177.018919545478,231.0,1,0.0,False
26142,0 days 00:57:51.609000,-107.0,9408.0,2177.0,232.0437504,1,0.0,False
26143,0 days 00:57:51.762000,-142.37645665854495,9524.706035944146,2177.2958863796694,233.0,1,0.0,False
26144,0 days 00:57:52.049000,-180.0,9680.0,2178.0,219.48476871724213,1,0.0,False
26145,0 days 00:57:52.123000,-185.8658878161331,9707.416231666346,2177.9510685234613,216.0,1,0.0,False
26146,0 days 00:57:52.283000,-193.88911899205777,9758.413958562951,2177.7559122105117,204.0,1,0.0,False
26147,0 days 00:57:52.349000,-196.0,9789.0,2178.0,200.37000704,1,0.0,False
26148,0 days 00:57:52.483000,-198.42161318641686,9873.914459204587,2179.237372850408,193.0,1,0.0,False
26149,0 days 00:57:52.669000,-197.0,9993.0,2181.0,186.47368556127225,1,0.0,False
26150,0 days 00:57:52.882000,-186.57183112139137,10056.673609706826,2180.962149159876,179.0,1,0.0,False
26151,0 days 00:57:52.889000,-186.0,10059.0,2181.0,178.6937472,1,0.0,False
26152,0 days 00:57:53.042000,-169.40252468533816,10123.942682248087,2182.9525222268294,172.0,1,0.0,False
26153,0 days 00:57:53.170000,-150.0,10184.0,2185.0,168.0,1,0.0,False
26154,0 days 00:57:53.202000,-144.4258450340687,10197.997153103568,2185.4192519175135,167.0,1,0.0,False
26155,0 days 00:57:53.450000,-92.0,10295.0,2188.0,161.68571428571428,1,0.0,False
26156,0 days 00:57:53.482000,-84.19234276331245,10306.619001135272,2188.394442945485,161.0,1,0.0,False
26157,0 days 00:57:53.670000,-34.0,10371.0,2191.0,156.2999936,1,0.0,False
26158,0 days 00:57:53.682000,-30.57629017124839,10374.823514875421,2191.1609832497948,156.0,1,-1.9461059782457049,True
26159,0 days 00:57:53.842000,17.55898759512444,10422.223757467982,2193.2587292380617,153.0,1,-1.9914000015083733,True
26160,0 days 00:57:53.890000,33.0,10435.0,2194.0,152.33333333333334,1,-2.0363851322491007,True
26161,0 days 00:57:53.950000,53.0,10450.0,2195.0,151.49999644444443,1,-2.0471515780693283,True
26162,0 days 00:57:54.110000,109.0,10485.0,2197.0,149.27777422222223,1,-2.08528084248054,True
26163,0 days 00:57:54.202000,139.0378689815377,10501.458218710908,2198.1831444701265,148.0,1,-2.1075131988308504,True
26164,0 days 00:57:54.362000,193.57336604817246,10524.395494730927,2200.6481906625368,144.0,1,-2.1472587107678347,True
26165,0 days 00:57:54.430000,227.0,10533.0,2202.0,143.1499968,1,-2.1625350877244327,True
26166,0 days 00:57:54.602000,336.18707178385074,10551.620821793716,2206.071705911813,141.0,1,-2.163166760232223,True
26167,0 days 00:57:54.650000,361.0,10555.0,2207.0,141.43636363636364,1,-2.166617415106037,True
26168,0 days 00:57:54.950000,432.0,10557.0,2210.0,144.1636386909091,1,-2.169429131327638,True
26169,0 days 00:57:55.042000,459.20038136359267,10555.099330390975,2211.1625881001005,145.0,1,-2.1684490542872754,True
26170,0 days 00:57:55.270000,560.0,10541.0,2216.0,149.88571977142857,1,-2.156089876606684,True
26171,0 days 00:57:55.322000,589.6247075611874,10533.623833302134,2217.715211009358,151.0,1,-2.1340763910965106,True
26172,0 days 00:57:55.522000,705.6001140357732,10498.137479904859,2224.8073208963738,156.0,1,-2.096103041904823,True
26173,0 days 00:57:55.530000,709.0,10497.0,2225.0,156.08,1,-2.0888776176024466,True
26174,0 days 00:57:55.722000,758.4712744845243,10477.75709687454,2227.1552875518614,158.0,1,-2.09693942356172,True
26175,0 days 00:57:55.810000,783.0,10466.0,2228.0,161.14285714285714,1,-2.044526871098948,True
26176,0 days 00:57:55.990000,858.0,10429.0,2231.0,167.5714377142857,1,-2.0204377463874743,True
26177,0 days 00:57:56.002000,862.9635768848804,10426.431916573449,2231.2151474178354,168.0,1,-1.9231664892718794,True
26178,0 days 00:57:56.202000,941.2222288922557,10381.691402422462,2235.0334177210184,176.0,1,-1.8834554430214372,True
26179,0 days 00:57:56.270000,976.0,10358.0,2237.0,178.6444544,1,-1.8139296220002212,True
26180,0 days 00:57:56.510000,1127.0,10245.0,2246.0,187.97778773333334,1,-1.6979913220439375,True
26181,0 days 00:57:56.562000,1148.603103493358,10228.129790508066,2247.1816246737917,190.0,1,-1.67613684247122,True
26182,0 days 00:57:56.830000,1211.0,10174.0,2250.0,198.61429394285713,1,-1.558244437209511,True
26183,0 days 00:57:56.842000,1215.2135673527193,10170.239380084904,2250.2398052279823,199.0,1,-1.482946435243751,True
26184,0 days 00:57:56.990000,1278.0,10114.0,2254.0,203.03637061818182,1,-1.3597766743543962,True
26185,0 days 00:57:57.269000,1395.0,10001.0,2260.0,210.6454562909091,1,-1.2851298997275984,True
26186,0 days 00:57:57.282000,1402.0322869915292,9993.811733517572,2260.314888951775,211.0,1,-1.2737998717397192,True
26187,0 days 00:57:57.442000,1503.8425319706723,9887.626033554561,2264.646770279167,216.0,1,-1.2136371341670928,True
26188,0 days 00:57:57.549000,1561.0,9827.0,2267.0,217.07000064,1,-1.158939154410184,True
26189,0 days 00:57:57.642000,1592.3184668975653,9793.153380965705,2268.263602748205,218.0,1,-1.094812885993644,True
26190,0 days 00:57:57.802000,1622.872651680796,9758.615897909222,2269.4594514081373,223.0,1,-1.0559853678872195,True
26191,0 days 00:57:57.849000,1636.0,9744.0,2270.0,224.1750016,1,-1.0601014968700782,True
26192,0 days 00:57:57.962000,1678.0578474783088,9697.655691544991,2271.7722466621667,227.0,1,-1.0191073168613176,True
26193,0 days 00:57:58.149000,1764.0,9603.0,2275.0,228.33571474285714,1,-0.9838239955485407,True
26194,0 days 00:57:58.242000,1803.5696382472586,9558.726524415564,2275.965476335641,229.0,1,-0.9755118254763345,True
26195,0 days 00:57:58.349000,1848.0,9509.0,2277.0,226.12475941659537,1,-0.9238414908631362,True
26196,0 days 00:57:58.569000,1939.0,9409.0,2280.0,220.21305334183063,1,-0.9255465216817917,True
26197,0 days 00:57:58.763000,2002.7227001939532,9338.9302652642,2280.73126658391,215.0,1,-0.9011438722636486,True
26198,0 days 00:57:58.809000,2018.0,9322.0,2281.0,209.71001472,1,-0.8972077353016178,True
26199,0 days 00:57:58.963000,2073.0799008959875,9260.576201972806,2282.6267972776564,192.0,1,-0.8820493941451991,True
26200,0 days 00:57:59.029000,2096.0,9235.0,2283.0,187.32500906666667,1,-0.8697960721325289,True
26201,0 days 00:57:59.109000,2122.0,9206.0,2283.0,181.6583424,1,-0.8663855371655949,True
26202,0 days 00:57:59.203000,2150.2717078957194,9174.117860050654,2283.425149412547,175.0,1,-0.8432635418214556,True
26203,0 days 00:57:59.289000,2177.0,9143.0,2284.0,166.72385504175801,1,-0.8353050503307661,True
26204,0 days 00:57:59.442000,2233.0846523103787,9074.477661401581,2284.656432397807,152.0,1,-0.8279759691444375,True
26205,0 days 00:57:59.630000,2296.0,8994.0,2285.0,138.57141028571428,1,-0.8335726172783746,True
26206,0 days 00:57:59.722000,2314.334986702668,8968.950608729985,2285.0678889842725,132.0,1,-0.788238703842099,True
