,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-2923.0,1068.0,2388.0,282.53333333333336,1,0.0,False
26119,0 days 00:57:48.162000,-3013.847468688575,1142.7795594787233,2387.946702393291,283.0,1,0.0,False
26120,0 days 00:57:48.490000,-3180.0,1279.0,2388.0,284.8222222222222,1,0.0,False
26121,0 days 00:57:48.522000,-3192.1065403081925,1288.9171097676272,2388.0866740127026,285.0,1,0.0,False
26122,0 days 00:57:48.842000,-3309.6351041343837,1385.2318234467043,2389.063900596806,287.0,1,0.0,False
26123,0 days 00:57:48.950000,-3402.0,1461.0,2388.0,288.0125024,1,0.0,False
26124,0 days 00:57:49.110000,-3586.0,1612.0,2385.0,289.5125024,1,0.0,False
26125,0 days 00:57:49.162000,-3627.7667491355246,1646.3278394884771,2384.2588337246525,290.0,1,0.0,False
26126,0 days 00:57:49.402000,-3703.5008386168065,1709.042918378807,2382.5103357479793,291.0,1,0.0,False
26127,0 days 00:57:49.450000,-3724.0,1726.0,2382.0,291.12,1,0.0,False
26128,0 days 00:57:49.650000,-3849.0,1829.0,2379.0,291.62,1,0.0,False
26129,0 days 00:57:49.802000,-3936.7639304738163,1900.5376879938594,2376.8034558088393,292.0,1,0.0,False
26130,0 days 00:57:49.890000,-4000.0,1951.0,2375.0,292.3666666666667,1,0.0,False
26131,0 days 00:57:50.042000,-4153.576038094015,2071.658897967267,2370.202614745891,293.0,1,0.0,False
26132,0 days 00:57:50.190000,-4283.0,2173.0,2366.0,293.8222236444444,1,0.0,False
26133,0 days 00:57:50.402000,-4337.777941537903,2216.742777390761,2364.2297606740563,295.0,1,0.0,False
26134,0 days 00:57:50.430000,-4347.0,2224.0,2364.0,295.0,1,0.0,False
26135,0 days 00:57:50.682000,-4508.984162401206,2350.2848555660403,2360.1530124331052,295.0,1,0.0,False
26136,0 days 00:57:50.689000,-4515.0,2355.0,2360.0,295.02916693333333,1,0.0,False
26137,0 days 00:57:50.922000,-4743.684925175826,2535.2386227196394,2353.8247173213817,296.0,1,0.0,False
26138,0 days 00:57:51.009000,-4812.0,2589.0,2352.0,296.24166684444447,1,0.0,False
26139,0 days 00:57:51.282000,-4913.179728553596,2667.110040467003,2349.729368832553,297.0,1,0.0,False
26140,0 days 00:57:51.409000,-4982.0,2720.0,2348.0,297.0,1,0.0,False
