,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,2275.0,7914.0,2291.0,139.26666666666668,1,0.0,False
26119,0 days 00:57:48.162000,2289.0904294860075,7855.2822572350515,2291.2650243520225,143.0,1,0.0,False
26120,0 days 00:57:48.490000,2325.0,7741.0,2293.0,157.57777777777778,1,0.0,False
26121,0 days 00:57:48.522000,2327.697123371835,7732.668288416206,2293.1027017810156,159.0,1,0.0,False
26122,0 days 00:57:48.842000,2352.367226362235,7651.32849022692,2293.5407865248203,171.0,1,0.0,False
26123,0 days 00:57:48.950000,2371.0,7584.0,2294.0,175.3875104,1,0.0,False
26124,0 days 00:57:49.110000,2408.0,7448.0,2295.0,181.8875104,1,0.0,False
26125,0 days 00:57:49.162000,2416.394594781404,7416.504162869883,2295.154429315437,184.0,1,0.0,False
26126,0 days 00:57:49.402000,2431.749280969624,7352.833054968514,2294.9147312026344,193.0,1,0.0,False
26127,0 days 00:57:49.450000,2436.0,7335.0,2295.0,194.08,1,0.0,False
26128,0 days 00:57:49.650000,2462.0,7228.0,2296.0,198.58,1,0.0,False
26129,0 days 00:57:49.802000,2480.5302771182373,7151.702594512735,2296.6567255018417,202.0,1,0.0,False
26130,0 days 00:57:49.890000,2498.0,7101.0,2297.0,199.43333333333334,1,0.0,False
26131,0 days 00:57:50.042000,2549.2993057351223,6988.1458750808315,2297.6135185990815,195.0,1,0.0,False
26132,0 days 00:57:50.190000,2596.0,6897.0,2298.0,187.5999872,1,0.0,False
26133,0 days 00:57:50.402000,2619.5443945193,6862.362079736739,2297.9709425388564,177.0,1,0.0,False
26134,0 days 00:57:50.430000,2624.0,6857.0,2298.0,175.99999085714285,1,0.0,False
26135,0 days 00:57:50.682000,2702.857790382923,6766.835995322033,2298.95929711491,167.0,1,0.0,False
26136,0 days 00:57:50.689000,2706.0,6764.0,2299.0,166.88333226666666,1,0.0,False
26137,0 days 00:57:50.922000,2832.760432905561,6673.209795440667,2300.6131294274956,163.0,1,0.0,False
26138,0 days 00:57:51.009000,2872.0,6649.0,2301.0,162.03333262222222,1,0.0,False
26139,0 days 00:57:51.282000,2934.331261109529,6620.651667297899,2300.870525267831,159.0,1,0.0,False
26140,0 days 00:57:51.409000,2982.0,6612.0,2301.0,159.0,1,0.0,False
26141,0 days 00:57:51.442000,2999.618592167019,6608.904224968386,2301.111447936059,159.0,1,0.0,False
26142,0 days 00:57:51.609000,3109.0,6591.0,2302.0,161.609376,1,0.0,False
26143,0 days 00:57:51.762000,3199.9763450635865,6580.749704490403,2302.7837974127665,164.0,1,0.0,False
26144,0 days 00:57:52.049000,3330.0,6574.0,2304.0,171.95013604868112,1,0.0,False
26145,0 days 00:57:52.123000,3353.932582950293,6572.77678856518,2304.260412245088,174.0,1,0.0,False
26146,0 days 00:57:52.283000,3400.1297983487216,6568.767183573762,2304.773814341149,174.0,1,0.0,False
26147,0 days 00:57:52.349000,3428.0,6564.0,2305.0,174.32999936,1,0.0,False
26148,0 days 00:57:52.483000,3505.2756218864474,6547.596118236394,2305.5001672636085,175.0,1,0.0,False
26149,0 days 00:57:52.669000,3613.0,6520.0,2306.0,169.40601619537622,1,0.0,False
26150,0 days 00:57:52.882000,3668.046468472026,6495.152046119576,2305.9906631764165,163.0,1,0.0,False
26151,0 days 00:57:52.889000,3670.0,6494.0,2306.0,162.9124992,1,0.0,False
26152,0 days 00:57:53.042000,3724.255026124714,6460.452920255586,2306.4900958208696,161.0,1,0.0,False
26153,0 days 00:57:53.170000,3774.0,6426.0,2307.0,157.0,1,0.0,False
26154,0 days 00:57:53.202000,3785.5122796306296,6417.19976551675,2307.1025189837333,156.0,1,0.0,False
26155,0 days 00:57:53.450000,3864.0,6346.0,2308.0,152.45714285714286,1,0.0,False
26156,0 days 00:57:53.482000,3873.1946994046116,6336.310065297607,2308.240032908,152.0,1,0.0,False
26157,0 days 00:57:53.670000,3923.0,6277.0,2310.0,146.35999232,1,0.0,False
26158,0 days 00:57:53.682000,3925.8754452550447,6273.087322684963,2310.0914904711394,146.0,1,-0.6864716474448341,True
26159,0 days 00:57:53.842000,3960.6623825003835,6219.528103769338,2310.9174394332804,145.0,1,-0.6838250990740082,True
26160,0 days 00:57:53.890000,3970.0,6203.0,2311.0,144.46666666666667,1,-0.7008415741797944,True
26161,0 days 00:57:53.950000,3981.0,6182.0,2311.0,143.79999715555556,1,-0.692795284472526,True
26162,0 days 00:57:54.110000,4006.0,6124.0,2311.0,142.0222193777778,1,-0.6965572767922666,True
26163,0 days 00:57:54.202000,4017.4499368313272,6092.962399849221,2311.5187964416286,141.0,1,-0.7000916288073312,True
26164,0 days 00:57:54.362000,4032.3956800251017,6036.583179367976,2313.262665675129,142.0,1,-0.707986767446992,True
26165,0 days 00:57:54.430000,4037.0,6002.0,2314.0,143.416672,1,-0.6924459510893742,True
26166,0 days 00:57:54.602000,4044.1134324722652,5888.89232725564,2315.6519880849155,147.0,1,-0.6661750430321732,True
26167,0 days 00:57:54.650000,4045.0,5863.0,2316.0,148.0909090909091,1,-0.6617443060895479,True
26168,0 days 00:57:54.950000,4041.0,5786.0,2317.0,154.90909672727273,1,-0.6588881031781565,True
26169,0 days 00:57:55.042000,4037.420338299843,5756.409777698236,2317.1453194838446,157.0,1,-0.6661057186243188,True
26170,0 days 00:57:55.270000,4020.0,5646.0,2318.0,165.1428662857143,1,-0.6300086938727831,True
26171,0 days 00:57:55.322000,4012.8764768845595,5612.775887567965,2318.5105364159554,167.0,1,-0.6345509119506438,True
26172,0 days 00:57:55.522000,3980.9845255643704,5480.908596751282,2320.9333520644063,171.0,1,-0.591428365719112,True
26173,0 days 00:57:55.530000,3980.0,5477.0,2321.0,171.0,1,-0.6005194126116075,True
26174,0 days 00:57:55.722000,3964.473293981177,5418.7609728882535,2321.7246181794344,171.0,1,-0.6054100804448863,True
26175,0 days 00:57:55.810000,3956.0,5389.0,2322.0,177.6,1,-0.5995025463871072,True
26176,0 days 00:57:55.990000,3930.0,5298.0,2323.0,191.1000192,1,-0.5607264524967716,True
26177,0 days 00:57:56.002000,3928.2386651280035,5291.955026784132,2323.072258666158,192.0,1,-0.53609375676863,True
26178,0 days 00:57:56.202000,3900.1155039863324,5195.446537305579,2324.3557899211014,199.0,1,-0.5175387422153095,True
26179,0 days 00:57:56.270000,3889.0,5151.0,2325.0,200.1333376,1,-0.48197013179831333,False
26180,0 days 00:57:56.510000,3846.0,4953.0,2328.0,204.1333376,1,-0.39105723832839073,False
26181,0 days 00:57:56.562000,3840.366416205078,4923.925848617612,2328.487312369137,205.0,1,-0.379826057895958,False
26182,0 days 00:57:56.830000,3830.0,4835.0,2330.0,215.52858148571428,1,-0.32774810957328326,False
26183,0 days 00:57:56.842000,3829.496134234753,4829.085240754385,2330.0661185994763,216.0,1,-0.29231310152272755,False
26184,0 days 00:57:56.990000,3823.0,4740.0,2331.0,219.7000064,1,-0.23611924668039908,False
26185,0 days 00:57:57.269000,3829.0,4551.0,2334.0,226.6750016,1,-0.21354879251327635,False
26186,0 days 00:57:57.282000,3830.018775875914,4540.026689717568,2334.1790708169456,227.0,1,-0.231540232463665,False
26187,0 days 00:57:57.442000,3847.8669934879085,4386.415791227028,2336.6280914531926,228.0,1,-0.22610808156506898,False
26188,0 days 00:57:57.549000,3860.0,4301.0,2338.0,229.60500096,1,-0.2255800104552056,False
26189,0 days 00:57:57.642000,3868.4467644144124,4253.401255158325,2338.8006040940836,231.0,1,-0.2106428641061004,False
26190,0 days 00:57:57.802000,3882.541438013542,4205.725734308382,2339.6673827946247,234.0,1,-0.2083682339817742,False
26191,0 days 00:57:57.849000,3889.0,4186.0,2340.0,234.5875008,1,-0.23838730681079517,False
26192,0 days 00:57:57.962000,3909.5266075998534,4123.9696168972405,2341.0018381022674,236.0,1,-0.24006156033362502,False
26193,0 days 00:57:58.149000,3955.0,4000.0,2343.0,238.6714294857143,1,-0.29603793730079425,False
26194,0 days 00:57:58.242000,3980.299887772362,3944.361056319403,2343.9614358364324,240.0,1,-0.31431839914388043,False
26195,0 days 00:57:58.349000,4013.0,3883.0,2345.0,241.64299461908834,1,-0.3297608498854058,False
26196,0 days 00:57:58.569000,4096.0,3756.0,2347.0,245.0211123760968,1,-0.4048293256522525,False
26197,0 days 00:57:58.763000,4177.276139826208,3648.414055419183,2349.48286666901,248.0,1,-0.45770706611261963,False
26198,0 days 00:57:58.809000,4197.0,3623.0,2350.0,248.45999872,1,-0.48980255370046744,False
26199,0 days 00:57:58.963000,4263.453448799687,3537.071161341572,2351.3262254371393,250.0,1,-0.5340198259858692,True
26200,0 days 00:57:59.029000,4291.0,3499.0,2352.0,251.09999786666665,1,-0.5806136584361719,True
26201,0 days 00:57:59.109000,4323.0,3452.0,2353.0,252.4333312,1,-0.6035882425855926,True
26202,0 days 00:57:59.203000,4358.05986450136,3399.8961608485806,2354.062835111482,254.0,1,-0.638320846223879,True
26203,0 days 00:57:59.289000,4390.0,3346.0,2355.0,252.2008380525561,1,-0.6661919623742791,True
26204,0 days 00:57:59.442000,4451.622250496362,3214.081247438681,2356.8549599838752,249.0,1,-0.7182551049138286,True
26205,0 days 00:57:59.630000,4516.0,3048.0,2359.0,242.95713462857142,1,-0.7784719601174263,True
26206,0 days 00:57:59.722000,4533.481724506894,2993.4855324736354,2359.7737615222654,240.0,1,-0.8052331210637218,True
26207,0 days 00:57:59.922000,4543.387583667167,2925.984925273489,2360.818170218066,234.0,1,-0.8206936633449479,True
26208,0 days 00:58:00.050000,4546.0,2876.0,2361.0,230.8,1,-0.837027820359174,True
26209,0 days 00:58:00.090000,4547.0,2857.0,2361.0,229.8,1,-0.8433388229180148,True
26210,0 days 00:58:00.322000,4547.171572573107,2713.8823399262624,2362.9320787086845,224.0,1,-0.872778348879952,True
26211,0 days 00:58:00.330000,4547.0,2709.0,2363.0,223.975,1,-0.877697178653214,True
26212,0 days 00:58:00.590000,4523.0,2550.0,2365.0,223.1624992,1,-0.9031326897468241,True
26213,0 days 00:58:00.642000,4507.567117193936,2507.171935360179,2365.7779087316617,223.0,1,-0.9011031853256056,True
26214,0 days 00:58:00.870000,4418.0,2309.0,2370.0,226.16667022222222,1,-0.8914341896992051,True
26215,0 days 00:58:01.002000,4392.529540691886,2258.1790730607618,2371.143864545307,228.0,1,-0.8905541380016007,True
26216,0 days 00:58:01.202000,4349.6498901622845,2207.240346746214,2371.9442354966604,230.0,1,-0.8885463791162742,True
26217,0 days 00:58:01.210000,4346.0,2203.0,2372.0,230.0857142857143,1,-0.8955934888231808,True
26218,0 days 00:58:01.430000,4210.0,2046.0,2374.0,232.44285988571428,1,-0.8633550660311785,True
26219,0 days 00:58:01.482000,4184.753812505239,2017.835082769346,2374.3857008058753,233.0,1,-0.8664798430562484,True
26220,0 days 00:58:01.722000,4114.504006889431,1947.0641222475551,2375.1997279234874,236.0,1,-0.8650223150321544,True
26221,0 days 00:58:01.790000,4090.0,1923.0,2375.0,237.45714834285715,1,-0.8688422420006077,True
26222,0 days 00:58:01.950000,4015.0,1848.0,2374.0,240.88571977142857,1,-0.8559501901266464,True
26223,0 days 00:58:02.002000,3988.164235949165,1820.9128452587418,2373.8552244611074,242.0,1,-0.8623357174549415,True
26224,0 days 00:58:02.162000,3902.629384027288,1734.0464947358425,2374.0141816757978,242.0,1,-0.8445064944171001,True
26225,0 days 00:58:02.210000,3878.0,1709.0,2374.0,243.05,1,-0.8585603268806833,True
26226,0 days 00:58:02.450000,3763.0,1592.0,2373.0,248.3,1,-0.8424285397339509,True
26227,0 days 00:58:02.482000,3747.6974709120614,1576.4098575164844,2372.7460514982295,249.0,1,-0.8486554005345096,True
26228,0 days 00:58:02.650000,3666.0,1493.0,2371.0,251.1,1,-0.8206363818666479,True
26229,0 days 00:58:02.810000,3588.0,1413.0,2369.0,253.1,1,-0.8250257399106729,True
26230,0 days 00:58:02.882000,3556.3599465460084,1380.678314275527,2368.2197428467907,254.0,1,-0.822421305238655,True
26231,0 days 00:58:03.050000,3470.0,1292.0,2366.0,256.52,1,-0.8405974575869205,True
26232,0 days 00:58:03.082000,3445.7005480203206,1266.7709685578507,2365.305237418039,257.0,1,-0.8410530150918359,True
26233,0 days 00:58:03.242000,3306.6586741061715,1121.8841050457727,2361.168917058942,259.0,1,-0.8304960046194219,True
26234,0 days 00:58:03.250000,3301.0,1116.0,2361.0,259.1,1,-0.8191690492836022,True
26235,0 days 00:58:03.402000,3228.5026196908266,1041.1001132197305,2358.8532228008316,261.0,1,-0.8295154081460685,True
26236,0 days 00:58:03.602000,3185.92932630238,997.720229290609,2357.553704348901,263.0,1,-0.8189492054593761,True
26237,0 days 00:58:03.650000,3169.0,980.0,2357.0,263.4,1,-0.7935925093499481,True
