,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,-956.9487589734883,1883.5878079217912,1865.0,80.0,1,0.0,False
26037,0 days 00:57:50.109000,-954.0,1921.0,1865.0,80.0,1,0.0,False
26038,0 days 00:57:50.180000,-952.7108200546712,1936.5500277061292,1865.0,80.0,1,0.0,False
26039,0 days 00:57:50.269000,-951.0,1956.0,1865.0,80.0,1,0.0,False
26040,0 days 00:57:50.340000,-949.5119416894075,1971.5814071424318,1865.0000000000007,80.0,1,0.0,False
26041,0 days 00:57:50.509000,-946.0,2009.0,1865.0,80.0,1,0.0,False
26042,0 days 00:57:50.660000,-943.7539399670156,2042.970135881168,1865.0,80.0,1,0.0,False
26043,0 days 00:57:50.709000,-943.0,2054.0,1865.0,80.0,1,0.0,False
26044,0 days 00:57:50.929000,-939.0,2103.0,1865.0,80.0,1,0.0,False
26045,0 days 00:57:50.940000,-938.8031497500924,2105.40208267618,1864.9999999999998,80.0,1,0.0,False
26046,0 days 00:57:51.100000,-936.1359069044214,2140.030115135519,1864.9999999999998,80.0,1,0.0,False
26047,0 days 00:57:51.109000,-936.0,2142.0,1865.0,80.0,1,0.0,False
26048,0 days 00:57:51.249000,-934.0,2173.0,1865.0,80.0,1,0.0,False
26049,0 days 00:57:51.300000,-933.2101779186575,2184.2526143010973,1864.9999999999995,80.0,1,0.0,False
26050,0 days 00:57:51.460000,-930.4927727242639,2219.4985734935954,1864.9999999999998,80.0,1,0.0,False
26051,0 days 00:57:51.489000,-930.0,2226.0,1865.0,80.0,1,0.0,False
26052,0 days 00:57:51.660000,-927.1844393600126,2265.114858298744,1865.0000000000002,80.0,1,0.0,False
26053,0 days 00:57:51.749000,-926.0,2285.0,1865.0,80.0,1,0.0,False
26054,0 days 00:57:51.860000,-924.932904313085,2308.7077063643287,1865.0,80.0,1,0.0,False
26055,0 days 00:57:51.969000,-924.0,2331.0,1865.0,80.90833493333334,1,0.0,False
26056,0 days 00:57:52.220000,-921.1179823925307,2385.4063331680345,1865.0000000000005,83.0,1,0.0,False
26057,0 days 00:57:52.229000,-921.0,2388.0,1865.0,83.0,1,0.0,False
26058,0 days 00:57:52.419000,-918.3873997970998,2452.628911009045,1865.0,83.0,1,0.0,False
26059,0 days 00:57:52.449000,-918.0,2462.0,1865.0,85.2500096,1,0.0,False
26060,0 days 00:57:52.659000,-915.669520200208,2510.7882843249467,1865.0,101.0,1,0.0,False
26061,0 days 00:57:52.870000,-914.0,2557.0,1865.0,107.33000192,1,0.0,False
26062,0 days 00:57:53.049000,-913.0,2613.0,1865.0,112.70000384,1,0.0,False
26063,0 days 00:57:53.059000,-912.938295090373,2616.251026093661,1865.0,113.0,1,0.0,False
26064,0 days 00:57:53.289000,-911.0,2692.0,1865.0,122.3437552,1,0.0,False
26065,0 days 00:57:53.369000,-910.0,2720.0,1865.0,125.5937552,1,0.0,False
26066,0 days 00:57:53.379000,-909.8895891114067,2723.688761322592,1864.9999999999993,126.0,1,0.0,False
26067,0 days 00:57:53.619000,-908.5407403634823,2827.371010876715,1865.0,141.0,1,0.0,False
26068,0 days 00:57:53.709000,-908.0,2874.0,1865.0,143.2500032,1,0.0,False
