,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,-1443.6707790100138,-1605.9962377195711,1867.3268514420158,308.0,1,0.0,False
26037,0 days 00:57:50.109000,-1433.0,-1454.0,1868.0,308.70416746666666,1,0.0,False
26038,0 days 00:57:50.180000,-1428.1580126830854,-1384.3477631529229,1868.4387126476993,309.0,1,0.0,False
26039,0 days 00:57:50.269000,-1422.0,-1296.0,1869.0,310.6687536,1,0.0,False
26040,0 days 00:57:50.340000,-1417.2211148853696,-1228.468811678417,1869.3390339730843,312.0,1,0.0,False
26041,0 days 00:57:50.509000,-1406.0,-1076.0,1870.0,313.5843768,1,0.0,False
26042,0 days 00:57:50.660000,-1395.4979806123579,-944.500342002051,1870.839931050385,315.0,1,0.0,False
26043,0 days 00:57:50.709000,-1392.0,-902.0,1871.0,315.1750006857143,1,0.0,False
26044,0 days 00:57:50.929000,-1376.0,-710.0,1871.0,315.96071497142856,1,0.0,False
26045,0 days 00:57:50.940000,-1375.210186854443,-700.3614703228893,1871.0294316623092,316.0,1,0.0,False
26046,0 days 00:57:51.100000,-1363.6819201613664,-559.9028947592352,1871.9364912751134,316.0,1,0.0,False
26047,0 days 00:57:51.109000,-1363.0,-552.0,1872.0,316.09000192,1,0.0,False
26048,0 days 00:57:51.249000,-1352.0,-429.0,1873.0,317.49000192,1,0.0,False
26049,0 days 00:57:51.300000,-1348.1019010280293,-384.0257567299591,1873.2836839162462,318.0,1,0.0,False
26050,0 days 00:57:51.460000,-1336.228831545282,-242.5596697704346,1873.8961274321862,319.0,1,0.0,False
26051,0 days 00:57:51.489000,-1334.0,-217.0,1874.0,319.14500096,1,0.0,False
26052,0 days 00:57:51.660000,-1320.2087772341702,-66.88025478911716,1874.6332879713386,320.0,1,0.0,False
26053,0 days 00:57:51.749000,-1313.0,12.0,1875.0,320.44500096,1,0.0,False
26054,0 days 00:57:51.860000,-1304.2405264460483,111.82920291054089,1875.5076656213332,321.0,1,0.0,False
26055,0 days 00:57:51.969000,-1296.0,208.0,1876.0,321.9083349333333,1,0.0,False
26056,0 days 00:57:52.220000,-1276.8685273592976,430.1324436045744,1876.9628275789582,324.0,1,0.0,False
26057,0 days 00:57:52.229000,-1276.0,440.0,1877.0,324.0,1,0.0,False
26058,0 days 00:57:52.419000,-1254.9483058712362,676.6396332309095,1877.860779886973,324.0,1,0.0,False
26059,0 days 00:57:52.449000,-1252.0,710.0,1878.0,324.1250005333333,1,0.0,False
26060,0 days 00:57:52.659000,-1237.7014484746007,876.3977698348888,1878.9590802057978,325.0,1,0.0,False
26061,0 days 00:57:52.870000,-1226.0,1016.0,1880.0,326.05500032,1,0.0,False
26062,0 days 00:57:53.049000,-1212.0,1178.0,1881.0,326.95000064,1,0.0,False
26063,0 days 00:57:53.059000,-1211.1918412095574,1187.2533041526176,1881.055006430883,327.0,1,0.0,False
26064,0 days 00:57:53.289000,-1193.0,1396.0,1882.0,327.7187504,1,0.0,False
26065,0 days 00:57:53.369000,-1187.0,1468.0,1882.0,327.9687504,1,0.0,False
26066,0 days 00:57:53.379000,-1186.2229425782268,1477.3178348903205,1882.010451786913,328.0,1,0.0,False
26067,0 days 00:57:53.619000,-1164.9944805883508,1727.9041705697246,1883.3386439444212,329.0,1,0.0,False
26068,0 days 00:57:53.709000,-1156.0,1832.0,1884.0,329.0,1,0.0,False
26069,0 days 00:57:53.819000,-1144.3429455752232,1965.377355444791,1884.7738781454066,329.0,1,0.0,False
26070,0 days 00:57:54.029000,-1124.0,2197.0,1886.0,329.8713700571273,1,0.0,False
26071,0 days 00:57:54.060000,-1121.864382236747,2221.686355594416,1886.1287773628223,330.0,1,0.0,False
26072,0 days 00:57:54.389000,-1107.0,2398.0,1887.0,331.4954554181818,1,0.0,False
26073,0 days 00:57:54.500000,-1099.2841734190677,2486.5640883471237,1887.4055900314447,332.0,1,0.0,False
26074,0 days 00:57:54.629000,-1089.0,2605.0,1888.0,332.0,1,0.0,False
26075,0 days 00:57:54.700000,-1083.4691380596507,2670.036577637311,1888.3828916936948,332.0,1,0.0,False
26076,0 days 00:57:54.809000,-1075.0,2770.0,1889.0,332.6055566222222,1,-0.0011905406440617069,False
26077,0 days 00:57:55.009000,-1059.0,2955.0,1890.0,333.71666773333334,1,-0.0006463826883696202,False
26078,0 days 00:57:55.060000,-1054.974610909373,3002.1203343219104,1890.2147788982222,334.0,1,-0.0004943197983492486,False
26079,0 days 00:57:55.249000,-1040.0,3177.0,1891.0,334.0,1,-0.000955797845623753,False
26080,0 days 00:57:55.300000,-1035.7381539342828,3224.6900859145876,1891.2802026011652,334.0,1,-0.0006980881050781113,False
26081,0 days 00:57:55.429000,-1025.0,3343.0,1892.0,334.32250048,1,-0.00090669127326676,False
26082,0 days 00:57:55.700000,-1004.1149280999659,3584.546965362778,1892.8174725691965,335.0,1,-0.0022082933006089063,False
26083,0 days 00:57:55.729000,-1001.0,3621.0,1893.0,335.07250048,1,-0.0059856283927361325,False
26084,0 days 00:57:55.949000,-974.0,3937.0,1895.0,335.62250048,1,-0.007272947664533776,False
26085,0 days 00:57:56.100000,-967.097636387315,4019.102292153184,1895.714179699215,336.0,1,-0.015140441924395488,False
26086,0 days 00:57:56.209000,-963.0,4068.0,1896.0,336.6812512,1,-0.01569253231297808,False
26087,0 days 00:57:56.260000,-959.8341417825171,4105.304243709875,1896.1243847353226,337.0,1,-0.028968961381748023,False
26088,0 days 00:57:56.460000,-940.8839693929988,4326.809085475278,1896.5934718961746,337.0,1,-0.03367598788118715,False
26089,0 days 00:57:56.569000,-931.0,4441.0,1897.0,337.54500096,1,-0.041336179626557085,False
26090,0 days 00:57:56.660000,-924.1027739725242,4519.648506067564,1897.4586457804558,338.0,1,-0.05314167336359882,False
26091,0 days 00:57:56.889000,-908.0,4703.0,1899.0,338.0,1,-0.05926598284381101,False
26092,0 days 00:57:56.940000,-903.3078790287987,4757.911219000643,1899.388822926865,338.0,1,-0.07598065213882317,False
26093,0 days 00:57:57.149000,-881.0,5021.0,1901.0,338.0,1,-0.08657934512923543,False
26094,0 days 00:57:57.300000,-865.2939147613739,5202.749665560179,1901.9070834743666,338.0,1,-0.10158047489145072,False
26095,0 days 00:57:57.569000,-842.0,5468.0,1903.0,336.5055544888889,1,-0.11116276228905964,False
26096,0 days 00:57:57.660000,-836.6883224857675,5528.817834298308,1903.2560887026036,336.0,1,-0.1231561943267783,False
26097,0 days 00:57:57.820000,-830.004761849977,5606.239856730852,1903.6012636917044,334.0,1,-0.13708438109371582,False
26098,0 days 00:57:57.949000,-823.0,5689.0,1904.0,333.28333226666666,1,-0.14644524858010646,False
26099,0 days 00:57:58.169000,-806.0,5892.0,1905.0,332.06111004444443,1,-0.161067722073728,False
26100,0 days 00:57:58.180000,-805.088931921102,5902.928815326664,1905.052352114709,332.0,1,-0.16284750925694072,False
26101,0 days 00:57:58.369000,-789.0,6094.0,1906.0,330.4249984,1,-0.17576128589806028,False
26102,0 days 00:57:58.420000,-784.4158674886746,6146.030571292751,1906.3134442728206,330.0,1,-0.17944195629379303,False
26103,0 days 00:57:58.529000,-775.0,6252.0,1907.0,329.3944433777778,1,-0.1871408080279622,False
26104,0 days 00:57:58.729000,-761.0,6422.0,1908.0,328.28333226666666,1,-0.20028332996711998,False
26105,0 days 00:57:58.780000,-756.0105856745456,6482.286678932345,1908.3412408985018,328.0,1,-0.2058369828893073,False
26106,0 days 00:57:58.980000,-731.981632160723,6769.283889151121,1909.9369981035402,327.0,1,-0.2348124036434787,False
26107,0 days 00:57:58.989000,-731.0,6781.0,1910.0,326.6987384237688,1,-0.23420301786708292,False
26108,0 days 00:57:59.219000,-710.9073426877785,7021.2537184119765,1911.2091951094897,319.0,1,-0.2603504552815487,False
26109,0 days 00:57:59.430000,-699.0,7162.0,1912.0,314.89722097777775,1,-0.2812681838032821,False
26110,0 days 00:57:59.579000,-693.3275730343321,7226.366147357169,1912.566492356656,312.0,1,-0.27797120156797445,False
26111,0 days 00:57:59.749000,-687.0,7301.0,1913.0,277.14997376,1,-0.2912214965172793,False
26112,0 days 00:57:59.779000,-685.5730782612759,7318.858045661572,1913.025455819282,271.0,1,-0.279423104043444,False
26113,0 days 00:57:59.989000,-674.0,7467.0,1913.0,242.1249824,1,-0.30642662723874603,False
26114,0 days 00:58:00.259000,-660.5014884249964,7627.501418635891,1913.9227700911779,205.0,1,-0.31957330007034057,False
26115,0 days 00:58:00.269000,-660.0,7633.0,1914.0,204.0416544,1,-0.3191307403538305,False
26116,0 days 00:58:00.389000,-654.0,7697.0,1915.0,192.5416544,1,-0.3023028999739564,False
26117,0 days 00:58:00.499000,-649.145508989349,7749.878177491902,1915.0927294677529,182.0,1,-0.2913646923369284,False
26118,0 days 00:58:00.589000,-645.0,7793.0,1915.0,173.02491639222893,1,-0.2860472490594692,False
26119,0 days 00:58:00.860000,-629.4916231502538,7930.226928867771,1915.966698425707,146.0,1,-0.30540092207479896,False
26120,0 days 00:58:00.869000,-629.0,7934.0,1916.0,145.27998464,1,-0.2988803339548866,False
26121,0 days 00:58:01.060000,-619.622812984778,7995.443431319965,1916.511229897734,130.0,1,-0.24716915766894088,False
26122,0 days 00:58:01.249000,-609.0,8042.0,1917.0,121.40908218181818,1,-0.24832197658065638,False
26123,0 days 00:58:01.500000,-585.3828412909089,8115.100920841012,1917.9505673355573,110.0,1,-0.2014478029314594,False
26124,0 days 00:58:01.529000,-581.0,8125.0,1918.0,108.67082453333333,1,-0.1673760053997595,False
26125,0 days 00:58:01.729000,-542.0,8197.0,1918.0,99.50415786666667,1,-0.12142986390390897,False
26126,0 days 00:58:01.740000,-539.7922910658482,8200.380844728677,1918.0096247501742,99.0,1,-0.07145832631278766,False
26127,0 days 00:58:02.069000,-478.0,8265.0,1919.0,92.41999616,1,-0.009680119648943735,False
26128,0 days 00:58:02.140000,-465.33991615094976,8273.73633105215,1919.2163555734983,91.0,1,0.03181128989377286,False
26129,0 days 00:58:02.300000,-437.5059106785269,8288.491402378042,1919.627392068966,88.0,1,0.06182730938493296,False
26130,0 days 00:58:02.549000,-393.0,8303.0,1920.0,81.7749952,1,0.12424802725117448,False
26131,0 days 00:58:02.620000,-379.5132354937094,8306.129161488789,1920.0370565650285,80.0,1,0.14591936783073692,False
26132,0 days 00:58:02.909000,-321.0,8317.0,1920.0,79.19722168888889,1,0.211814436624485,False
26133,0 days 00:58:02.980000,-305.7528373315117,8320.453479378444,1920.003207852432,79.0,1,0.2340829866652071,False
26134,0 days 00:58:03.140000,-271.77817106594904,8329.461615602482,1920.003271568653,80.0,1,0.2749084480127121,False
26135,0 days 00:58:03.149000,-270.0,8330.0,1920.0,79.9156232,1,0.28640830291199926,False
26136,0 days 00:58:03.309000,-239.0,8343.0,1920.0,78.4156232,1,0.31902826393923134,False
26137,0 days 00:58:03.460000,-201.75260420184387,8374.09601179001,1920.6512140208183,77.0,1,0.35783950934945247,False
