,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,1369.8078091274892,-142.4301058107366,1871.5214487259977,314.0,1,0.0,False
26037,0 days 00:57:50.109000,1356.0,-290.0,1871.0,316.1125024,1,0.0,False
26038,0 days 00:57:50.180000,1350.6746485710196,-352.0697214976438,1870.5735073615713,317.0,1,0.0,False
26039,0 days 00:57:50.269000,1344.0,-430.0,1870.0,317.5562512,1,0.0,False
26040,0 days 00:57:50.340000,1338.280313862409,-492.33473720920466,1869.6498634387046,318.0,1,0.0,False
26041,0 days 00:57:50.509000,1324.0,-641.0,1869.0,318.5281256,1,0.0,False
26042,0 days 00:57:50.660000,1311.9129181091928,-773.6887448839611,1868.2437200360066,319.0,1,0.0,False
26043,0 days 00:57:50.709000,1308.0,-817.0,1868.0,319.0,1,0.0,False
26044,0 days 00:57:50.929000,1290.0,-1013.0,1867.0,319.0,1,0.0,False
26045,0 days 00:57:50.940000,1289.0813137738564,-1022.756854446962,1866.9473214879547,319.0,1,0.0,False
26046,0 days 00:57:51.100000,1275.7252610333812,-1164.0463704639753,1866.0633745084317,321.0,1,0.0,False
26047,0 days 00:57:51.109000,1275.0,-1172.0,1866.0,321.0,1,0.0,False
26048,0 days 00:57:51.249000,1264.0,-1296.0,1865.0,321.0,1,0.0,False
26049,0 days 00:57:51.300000,1259.8597227302687,-1341.2475761845467,1864.878384647241,321.0,1,0.0,False
26050,0 days 00:57:51.460000,1246.4031024647193,-1483.287896867526,1865.0790201694367,321.0,1,0.0,False
26051,0 days 00:57:51.489000,1244.0,-1509.0,1865.0,321.0,1,0.0,False
26052,0 days 00:57:51.660000,1230.2031994118695,-1660.4386063241147,1863.5731628060691,321.0,1,0.0,False
26053,0 days 00:57:51.749000,1223.0,-1740.0,1863.0,321.44500096,1,0.0,False
26054,0 days 00:57:51.860000,1213.8192203536144,-1840.488656257813,1862.9713801252472,322.0,1,0.0,False
26055,0 days 00:57:51.969000,1205.0,-1937.0,1863.0,321.6972216888889,1,0.0,False
26056,0 days 00:57:52.220000,1184.903940727811,-2158.2236390534767,1861.088123925941,321.0,1,0.0,False
26057,0 days 00:57:52.229000,1184.0,-2168.0,1861.0,321.04522708093197,1,0.0,False
26058,0 days 00:57:52.419000,1162.1036071246538,-2401.995650427447,1859.1953263110247,322.0,1,0.0,False
26059,0 days 00:57:52.449000,1159.0,-2435.0,1859.0,322.1250005333333,1,0.0,False
26060,0 days 00:57:52.659000,1143.426573814186,-2600.1383667029427,1858.6434478294104,323.0,1,0.0,False
26061,0 days 00:57:52.870000,1131.0,-2738.0,1858.0,321.94499968,1,0.0,False
