,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,-1498.877769527199,-3113.9018709875977,1858.5036408241842,291.0,1,0.0,False
26037,0 days 00:57:50.109000,-1498.0,-2976.0,1859.0,294.52083733333336,1,0.0,False
26038,0 days 00:57:50.180000,-1497.69173969698,-2918.0439663693032,1859.4247060402486,296.0,1,0.0,False
26039,0 days 00:57:50.269000,-1497.0,-2845.0,1860.0,296.5562512,1,0.0,False
26040,0 days 00:57:50.340000,-1495.8512105151715,-2786.04297896015,1860.3506568021467,297.0,1,0.0,False
26041,0 days 00:57:50.509000,-1492.0,-2647.0,1861.0,299.1125024,1,0.0,False
26042,0 days 00:57:50.660000,-1489.1425086484956,-2530.7105109349436,1861.7566750444244,301.0,1,0.0,False
26043,0 days 00:57:50.709000,-1488.0,-2492.0,1862.0,301.35000137142856,1,0.0,False
26044,0 days 00:57:50.929000,-1481.0,-2307.0,1863.0,302.9214299428571,1,0.0,False
26045,0 days 00:57:50.940000,-1480.6416771416523,-2297.6740114970967,1863.053616455932,303.0,1,0.0,False
26046,0 days 00:57:51.100000,-1475.3430996329034,-2162.618292989676,1863.9401722911032,305.0,1,0.0,False
26047,0 days 00:57:51.109000,-1475.0,-2155.0,1864.0,305.09000192,1,0.0,False
26048,0 days 00:57:51.249000,-1469.0,-2036.0,1865.0,306.49000192,1,0.0,False
26049,0 days 00:57:51.300000,-1466.7307044235545,-1992.5589190884682,1865.291089364869,307.0,1,0.0,False
26050,0 days 00:57:51.460000,-1459.416989451849,-1855.907431378546,1865.9077626862802,310.0,1,0.0,False
26051,0 days 00:57:51.489000,-1458.0,-1831.0,1866.0,310.14500096,1,0.0,False
26052,0 days 00:57:51.660000,-1448.993384069889,-1683.3823058096702,1866.5026086584382,311.0,1,0.0,False
26053,0 days 00:57:51.749000,-1444.0,-1608.0,1867.0,312.33500288,1,0.0,False
26054,0 days 00:57:51.860000,-1437.5652712526369,-1516.6231806482494,1868.0150302376157,314.0,1,0.0,False
26055,0 days 00:57:51.969000,-1431.0,-1425.0,1869.0,314.3027783111111,1,0.0,False
26056,0 days 00:57:52.220000,-1413.7736303893482,-1180.4585332230608,1869.9654970967915,315.0,1,0.0,False
26057,0 days 00:57:52.229000,-1413.0,-1170.0,1870.0,315.090454161864,1,0.0,False
26058,0 days 00:57:52.419000,-1394.6029175540482,-930.2226034088999,1870.882379609076,317.0,1,0.0,False
26059,0 days 00:57:52.449000,-1392.0,-897.0,1871.0,317.25000106666664,1,0.0,False
26060,0 days 00:57:52.659000,-1378.7903355524763,-732.3307843071648,1871.4591806736125,319.0,1,0.0,False
26061,0 days 00:57:52.870000,-1367.0,-595.0,1872.0,320.58250048,1,0.0,False
26062,0 days 00:57:53.049000,-1353.0,-435.0,1873.0,321.92500096,1,0.0,False
26063,0 days 00:57:53.059000,-1352.2076263705376,-425.90542548631277,1873.0566286808537,322.0,1,0.0,False
26064,0 days 00:57:53.289000,-1334.0,-221.0,1874.0,323.4375008,1,0.0,False
26065,0 days 00:57:53.369000,-1327.0,-149.0,1874.0,323.9375008,1,0.0,False
26066,0 days 00:57:53.379000,-1326.1087941484604,-139.69973305410724,1874.0104921531524,324.0,1,0.0,False
26067,0 days 00:57:53.619000,-1303.9011098898304,108.00683825217797,1875.3387322235512,326.0,1,0.0,False
26068,0 days 00:57:53.709000,-1295.0,211.0,1876.0,326.45000064,1,0.0,False
26069,0 days 00:57:53.819000,-1283.625703226514,343.5142630732976,1876.7738383705955,327.0,1,0.0,False
26070,0 days 00:57:54.029000,-1264.0,574.0,1878.0,328.7427401142546,1,0.0,False
26071,0 days 00:57:54.060000,-1261.9338485512687,598.4141535587352,1878.1287807419135,329.0,1,0.0,False
26072,0 days 00:57:54.389000,-1247.0,775.0,1879.0,329.7477277090909,1,0.0,False
26073,0 days 00:57:54.500000,-1238.7965254739174,869.3109757773639,1879.4055911813384,330.0,1,0.0,False
26074,0 days 00:57:54.629000,-1228.0,994.0,1880.0,330.64500096,1,0.0,False
26075,0 days 00:57:54.700000,-1222.4066029486603,1059.7929088561843,1880.3828862125088,331.0,1,0.0,False
26076,0 days 00:57:54.809000,-1214.0,1159.0,1881.0,331.6055566222222,1,-0.019203394202318678,False
26077,0 days 00:57:55.009000,-1198.0,1344.0,1882.0,332.71666773333334,1,-0.016444429602503113,False
26078,0 days 00:57:55.060000,-1193.9722280142767,1390.9913864669954,1882.2146589384843,333.0,1,-0.015436866717463799,False
26079,0 days 00:57:55.249000,-1179.0,1565.0,1883.0,333.0,1,-0.013605786889307466,False
26080,0 days 00:57:55.300000,-1174.7385322499592,1612.6227228426042,1883.2809372509362,333.0,1,-0.01267890005210398,False
26081,0 days 00:57:55.429000,-1164.0,1731.0,1884.0,333.64500096,1,-0.010635289315113315,False
26082,0 days 00:57:55.700000,-1143.1138520808688,1972.51194101327,1884.8065868615918,335.0,1,-0.008704302760640607,False
26083,0 days 00:57:55.729000,-1140.0,2009.0,1885.0,335.07250048,1,-0.008138342481689364,False
26084,0 days 00:57:55.949000,-1113.0,2325.0,1887.0,335.62250048,1,-0.00600049765752558,False
26085,0 days 00:57:56.100000,-1106.0370439922988,2404.8429503330203,1887.0690156515197,336.0,1,-0.005577501226312706,False
26086,0 days 00:57:56.209000,-1102.0,2451.0,1887.0,337.3625024,1,-0.004300153184842277,False
26087,0 days 00:57:56.260000,-1098.923793292643,2486.762067373747,1887.1018550552628,338.0,1,-0.004380258547886914,False
26088,0 days 00:57:56.460000,-1080.6294251404893,2701.153921092497,1888.2413377127464,338.0,1,-0.0034993045727691437,False
26089,0 days 00:57:56.569000,-1071.0,2813.0,1889.0,338.0,1,-0.003308995539443819,False
26090,0 days 00:57:56.660000,-1064.1888287370318,2891.0371798444517,1889.6249061488202,338.0,1,-0.0029981201919345186,False
26091,0 days 00:57:56.889000,-1048.0,3076.0,1891.0,338.81785782857145,1,-0.0029638391266919805,False
26092,0 days 00:57:56.940000,-1043.29615278673,3131.153695810947,1891.215231848646,339.0,1,-0.004306404775831399,False
26093,0 days 00:57:57.149000,-1021.0,3395.0,1892.0,339.5805560888889,1,-0.005089941649988717,False
26094,0 days 00:57:57.300000,-1005.360086560147,3578.161363732652,1893.0053951475697,340.0,1,-0.007425108673605416,False
26095,0 days 00:57:57.569000,-982.0,3847.0,1895.0,340.7472227555556,1,-0.007599854314953196,False
26096,0 days 00:57:57.660000,-976.4832716552821,3908.901342637679,1895.3672298001707,341.0,1,-0.01078201022427216,False
26097,0 days 00:57:57.820000,-969.2564227389238,3988.2413835529715,1895.6669735554212,342.0,1,-0.01810540296904473,False
26098,0 days 00:57:57.949000,-962.0,4074.0,1896.0,342.35833386666667,1,-0.022367613341395844,False
26099,0 days 00:57:58.169000,-945.0,4282.0,1897.0,342.96944497777775,1,-0.026718289724666618,False
26100,0 days 00:57:58.180000,-944.0805308444649,4292.6663989959125,1897.0623878234658,343.0,1,-0.03590046018185315,False
26101,0 days 00:57:58.369000,-928.0,4472.0,1898.0,343.0,1,-0.037673193386779845,False
26102,0 days 00:57:58.420000,-923.7491872912808,4520.83960546993,1897.9984556125899,343.0,1,-0.04703535756521313,False
26103,0 days 00:57:58.529000,-915.0,4624.0,1898.0,343.0,1,-0.05116216100395249,False
26104,0 days 00:57:58.729000,-899.0,4814.0,1900.0,343.0,1,-0.06272271126797546,False
26105,0 days 00:57:58.780000,-893.3818374551703,4879.208742100332,1900.3513970232918,343.0,1,-0.06471493547487821,False
26106,0 days 00:57:58.980000,-867.0803544167261,5180.631285077641,1900.9597927914979,343.0,1,-0.07908950733750253,False
26107,0 days 00:57:58.989000,-866.0,5193.0,1901.0,342.9623423029711,1,-0.08404791070388792,False
26108,0 days 00:57:59.219000,-843.4602771272964,5451.480248468864,1902.7248233859086,342.0,1,-0.10466546992776288,False
26109,0 days 00:57:59.430000,-830.0,5609.0,1904.0,341.4138887111111,1,-0.11407347075722639,False
26110,0 days 00:57:59.579000,-823.9299708940572,5683.873007263057,1903.931421422222,341.0,1,-0.1321673244871164,False
26111,0 days 00:57:59.749000,-816.0,5779.0,1904.0,341.0,1,-0.13773099416750037,False
26112,0 days 00:57:59.779000,-813.9323087967138,5802.64225098694,1904.1685349357049,341.0,1,-0.1482766705643927,False
26113,0 days 00:57:59.989000,-796.0,6005.0,1906.0,340.5624997333333,1,-0.16214362484453046,False
26114,0 days 00:58:00.259000,-774.8725034102468,6258.254616407278,1906.933481679155,340.0,1,-0.187257527353775,False
26115,0 days 00:58:00.269000,-774.0,6269.0,1907.0,340.0,1,-0.1883396426641488,False
26116,0 days 00:58:00.389000,-763.0,6404.0,1908.0,340.0,1,-0.20147343578827318,False
26117,0 days 00:58:00.499000,-753.6808300200042,6511.18920771091,1908.577035972809,340.0,1,-0.21125080442050106,False
26118,0 days 00:58:00.589000,-746.0,6599.0,1909.0,337.5069212200636,1,-0.2192671275978511,False
26119,0 days 00:58:00.860000,-720.7297816694575,6906.166332664042,1910.9493793242839,330.0,1,-0.2576320634354044,False
26120,0 days 00:58:00.869000,-720.0,6915.0,1911.0,328.96497792,1,-0.2578827073703292,False
26121,0 days 00:58:01.060000,-707.3105379049942,7064.6635558577345,1911.6422377924457,307.0,1,-0.2702942824939361,False
26122,0 days 00:58:01.249000,-697.0,7184.0,1912.0,282.9454301090909,1,-0.2908938399154301,False
26123,0 days 00:58:01.500000,-681.9366400410682,7365.934927253298,1912.8681111857436,251.0,1,-0.3161912308892631,False
26124,0 days 00:58:01.529000,-680.0,7390.0,1913.0,246.6499712,1,-0.3094542178101079,False
26125,0 days 00:58:01.729000,-666.0,7565.0,1914.0,216.6499712,1,-0.34356047232646875,False
26126,0 days 00:58:01.740000,-665.2870480779778,7573.623237958507,1914.047610257905,215.0,1,-0.31655672466589097,False
26127,0 days 00:58:02.069000,-648.0,7765.0,1915.0,180.45497984,1,-0.3653040087506048,False
26128,0 days 00:58:02.140000,-644.9747335595982,7796.065824064506,1915.1589656169494,173.0,1,-0.34362078858313566,False
26129,0 days 00:58:02.300000,-638.9297755398749,7855.784437248349,1915.4898887049062,164.0,1,-0.3600211898842578,False
26130,0 days 00:58:02.549000,-629.0,7935.0,1916.0,144.54686,1,-0.3523256442937318,False
26131,0 days 00:58:02.620000,-625.5989077707114,7957.027205365556,1916.1563911146493,139.0,1,-0.34451802041885393,False
26132,0 days 00:58:02.909000,-608.0,8044.0,1917.0,120.53609884444445,1,-0.3373124295685246,False
