,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,4429.016608958104,7951.525830146656,1886.439828899052,315.0,1,0.0,False
26037,0 days 00:57:50.109000,4317.0,7854.0,1889.0,315.0,1,0.0,False
26038,0 days 00:57:50.180000,4269.224174716752,7812.514198025941,1890.3005899415161,315.0,1,0.0,False
26039,0 days 00:57:50.269000,4210.0,7761.0,1892.0,315.0,1,0.0,False
26040,0 days 00:57:50.340000,4164.516242355977,7721.189182608556,1893.2930195877127,315.0,1,0.0,False
26041,0 days 00:57:50.509000,4057.0,7627.0,1896.0,313.9437488,1,0.0,False
26042,0 days 00:57:50.660000,3951.927827211607,7536.409472861676,1897.6673009428432,313.0,1,0.0,False
26043,0 days 00:57:50.709000,3919.0,7508.0,1898.0,312.8249993142857,1,0.0,False
26044,0 days 00:57:50.929000,3781.0,7388.0,1899.0,312.03928502857144,1,0.0,False
26045,0 days 00:57:50.940000,3773.6438719949483,7381.591302228922,1899.1379415716656,312.0,1,0.0,False
26046,0 days 00:57:51.100000,3662.81753158374,7285.065387967779,1901.890044743596,312.0,1,0.0,False
26047,0 days 00:57:51.109000,3657.0,7280.0,1902.0,312.0,1,0.0,False
26048,0 days 00:57:51.249000,3572.0,7206.0,1903.0,312.0,1,0.0,False
26049,0 days 00:57:51.300000,3538.9938958241446,7177.255286877672,1903.5193134016424,312.0,1,0.0,False
26050,0 days 00:57:51.460000,3428.2783967331425,7080.797614006261,1905.7112976345456,311.0,1,0.0,False
26051,0 days 00:57:51.489000,3409.0,7064.0,1906.0,310.56499712,1,0.0,False
26052,0 days 00:57:51.660000,3302.858857881876,6971.540385518625,1906.7577956890668,308.0,1,0.0,False
26053,0 days 00:57:51.749000,3248.0,6924.0,1907.0,301.3249856,1,0.0,False
26054,0 days 00:57:51.860000,3176.938455405217,6862.790924835843,1907.4671398919902,293.0,1,0.0,False
26055,0 days 00:57:51.969000,3110.0,6805.0,1908.0,277.25552782222223,1,0.0,False
26056,0 days 00:57:52.220000,2976.313584547728,6686.787982931327,1908.9837188565502,241.0,1,0.0,False
26057,0 days 00:57:52.229000,2971.0,6682.0,1909.0,240.1859125432241,1,0.0,False
26058,0 days 00:57:52.419000,2850.3435823078853,6572.097759193579,1909.015530080286,223.0,1,0.0,False
26059,0 days 00:57:52.449000,2834.0,6557.0,1909.0,221.37499306666666,1,0.0,False
26060,0 days 00:57:52.659000,2757.376259237727,6484.040419757701,1908.9144875091345,210.0,1,0.0,False
26061,0 days 00:57:52.870000,2702.0,6422.0,1909.0,201.03249728,1,0.0,False
26062,0 days 00:57:53.049000,2642.0,6346.0,1909.0,193.42499456,1,0.0,False
26063,0 days 00:57:53.059000,2639.1382012175236,6341.79836422989,1908.950550990839,193.0,1,0.0,False
26064,0 days 00:57:53.289000,2591.0,6248.0,1907.0,185.0937456,1,0.0,False
26065,0 days 00:57:53.369000,2577.0,6211.0,1907.0,182.3437456,1,0.0,False
26066,0 days 00:57:53.379000,2575.413097615829,6206.118096811326,1907.007948775778,182.0,1,0.0,False
26067,0 days 00:57:53.619000,2550.277881929748,6071.582209997707,1907.099649528209,175.0,1,0.0,False
26068,0 days 00:57:53.709000,2546.0,6014.0,1907.0,175.90000128,1,0.0,False
26069,0 days 00:57:53.819000,2544.0543063505247,5938.95542175404,1906.7432230747906,177.0,1,0.0,False
26070,0 days 00:57:54.029000,2546.0,5807.0,1906.0,177.8713700571273,1,0.0,False
26071,0 days 00:57:54.060000,2546.1904540107344,5793.02872954878,1905.8886412100242,178.0,1,0.0,False
26072,0 days 00:57:54.389000,2545.0,5691.0,1905.0,190.71137105454545,1,0.0,False
26073,0 days 00:57:54.500000,2542.6869184321586,5635.123043595294,1905.0654695774278,195.0,1,0.0,False
26074,0 days 00:57:54.629000,2538.0,5561.0,1905.0,198.2250048,1,0.0,False
26075,0 days 00:57:54.700000,2534.143182288598,5521.911072365491,1904.6816582208912,200.0,1,0.0,False
26076,0 days 00:57:54.809000,2526.0,5463.0,1904.0,202.11944817777777,1,0.3976601631462582,False
26077,0 days 00:57:55.009000,2502.0,5353.0,1903.0,206.00833706666666,1,0.37515470607192264,False
26078,0 days 00:57:55.060000,2493.946713723984,5324.848769931645,1902.786954957579,207.0,1,0.37059476021356663,False
26079,0 days 00:57:55.249000,2457.0,5220.0,1902.0,210.937504,1,0.36766821561629737,False
26080,0 days 00:57:55.300000,2445.0172131709637,5191.314687021527,1901.7238594248647,212.0,1,0.36221629723089066,False
26081,0 days 00:57:55.429000,2413.0,5121.0,1901.0,214.90250432,1,0.3543583717349833,False
26082,0 days 00:57:55.700000,2337.8269993496583,4989.569331336667,1900.117660129975,221.0,1,0.3532963346678962,False
26083,0 days 00:57:55.729000,2323.0,4970.0,1900.0,221.87000576,1,0.35789631975619973,False
