,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,-1482.0000206081734,-3751.088918965521,1854.9816790500945,281.0,1,0.0,False
26037,0 days 00:57:50.109000,-1490.0,-3619.0,1855.0,283.1125024,1,0.0,False
26038,0 days 00:57:50.180000,-1492.5397022508655,-3563.206083613951,1855.393594344273,284.0,1,0.0,False
26039,0 days 00:57:50.269000,-1495.0,-3493.0,1856.0,285.1125024,1,0.0,False
26040,0 days 00:57:50.340000,-1496.3458801228605,-3436.760724162826,1856.3603900847615,286.0,1,0.0,False
26041,0 days 00:57:50.509000,-1498.0,-3302.0,1857.0,287.5843768,1,0.0,False
26042,0 days 00:57:50.660000,-1498.9059384830318,-3180.4773250191115,1857.7558419367197,289.0,1,0.0,False
26043,0 days 00:57:50.709000,-1499.0,-3141.0,1858.0,289.52500205714284,1,0.0,False
26044,0 days 00:57:50.929000,-1498.0,-2964.0,1859.0,291.88214491428573,1,0.0,False
26045,0 days 00:57:50.940000,-1497.9032174138115,-2955.1487637175087,1859.0526964598635,292.0,1,0.0,False
26046,0 days 00:57:51.100000,-1496.1147329309274,-2825.4555042305255,1859.9367326319646,293.0,1,0.0,False
26047,0 days 00:57:51.109000,-1496.0,-2818.0,1860.0,293.09000192,1,0.0,False
26048,0 days 00:57:51.249000,-1494.0,-2703.0,1861.0,294.49000192,1,0.0,False
26049,0 days 00:57:51.300000,-1493.0973104007758,-2665.9689783588965,1861.126810142686,295.0,1,0.0,False
26050,0 days 00:57:51.460000,-1489.677414892489,-2561.76982058347,1860.933602764094,298.0,1,0.0,False
26051,0 days 00:57:51.489000,-1489.0,-2541.0,1861.0,298.29000192,1,0.0,False
26052,0 days 00:57:51.660000,-1484.6815136937103,-2401.462587303129,1862.2794427841568,300.0,1,0.0,False
26053,0 days 00:57:51.749000,-1482.0,-2325.0,1863.0,300.89000192,1,0.0,False
26054,0 days 00:57:51.860000,-1478.1023254588008,-2230.882196217524,1863.6021463212087,302.0,1,0.0,False
26055,0 days 00:57:51.969000,-1474.0,-2141.0,1864.0,302.9083349333333,1,0.0,False
26056,0 days 00:57:52.220000,-1463.5138517276034,-1930.2924499877815,1864.939534664409,305.0,1,0.0,False
26057,0 days 00:57:52.229000,-1463.0,-1921.0,1865.0,305.04522708093197,1,0.0,False
26058,0 days 00:57:52.419000,-1449.9677422402608,-1698.3105893859097,1866.7361220316607,306.0,1,0.0,False
26059,0 days 00:57:52.449000,-1448.0,-1666.0,1867.0,306.50000213333334,1,0.0,False
26060,0 days 00:57:52.659000,-1436.837952652383,-1492.1483672890859,1868.3993377050963,310.0,1,0.0,False
26061,0 days 00:57:52.870000,-1426.0,-1343.0,1869.0,311.58250048,1,0.0,False
26062,0 days 00:57:53.049000,-1414.0,-1187.0,1869.0,312.92500096,1,0.0,False
26063,0 days 00:57:53.059000,-1413.2896365092986,-1177.9645507012226,1869.0070179106258,313.0,1,0.0,False
26064,0 days 00:57:53.289000,-1397.0,-969.0,1870.0,315.1562512,1,0.0,False
26065,0 days 00:57:53.369000,-1392.0,-898.0,1871.0,315.9062512,1,0.0,False
26066,0 days 00:57:53.379000,-1391.3386317584766,-888.8726626837541,1871.1065808575847,316.0,1,0.0,False
26067,0 days 00:57:53.619000,-1371.758102387014,-646.5074287282916,1871.7986808311384,317.0,1,0.0,False
26068,0 days 00:57:53.709000,-1363.0,-546.0,1872.0,317.45000064,1,0.0,False
26069,0 days 00:57:53.819000,-1351.4235584766911,-416.8365673149854,1872.5663773422064,318.0,1,0.0,False
26070,0 days 00:57:54.029000,-1331.0,-193.0,1874.0,320.614110171382,1,0.0,False
26071,0 days 00:57:54.060000,-1328.8931957862155,-169.4785271988186,1874.146719504641,321.0,1,0.0,False
26072,0 days 00:57:54.389000,-1314.0,3.0,1875.0,323.24318312727274,1,0.0,False
26073,0 days 00:57:54.500000,-1305.2105231120597,101.41858463900792,1875.402162206524,324.0,1,0.0,False
26074,0 days 00:57:54.629000,-1294.0,228.0,1876.0,325.29000192,1,0.0,False
26075,0 days 00:57:54.700000,-1288.711250378544,289.88430302392027,1876.3833147434216,326.0,1,0.0,False
26076,0 days 00:57:54.809000,-1281.0,381.0,1877.0,327.21111324444445,1,-0.03732625600884855,False
26077,0 days 00:57:55.009000,-1265.0,563.0,1878.0,329.4333354666667,1,-0.03211209282665053,False
26078,0 days 00:57:55.060000,-1260.9090507635615,609.6482997829845,1878.2147955154921,330.0,1,-0.030432378574441074,False
26079,0 days 00:57:55.249000,-1246.0,782.0,1879.0,330.7875008,1,-0.02776105632482391,False
26080,0 days 00:57:55.300000,-1241.9779080717121,829.2942709502403,1879.2801969930197,331.0,1,-0.026393706064508703,False
26081,0 days 00:57:55.429000,-1232.0,947.0,1880.0,331.64500096,1,-0.02334654785690066,False
26082,0 days 00:57:55.700000,-1211.13472345488,1186.7181755565298,1880.8175250264642,333.0,1,-0.01991345335267834,False
26083,0 days 00:57:55.729000,-1208.0,1223.0,1881.0,333.21750144,1,-0.019153081024465498,False
26084,0 days 00:57:55.949000,-1181.0,1538.0,1883.0,334.86750144,1,-0.015448055830728225,False
26085,0 days 00:57:56.100000,-1174.1009247748875,1619.459646701991,1883.7171588794506,336.0,1,-0.014991321213813583,False
26086,0 days 00:57:56.209000,-1170.0,1668.0,1884.0,336.6812512,1,-0.013214864329373601,False
26087,0 days 00:57:56.260000,-1166.8333064189587,1705.193304165875,1884.119976697822,337.0,1,-0.01293146191825305,False
26088,0 days 00:57:56.460000,-1147.8836102299902,1926.6117182478329,1884.564468700626,338.0,1,-0.010940147747111552,False
26089,0 days 00:57:56.569000,-1138.0,2041.0,1885.0,338.0,1,-0.010189095668026714,False
26090,0 days 00:57:56.660000,-1131.10256951518,2119.947820161107,1885.5166964058644,338.0,1,-0.008906777669975005,False
26091,0 days 00:57:56.889000,-1115.0,2303.0,1887.0,338.0,1,-0.008172129666798079,False
26092,0 days 00:57:56.940000,-1110.3089487008147,2357.1268660163805,1887.2266765297027,338.0,1,-0.006634835058709663,False
26093,0 days 00:57:57.149000,-1088.0,2616.0,1888.0,338.0,1,-0.005569804949957873,False
26094,0 days 00:57:57.300000,-1072.2686143059886,2797.5639936146235,1889.0018421964642,338.0,1,-0.004702355683716818,False
26095,0 days 00:57:57.569000,-1049.0,3066.0,1891.0,338.7472227555556,1,-0.0037319494992746707,False
26096,0 days 00:57:57.660000,-1043.7713170873071,3127.412232780854,1891.3636841501389,339.0,1,-0.0025728142811242884,False
26097,0 days 00:57:57.820000,-1037.2664690241331,3205.4243786700977,1891.6541204177518,338.0,1,-0.0032394781253876955,False
26098,0 days 00:57:57.949000,-1030.0,3290.0,1892.0,338.0,1,-0.002579993236730345,False
26099,0 days 00:57:58.169000,-1012.0,3496.0,1893.0,338.0,1,-0.002633041552896218,False
26100,0 days 00:57:58.180000,-1011.0911543591853,3506.5729209995407,1893.0517111739598,338.0,1,-0.004249259164290162,False
26101,0 days 00:57:58.369000,-996.0,3684.0,1894.0,338.7875008,1,-0.004176338024858801,False
26102,0 days 00:57:58.420000,-991.8374338737195,3731.931213320865,1894.3465168081239,339.0,1,-0.006777450452429261,False
26103,0 days 00:57:58.529000,-983.0,3833.0,1895.0,339.0,1,-0.007760471268802308,False
26104,0 days 00:57:58.729000,-967.0,4021.0,1895.0,339.0,1,-0.010737966846332384,False
26105,0 days 00:57:58.780000,-961.5280064841648,4085.4380806372824,1895.201438130899,339.0,1,-0.010945575142594118,False
26106,0 days 00:57:58.980000,-936.0640748452247,4383.662339372987,1896.9186942198742,338.0,1,-0.014923583821143166,False
26107,0 days 00:57:58.989000,-935.0,4396.0,1897.0,338.0376576970289,1,-0.01662449132924439,False
26108,0 days 00:57:59.219000,-912.0086814915132,4657.901306817055,1898.9547023395455,339.0,1,-0.02477880265265327,False
26109,0 days 00:57:59.430000,-898.0,4817.0,1900.0,338.4138887111111,1,-0.02808255874835805,False
26110,0 days 00:57:59.579000,-892.1759246076703,4887.460319703621,1900.0197069682993,338.0,1,-0.04040416994880762,False
26111,0 days 00:57:59.749000,-885.0,4976.0,1900.0,337.14999936,1,-0.04230551451637489,False
26112,0 days 00:57:59.779000,-883.0970037568195,4998.810220164681,1900.076991351139,337.0,1,-0.05285695897369231,False
26113,0 days 00:57:59.989000,-866.0,5199.0,1901.0,336.1249994666667,1,-0.059246084488025874,False
26114,0 days 00:58:00.259000,-843.7709394176285,5449.744125604532,1901.9305423091398,335.0,1,-0.08023777578513074,False
26115,0 days 00:58:00.269000,-843.0,5459.0,1902.0,334.9583328,1,-0.08145991365220252,False
26116,0 days 00:58:00.389000,-834.0,5570.0,1903.0,334.4583328,1,-0.10132637846726225,False
26117,0 days 00:58:00.499000,-825.6216205471084,5667.664210424508,1903.5820394001983,334.0,1,-0.1165755740695747,False
26118,0 days 00:58:00.589000,-818.0,5754.0,1904.0,333.50138424401274,1,-0.12749289152865265,False
26119,0 days 00:58:00.860000,-790.7937385074782,6065.687038407664,1905.9371256951,332.0,1,-0.1488546658923542,False
26120,0 days 00:58:00.869000,-790.0,6075.0,1906.0,331.95499904,1,-0.15175527342450976,False
26121,0 days 00:58:01.060000,-776.337349867108,6240.503981746399,1907.1812171223987,331.0,1,-0.1803138387404329,False
26122,0 days 00:58:01.249000,-765.0,6379.0,1908.0,330.5704541090909,1,-0.19311743274864196,False
26123,0 days 00:58:01.500000,-746.6879541734146,6590.392088988133,1908.793611151916,330.0,1,-0.22023216768054182,False
26124,0 days 00:58:01.529000,-744.0,6622.0,1909.0,328.79165866666665,1,-0.22445473223443066,False
26125,0 days 00:58:01.729000,-723.0,6873.0,1911.0,320.45832533333333,1,-0.2571108803240631,False
26126,0 days 00:58:01.740000,-721.9255190269251,6885.844250993533,1911.085868659836,320.0,1,-0.2542961157832354,False
26127,0 days 00:58:02.069000,-697.0,7182.0,1912.0,280.51997696,1,-0.3054538127256813,False
26128,0 days 00:58:02.140000,-692.9269036275523,7230.857940012846,1912.1161115670493,272.0,1,-0.306164125939196,False
26129,0 days 00:58:02.300000,-685.2087826345817,7324.686369362744,1912.4262862206367,259.0,1,-0.32684847452417176,False
26130,0 days 00:58:02.549000,-675.0,7451.0,1913.0,230.2093528,1,-0.34832623802381224,False
26131,0 days 00:58:02.620000,-672.1112938764131,7486.917531850124,1913.176595696974,222.0,1,-0.35262901361063453,False
26132,0 days 00:58:02.909000,-660.0,7633.0,1914.0,190.69164586666668,1,-0.38479317422561027,False
26133,0 days 00:58:02.980000,-656.7336350360474,7668.9920128525355,1914.2484172510337,183.0,1,-0.3933548310303622,False
26134,0 days 00:58:03.140000,-649.3788374842441,7746.977890056769,1914.949799030227,166.0,1,-0.40441755841037247,False
26135,0 days 00:58:03.149000,-649.0,7751.0,1915.0,165.29686,1,-0.39571905951927694,False
26136,0 days 00:58:03.309000,-642.0,7822.0,1916.0,152.79686,1,-0.40441166347069213,False
26137,0 days 00:58:03.460000,-630.5824659260412,7917.346010590701,1916.684564741963,141.0,1,-0.43174656337039696,False
26138,0 days 00:58:03.549000,-624.0,7968.0,1917.0,136.5499904,1,-0.41421877451069966,False
26139,0 days 00:58:03.620000,-619.8275130819177,7997.737345860368,1917.2307462621338,133.0,1,-0.411763517276863,False
26140,0 days 00:58:03.980000,-603.691498039538,8060.926201316649,1917.9945216604576,112.0,1,-0.34612134852092286,False
26141,0 days 00:58:03.989000,-603.0,8063.0,1918.0,111.6624928,1,-0.34372993031108007,False
26142,0 days 00:58:04.169000,-586.0,8112.0,1918.0,104.9124928,1,-0.2967250314998401,False
26143,0 days 00:58:04.220000,-580.9277296042761,8124.394379355898,1917.9994659077759,103.0,1,-0.27619920302117246,False
26144,0 days 00:58:04.369000,-566.0,8155.0,1918.0,96.4812416,1,-0.23445873833883044,False
26145,0 days 00:58:04.380000,-564.8723168847727,8157.098876563427,1917.9972801591546,96.0,1,-0.23121593814105912,False
26146,0 days 00:58:04.509000,-551.0,8181.0,1918.0,93.41999616,1,-0.18460122572552604,False
26147,0 days 00:58:04.580000,-542.2555381293035,8194.663326182,1918.146094766914,92.0,1,-0.17063784633542048,False
26148,0 days 00:58:04.780000,-512.5804701264967,8234.192056372636,1918.9131946911052,88.0,1,-0.10278498961475387,False
26149,0 days 00:58:04.829000,-504.0,8243.0,1919.0,87.12499657142857,1,-0.06982450137541643,False
26150,0 days 00:58:05.049000,-461.0,8276.0,1919.0,83.19642514285714,1,-0.002612667063666949,False
26151,0 days 00:58:05.060000,-458.9035309506476,8277.263913798135,1919.0217321910172,83.0,1,0.03460810239609626,False
26152,0 days 00:58:05.260000,-422.4524758356215,8293.904931372344,1919.8619848621022,80.0,1,0.08252412253343461,False
26153,0 days 00:58:05.309000,-413.0,8297.0,1920.0,79.29999725714286,1,0.10562677127172121,False
26154,0 days 00:58:05.529000,-364.0,8309.0,1920.0,76.15714011428571,1,0.17049925019283038,False
26155,0 days 00:58:05.540000,-361.0861078128233,8309.60891113607,1919.9960287250265,76.0,1,0.178733457488493,False
26156,0 days 00:58:05.700000,-313.1340286906465,8318.953463177975,1919.9979844831987,76.0,1,0.24616112967615436,False
26157,0 days 00:58:05.830000,-280.0,8326.0,1920.0,76.46595017268527,1,0.28442726413267194,False
26158,0 days 00:58:05.979000,-259.29341361860173,8332.538085478533,1919.93917993459,77.0,1,0.31020473386891123,False
26159,0 days 00:58:06.090000,-247.0,8339.0,1920.0,75.6124992,1,0.3376687912705451,False
26160,0 days 00:58:06.139000,-240.53310283771333,8342.852564484803,1920.0876945419097,75.0,1,0.3439483219200373,False
26161,0 days 00:58:06.449000,-193.0,8380.0,1921.0,72.0937488,1,0.3986951657998744,False
26162,0 days 00:58:06.459000,-191.71215687621375,8381.489525924344,1921.0126195275786,72.0,1,0.411699471440266,False
26163,0 days 00:58:06.669000,-170.0,8416.0,1921.0,70.09090792727272,1,0.4448765806279328,False
26164,0 days 00:58:06.829000,-159.0,8447.0,1921.0,68.63636247272727,1,0.4569772449114039,False
26165,0 days 00:58:06.899000,-154.48838696031663,8466.125437220464,1921.1950233533366,68.0,1,0.4850101859857624,False
26166,0 days 00:58:07.069000,-145.0,8517.0,1922.0,68.0,1,0.49040874774804033,False
26167,0 days 00:58:07.099000,-143.88178416828902,8523.673900428974,1922.1258872604185,68.0,1,0.5206532509946196,True
26168,0 days 00:58:07.449000,-141.0,8567.0,1923.0,73.81717767395948,1,0.5239051629904409,True
26169,0 days 00:58:07.460000,-141.03170130519817,8568.772919270017,1923.0067231309845,74.0,1,0.5384782104528657,True
26170,0 days 00:58:07.629000,-142.0,8602.0,1923.0,76.81666986666667,1,0.5578603861656949,True
26171,0 days 00:58:07.700000,-142.77309462660767,8617.582391853424,1923.006023251157,78.0,1,0.5547897112494641,True
26172,0 days 00:58:07.829000,-145.0,8647.0,1923.0,82.031256,1,0.5797956618647071,True
26173,0 days 00:58:07.860000,-145.758093406146,8654.095815505412,1922.9786530492736,83.0,1,0.5778230718583567,True
26174,0 days 00:58:07.989000,-150.0,8684.0,1923.0,86.87000576,1,0.5855141054759971,True
26175,0 days 00:58:08.060000,-153.26838239435708,8701.142784623278,1923.3496536306836,89.0,1,0.5660649059582967,True
26176,0 days 00:58:08.169000,-159.0,8728.0,1924.0,91.7250048,1,0.5694202567988754,True
26177,0 days 00:58:08.220000,-161.6270654536508,8740.50665221097,1924.1176636687264,93.0,1,0.5864807202693767,True
26178,0 days 00:58:08.409000,-173.0,8792.0,1924.0,100.875008,1,0.5620849677571693,True
26179,0 days 00:58:08.460000,-177.49879944945067,8809.99981454766,1924.0796290685255,103.0,1,0.5463361662086149,True
26180,0 days 00:58:08.729000,-206.0,8916.0,1925.0,115.48929462857143,1,0.47370849525910397,False
26181,0 days 00:58:08.740000,-206.90703194860998,8919.335224467417,1925.0151426386058,116.0,1,0.46648698633634256,False
26182,0 days 00:58:09.049000,-226.0,8990.0,1925.0,127.5875072,1,0.40337022370300635,False
26183,0 days 00:58:09.140000,-233.98086556722455,9019.914208202817,1925.3579331445212,131.0,1,0.3803052061786606,False
26184,0 days 00:58:09.289000,-249.0,9077.0,1926.0,140.312512,1,0.3171590370919081,False
26185,0 days 00:58:09.300000,-250.0780785879353,9081.176094675327,1926.0182221703762,141.0,1,0.2974666791818327,False
26186,0 days 00:58:09.469000,-267.0,9148.0,1926.0,150.29501056,1,0.24370311058642782,False
26187,0 days 00:58:09.500000,-270.60844990031126,9162.396234527143,1926.0370791529665,152.0,1,0.2159132206517165,False
26188,0 days 00:58:09.660000,-292.1075008056003,9248.60622480553,1926.5709344611591,162.0,1,0.1433355396733483,False
26189,0 days 00:58:09.769000,-306.0,9305.0,1927.0,166.54167466666667,1,0.08067752114736695,False
26190,0 days 00:58:09.900000,-319.8767902225669,9362.388717338126,1927.435007808655,172.0,1,0.011486692691999487,False
26191,0 days 00:58:10.189000,-346.0,9478.0,1928.0,184.8444529777778,1,-0.06010010766461564,False
26192,0 days 00:58:10.260000,-353.60976206164486,9513.81619424507,1928.0278518977063,188.0,1,-0.10622650690306569,False
26193,0 days 00:58:10.349000,-363.0,9560.0,1928.0,188.0,1,-0.14186295830617035,False
26194,0 days 00:58:10.420000,-369.4665901945613,9594.576669322749,1927.9283883852072,188.0,1,-0.2055416034679904,False
26195,0 days 00:58:10.489000,-376.0,9634.0,1928.0,191.69643885714285,1,-0.22637455898179415,False
26196,0 days 00:58:10.700000,-401.3020873182942,9814.053520521653,1929.7691357858748,203.0,1,-0.3180459331363755,False
26197,0 days 00:58:10.729000,-404.0,9835.0,1930.0,204.2687584,1,-0.3447014268557987,False
26198,0 days 00:58:10.860000,-411.74577493748524,9902.089122875477,1930.7158173761572,210.0,1,-0.3843987725913272,False
26199,0 days 00:58:11.089000,-416.0,9976.0,1931.0,217.36072045714286,1,-0.40887737116912753,False
26200,0 days 00:58:11.140000,-417.3928402455676,10001.243601189299,1930.9758908832164,219.0,1,-0.4347919445357868,False
26201,0 days 00:58:11.289000,-422.0,10098.0,1931.0,221.7937536,1,-0.4793514675327934,False
26202,0 days 00:58:11.300000,-422.3050738572446,10106.74372288229,1931.0337481163212,222.0,1,-0.5005828532460154,True
26203,0 days 00:58:11.460000,-425.866300786755,10246.121892487694,1931.9440014727545,228.0,1,-0.5472366762419373,True
26204,0 days 00:58:11.469000,-426.0,10253.0,1932.0,228.2250048,1,-0.5797318044724605,True
26205,0 days 00:58:11.649000,-427.0,10369.0,1933.0,232.7250048,1,-0.5975582797425428,True
26206,0 days 00:58:11.660000,-426.9564838990496,10376.934912126164,1933.047336872462,233.0,1,-0.6258420572132488,True
26207,0 days 00:58:11.980000,-421.5940976856489,10654.123510855028,1933.8994367326677,238.0,1,-0.6411901304418518,True
26208,0 days 00:58:12.009000,-421.0,10673.0,1934.0,239.16000768,1,-0.762766574528049,True
26209,0 days 00:58:12.180000,-417.5060328631428,10748.897221645331,1934.75823423525,246.0,1,-0.7921887196633276,True
26210,0 days 00:58:12.269000,-415.0,10789.0,1935.0,247.85417066666668,1,-0.8314072183486353,True
26211,0 days 00:58:12.420000,-408.9483095540085,10883.512723550059,1934.8986797192692,251.0,1,-0.8381610907459919,True
26212,0 days 00:58:12.550000,-402.0,10977.0,1935.0,253.8969382690695,1,-0.8586065941106082,True
26213,0 days 00:58:12.729000,-390.0,11105.0,1936.0,257.8857969228663,1,-0.8791448132561304,True
26214,0 days 00:58:12.779000,-386.23726312243855,11140.815438717853,1936.119987719705,259.0,1,-0.8817498489969032,True
26215,0 days 00:58:12.949000,-372.0,11263.0,1936.0,261.83333546666665,1,-0.9249408593572802,True
26216,0 days 00:58:13.019000,-365.3322819022423,11313.501604120915,1935.9739884037124,263.0,1,-0.9310258478321218,True
26217,0 days 00:58:13.189000,-347.0,11437.0,1936.0,267.2500032,1,-0.9828647571792357,True
26218,0 days 00:58:13.259000,-338.48426346781997,11488.46704286266,1936.0046864809412,269.0,1,-0.9838667935780646,True
26219,0 days 00:58:13.449000,-312.0,11629.0,1936.0,271.85000192,1,-1.010415494085487,True
26220,0 days 00:58:13.459000,-310.4363784253863,11636.360051183885,1935.999945333206,272.0,1,-1.0093735103067651,True
26221,0 days 00:58:13.529000,-299.0,11688.0,1936.0,273.1666688,1,-1.0387536085855533,True
26222,0 days 00:58:13.699000,-266.34792138536227,11820.547723624033,1935.999324326024,276.0,1,-1.0431901951234739,True
26223,0 days 00:58:13.709000,-264.0,11829.0,1936.0,276.1492556893152,1,-1.052395199382763,True
26224,0 days 00:58:13.900000,-207.9760112281428,12007.58289260816,1936.0357987632606,279.0,1,-1.061719558922562,True
