,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,965.9082541968565,-4440.6239525625115,1848.5163761357692,316.0,1,0.0,False
26037,0 days 00:57:50.109000,946.0,-4599.0,1848.0,301.91665066666667,1,0.0,False
26038,0 days 00:57:50.180000,937.2862843404783,-4659.0701186166325,1847.9992301601246,296.0,1,0.0,False
26039,0 days 00:57:50.269000,926.0,-4730.0,1848.0,288.2124832,1,0.0,False
26040,0 days 00:57:50.340000,916.6322042825957,-4784.280518378579,1847.824899709168,282.0,1,0.0,False
26041,0 days 00:57:50.509000,893.0,-4906.0,1847.0,261.9312272,1,0.0,False
26042,0 days 00:57:50.660000,870.100513010362,-5007.3493763677925,1846.2363095644018,244.0,1,0.0,False
26043,0 days 00:57:50.709000,862.0,-5039.0,1846.0,241.89999177142857,1,0.0,False
26044,0 days 00:57:50.929000,821.0,-5175.0,1845.0,232.47142034285713,1,0.0,False
26045,0 days 00:57:50.940000,818.7991680974534,-5181.605646671041,1844.9477783671107,232.0,1,0.0,False
26046,0 days 00:57:51.100000,785.0384830813044,-5275.006210553477,1844.0657722555231,221.0,1,0.0,False
26047,0 days 00:57:51.109000,783.0,-5280.0,1844.0,220.68499328,1,0.0,False
26048,0 days 00:57:51.249000,749.0,-5354.0,1843.0,215.78499328,1,0.0,False
26049,0 days 00:57:51.300000,735.398071591387,-5379.8761150414,1842.994240587761,214.0,1,0.0,False
26050,0 days 00:57:51.460000,688.285513272693,-5457.6195544645625,1843.9355931690793,210.0,1,0.0,False
26051,0 days 00:57:51.489000,679.0,-5471.0,1844.0,209.41999616,1,0.0,False
26052,0 days 00:57:51.660000,619.5066988022344,-5545.2456107533,1843.3682282235065,206.0,1,0.0,False
26053,0 days 00:57:51.749000,585.0,-5581.0,1843.0,204.21999616,1,0.0,False
26054,0 days 00:57:51.860000,538.3519789115688,-5622.987272012575,1842.9150590792058,202.0,1,0.0,False
26055,0 days 00:57:51.969000,491.0,-5660.0,1843.0,200.48610844444445,1,0.0,False
26056,0 days 00:57:52.220000,373.4862128200601,-5727.697349377225,1843.0009091127151,197.0,1,0.0,False
26057,0 days 00:57:52.229000,368.0,-5730.0,1843.0,196.909545838136,1,0.0,False
26058,0 days 00:57:52.419000,233.34253977790345,-5776.450756879356,1842.9968175100046,195.0,1,0.0,False
26059,0 days 00:57:52.449000,214.0,-5782.0,1843.0,195.3750016,1,0.0,False
26060,0 days 00:57:52.659000,114.52832676472363,-5801.461891488123,1843.0540535776934,198.0,1,0.0,False
26061,0 days 00:57:52.870000,27.0,-5801.0,1843.0,201.69250112,1,0.0,False
26062,0 days 00:57:53.049000,-74.0,-5795.0,1843.0,204.82500224,1,0.0,False
26063,0 days 00:57:53.059000,-79.80215761905151,-5794.352733516004,1843.041146131923,205.0,1,0.0,False
26064,0 days 00:57:53.289000,-211.0,-5770.0,1844.0,209.3125024,1,0.0,False
26065,0 days 00:57:53.369000,-256.0,-5758.0,1843.0,210.8125024,1,0.0,False
26066,0 days 00:57:53.379000,-262.0991145321556,-5756.142078013132,1842.9075666714346,211.0,1,0.0,False
26067,0 days 00:57:53.619000,-445.0440540071584,-5683.784416316376,1844.2936197462193,217.0,1,0.0,False
26068,0 days 00:57:53.709000,-517.0,-5646.0,1845.0,219.2500032,1,0.0,False
26069,0 days 00:57:53.819000,-601.234708394361,-5593.229705628924,1845.3306163355617,222.0,1,0.0,False
26070,0 days 00:57:54.029000,-734.0,-5494.0,1845.0,226.3568502856366,1,0.0,False
