,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,1704.9032241711757,3474.536451450021,1893.6450925171553,264.0,1,0.0,False
26037,0 days 00:57:50.109000,1692.0,3344.0,1893.0,268.9291722666667,1,0.0,False
26038,0 days 00:57:50.180000,1684.9613446474962,3273.753930568991,1892.5737209191752,271.0,1,0.0,False
26039,0 days 00:57:50.269000,1676.0,3184.0,1892.0,272.1125024,1,0.0,False
26040,0 days 00:57:50.340000,1669.9403163585177,3122.158441924158,1891.601809730169,273.0,1,0.0,False
26041,0 days 00:57:50.509000,1658.0,2996.0,1891.0,275.640628,1,0.0,False
26042,0 days 00:57:50.660000,1647.398565899899,2880.007809873865,1891.0530948958237,278.0,1,0.0,False
26043,0 days 00:57:50.709000,1644.0,2842.0,1891.0,278.8750034285714,1,0.0,False
26044,0 days 00:57:50.929000,1629.0,2671.0,1890.0,282.80357485714285,1,0.0,False
26045,0 days 00:57:50.940000,1628.2346287905943,2662.3775765055525,1889.9517211417756,283.0,1,0.0,False
26046,0 days 00:57:51.100000,1616.688007230042,2536.1226951877625,1889.0969755258175,285.0,1,0.0,False
26047,0 days 00:57:51.109000,1616.0,2529.0,1889.0,285.13500288,1,0.0,False
26048,0 days 00:57:51.249000,1605.0,2418.0,1887.0,287.23500288,1,0.0,False
26049,0 days 00:57:51.300000,1601.2270250261313,2377.3821720730525,1886.5285338098722,288.0,1,0.0,False
26050,0 days 00:57:51.460000,1590.1016200636636,2249.295538672018,1886.0735585313732,290.0,1,0.0,False
26051,0 days 00:57:51.489000,1588.0,2226.0,1886.0,290.29000192,1,0.0,False
26052,0 days 00:57:51.660000,1574.8196366646264,2088.1701266873715,1885.3735499554539,292.0,1,0.0,False
26053,0 days 00:57:51.749000,1568.0,2016.0,1885.0,293.33500288,1,0.0,False
26054,0 days 00:57:51.860000,1559.8998273228867,1925.4991643994138,1884.5414961414492,295.0,1,0.0,False
26055,0 days 00:57:51.969000,1552.0,1837.0,1884.0,296.21111324444445,1,0.0,False
26056,0 days 00:57:52.220000,1531.8432622189366,1623.2781176888375,1882.082388582197,299.0,1,0.0,False
26057,0 days 00:57:52.229000,1531.0,1614.0,1882.0,299.090454161864,1,0.0,False
26058,0 days 00:57:52.419000,1511.7410968512745,1395.7890708341877,1880.2110464540492,301.0,1,0.0,False
26059,0 days 00:57:52.449000,1509.0,1365.0,1880.0,301.25000106666664,1,0.0,False
26060,0 days 00:57:52.659000,1494.3649030446536,1208.366834432151,1879.3951788138265,303.0,1,0.0,False
26061,0 days 00:57:52.870000,1482.0,1079.0,1879.0,304.58250048,1,0.0,False
26062,0 days 00:57:53.049000,1469.0,935.0,1878.0,305.92500096,1,0.0,False
26063,0 days 00:57:53.059000,1468.2270380642312,926.5743596826399,1877.9589837365018,306.0,1,0.0,False
26064,0 days 00:57:53.289000,1450.0,730.0,1877.0,309.593752,1,0.0,False
26065,0 days 00:57:53.369000,1444.0,662.0,1876.0,310.843752,1,0.0,False
26066,0 days 00:57:53.379000,1443.2157390724701,653.1995957435536,1875.8923534489625,311.0,1,0.0,False
26067,0 days 00:57:53.619000,1421.2171752241736,415.96315264563447,1875.1843005571343,312.0,1,0.0,False
26068,0 days 00:57:53.709000,1412.0,317.0,1875.0,312.90000128,1,0.0,False
26069,0 days 00:57:53.819000,1400.2716356033175,189.8490557020258,1874.4791200094771,314.0,1,0.0,False
26070,0 days 00:57:54.029000,1380.0,-31.0,1873.0,314.8713700571273,1,0.0,False
26071,0 days 00:57:54.060000,1377.8304561820369,-54.38101867694885,1872.7973052393133,315.0,1,0.0,False
26072,0 days 00:57:54.389000,1362.0,-224.0,1871.0,317.99091083636364,1,0.0,False
26073,0 days 00:57:54.500000,1353.8737888974576,-315.34649556767334,1870.5483451695509,319.0,1,0.0,False
26074,0 days 00:57:54.629000,1343.0,-436.0,1870.0,319.64500096,1,0.0,False
26075,0 days 00:57:54.700000,1337.0472076429496,-499.3968785839551,1869.6229358017044,320.0,1,0.0,False
26076,0 days 00:57:54.809000,1328.0,-595.0,1869.0,320.6055566222222,1,-0.025948638458646353,False
26077,0 days 00:57:55.009000,1312.0,-773.0,1868.0,321.71666773333334,1,-0.031334349778303384,False
26078,0 days 00:57:55.060000,1308.1495962776062,-816.488361151014,1867.7886423891691,322.0,1,-0.03588190513802399,False
26079,0 days 00:57:55.249000,1294.0,-974.0,1867.0,322.7875008,1,-0.05529998616318124,False
26080,0 days 00:57:55.300000,1289.8168010294885,-1018.3768596888237,1866.7001363313025,323.0,1,-0.05646143555587436,False
26081,0 days 00:57:55.429000,1279.0,-1131.0,1866.0,323.96750144,1,-0.06922434037294865,False
26082,0 days 00:57:55.700000,1257.2386031436758,-1365.4593365840342,1866.1241540337057,326.0,1,-0.0849609352876994,False
26083,0 days 00:57:55.729000,1254.0,-1401.0,1866.0,326.14500096,1,-0.10659281394557228,False
26084,0 days 00:57:55.949000,1226.0,-1709.0,1864.0,327.24500096,1,-0.11805106784551424,False
26085,0 days 00:57:56.100000,1218.498381040093,-1788.6402545989142,1863.3365761775501,328.0,1,-0.14867031123756583,False
26086,0 days 00:57:56.209000,1214.0,-1836.0,1863.0,328.6812512,1,-0.15187452982411181,False
26087,0 days 00:57:56.260000,1210.6491394392374,-1872.258525652497,1862.7884144237726,329.0,1,-0.1947122172286348,False
26088,0 days 00:57:56.460000,1191.0311406136493,-2087.9405058589473,1861.6617685732485,328.0,1,-0.21404037050098237,False
26089,0 days 00:57:56.569000,1181.0,-2199.0,1861.0,328.0,1,-0.23813155918655812,False
26090,0 days 00:57:56.660000,1174.138167548447,-2275.3333442879,1860.4566789400099,328.0,1,-0.2713730637366513,False
26091,0 days 00:57:56.889000,1158.0,-2453.0,1859.0,328.0,1,-0.29410009978151663,False
26092,0 days 00:57:56.940000,1153.0308447342754,-2506.3308555589856,1858.6175527874896,328.0,1,-0.33990527733001574,False
26093,0 days 00:57:57.149000,1129.0,-2762.0,1857.0,327.4194439111111,1,-0.37686061891028466,False
26094,0 days 00:57:57.300000,1112.5462466088863,-2938.2650872615236,1856.1523992899731,327.0,1,-0.4278514773862088,False
26095,0 days 00:57:57.569000,1089.0,-3195.0,1855.0,326.2527772444444,1,-0.4666653598563269,False
