,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,3702.507857585471,7320.033920942388,1901.0568974756004,312.0,1,0.0,False
26037,0 days 00:57:50.109000,3592.0,7224.0,1903.0,312.0,1,0.0,False
26038,0 days 00:57:50.180000,3545.3851136828903,7183.616737962529,1903.4914854893948,312.0,1,0.0,False
26039,0 days 00:57:50.269000,3487.0,7133.0,1904.0,311.4437488,1,0.0,False
26040,0 days 00:57:50.340000,3440.6645429504842,7092.658887880924,1904.4915567028606,311.0,1,0.0,False
26041,0 days 00:57:50.509000,3331.0,6997.0,1906.0,307.8312464,1,0.0,False
26042,0 days 00:57:50.660000,3233.6380768457175,6912.638775987316,1907.6772221560336,305.0,1,0.0,False
26043,0 days 00:57:50.709000,3203.0,6886.0,1908.0,298.34997394285716,1,0.0,False
26044,0 days 00:57:50.929000,3073.0,6772.0,1908.0,268.4928310857143,1,0.0,False
26045,0 days 00:57:50.940000,3066.7146250960604,6766.483310114724,1908.0347180215072,267.0,1,0.0,False
26046,0 days 00:57:51.100000,2977.779946354251,6688.25153357262,1908.9710178823996,256.0,1,0.0,False
26047,0 days 00:57:51.109000,2973.0,6684.0,1909.0,255.05497984,1,0.0,False
26048,0 days 00:57:51.249000,2902.0,6620.0,1909.0,240.35497984,1,0.0,False
26049,0 days 00:57:51.300000,2877.4639531775283,6597.5273521023,1908.9734002905539,235.0,1,0.0,False
26050,0 days 00:57:51.460000,2805.1926400228544,6529.808142168178,1908.9866136037829,219.0,1,0.0,False
26051,0 days 00:57:51.489000,2793.0,6518.0,1909.0,217.11498752,1,0.0,False
26052,0 days 00:57:51.660000,2726.7360738958996,6450.7499480987535,1909.1145467775905,206.0,1,0.0,False
26053,0 days 00:57:51.749000,2694.0,6413.0,1909.0,201.99499136,1,0.0,False
26054,0 days 00:57:51.860000,2653.539128539601,6360.498983138434,1908.563383662749,197.0,1,0.0,False
26055,0 days 00:57:51.969000,2619.0,6309.0,1908.0,195.18333013333333,1,0.0,False
26056,0 days 00:57:52.220000,2572.247341686582,6196.375986689247,1907.0140894459312,191.0,1,0.0,False
26057,0 days 00:57:52.229000,2571.0,6191.0,1907.0,190.72863751440804,1,0.0,False
26058,0 days 00:57:52.419000,2549.251537176821,6055.468145814976,1907.0143128748834,185.0,1,0.0,False
26059,0 days 00:57:52.449000,2547.0,6036.0,1907.0,184.6249984,1,0.0,False
26060,0 days 00:57:52.659000,2541.8302831293186,5938.077311792129,1906.4833255780245,182.0,1,0.0,False
26061,0 days 00:57:52.870000,2545.0,5855.0,1906.0,186.22000128,1,0.0,False
26062,0 days 00:57:53.049000,2546.0,5759.0,1906.0,189.80000256,1,0.0,False
26063,0 days 00:57:53.059000,2545.9907067996137,5753.516870503779,1905.976519442826,190.0,1,0.0,False
26064,0 days 00:57:53.289000,2543.0,5629.0,1905.0,198.6250048,1,0.0,False
26065,0 days 00:57:53.369000,2540.0,5585.0,1905.0,201.6250048,1,0.0,False
26066,0 days 00:57:53.379000,2539.5234137092484,5579.2872848143825,1904.9906339082795,202.0,1,0.0,False
26067,0 days 00:57:53.619000,2519.4484899813,5425.119732674129,1903.6838682693437,207.0,1,0.0,False
