,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,-679.8453931088328,7390.210576801645,1912.9936434530757,163.0,1,0.0,False
26037,0 days 00:57:50.109000,-674.0,7461.0,1913.0,146.80414826666666,1,0.0,False
26038,0 days 00:57:50.180000,-671.7254011040294,7489.062581017628,1913.4347328622546,140.0,1,0.0,False
26039,0 days 00:57:50.269000,-669.0,7523.0,1914.0,136.6624928,1,0.0,False
26040,0 days 00:57:50.340000,-666.9013077835801,7549.230357177421,1914.124950375117,134.0,1,0.0,False
26041,0 days 00:57:50.509000,-662.0,7609.0,1914.0,127.6624928,1,0.0,False
26042,0 days 00:57:50.660000,-657.425940764259,7659.926927684081,1914.7939609494929,122.0,1,0.0,False
26043,0 days 00:57:50.709000,-656.0,7676.0,1915.0,120.24999314285715,1,0.0,False
26044,0 days 00:57:50.929000,-650.0,7746.0,1915.0,112.39285028571429,1,0.0,False
26045,0 days 00:57:50.940000,-649.6838376520718,7749.458952190707,1914.9866867976302,112.0,1,0.0,False
26046,0 days 00:57:51.100000,-645.1931011900047,7796.834114323942,1914.967321439433,105.0,1,0.0,False
26047,0 days 00:57:51.109000,-645.0,7799.0,1915.0,104.72999424,1,0.0,False
26048,0 days 00:57:51.249000,-641.0,7839.0,1916.0,100.52999424,1,0.0,False
26049,0 days 00:57:51.300000,-636.6112491456827,7874.053281222272,1916.4603983570123,99.0,1,0.0,False
26050,0 days 00:57:51.460000,-614.5456081085713,8032.716608994455,1917.8515973316441,96.0,1,0.0,False
26051,0 days 00:57:51.489000,-611.0,8053.0,1918.0,95.70999808,1,0.0,False
26052,0 days 00:57:51.660000,-595.494975194783,8097.508131510198,1918.114545667323,94.0,1,0.0,False
26053,0 days 00:57:51.749000,-588.0,8107.0,1918.0,91.32999424,1,0.0,False
26054,0 days 00:57:51.860000,-577.2360660558819,8129.447734673963,1917.9075692645176,88.0,1,0.0,False
26055,0 days 00:57:51.969000,-566.0,8155.0,1918.0,84.9722168888889,1,0.0,False
26056,0 days 00:57:52.220000,-537.4104180801357,8202.188164844796,1918.981707283067,78.0,1,0.0,False
26057,0 days 00:57:52.229000,-536.0,8204.0,1919.0,77.86431875720402,1,0.0,False
26058,0 days 00:57:52.419000,-500.2647389741861,8244.625178566152,1918.9904479903605,75.0,1,0.0,False
26059,0 days 00:57:52.449000,-495.0,8250.0,1919.0,74.74999893333333,1,0.0,False
26060,0 days 00:57:52.659000,-466.822930359085,8273.743822201559,1919.4786031691706,73.0,1,0.0,False
26061,0 days 00:57:52.870000,-438.0,8287.0,1920.0,74.05500032,1,0.0,False
26062,0 days 00:57:53.049000,-402.0,8300.0,1920.0,74.95000064,1,0.0,False
26063,0 days 00:57:53.059000,-399.8800133084708,8300.642016797185,1919.998255577793,75.0,1,0.0,False
26064,0 days 00:57:53.289000,-350.0,8312.0,1920.0,76.4375008,1,0.0,False
26065,0 days 00:57:53.369000,-332.0,8315.0,1920.0,76.9375008,1,0.0,False
26066,0 days 00:57:53.379000,-329.7110141796954,8315.398863380287,1919.998421994109,77.0,1,0.0,False
26067,0 days 00:57:53.619000,-272.5966499081875,8328.424087846153,1919.8939615258041,75.0,1,0.0,False
26068,0 days 00:57:53.709000,-252.0,8337.0,1920.0,74.09999872,1,0.0,False
26069,0 days 00:57:53.819000,-228.23242617864798,8351.048653929614,1920.3119944096986,73.0,1,0.0,False
26070,0 days 00:57:54.029000,-192.0,8381.0,1921.0,71.25725988574537,1,0.0,False
26071,0 days 00:57:54.060000,-188.47364081830202,8384.47867091436,1921.034571092974,71.0,1,0.0,False
26072,0 days 00:57:54.389000,-170.0,8417.0,1921.0,72.49545541818182,1,0.0,False
26073,0 days 00:57:54.500000,-162.04128484752962,8436.802950265883,1921.4851737002873,73.0,1,0.0,False
26074,0 days 00:57:54.629000,-153.0,8464.0,1922.0,75.58000384,1,0.0,False
26075,0 days 00:57:54.700000,-149.65073847834182,8479.198405023977,1922.0110912756068,77.0,1,0.0,False
26076,0 days 00:57:54.809000,-146.0,8503.0,1922.0,79.11944817777778,1,0.5109710794622061,True
26077,0 days 00:57:55.009000,-141.0,8549.0,1923.0,83.00833706666667,1,0.5154284936936472,True
26078,0 days 00:57:55.060000,-140.3789469329345,8561.316141346899,1923.1198711449292,84.0,1,0.5143435233470716,True
26079,0 days 00:57:55.249000,-141.0,8609.0,1923.0,91.0875072,1,0.48452209923510636,False
26080,0 days 00:57:55.300000,-142.0825167247337,8622.345432420676,1922.964694027929,93.0,1,0.48595232300477853,False
26081,0 days 00:57:55.429000,-146.0,8656.0,1923.0,98.16000768,1,0.4752490958682953,False
26082,0 days 00:57:55.700000,-158.19154541848363,8729.78267028513,1923.9511779754805,109.0,1,0.43830814031608945,False
26083,0 days 00:57:55.729000,-161.0,8742.0,1924.0,110.37750912,1,0.41508220925072276,False
26084,0 days 00:57:55.949000,-189.0,8852.0,1924.0,120.82750912,1,0.3634022956394273,False
26085,0 days 00:57:56.100000,-196.74804263588968,8881.585697997263,1924.5905554231078,128.0,1,0.32142616166659516,False
26086,0 days 00:57:56.209000,-202.0,8901.0,1925.0,132.0875072,1,0.3194603654848309,False
26087,0 days 00:57:56.260000,-206.05041487838093,8915.911556359188,1925.091334021799,134.0,1,0.2755190701548874,False
26088,0 days 00:57:56.460000,-230.28677810108218,9005.15268551069,1924.9451356408101,144.0,1,0.22449056117357724,False
26089,0 days 00:57:56.569000,-243.0,9053.0,1925.0,149.99501056,1,0.18967191349664506,False
26090,0 days 00:57:56.660000,-251.93788735114558,9087.572272773632,1925.2276832517853,155.0,1,0.1738948097438096,False
26091,0 days 00:57:56.889000,-274.0,9176.0,1926.0,166.4500096,1,0.11880822721338341,False
26092,0 days 00:57:56.940000,-280.86086161377284,9203.38668432552,1926.039487570294,169.0,1,0.07242481223295177,False
26093,0 days 00:57:57.149000,-314.0,9338.0,1926.0,174.2250048,1,-0.008865503425117386,False
26094,0 days 00:57:57.300000,-336.3712844624461,9437.119844279188,1926.5243922550903,178.0,1,-0.07582812180687187,False
26095,0 days 00:57:57.569000,-368.0,9590.0,1928.0,193.69167786666668,1,-0.13948599812340476,False
26096,0 days 00:57:57.660000,-375.0008945552716,9625.584050447937,1928.305707333099,199.0,1,-0.18633504159199146,False
26097,0 days 00:57:57.820000,-383.3388768826923,9672.137318026213,1928.625049797469,206.0,1,-0.23144351354704445,False
26098,0 days 00:57:57.949000,-391.0,9726.0,1929.0,210.65834026666667,1,-0.2837274929168301,False
26099,0 days 00:57:58.169000,-407.0,9855.0,1930.0,218.6027847111111,1,-0.3273761298327002,False
26100,0 days 00:57:58.180000,-407.65572725029637,9860.639707593238,1930.0514892108529,219.0,1,-0.37732883058161726,False
26101,0 days 00:57:58.369000,-417.0,9978.0,1931.0,222.937504,1,-0.416403024568576,False
26102,0 days 00:57:58.420000,-420.0235038960121,10046.814748593357,1931.3472122843907,224.0,1,-0.46915281891143634,False
26103,0 days 00:57:58.529000,-426.0,10211.0,1932.0,227.33056142222222,1,-0.4978264864614906,False
26104,0 days 00:57:58.729000,-427.0,10340.0,1932.0,233.44167253333333,1,-0.5557874658512687,True
26105,0 days 00:57:58.780000,-426.5249641293582,10381.314714200591,1932.222329283736,235.0,1,-0.5697779412816791,True
26106,0 days 00:57:58.980000,-423.22461656920956,10596.037446777516,1933.9359214748072,240.0,1,-0.6077802837491101,True
26107,0 days 00:57:58.989000,-423.0,10605.0,1934.0,240.1882884851445,1,-0.6428042904385624,True
26108,0 days 00:57:59.219000,-414.8693633860287,10792.722836943,1934.909626432579,245.0,1,-0.6929329656102367,True
26109,0 days 00:57:59.430000,-407.0,10908.0,1935.0,250.2750016,1,-0.7186454075747923,True
26110,0 days 00:57:59.579000,-403.142365482991,10963.502105407557,1934.894710399371,254.0,1,-0.769098423051116,True
26111,0 days 00:57:59.749000,-397.0,11035.0,1935.0,255.70000128,1,-0.7774435357213105,True
26112,0 days 00:57:59.779000,-395.2929728377479,11052.797346329768,1935.0928476193646,256.0,1,-0.8101600384791051,True
26113,0 days 00:57:59.989000,-379.0,11207.0,1936.0,260.37500266666666,1,-0.8307653843985917,True
26114,0 days 00:58:00.259000,-352.1081463191931,11403.688229902513,1936.0024146759276,266.0,1,-0.8762888711751983,True
26115,0 days 00:58:00.269000,-351.0,11411.0,1936.0,266.208336,1,-0.8799600623985182,True
26116,0 days 00:58:00.389000,-337.0,11499.0,1936.0,268.708336,1,-0.9152521018880043,True
26117,0 days 00:58:00.499000,-322.63949765793717,11577.660901283865,1935.939584336359,271.0,1,-0.9410818562821295,True
26118,0 days 00:58:00.589000,-308.0,11647.0,1936.0,272.49584726796184,1,-0.9562186226837077,True
26119,0 days 00:58:00.860000,-246.03571876797733,11891.770806987148,1936.9924089119882,277.0,1,-0.9784034311060459,True
26120,0 days 00:58:00.869000,-244.0,11899.0,1937.0,277.09000192,1,-0.982555791926029,True
26121,0 days 00:58:01.060000,-204.4729911089096,12026.144746375612,1936.456843103696,279.0,1,-1.0204664877589316,True
26122,0 days 00:58:01.249000,-164.0,12136.0,1936.0,282.4363671272727,1,-1.0226875911932118,True
26123,0 days 00:58:01.500000,-90.80402636177638,12315.10426852674,1937.0185009881648,287.0,1,-1.0482677107632106,True
26124,0 days 00:58:01.529000,-79.0,12341.0,1937.0,287.2416682666667,1,-1.0534979466972991,True
26125,0 days 00:58:01.729000,20.0,12542.0,1936.0,288.9083349333333,1,-1.0652649694487495,True
26126,0 days 00:58:01.740000,25.548501666062553,12552.413475501186,1935.971012954131,289.0,1,-1.0829701835464063,True
26127,0 days 00:58:02.069000,180.0,12805.0,1937.0,292.29000192,1,-1.0879487006582078,True
26128,0 days 00:58:02.140000,210.42546649246862,12849.578809160406,1937.2551726675933,293.0,1,-1.091911002041467,True
26129,0 days 00:58:02.300000,275.21483966363706,12939.397303790887,1937.669374251988,296.0,1,-1.0883028052761123,True
26130,0 days 00:58:02.549000,379.0,13068.0,1938.0,298.3343768,1,-1.0941972135033724,True
26131,0 days 00:58:02.620000,411.5365968786728,13105.277743831246,1938.0463159780415,299.0,1,-1.0882967162832726,True
26132,0 days 00:58:02.909000,562.0,13262.0,1938.0,302.21111324444445,1,-1.0869894000376317,True
26133,0 days 00:58:02.980000,605.4425080181331,13302.70975288972,1937.9239187823862,303.0,1,-1.0716606116907321,True
26134,0 days 00:58:03.140000,707.5013230160986,13393.284091426336,1937.9666801183917,304.0,1,-1.0612873874535267,True
26135,0 days 00:58:03.149000,713.0,13398.0,1938.0,304.0562512,1,-1.0462843763469594,True
26136,0 days 00:58:03.309000,818.0,13483.0,1939.0,305.0562512,1,-1.0407518757073604,True
26137,0 days 00:58:03.460000,985.7203148655686,13604.162626132313,1939.714005478262,306.0,1,-1.0270451360150172,True
26138,0 days 00:58:03.549000,1082.0,13671.0,1940.0,307.1125024,1,-1.0219365789356611,True
26139,0 days 00:58:03.620000,1143.1954424684338,13712.092227737237,1940.1769416264242,308.0,1,-1.006058616386751,True
