,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,6497.32590652069,9748.636022133738,1906.7110654314206,314.0,1,0.0,False
26037,0 days 00:57:50.109000,6386.0,9652.0,1903.0,314.70416746666666,1,0.0,False
26038,0 days 00:57:50.180000,6339.042580962484,9611.194282814346,1901.2247328499627,315.0,1,0.0,False
26039,0 days 00:57:50.269000,6280.0,9560.0,1899.0,316.1125024,1,0.0,False
26040,0 days 00:57:50.340000,6232.730751833653,9519.255525955501,1897.4050291207386,317.0,1,0.0,False
26041,0 days 00:57:50.509000,6120.0,9422.0,1894.0,318.0562512,1,0.0,False
26042,0 days 00:57:50.660000,6019.691942220045,9333.666313665964,1890.9360361608367,319.0,1,0.0,False
26043,0 days 00:57:50.709000,5987.0,9305.0,1890.0,319.35000137142856,1,0.0,False
26044,0 days 00:57:50.929000,5839.0,9177.0,1886.0,320.9214299428571,1,0.0,False
26045,0 days 00:57:50.940000,5831.595224665861,9170.59667737132,1885.7644625442947,321.0,1,0.0,False
26046,0 days 00:57:51.100000,5724.042630198745,9077.261333361592,1882.1621311892566,321.0,1,0.0,False
26047,0 days 00:57:51.109000,5718.0,9072.0,1882.0,321.0,1,0.0,False
26048,0 days 00:57:51.249000,5624.0,8990.0,1880.0,321.0,1,0.0,False
26049,0 days 00:57:51.300000,5589.640896160899,8960.049139060482,1879.1285191813658,321.0,1,0.0,False
26050,0 days 00:57:51.460000,5481.549317379691,8865.990094567283,1876.24404590528,321.0,1,0.0,False
26051,0 days 00:57:51.489000,5462.0,8849.0,1876.0,321.0,1,0.0,False
26052,0 days 00:57:51.660000,5347.077525571741,8749.22861574275,1876.62707772429,321.0,1,0.0,False
26053,0 days 00:57:51.749000,5287.0,8697.0,1877.0,321.0,1,0.0,False
26054,0 days 00:57:51.860000,5211.49916553487,8631.20322655143,1876.6463224752401,321.0,1,0.0,False
26055,0 days 00:57:51.969000,5139.0,8568.0,1876.0,321.0,1,0.0,False
26056,0 days 00:57:52.220000,4971.429176578399,8422.438693255888,1875.9306666479492,321.0,1,0.0,False
26057,0 days 00:57:52.229000,4964.0,8416.0,1876.0,321.0,1,0.0,False
26058,0 days 00:57:52.419000,4786.60162193378,8262.342649826847,1878.5714636888315,321.0,1,0.0,False
26059,0 days 00:57:52.449000,4762.0,8241.0,1879.0,320.8749994666667,1,0.0,False
26060,0 days 00:57:52.659000,4644.40140046388,8138.457051517362,1881.4738667825432,320.0,1,0.0,False
