,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,-368.73058483297484,9592.722197541814,1928.512131649218,182.0,1,0.0,False
26037,0 days 00:57:50.109000,-384.0,9682.0,1929.0,194.6750144,1,0.0,False
26038,0 days 00:57:50.180000,-390.0339896156128,9720.658358022234,1928.986381410362,200.0,1,0.0,False
26039,0 days 00:57:50.269000,-397.0,9770.0,1929.0,202.2250048,1,0.0,False
26040,0 days 00:57:50.340000,-401.80992573643505,9809.986000054949,1929.24505781786,204.0,1,0.0,False
26041,0 days 00:57:50.509000,-411.0,9907.0,1930.0,207.6968792,1,0.0,False
26042,0 days 00:57:50.660000,-417.34678686138534,9995.62031970636,1929.7539786063887,211.0,1,0.0,False
26043,0 days 00:57:50.709000,-419.0,10026.0,1930.0,212.92500754285714,1,0.0,False
26044,0 days 00:57:50.929000,-424.0,10173.0,1933.0,221.56786468571428,1,0.0,False
26045,0 days 00:57:50.940000,-424.16519880063515,10180.427548983922,1933.0201085885778,222.0,1,0.0,False
26046,0 days 00:57:51.100000,-425.9164810641513,10287.12655597762,1932.0004476492913,228.0,1,0.0,False
26047,0 days 00:57:51.109000,-426.0,10293.0,1932.0,228.2250048,1,0.0,False
26048,0 days 00:57:51.249000,-427.0,10383.0,1933.0,231.7250048,1,0.0,False
26049,0 days 00:57:51.300000,-426.96952958056573,10415.985002496627,1933.1983677472986,233.0,1,0.0,False
26050,0 days 00:57:51.460000,-425.43194412754895,10520.853499936398,1932.9953016967224,236.0,1,0.0,False
26051,0 days 00:57:51.489000,-425.0,10540.0,1933.0,236.7250048,1,0.0,False
26052,0 days 00:57:51.660000,-421.59807618599996,10653.697499467178,1933.550950131778,241.0,1,0.0,False
26053,0 days 00:57:51.749000,-419.0,10714.0,1934.0,243.2250048,1,0.0,False
26054,0 days 00:57:51.860000,-414.80678018955166,10790.662741659507,1934.5932228422137,246.0,1,0.0,False
26055,0 days 00:57:51.969000,-410.0,10865.0,1935.0,248.7250048,1,0.0,False
26056,0 days 00:57:52.220000,-395.7621185983831,11039.204394449558,1934.9802303091976,255.0,1,0.0,False
26057,0 days 00:57:52.229000,-395.0,11047.0,1935.0,255.18090832372798,1,0.0,False
26058,0 days 00:57:52.419000,-375.03753372747303,11234.498416393873,1935.8849018265175,259.0,1,0.0,False
26059,0 days 00:57:52.449000,-372.0,11261.0,1936.0,259.3750016,1,0.0,False
26060,0 days 00:57:52.659000,-354.8402760911604,11393.789808125015,1936.1837676836851,262.0,1,0.0,False
26061,0 days 00:57:52.870000,-335.0,11507.0,1936.0,266.22000128,1,0.0,False
26062,0 days 00:57:53.049000,-309.0,11639.0,1936.0,269.80000256,1,0.0,False
26063,0 days 00:57:53.059000,-307.39654929659685,11646.495811338371,1935.9844528934445,270.0,1,0.0,False
26064,0 days 00:57:53.289000,-267.0,11815.0,1936.0,274.3125024,1,0.0,False
26065,0 days 00:57:53.369000,-251.0,11874.0,1937.0,275.8125024,1,0.0,False
26066,0 days 00:57:53.379000,-248.8367478803879,11881.624230186042,1937.0954687978526,276.0,1,0.0,False
26067,0 days 00:57:53.619000,-183.7973459403176,12084.69847178595,1936.3604904808883,279.0,1,0.0,False
26068,0 days 00:57:53.709000,-152.0,12168.0,1936.0,280.35000192,1,0.0,False
26069,0 days 00:57:53.819000,-107.26628184960967,12273.933606906534,1936.090017192072,282.0,1,0.0,False
26070,0 days 00:57:54.029000,-23.0,12456.0,1937.0,283.7427401142546,1,0.0,False
26071,0 days 00:57:54.060000,-13.856515848621067,12475.18794090056,1937.06965505547,284.0,1,0.0,False
26072,0 days 00:57:54.389000,59.0,12611.0,1937.0,287.73863854545453,1,0.0,False
26073,0 days 00:57:54.500000,101.6176416176369,12682.016584074378,1937.0041548381896,289.0,1,0.0,False
26074,0 days 00:57:54.629000,160.0,12775.0,1937.0,289.0,1,0.0,False
26075,0 days 00:57:54.700000,192.34908052924538,12823.345366159136,1936.947558485454,289.0,1,0.0,False
26076,0 days 00:57:54.809000,243.0,12895.0,1937.0,290.5138915555556,1,-1.0535920275147503,True
26077,0 days 00:57:55.009000,342.0,13024.0,1938.0,293.29166933333335,1,-1.0474316305620777,True
26078,0 days 00:57:55.060000,368.334267124723,13055.92582589753,1938.11342245742,294.0,1,-1.0467688850148231,True
26079,0 days 00:57:55.249000,471.0,13171.0,1938.0,295.5750016,1,-1.051592502740803,True
26080,0 days 00:57:55.300000,500.7649722051438,13201.53300260531,1937.9897869338138,296.0,1,-1.046247646590409,True
26081,0 days 00:57:55.429000,577.0,13276.0,1938.0,297.6125024,1,-1.0384253482498267,True
26082,0 days 00:57:55.700000,739.1313903536076,13420.620399924319,1937.9332419513696,301.0,1,-1.0245500884719099,True
26083,0 days 00:57:55.729000,765.0,13441.0,1938.0,301.21750144,1,-1.0270261871458013,True
26084,0 days 00:57:55.949000,994.0,13612.0,1939.0,302.86750144,1,-0.995965889955804,True
26085,0 days 00:57:56.100000,1052.2602952334166,13653.885179197838,1939.5613367514168,304.0,1,-0.9980595901124025,True
26086,0 days 00:57:56.209000,1093.0,13678.0,1940.0,304.6812512,1,-0.9826095871122528,True
26087,0 days 00:57:56.260000,1125.955595942502,13697.04818153122,1940.252865423765,305.0,1,-0.9853075656887016,True
26088,0 days 00:57:56.460000,1327.2831600058933,13811.534278537478,1941.4699153647518,305.0,1,-0.9577535772955095,True
26089,0 days 00:57:56.569000,1429.0,13867.0,1942.0,306.63500288,1,-0.9471982266605936,True
26090,0 days 00:57:56.660000,1496.5788070859585,13901.799768523439,1942.3049010204138,308.0,1,-0.9303988346877821,True
26091,0 days 00:57:56.889000,1648.0,13968.0,1943.0,309.63571565714284,1,-0.9135433002567094,True
26092,0 days 00:57:56.940000,1694.5453427235684,13986.602144554168,1943.2957212870613,310.0,1,-0.8943178711086527,True
26093,0 days 00:57:57.149000,1922.0,14071.0,1945.0,311.7416682666667,1,-0.863278060644762,True
26094,0 days 00:57:57.300000,2083.77019829494,14119.768226871754,1946.490319305917,313.0,1,-0.8338111538347092,True
26095,0 days 00:57:57.569000,2326.0,14178.0,1949.0,313.7472227555556,1,-0.795497409468392,True
26096,0 days 00:57:57.660000,2382.0638616729507,14190.467624531668,1949.5438642914862,314.0,1,-0.7622438174166343,True
26097,0 days 00:57:57.820000,2454.367319004132,14204.941454356374,1950.1890363046855,315.0,1,-0.7469853995519906,True
26098,0 days 00:57:57.949000,2533.0,14219.0,1951.0,315.71666773333334,1,-0.7069899762990447,True
26099,0 days 00:57:58.169000,2724.0,14251.0,1953.0,316.93888995555557,1,-0.6779907479342426,True
26100,0 days 00:57:58.180000,2733.7749163336575,14252.518375525591,1953.0765395585502,317.0,1,-0.6490942868087295,True
26101,0 days 00:57:58.369000,2898.0,14276.0,1954.0,317.0,1,-0.6120947472908497,True
26102,0 days 00:57:58.420000,2942.9192397825577,14281.932197534989,1954.2696047879128,317.0,1,-0.5782124141664781,True
26103,0 days 00:57:58.529000,3038.0,14294.0,1955.0,317.0,1,-0.5629988340228169,True
26104,0 days 00:57:58.729000,3213.0,14314.0,1957.0,317.0,1,-0.5075052065268891,True
26105,0 days 00:57:58.780000,3273.1620559010958,14319.76928350807,1957.4554672928914,317.0,1,-0.4903587978726304,False
26106,0 days 00:57:58.980000,3551.570799843807,14344.018487641171,1958.9345848691326,317.0,1,-0.4464183813981095,False
26107,0 days 00:57:58.989000,3563.0,14345.0,1959.0,317.0,1,-0.40876566292679417,False
26108,0 days 00:57:59.219000,3801.970646669701,14365.546956394286,1960.718323316145,317.0,1,-0.353489001132084,False
26109,0 days 00:57:59.430000,3948.0,14378.0,1962.0,315.8277774222222,1,-0.3175523835393607,False
26110,0 days 00:57:59.579000,4017.808762103388,14383.788556422855,1962.5362546194192,315.0,1,-0.2656155468204639,False
26111,0 days 00:57:59.749000,4107.0,14391.0,1963.0,315.0,1,-0.2519597677091888,False
26112,0 days 00:57:59.779000,4129.173986446515,14392.793402771895,1963.0934248094447,315.0,1,-0.21840171287482466,False
26113,0 days 00:57:59.989000,4320.0,14408.0,1964.0,314.5624997333333,1,-0.18399720370000106,False
26114,0 days 00:58:00.259000,4555.273618332687,14424.477060721498,1965.9789119548966,314.0,1,-0.13206188861914384,False
26115,0 days 00:58:00.269000,4564.0,14425.0,1966.0,314.0,1,-0.12319975062055623,False
26116,0 days 00:58:00.389000,4669.0,14431.0,1966.0,314.0,1,-0.09254511113381454,False
26117,0 days 00:58:00.499000,4761.218115093764,14436.93265843665,1966.5215294295563,314.0,1,-0.05813479711337243,False
