,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,1070.9603212026946,-3397.598206158152,1853.6469600634712,316.0,1,0.0,False
26037,0 days 00:57:50.109000,1057.0,-3545.0,1853.0,316.0,1,0.0,False
26038,0 days 00:57:50.180000,1051.169424078284,-3607.58195303694,1852.564850856786,316.0,1,0.0,False
26039,0 days 00:57:50.269000,1044.0,-3685.0,1852.0,315.4437488,1,0.0,False
26040,0 days 00:57:50.340000,1038.4956390183181,-3744.3959384686013,1851.6508886619033,315.0,1,0.0,False
26041,0 days 00:57:50.509000,1025.0,-3885.0,1851.0,314.4718744,1,0.0,False
26042,0 days 00:57:50.660000,1010.4649890548287,-4023.450742994641,1850.2627518641596,314.0,1,0.0,False
26043,0 days 00:57:50.709000,1006.0,-4067.0,1850.0,314.0,1,0.0,False
26044,0 days 00:57:50.929000,988.0,-4250.0,1849.0,314.0,1,0.0,False
26045,0 days 00:57:50.940000,986.949207157953,-4259.723502729754,1848.9901564553973,314.0,1,0.0,False
26046,0 days 00:57:51.100000,969.9321586393082,-4406.238081261646,1849.0352625875744,314.0,1,0.0,False
26047,0 days 00:57:51.109000,969.0,-4414.0,1849.0,313.59499136,1,0.0,False
26048,0 days 00:57:51.249000,955.0,-4527.0,1848.0,307.29499136,1,0.0,False
26049,0 days 00:57:51.300000,949.474504215809,-4568.4799612228335,1847.8361176587125,305.0,1,0.0,False
26050,0 days 00:57:51.460000,930.4920364816157,-4699.722202825737,1848.0254126443308,305.0,1,0.0,False
26051,0 days 00:57:51.489000,927.0,-4722.0,1848.0,299.34496256,1,0.0,False
26052,0 days 00:57:51.660000,906.2677085760392,-4841.863433757664,1847.2585799593483,266.0,1,0.0,False
26053,0 days 00:57:51.749000,894.0,-4902.0,1847.0,261.10498944,1,0.0,False
26054,0 days 00:57:51.860000,876.4001315727379,-4978.377774302414,1847.136670723671,255.0,1,0.0,False
26055,0 days 00:57:51.969000,858.0,-5051.0,1847.0,249.5499904,1,0.0,False
26056,0 days 00:57:52.220000,810.404060280885,-5206.63816645075,1844.0593384071528,237.0,1,0.0,False
26057,0 days 00:57:52.229000,808.0,-5213.0,1844.0,235.91455005763214,1,0.0,False
26058,0 days 00:57:52.419000,746.2511522437961,-5358.355702192717,1843.9779117788657,213.0,1,0.0,False
26059,0 days 00:57:52.449000,737.0,-5378.0,1844.0,212.2499968,1,0.0,False
26060,0 days 00:57:52.659000,685.927489903098,-5468.87372014599,1843.5770951148406,207.0,1,0.0,False
26061,0 days 00:57:52.870000,631.0,-5532.0,1843.0,202.25249856,1,0.0,False
26062,0 days 00:57:53.049000,562.0,-5602.0,1843.0,198.22499712,1,0.0,False
26063,0 days 00:57:53.059000,557.8957763248219,-5605.734962516921,1843.0018690299921,198.0,1,0.0,False
26064,0 days 00:57:53.289000,460.0,-5680.0,1843.0,191.5312464,1,0.0,False
26065,0 days 00:57:53.369000,424.0,-5701.0,1843.0,189.2812464,1,0.0,False
26066,0 days 00:57:53.379000,419.2839360350928,-5703.567529871529,1842.999960316593,189.0,1,0.0,False
26067,0 days 00:57:53.619000,288.65748080099996,-5762.0857722580195,1842.9941514268469,187.0,1,0.0,False
26068,0 days 00:57:53.709000,231.0,-5778.0,1843.0,188.80000256,1,0.0,False
26069,0 days 00:57:53.819000,154.08910939489564,-5791.096515354278,1843.0174748270433,191.0,1,0.0,False
26070,0 days 00:57:54.029000,16.0,-5801.0,1843.0,192.74274011425464,1,0.0,False
26071,0 days 00:57:54.060000,1.3111167240547938,-5801.499829923594,1842.9780737639803,193.0,1,0.0,False
26072,0 days 00:57:54.389000,-107.0,-5791.0,1843.0,204.96364334545456,1,0.0,False
26073,0 days 00:57:54.500000,-166.42938691742455,-5779.612670157064,1843.6135800336945,209.0,1,0.0,False
26074,0 days 00:57:54.629000,-245.0,-5761.0,1844.0,212.87000576,1,0.0,False
26075,0 days 00:57:54.700000,-286.1977938584742,-5748.19421845072,1843.6454929707745,215.0,1,0.0,False
26076,0 days 00:57:54.809000,-347.0,-5726.0,1843.0,217.11944817777777,1,-2.3033328376424937,True
26077,0 days 00:57:55.009000,-459.0,-5677.0,1844.0,221.00833706666666,1,-2.2639899819227516,True
26078,0 days 00:57:55.060000,-492.7529718454762,-5658.95009523756,1844.2994374734299,222.0,1,-2.250326167776538,True
26079,0 days 00:57:55.249000,-625.0,-5578.0,1845.0,226.7250048,1,-2.219997732138578,True
26080,0 days 00:57:55.300000,-654.33669282778,-5557.216390508635,1845.0280662244634,228.0,1,-2.1979789292846004,True
26081,0 days 00:57:55.429000,-717.0,-5508.0,1845.0,230.90250432,1,-2.1511968835246553,True
26082,0 days 00:57:55.700000,-838.2926546261479,-5397.437230419887,1845.9478265526275,237.0,1,-2.0726692219838703,True
26083,0 days 00:57:55.729000,-856.0,-5378.0,1846.0,237.50750336,1,-2.0603023954551336,True
26084,0 days 00:57:55.949000,-1007.0,-5199.0,1846.0,241.35750336,1,-1.9224166091476094,True
26085,0 days 00:57:56.100000,-1043.246658807756,-5151.052126298836,1846.5240641651094,244.0,1,-1.9085594907026728,True
26086,0 days 00:57:56.209000,-1061.0,-5120.0,1847.0,244.0,1,-1.8367624001046776,True
26087,0 days 00:57:56.260000,-1074.793163546281,-5096.072926700289,1847.189270168478,244.0,1,-1.8343288907636885,True
26088,0 days 00:57:56.460000,-1157.1673485774265,-4952.9834454375705,1847.7445359168114,250.0,1,-1.7290881067703783,True
26089,0 days 00:57:56.569000,-1198.0,-4878.0,1848.0,251.09000192,1,-1.6845647851038044,True
26090,0 days 00:57:56.660000,-1224.5767704150214,-4825.342529236522,1848.2058682715428,252.0,1,-1.609225705709452,True
26091,0 days 00:57:56.889000,-1278.0,-4696.0,1849.0,256.0892891428571,1,-1.5513026570355326,True
26092,0 days 00:57:56.940000,-1292.6744620319198,-4655.959116815004,1849.3290071114977,257.0,1,-1.4863877575252087,True
26093,0 days 00:57:57.149000,-1358.0,-4461.0,1851.0,262.2250048,1,-1.3922046713746203,True
26094,0 days 00:57:57.300000,-1394.7447130551227,-4323.760381144069,1851.9365257911597,266.0,1,-1.3151817263230166,True
26095,0 days 00:57:57.569000,-1437.0,-4120.0,1853.0,268.9888910222222,1,-1.2208888468440782,True
26096,0 days 00:57:57.660000,-1445.8316448315259,-4072.851711466253,1853.2383348705077,270.0,1,-1.1443393912325934,True
26097,0 days 00:57:57.820000,-1455.6020723882982,-4011.7285308690393,1853.5539544045444,274.0,1,-1.1268057748028775,True
26098,0 days 00:57:57.949000,-1464.0,-3943.0,1854.0,274.71666773333334,1,-1.0485675213436372,True
26099,0 days 00:57:58.169000,-1481.0,-3773.0,1855.0,275.93888995555557,1,-0.9975747921800666,True
26100,0 days 00:57:58.180000,-1481.6751448790824,-3764.2965536258926,1855.0153064217964,276.0,1,-0.9590765696136211,True
26101,0 days 00:57:58.369000,-1490.0,-3618.0,1855.0,280.7250048,1,-0.8947309021353108,True
26102,0 days 00:57:58.420000,-1491.782667404944,-3577.6732956657147,1855.2404323123799,282.0,1,-0.8524249588666817,True
26103,0 days 00:57:58.529000,-1495.0,-3492.0,1856.0,283.5138915555556,1,-0.8325529259889632,True
26104,0 days 00:57:58.729000,-1498.0,-3334.0,1857.0,286.29166933333335,1,-0.7605557508802475,True
26105,0 days 00:57:58.780000,-1498.4422091489864,-3279.177226468399,1857.3333782237469,287.0,1,-0.7368798795875524,True
26106,0 days 00:57:58.980000,-1499.03281563377,-3023.574663767445,1858.933255949593,290.0,1,-0.6913605606170817,True
26107,0 days 00:57:58.989000,-1499.0,-3013.0,1859.0,290.0753153940578,1,-0.6470586916490128,True
26108,0 days 00:57:59.219000,-1496.3009566104242,-2788.9794165737317,1860.425147190792,292.0,1,-0.5979447334634326,True
26109,0 days 00:57:59.430000,-1493.0,-2655.0,1861.0,294.93055644444445,1,-0.5591093304637503,True
26110,0 days 00:57:59.579000,-1491.431013794831,-2598.0613794309784,1860.8464164595246,297.0,1,-0.5164266997795216,True
26111,0 days 00:57:59.749000,-1489.0,-2526.0,1861.0,298.70000128,1,-0.5042039751925599,True
26112,0 days 00:57:59.779000,-1488.3244679528282,-2506.875218860989,1861.1747942952447,299.0,1,-0.4758095949568678,False
26113,0 days 00:57:59.989000,-1482.0,-2334.0,1863.0,300.75000106666664,1,-0.44394030797495493,False
26114,0 days 00:58:00.259000,-1472.3936709039378,-2099.526648423615,1863.9334270989502,303.0,1,-0.40473623549045995,False
26115,0 days 00:58:00.269000,-1472.0,-2091.0,1864.0,303.1250016,1,-0.3949046341107116,False
26116,0 days 00:58:00.389000,-1467.0,-1990.0,1865.0,304.6250016,1,-0.37346860069590804,False
