,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,-731.4441117099175,6769.892208602837,1910.6102344667088,325.0,1,0.0,False
26037,0 days 00:57:50.109000,-719.0,6919.0,1911.0,314.437488,1,0.0,False
26038,0 days 00:57:50.180000,-714.0164080766574,6979.840744096642,1910.9914085121188,310.0,1,0.0,False
26039,0 days 00:57:50.269000,-708.0,7054.0,1911.0,296.6499712,1,0.0,False
26040,0 days 00:57:50.340000,-703.4089590663302,7110.92109747739,1911.1796650360131,286.0,1,0.0,False
26041,0 days 00:57:50.509000,-693.0,7239.0,1912.0,266.9874784,1,0.0,False
26042,0 days 00:57:50.660000,-683.881924053274,7345.838296007963,1912.744713001361,250.0,1,0.0,False
26043,0 days 00:57:50.709000,-681.0,7379.0,1913.0,243.34997394285713,1,0.0,False
26044,0 days 00:57:50.929000,-669.0,7519.0,1914.0,213.49283108571427,1,0.0,False
26045,0 days 00:57:50.940000,-668.478072468421,7525.637923048059,1914.0100548032792,212.0,1,0.0,False
26046,0 days 00:57:51.100000,-661.4251085292868,7618.068608295792,1913.9648862132735,191.0,1,0.0,False
26047,0 days 00:57:51.109000,-661.0,7623.0,1914.0,190.14498176,1,0.0,False
26048,0 days 00:57:51.249000,-654.0,7696.0,1915.0,176.84498176,1,0.0,False
26049,0 days 00:57:51.300000,-651.6745521134301,7721.089299968663,1915.1697445644777,172.0,1,0.0,False
26050,0 days 00:57:51.460000,-645.1989934440039,7795.183888647827,1914.9887818218133,164.0,1,0.0,False
26051,0 days 00:57:51.489000,-644.0,7808.0,1915.0,161.67998464,1,0.0,False
26052,0 days 00:57:51.660000,-636.4788048211261,7879.966998948868,1915.575716262183,148.0,1,0.0,False
26053,0 days 00:57:51.749000,-632.0,7915.0,1916.0,140.87998464,1,0.0,False
26054,0 days 00:57:51.860000,-625.7073726087602,7956.376657002116,1916.5080801073616,132.0,1,0.0,False
26055,0 days 00:57:51.969000,-619.0,7994.0,1917.0,125.64165546666666,1,0.0,False
26056,0 days 00:57:52.220000,-599.9988990415155,8072.003298187954,1917.9851191685052,111.0,1,0.0,False
26057,0 days 00:57:52.229000,-599.0,8075.0,1918.0,110.63818335254405,1,0.0,False
26058,0 days 00:57:52.419000,-572.9636254047716,8141.043117974085,1917.9887727206312,103.0,1,0.0,False
26059,0 days 00:57:52.449000,-569.0,8150.0,1918.0,102.49999786666666,1,0.0,False
