,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,1652.1777048634815,2941.7261424615062,1891.6104234497916,277.0,1,0.0,False
26037,0 days 00:57:50.109000,1641.0,2811.0,1891.0,280.52083733333336,1,0.0,False
26038,0 days 00:57:50.180000,1636.1594620779529,2755.699565858022,1890.6080694799725,282.0,1,0.0,False
26039,0 days 00:57:50.269000,1630.0,2686.0,1890.0,283.1125024,1,0.0,False
26040,0 days 00:57:50.340000,1625.053399825975,2630.0374180749573,1889.4221531069725,284.0,1,0.0,False
26041,0 days 00:57:50.509000,1613.0,2496.0,1888.0,286.640628,1,0.0,False
26042,0 days 00:57:50.660000,1601.6418692364662,2376.096254202655,1887.2167402183923,289.0,1,0.0,False
26043,0 days 00:57:50.709000,1598.0,2337.0,1887.0,289.52500205714284,1,0.0,False
26044,0 days 00:57:50.929000,1582.0,2160.0,1886.0,291.88214491428573,1,0.0,False
26045,0 days 00:57:50.940000,1581.1611567978148,2151.1129904975323,1885.945887175882,292.0,1,0.0,False
26046,0 days 00:57:51.100000,1568.6720167657159,2021.3524864104731,1885.0602753039868,294.0,1,0.0,False
26047,0 days 00:57:51.109000,1568.0,2014.0,1885.0,294.09000192,1,0.0,False
26048,0 days 00:57:51.249000,1558.0,1899.0,1884.0,295.49000192,1,0.0,False
26049,0 days 00:57:51.300000,1554.2876527689673,1857.1084750253715,1883.7347598300598,296.0,1,0.0,False
26050,0 days 00:57:51.460000,1542.2116651643023,1725.8368279089377,1883.1552030042328,298.0,1,0.0,False
26051,0 days 00:57:51.489000,1540.0,1702.0,1883.0,298.29000192,1,0.0,False
26052,0 days 00:57:51.660000,1526.8904924081974,1561.016360158243,1881.6625662773838,300.0,1,0.0,False
26053,0 days 00:57:51.749000,1520.0,1487.0,1881.0,300.89000192,1,0.0,False
26054,0 days 00:57:51.860000,1511.3281549363517,1393.8529657931736,1880.4097991748095,302.0,1,0.0,False
26055,0 days 00:57:51.969000,1503.0,1304.0,1880.0,302.6055566222222,1,0.0,False
26056,0 days 00:57:52.220000,1483.8429671326078,1094.2790665101602,1879.0628182957494,304.0,1,0.0,False
