,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,10994.637693201194,13974.517265450504,1933.0011686089965,247.0,1,0.0,False
26037,0 days 00:57:50.109000,11004.0,13861.0,1933.0,248.40833493333332,1,0.0,False
26038,0 days 00:57:50.180000,11008.280724335324,13812.417998960247,1932.991237882948,249.0,1,0.0,False
26039,0 days 00:57:50.269000,11014.0,13751.0,1933.0,250.6687536,1,0.0,False
26040,0 days 00:57:50.340000,11018.90321540777,13701.83337731906,1933.0487379104877,252.0,1,0.0,False
26041,0 days 00:57:50.509000,11031.0,13584.0,1933.0,253.0562512,1,0.0,False
26042,0 days 00:57:50.660000,11040.815009519152,13477.49226948383,1932.213176732839,254.0,1,0.0,False
26043,0 days 00:57:50.709000,11044.0,13443.0,1932.0,252.24999314285714,1,0.0,False
26044,0 days 00:57:50.929000,11058.0,13291.0,1932.0,244.39285028571427,1,0.0,False
26045,0 days 00:57:50.940000,11058.566246408749,13283.685119013193,1932.0463054245386,244.0,1,0.0,False
26046,0 days 00:57:51.100000,11064.768824190916,13180.661245067302,1932.9680295475373,222.0,1,0.0,False
26047,0 days 00:57:51.109000,11065.0,13175.0,1933.0,221.18998272,1,0.0,False
26048,0 days 00:57:51.249000,11067.0,13089.0,1933.0,208.58998272,1,0.0,False
26049,0 days 00:57:51.300000,11067.03696013645,13059.265771724411,1932.7407665919368,204.0,1,0.0,False
26050,0 days 00:57:51.460000,11064.221022146807,12971.377414473065,1931.267936151671,197.0,1,0.0,False
26051,0 days 00:57:51.489000,11063.0,12956.0,1931.0,195.98499328,1,0.0,False
26052,0 days 00:57:51.660000,11050.934162092422,12868.18832284449,1929.5916873775222,190.0,1,0.0,False
26053,0 days 00:57:51.749000,11041.0,12824.0,1929.0,187.7749952,1,0.0,False
26054,0 days 00:57:51.860000,11024.873338874075,12770.073478326914,1928.413718136525,185.0,1,0.0,False
26055,0 days 00:57:51.969000,11006.0,12720.0,1928.0,182.5777735111111,1,0.0,False
26056,0 days 00:57:52.220000,10947.207276075229,12613.352147516549,1927.950647547739,177.0,1,0.0,False
26057,0 days 00:57:52.229000,10944.0,12609.0,1928.0,177.045227080932,1,0.0,False
26058,0 days 00:57:52.419000,10859.712447453452,12509.49985773224,1929.7646616577501,178.0,1,0.0,False
26059,0 days 00:57:52.449000,10847.0,12496.0,1930.0,178.62500266666666,1,0.0,False
26060,0 days 00:57:52.659000,10776.820471762743,12432.847187910204,1930.6246604456132,183.0,1,0.0,False
26061,0 days 00:57:52.870000,10706.0,12387.0,1930.0,190.38500224,1,0.0,False
26062,0 days 00:57:53.049000,10622.0,12335.0,1929.0,196.65000448,1,0.0,False
26063,0 days 00:57:53.059000,10617.078506164895,12332.165431232692,1928.9435884963345,197.0,1,0.0,False
26064,0 days 00:57:53.289000,10502.0,12271.0,1928.0,204.9062544,1,0.0,False
26065,0 days 00:57:53.369000,10461.0,12249.0,1928.0,207.6562544,1,0.0,False
26066,0 days 00:57:53.379000,10455.660747158245,12246.18677350451,1927.9879288527463,208.0,1,0.0,False
26067,0 days 00:57:53.619000,10309.95658266987,12173.78659291942,1926.5518981330554,216.0,1,0.0,False
26068,0 days 00:57:53.709000,10248.0,12143.0,1926.0,216.0,1,0.0,False
26069,0 days 00:57:53.819000,10167.432643817625,12102.165999950837,1925.5482309126867,216.0,1,0.0,False
26070,0 days 00:57:54.029000,10026.0,12029.0,1925.0,226.4564406855278,1,0.0,False
26071,0 days 00:57:54.060000,10011.01506983517,12021.156221931593,1924.8931237895845,228.0,1,0.0,False
26072,0 days 00:57:54.389000,9901.0,11962.0,1924.0,237.7204602181818,1,0.0,False
26073,0 days 00:57:54.500000,9840.371476565326,11929.411684923356,1924.4340934260913,241.0,1,0.0,False
26074,0 days 00:57:54.629000,9760.0,11886.0,1925.0,244.2250048,1,0.0,False
26075,0 days 00:57:54.700000,9717.726460820631,11862.867494916118,1925.070818458775,246.0,1,0.0,False
26076,0 days 00:57:54.809000,9652.0,11827.0,1925.0,248.11944817777777,1,-0.40809250445979367,False
26077,0 days 00:57:55.009000,9518.0,11756.0,1925.0,252.00833706666666,1,-0.34572998947803324,False
26078,0 days 00:57:55.060000,9485.081667968472,11738.616001088149,1925.0402477371156,253.0,1,-0.32392892743052126,False
26079,0 days 00:57:55.249000,9368.0,11676.0,1925.0,257.7250048,1,-0.27701174205531853,False
26080,0 days 00:57:55.300000,9335.747991896053,11658.237574109793,1924.7692244494065,259.0,1,-0.2575223632674033,False
26081,0 days 00:57:55.429000,9255.0,11613.0,1924.0,261.58000384,1,-0.20786859173920455,False
26082,0 days 00:57:55.700000,9089.331822713682,11518.538587579784,1923.8937003375065,267.0,1,-0.150711644346371,False
26083,0 days 00:57:55.729000,9064.0,11504.0,1924.0,267.43500288,1,-0.13411837077610098,False
26084,0 days 00:57:55.949000,8843.0,11377.0,1925.0,270.73500288,1,-0.06468989677724017,False
26085,0 days 00:57:56.100000,8785.219295522045,11343.76851434302,1924.4179901601597,273.0,1,-0.053077439659889765,False
26086,0 days 00:57:56.209000,8750.0,11324.0,1924.0,274.3625024,1,-0.021290669971646258,False
26087,0 days 00:57:56.260000,8723.061637505227,11308.989447997088,1923.9861731969693,275.0,1,-0.01316464409015919,False
26088,0 days 00:57:56.460000,8562.834930471257,11220.04900306698,1924.8353322468886,277.0,1,0.024789556256322735,False
26089,0 days 00:57:56.569000,8480.0,11174.0,1925.0,279.7250048,1,0.04040542742066523,False
26090,0 days 00:57:56.660000,8422.760699199756,11142.082855390403,1924.767639354519,282.0,1,0.06813274797153165,False
26091,0 days 00:57:56.889000,8288.0,11066.0,1924.0,285.27143131428573,1,0.08131880405621243,False
26092,0 days 00:57:56.940000,8247.354350146006,11042.793388478762,1924.2133713840994,286.0,1,0.10519199264709941,False
26093,0 days 00:57:57.149000,8052.0,10930.0,1926.0,289.48333653333333,1,0.12505552410919207,False
26094,0 days 00:57:57.300000,7916.7176336611765,10849.551955975803,1926.729331993762,292.0,1,0.1418905122539633,False
26095,0 days 00:57:57.569000,7719.0,10728.0,1927.0,293.4944455111111,1,0.15753047957768596,False
26096,0 days 00:57:57.660000,7673.720476229969,10699.269432534067,1927.0309798422372,294.0,1,0.17514214176634252,False
26097,0 days 00:57:57.820000,7616.213653197442,10661.024230925614,1927.0318897482366,296.0,1,0.1768583929979648,False
26098,0 days 00:57:57.949000,7555.0,10618.0,1927.0,297.0750016,1,0.18823938736746068,False
26099,0 days 00:57:58.169000,7408.0,10511.0,1927.0,298.9083349333333,1,0.1876072892058569,False
26100,0 days 00:57:58.180000,7400.5319729771245,10505.334222807724,1927.0158657547076,299.0,1,0.19247377054019457,False
26101,0 days 00:57:58.369000,7276.0,10407.0,1927.0,302.1500032,1,0.18906192527807247,False
26102,0 days 00:57:58.420000,7242.2289409306495,10379.490594616542,1926.4856770311642,303.0,1,0.18848619533310088,False
26103,0 days 00:57:58.529000,7171.0,10321.0,1925.0,303.9083349333333,1,0.18520332972424916,False
