,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-6221.712449597312,633.9375062466913,863.8078450796276,253.0,1,0.0,False
25391,0 days 00:56:06.775000,-6202.0,768.0,871.0,250.0,1,0.0,False
25392,0 days 00:56:06.895000,-6186.51525960823,851.1183789741559,875.6775816002554,247.0,1,0.0,False
25393,0 days 00:56:07.055000,-6170.589746090602,894.7876885088663,878.4981877291215,244.0,1,0.0,False
25394,0 days 00:56:07.195000,-6149.0,948.0,881.0,235.6,1,0.0,False
25395,0 days 00:56:07.355000,-6112.0,1044.0,885.0,226.0,1,0.0,False
25396,0 days 00:56:07.455000,-6081.184754039057,1114.9895664794938,888.8057689327279,220.0,1,0.0,False
25397,0 days 00:56:07.655000,-6018.0,1249.0,897.0,202.5,1,0.0,False
25398,0 days 00:56:07.855000,-5987.992718395009,1310.5087197898908,900.1166176729529,185.0,1,0.0,False
25399,0 days 00:56:08.095000,-5958.0,1374.0,903.0,160.0,1,0.0,False
25400,0 days 00:56:08.315000,-5903.0,1497.0,910.0,147.35,1,0.0,False
25401,0 days 00:56:08.495000,-5889.36117555987,1532.506072187929,910.9437937197473,137.0,1,0.0,False
25402,0 days 00:56:08.575000,-5886.0,1544.0,911.0,131.85714285714286,1,0.0,False
25403,0 days 00:56:08.775000,-5870.370873552013,1594.4641576769707,912.4852210331156,119.0,1,0.0,False
25404,0 days 00:56:08.915000,-5862.0,1646.0,914.0,111.41666666666667,1,0.0,False
25405,0 days 00:56:09.015000,-5860.656327730516,1690.1188247756143,915.0654896106415,106.0,1,0.0,False
25406,0 days 00:56:09.135000,-5862.0,1737.0,916.0,102.0,1,0.0,False
25407,0 days 00:56:09.255000,-5863.823336357716,1759.2072317339155,916.1416387286021,98.0,1,0.0,False
25408,0 days 00:56:09.415000,-5871.0,1775.0,916.0,93.5,1,0.0,False
25409,0 days 00:56:09.575000,-5889.435121213178,1810.8586109787627,916.794962994281,89.0,1,0.0,False
25410,0 days 00:56:09.735000,-5913.090295172131,1851.7410072660202,917.8948791407661,89.0,1,0.0,False
25411,0 days 00:56:09.756000,-5916.0,1856.0,918.0,88.05500288,1,0.0,False
25412,0 days 00:56:09.935000,-5938.927644757418,1881.7835918482851,918.5224569195384,80.0,1,0.0,False
25413,0 days 00:56:10.116000,-5964.0,1899.0,919.0,76.71655397247042,1,0.0,False
25414,0 days 00:56:10.336000,-6003.0,1920.0,920.0,72.72562368807237,1,0.0,False
25415,0 days 00:56:10.376000,-6010.375750863643,1922.6936146615124,920.0224546058927,72.0,1,0.0,False
25416,0 days 00:56:10.436000,-6022.0,1926.0,920.0,71.1,1,0.0,False
25417,0 days 00:56:10.576000,-6055.1606621636365,1931.1080114472138,920.1682060184781,69.0,1,0.0,False
25418,0 days 00:56:10.796000,-6113.0,1931.0,921.0,67.9,1,0.0,False
25419,0 days 00:56:10.976000,-6150.910619580071,1922.5201717157365,922.0979866501144,67.0,1,0.0,False
25420,0 days 00:56:11.136000,-6177.0,1913.0,923.0,69.66666666666667,1,0.0,False
25421,0 days 00:56:11.216000,-6187.312759795073,1908.9276121203366,923.3023533041245,71.0,1,0.0,False
25422,0 days 00:56:11.476000,-6217.0,1893.0,924.0,75.64285714285714,1,0.0,False
25423,0 days 00:56:11.496000,-6219.993506577481,1890.9664535798308,924.0790932610952,76.0,1,0.0,False
25424,0 days 00:56:11.696000,-6255.182322099192,1864.1008523073112,924.9418723399176,80.0,1,0.0,False
25425,0 days 00:56:11.735000,-6262.0,1858.0,925.0,80.4875008,1,0.0,False
25426,0 days 00:56:11.855000,-6282.0,1838.0,925.0,81.9875008,1,0.0,False
25427,0 days 00:56:11.856000,-6282.163643161416,1837.8267108731884,925.0019115744379,82.0,1,0.0,False
25428,0 days 00:56:12.055000,-6314.0,1801.0,926.0,87.52777955555555,1,0.0,False
25429,0 days 00:56:12.216000,-6337.989905271478,1766.6560879655383,926.1133357035355,92.0,1,0.0,False
25430,0 days 00:56:12.335000,-6355.0,1739.0,926.0,96.25000228571429,1,2.257420433300817,True
25431,0 days 00:56:12.496000,-6377.525225938217,1699.064527650887,925.9950625660604,102.0,1,2.1655113710787908,True
25432,0 days 00:56:12.535000,-6383.0,1689.0,926.0,102.9780578351232,1,2.0964434981675413,True
25433,0 days 00:56:12.815000,-6423.089474127773,1612.691840867306,926.0005092199804,110.0,1,1.9412336362185165,True
25434,0 days 00:56:12.835000,-6426.0,1607.0,926.0,110.58333333333333,1,1.84678392206052,True
25435,0 days 00:56:13.035000,-6456.0,1548.0,926.0,116.41666666666667,1,1.6322391422034865,True
25436,0 days 00:56:13.055000,-6459.226400568242,1541.7901242442474,926.0011274372326,117.0,1,1.4798240822138713,True
25437,0 days 00:56:13.195000,-6483.0,1497.0,926.0,125.94444444444444,1,1.0863412364340257,True
25438,0 days 00:56:13.295000,-6501.0,1464.0,926.0,132.33333333333334,1,0.8763100689281507,True
25439,0 days 00:56:13.415000,-6526.284603242672,1417.990961612435,926.3824863849779,140.0,1,0.5940731590810159,True
25440,0 days 00:56:13.575000,-6564.0,1350.0,927.0,148.57142857142858,1,0.28417430722995984,False
25441,0 days 00:56:13.695000,-6592.527104519735,1299.3262321790614,926.9389379102005,155.0,1,0.15572599300576734,False
25442,0 days 00:56:13.815000,-6621.0,1250.0,927.0,159.66666666666666,1,0.07874598889699883,False
25443,0 days 00:56:13.995000,-6664.0,1179.0,928.0,166.66666666666666,1,-0.059002272857204816,False
25444,0 days 00:56:14.055000,-6679.363626519894,1154.4662689437446,928.0953995485216,169.0,1,-0.14801955275263945,False
25445,0 days 00:56:14.195000,-6716.0,1097.0,928.0,174.25,1,-0.2476062553612493,False
25446,0 days 00:56:14.295000,-6740.358811148971,1059.1646192078085,928.2434263609191,178.0,1,-0.3382317363138745,False
