,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-13184.504251092367,1513.9746376137198,869.2845695732157,212.0,1,0.0,False
25391,0 days 00:56:06.775000,-13091.0,1442.0,860.0,214.5,1,0.0,False
25392,0 days 00:56:06.895000,-13031.708455159836,1396.6912087592518,854.1944449367184,217.0,1,0.0,False
25393,0 days 00:56:07.055000,-12997.103922541044,1371.0452017076539,851.0117863142871,220.0,1,0.0,False
25394,0 days 00:56:07.195000,-12952.0,1338.0,847.0,224.2,1,0.0,False
25395,0 days 00:56:07.355000,-12870.0,1278.0,840.0,229.0,1,0.0,False
25396,0 days 00:56:07.455000,-12806.842074328188,1232.587848925777,835.6389568160854,232.0,1,0.0,False
25397,0 days 00:56:07.655000,-12681.0,1143.0,828.0,236.0,1,0.0,False
25398,0 days 00:56:07.855000,-12609.979303505372,1091.873411063135,822.6336434310873,240.0,1,0.0,False
25399,0 days 00:56:08.095000,-12500.0,1018.0,817.0,245.0,1,0.0,False
25400,0 days 00:56:08.315000,-12302.0,890.0,811.0,249.4,1,0.0,False
25401,0 days 00:56:08.495000,-12240.56318182119,851.6979851845535,809.3998493710186,253.0,1,0.0,False
25402,0 days 00:56:08.575000,-12218.0,838.0,809.0,254.42857142857142,1,0.0,False
25403,0 days 00:56:08.775000,-12119.793507853754,777.3201573978155,807.4839949862953,258.0,1,0.0,False
25404,0 days 00:56:08.915000,-12009.0,711.0,807.0,259.75,1,0.0,False
25405,0 days 00:56:09.015000,-11906.16086848443,651.0791296657248,807.3348895738466,261.0,1,0.0,False
25406,0 days 00:56:09.135000,-11793.0,586.0,808.0,263.5,1,0.0,False
25407,0 days 00:56:09.255000,-11737.53838558765,554.7942995038246,808.3304714791458,266.0,1,0.0,False
25408,0 days 00:56:09.415000,-11689.0,529.0,809.0,267.5,1,0.0,False
25409,0 days 00:56:09.575000,-11575.592532807455,467.4572764940225,811.0261072296711,269.0,1,0.0,False
25410,0 days 00:56:09.735000,-11440.195985758271,394.14231803982005,813.6768524103906,272.0,1,0.0,False
25411,0 days 00:56:09.756000,-11425.0,386.0,814.0,272.20999936,1,0.0,False
25412,0 days 00:56:09.935000,-11319.992049526269,330.68883689788527,816.5166800813639,274.0,1,0.0,False
25413,0 days 00:56:10.116000,-11222.0,281.0,819.0,275.2312922603236,1,0.0,False
25414,0 days 00:56:10.336000,-11071.0,206.0,823.0,276.72789111697284,1,0.0,False
25415,0 days 00:56:10.376000,-11043.64944346391,192.61054968778774,824.1545499417446,277.0,1,0.0,False
25416,0 days 00:56:10.436000,-11001.0,172.0,826.0,277.6,1,0.0,False
25417,0 days 00:56:10.576000,-10878.402748774351,114.76944802082953,829.604593819264,279.0,1,0.0,False
25418,0 days 00:56:10.796000,-10661.0,18.0,834.0,280.1,1,0.0,False
25419,0 days 00:56:10.976000,-10513.055376312326,-42.83762852638574,837.4159300573405,281.0,1,0.0,False
25420,0 days 00:56:11.136000,-10413.0,-82.0,840.0,283.0,1,0.0,False
25421,0 days 00:56:11.216000,-10376.47264307693,-96.16751360849833,841.0249172603054,284.0,1,0.0,False
25422,0 days 00:56:11.476000,-10273.0,-135.0,844.0,285.85714285714283,1,0.0,False
25423,0 days 00:56:11.496000,-10260.89859216263,-139.45860084822544,844.3014486291524,286.0,1,0.0,False
25424,0 days 00:56:11.696000,-10108.51512671717,-195.07800384447054,848.076136476906,287.0,1,0.0,False
25425,0 days 00:56:11.735000,-10078.0,-206.0,849.0,287.2437504,1,0.0,False
25426,0 days 00:56:11.855000,-9987.0,-238.0,852.0,287.9937504,1,0.0,False
25427,0 days 00:56:11.856000,-9986.244911658476,-238.2621471257289,852.0212345639986,288.0,1,0.0,False
25428,0 days 00:56:12.055000,-9835.0,-290.0,855.0,289.10555591111114,1,0.0,False
25429,0 days 00:56:12.216000,-9711.831144738208,-332.02195853826305,857.9864659806193,290.0,1,0.0,False
25430,0 days 00:56:12.335000,-9621.0,-363.0,860.0,290.85000045714287,1,0.16044332916170273,False
25431,0 days 00:56:12.496000,-9498.411858792835,-404.6961408635606,861.6678523884584,292.0,1,0.1507842849757448,False
25432,0 days 00:56:12.535000,-9468.0,-415.0,862.0,292.24451445878077,1,0.14804342080772387,False
25433,0 days 00:56:12.815000,-9243.264756936016,-490.8247147667275,863.9427370300737,294.0,1,0.14758122120696832,False
25434,0 days 00:56:12.835000,-9228.0,-496.0,864.0,294.0833333333333,1,0.1590982003658233,False
25435,0 days 00:56:13.035000,-9081.0,-546.0,864.0,294.9166666666667,1,0.1532787989490775,False
25436,0 days 00:56:13.055000,-9065.776758136713,-551.1446469655986,863.9937472638538,295.0,1,0.1675825194855666,False
25437,0 days 00:56:13.195000,-8956.0,-588.0,864.0,295.3888888888889,1,0.18087562196573978,False
25438,0 days 00:56:13.295000,-8878.0,-614.0,864.0,295.6666666666667,1,0.1793841351312333,False
25439,0 days 00:56:13.415000,-8784.423663622129,-645.2047718875854,863.9993925732823,296.0,1,0.21676542208145402,False
25440,0 days 00:56:13.575000,-8659.0,-687.0,864.0,297.14285714285717,1,0.20824968262935054,False
