,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,1661.3492381623375,-3502.436528801889,722.1028953722079,198.0,1,0.0,False
25391,0 days 00:56:06.775000,1564.0,-3459.0,727.0,195.0,1,0.0,False
25392,0 days 00:56:06.895000,1501.9945847287256,-3434.9073112073243,729.8757773892087,192.0,1,0.0,False
25393,0 days 00:56:07.055000,1465.267088188268,-3429.05442603481,731.083012534502,193.0,1,0.0,False
25394,0 days 00:56:07.195000,1418.0,-3424.0,733.0,193.7,1,0.0,False
25395,0 days 00:56:07.355000,1331.0,-3413.0,737.0,194.5,1,0.0,False
25396,0 days 00:56:07.455000,1258.3601372704868,-3406.950340831916,740.2993055283439,195.0,1,0.0,False
25397,0 days 00:56:07.655000,1107.0,-3399.0,747.0,199.5,1,0.0,False
25398,0 days 00:56:07.855000,1024.0997444949614,-3397.4768474963603,750.3482235994338,204.0,1,0.0,False
25399,0 days 00:56:08.095000,913.0,-3385.0,753.0,211.0,1,0.0,False
25400,0 days 00:56:08.315000,719.0,-3349.0,757.0,209.35,1,0.0,False
25401,0 days 00:56:08.495000,663.010813711956,-3332.606120075739,757.8463394184276,208.0,1,0.0,False
25402,0 days 00:56:08.575000,644.0,-3324.0,758.0,205.71428571428572,1,0.0,False
25403,0 days 00:56:08.775000,559.084923356801,-3287.5951013381855,758.8449920164162,200.0,1,0.0,False
25404,0 days 00:56:08.915000,474.0,-3238.0,759.0,196.5,1,0.0,False
25405,0 days 00:56:09.015000,402.64737023216514,-3186.02590230785,758.5731224474196,194.0,1,0.0,False
25406,0 days 00:56:09.135000,327.0,-3126.0,758.0,192.0,1,0.0,False
25407,0 days 00:56:09.255000,289.919007977802,-3094.850468766115,758.0400224010817,190.0,1,0.0,False
25408,0 days 00:56:09.415000,263.0,-3064.0,758.0,187.0,1,0.0,False
25409,0 days 00:56:09.575000,207.12520312348715,-2995.366993999038,756.3260467739411,184.0,1,0.0,False
25410,0 days 00:56:09.735000,144.5260272522711,-2913.3646420110617,754.1985172870839,184.0,1,0.0,False
25411,0 days 00:56:09.756000,138.0,-2904.0,754.0,183.4750016,1,0.0,False
25412,0 days 00:56:09.935000,98.43175614252664,-2837.4989464285063,753.0754708643555,179.0,1,0.0,False
25413,0 days 00:56:10.116000,73.0,-2772.0,752.0,179.4104307534412,1,0.0,False
25414,0 days 00:56:10.336000,44.0,-2669.0,749.0,179.90929703899096,1,0.0,False
