,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-3689.750353091426,-2048.4219284384967,847.5654950058058,276.0,1,0.0,False
25391,0 days 00:56:06.775000,-3784.0,-2161.0,846.0,269.5,1,0.0,False
25392,0 days 00:56:06.895000,-3842.42503691363,-2231.2046017939438,845.2579726258558,263.0,1,0.0,False
25393,0 days 00:56:07.055000,-3873.2687689745376,-2267.9060255461877,845.2201068378855,258.0,1,0.0,False
25394,0 days 00:56:07.195000,-3912.0,-2305.0,844.0,253.45,1,0.0,False
25395,0 days 00:56:07.355000,-3989.0,-2364.0,841.0,248.25,1,0.0,False
25396,0 days 00:56:07.455000,-4067.5755766386515,-2396.353069335672,839.1425275068387,245.0,1,0.0,False
25397,0 days 00:56:07.655000,-4248.0,-2443.0,836.0,242.5,1,0.0,False
25398,0 days 00:56:07.855000,-4346.865921385623,-2463.6859325494365,833.8108562366428,240.0,1,0.0,False
25399,0 days 00:56:08.095000,-4477.0,-2483.0,830.0,239.0,1,0.0,False
25400,0 days 00:56:08.315000,-4704.0,-2520.0,824.0,237.9,1,0.0,False
25401,0 days 00:56:08.495000,-4770.6014889055095,-2530.4196046668294,823.1777450203103,237.0,1,0.0,False
25402,0 days 00:56:08.575000,-4793.0,-2534.0,823.0,232.42857142857142,1,0.0,False
25403,0 days 00:56:08.775000,-4890.757194001274,-2550.4609414270344,820.9308869824569,221.0,1,0.0,False
25404,0 days 00:56:08.915000,-4989.0,-2562.0,818.0,204.08333333333334,1,0.0,False
25405,0 days 00:56:09.015000,-5072.0259143008825,-2567.809413679293,815.1201242058413,192.0,1,0.0,False
25406,0 days 00:56:09.135000,-5160.0,-2572.0,812.0,185.0,1,0.0,False
25407,0 days 00:56:09.255000,-5202.214632746652,-2573.0230138272796,810.7842680537723,178.0,1,0.0,False
25408,0 days 00:56:09.415000,-5234.0,-2570.0,810.0,168.5,1,0.0,False
25409,0 days 00:56:09.575000,-5305.904109615513,-2562.748072209611,807.0695356984824,159.0,1,0.0,False
25410,0 days 00:56:09.735000,-5389.85141718297,-2552.4624816439837,803.3987729724403,150.0,1,0.0,False
25411,0 days 00:56:09.756000,-5399.0,-2551.0,803.0,149.58000128,1,0.0,False
25412,0 days 00:56:09.935000,-5459.196200376151,-2537.4816514861163,800.391631832667,146.0,1,0.0,False
25413,0 days 00:56:10.116000,-5508.0,-2516.0,799.0,143.5374154793528,1,0.0,False
25414,0 days 00:56:10.336000,-5575.0,-2472.0,799.0,140.5442177660543,1,0.0,False
25415,0 days 00:56:10.376000,-5585.970721300941,-2462.316160775461,799.3501575776028,140.0,1,0.0,False
25416,0 days 00:56:10.436000,-5602.0,-2446.0,800.0,139.1,1,0.0,False
25417,0 days 00:56:10.576000,-5641.715109833493,-2393.786679301269,801.4173742022174,137.0,1,0.0,False
25418,0 days 00:56:10.796000,-5699.0,-2293.0,803.0,135.35,1,0.0,False
25419,0 days 00:56:10.976000,-5726.152865777946,-2220.8808111454273,803.2807966406814,134.0,1,0.0,False
25420,0 days 00:56:11.136000,-5740.0,-2168.0,803.0,137.33333333333334,1,0.0,False
25421,0 days 00:56:11.216000,-5744.865808809815,-2146.393476000388,802.7503206041404,139.0,1,0.0,False
25422,0 days 00:56:11.476000,-5755.0,-2079.0,802.0,146.42857142857142,1,0.0,False
25423,0 days 00:56:11.496000,-5755.832843728341,-2071.879993804933,802.0075859709981,147.0,1,0.0,False
25424,0 days 00:56:11.696000,-5765.086674612789,-1986.1990978993827,802.2259416286097,152.0,1,0.0,False
25425,0 days 00:56:11.735000,-5767.0,-1969.0,802.0,152.4875008,1,0.0,False
25426,0 days 00:56:11.855000,-5773.0,-1917.0,801.0,153.9875008,1,0.0,False
25427,0 days 00:56:11.856000,-5773.050137334572,-1916.5645065195463,800.9995290787208,154.0,1,0.0,False
25428,0 days 00:56:12.055000,-5784.0,-1828.0,801.0,161.73889137777778,1,0.0,False
25429,0 days 00:56:12.216000,-5797.820670831294,-1753.537847741563,788.0251463180444,168.0,1,0.0,False
25430,0 days 00:56:12.335000,-5810.0,-1697.0,801.0,175.22500388571427,1,-1.3429143969329722,True
25431,0 days 00:56:12.496000,-5827.631995524432,-1618.4989023686999,869.4271537773812,185.0,1,-1.260286121456946,True
25432,0 days 00:56:12.535000,-5832.0,-1599.0,878.0,185.9780578351232,1,-1.2218346063979075,True
25433,0 days 00:56:12.815000,-5863.733868459321,-1453.5790574343825,804.6556466847219,193.0,1,-1.163122074012392,True
25434,0 days 00:56:12.835000,-5866.0,-1443.0,801.0,193.5,1,-1.1448426702055068,True
25435,0 days 00:56:13.035000,-5889.0,-1336.0,801.0,198.5,1,-1.0728347167371366,True
25436,0 days 00:56:13.055000,-5891.438467509292,-1325.0763656194324,801.4000645534635,199.0,1,-1.0440185076991906,True
25437,0 days 00:56:13.195000,-5909.0,-1247.0,801.0,204.05555555555554,1,-0.9614053078220424,True
25438,0 days 00:56:13.295000,-5921.0,-1190.0,801.0,207.66666666666666,1,-0.9100587014981006,True
25439,0 days 00:56:13.415000,-5933.932167428278,-1129.0083953749763,801.3571589690146,212.0,1,-0.8479477356214372,True
25440,0 days 00:56:13.575000,-5951.0,-1050.0,802.0,216.57142857142858,1,-0.7363436939191129,True
25441,0 days 00:56:13.695000,-5966.0257276096645,-980.6678972496898,802.3525771966587,220.0,1,-0.6947238107103192,True
25442,0 days 00:56:13.815000,-5982.0,-907.0,803.0,222.66666666666666,1,-0.6746762070707552,True
25443,0 days 00:56:13.995000,-6006.0,-796.0,805.0,226.66666666666666,1,-0.61749477098046,True
25444,0 days 00:56:14.055000,-6014.14959893536,-757.9975508659546,805.5975752461525,228.0,1,-0.5657652931198195,True
25445,0 days 00:56:14.195000,-6033.0,-670.0,807.0,231.5,1,-0.5198714389753722,True
25446,0 days 00:56:14.295000,-6045.561604486984,-612.1553091049799,808.4821383728048,234.0,1,-0.47005798404983584,False
25447,0 days 00:56:14.455000,-6069.0,-503.0,812.0,237.0,1,-0.4373139877852521,False
25448,0 days 00:56:14.615000,-6103.789127705756,-335.5566474570268,817.1859879103395,240.0,1,-0.42129158881462264,False
25449,0 days 00:56:14.675000,-6115.0,-281.0,819.0,240.375,1,-0.3819713598021061,False
25450,0 days 00:56:14.775000,-6128.147148876181,-216.25439617105212,821.4778670650783,241.0,1,-0.34905804592595713,False
25451,0 days 00:56:15.035000,-6147.0,-121.0,827.0,243.78571428571428,1,-0.3331675402638067,False
25452,0 days 00:56:15.055000,-6149.202325468924,-110.21207705293196,827.5918349958371,244.0,1,-0.30007544896588156,False
25453,0 days 00:56:15.275000,-6179.0,39.0,835.0,246.75,1,-0.2955260616362723,False
25454,0 days 00:56:15.455000,-6199.686919096845,161.59661612861703,840.1423175244093,249.0,1,-0.26904891536197806,False
25455,0 days 00:56:15.475000,-6202.0,175.0,841.0,249.1,1,-0.25637981008650806,False
25456,0 days 00:56:15.535000,-6209.0,216.0,844.0,249.4,1,-0.2446097593169816,False
25457,0 days 00:56:15.655000,-6220.855406968538,318.29787977597425,849.9816370002078,250.0,1,-0.23041678937829396,False
25458,0 days 00:56:15.855000,-6232.3024936598395,514.8377283523021,858.6440911840544,251.0,1,-0.20460845885552736,False
25459,0 days 00:56:15.895000,-6233.0,546.0,860.0,251.2,1,-0.1901032217309331,False
25460,0 days 00:56:16.255000,-6214.109501004713,719.8042347986262,868.1352351714243,253.0,1,-0.12285439378849707,False
25461,0 days 00:56:16.316000,-6206.0,754.0,870.0,252.39000064,1,-0.08570629459361327,False
25462,0 days 00:56:16.455000,-6182.149161536769,847.6578026791763,875.2284940194854,251.0,1,-0.02287513149324389,False
25463,0 days 00:56:16.476000,-6178.0,862.0,876.0,249.51250453333333,1,0.0010731443284963428,False
25464,0 days 00:56:16.656000,-6138.0,978.0,882.0,236.76250453333333,1,0.10243410693145857,False
25465,0 days 00:56:16.695000,-6128.825055029021,1001.5068674338361,883.3401675867127,234.0,1,0.14398820242051213,False
25466,0 days 00:56:16.836000,-6095.0,1082.0,888.0,218.5671662701425,1,0.2655610743329116,False
25467,0 days 00:56:16.896000,-6080.5407078876115,1114.4061204615289,889.4540652477589,212.0,1,0.3347795629741987,False
25468,0 days 00:56:17.016000,-6052.0,1176.0,892.0,198.8,1,0.5694404061773977,True
25469,0 days 00:56:17.096000,-6033.748337636429,1214.6877504459353,894.2505973164715,190.0,1,0.6769558014087022,True
25470,0 days 00:56:17.256000,-6000.0,1285.0,899.0,178.57142857142858,1,0.8766795406911354,True
25471,0 days 00:56:17.376000,-5978.224009851489,1329.6769058719817,901.1215436230572,170.0,1,1.1038927773157552,True
25472,0 days 00:56:17.516000,-5955.0,1378.0,903.0,157.55555555555554,1,1.3470163121866325,True
25473,0 days 00:56:17.736000,-5920.0,1456.0,907.0,138.0,1,1.575064883269468,True
25474,0 days 00:56:17.916000,-5897.0,1513.0,910.0,126.3,1,1.7898036425058814,True
25475,0 days 00:56:17.936000,-5894.7495393062145,1519.1754986469323,910.364177311644,125.0,1,1.9031953680957587,True
25476,0 days 00:56:18.096000,-5879.0,1567.0,913.0,115.66666666666667,1,2.0210198449615913,True
25477,0 days 00:56:18.275000,-5867.0,1617.0,913.0,105.22499626666666,1,2.0809609855324522,True
25478,0 days 00:56:18.296000,-5865.974832393555,1624.4771238276,912.99992618891,104.0,1,2.1147915106508877,True
25479,0 days 00:56:18.535000,-5860.0,1720.0,914.0,100.0166656,1,2.2256097212840147,True
25480,0 days 00:56:18.536000,-5859.997804515892,1720.2680365398421,914.0065499897244,100.0,1,2.252351714940339,True
25481,0 days 00:56:18.736000,-5863.259291620483,1744.756566746594,915.5351834043606,91.0,1,2.3004608481934152,True
25482,0 days 00:56:18.815000,-5866.0,1753.0,916.0,90.34166613333333,1,2.3154035299133824,True
25483,0 days 00:56:18.976000,-5873.6719614490175,1782.9601896806928,916.4397339313043,89.0,1,2.3699092615902164,True
25484,0 days 00:56:19.095000,-5888.0,1814.0,917.0,85.42999808,1,2.4060396358525464,True
25485,0 days 00:56:19.176000,-5904.579698344183,1838.516401017563,917.7525853245493,83.0,1,2.433698387244668,True
25486,0 days 00:56:19.295000,-5932.0,1873.0,919.0,81.37357567218942,1,2.465664967949633,True
25487,0 days 00:56:19.615000,-5970.684111318836,1907.4864719100735,920.0455194279161,77.0,1,2.4945062924492696,True
25488,0 days 00:56:19.775000,-5991.0,1915.0,920.0,75.0,1,2.5144548752701987,True
25489,0 days 00:56:19.955000,-6024.0,1926.0,920.0,72.75,1,2.5214811659990555,True
25490,0 days 00:56:20.015000,-6035.927939143937,1928.7173862316872,920.1754239287246,72.0,1,2.5218776414050224,True
25491,0 days 00:56:20.215000,-6076.0,1933.0,921.0,70.33333333333333,1,2.526322818828307,True
25492,0 days 00:56:20.355000,-6102.0,1932.0,921.0,69.16666666666667,1,2.5144269452619734,True
25493,0 days 00:56:20.375000,-6105.713119551084,1931.6103090052654,921.0191484978864,69.0,1,2.5283204535773884,True
25494,0 days 00:56:20.535000,-6135.857409302962,1926.3214893154477,921.5198387595691,68.0,1,2.527884019643156,True
25495,0 days 00:56:20.635000,-6155.0,1921.0,922.0,69.5,1,2.5113675974318403,True
25496,0 days 00:56:20.735000,-6174.321714245015,1914.1097119227627,922.5433062222522,71.0,1,2.4954832611256945,True
25497,0 days 00:56:20.815000,-6189.0,1908.0,923.0,71.8,1,2.4553942324661158,True
25498,0 days 00:56:20.935000,-6208.907404608638,1898.1563594056827,923.6855225453037,73.0,1,2.4202463496999655,True
25499,0 days 00:56:20.995000,-6221.0,1890.0,924.0,73.9,1,2.388693500063669,True
25500,0 days 00:56:21.135000,-6259.517376044864,1858.0871615805386,924.6147307277763,76.0,1,2.328923191245394,True
25501,0 days 00:56:21.235000,-6284.0,1836.0,925.0,77.66666666666667,1,2.2587357791588514,True
25502,0 days 00:56:21.375000,-6301.262212055898,1818.721410589453,925.5159511214923,80.0,1,2.200657992601197,True
25503,0 days 00:56:21.575000,-6314.0,1800.0,926.0,84.28571428571429,1,2.13708647969328,True
25504,0 days 00:56:21.655000,-6324.919238182232,1785.0965391188706,926.0211942280497,86.0,1,2.0209850324935,True
25505,0 days 00:56:21.735000,-6337.0,1768.0,926.0,88.0,1,1.975890911571578,True
25506,0 days 00:56:21.855000,-6353.0121409317735,1742.2734005916918,925.9961943508597,91.0,1,1.839875809032649,True
25507,0 days 00:56:21.935000,-6364.0,1723.0,926.0,93.66666666666667,1,1.7705540842669731,True
25508,0 days 00:56:22.215000,-6409.557162067918,1638.213916846416,925.9995966107826,103.0,1,1.514070104939865,True
25509,0 days 00:56:22.275000,-6418.0,1622.0,926.0,104.125,1,1.3882454877390564,True
25510,0 days 00:56:22.375000,-6429.898013796079,1598.7658587492692,926.0024060846657,106.0,1,1.1919830130156035,True
25511,0 days 00:56:22.615000,-6459.0,1542.0,926.0,117.0,1,0.9225807999099612,True
25512,0 days 00:56:22.775000,-6493.704449186313,1477.4124002961978,925.9754927905772,117.0,1,0.644957507132845,True
25513,0 days 00:56:22.856000,-6513.0,1442.0,926.0,122.20713874285714,1,0.4293433758687359,False
25514,0 days 00:56:23.055000,-6559.336295583134,1358.2717734677503,926.2453943171615,135.0,1,0.17257286581715345,False
25515,0 days 00:56:23.276000,-6609.0,1271.0,927.0,145.0226742890049,1,0.036446879357273844,False
25516,0 days 00:56:23.476000,-6653.0,1197.0,928.0,154.09297038990954,1,-0.1264988485976285,False
25517,0 days 00:56:23.496000,-6657.551630593221,1189.726654405117,928.0320672157746,155.0,1,-0.18028194963318478,False
25518,0 days 00:56:23.596000,-6681.0,1153.0,928.0,160.83333333333334,1,-0.24279129788167,False
25519,0 days 00:56:23.736000,-6716.264879714024,1097.166605820852,927.8497980932161,169.0,1,-0.3683306558322491,False
25520,0 days 00:56:23.856000,-6748.0,1047.0,928.0,172.375,1,-0.42898368877116244,False
25521,0 days 00:56:24.036000,-6797.0,971.0,929.0,177.4375,1,-0.5245193992672528,True
25522,0 days 00:56:24.056000,-6802.548293181594,962.5125570051362,929.1028336593615,178.0,1,-0.5539423753918823,True
25523,0 days 00:56:24.296000,-6873.0,856.0,930.0,188.8,1,-0.6343238783283437,True
25524,0 days 00:56:24.456000,-6928.948422742209,771.3073726251685,930.6248686255942,196.0,1,-0.7062266774476769,True
