,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-5630.146193736054,-2408.2305836019755,800.1938221340924,134.0,1,0.0,False
25391,0 days 00:56:06.775000,-5672.0,-2349.0,802.0,131.5,1,0.0,False
25392,0 days 00:56:06.895000,-5696.358758386301,-2310.218324221212,802.9520316645439,129.0,1,0.0,False
25393,0 days 00:56:07.055000,-5705.331836019009,-2284.9579509132836,803.0401171994084,132.0,1,0.0,False
25394,0 days 00:56:07.195000,-5715.0,-2253.0,803.0,134.8,1,0.0,False
25395,0 days 00:56:07.355000,-5733.0,-2195.0,803.0,138.0,1,0.0,False
25396,0 days 00:56:07.455000,-5743.676580044545,-2144.347403825613,802.7793301986795,140.0,1,0.0,False
25397,0 days 00:56:07.655000,-5760.0,-2036.0,802.0,146.5,1,0.0,False
25398,0 days 00:56:07.855000,-5766.35399876276,-1976.474393240613,801.3896759261343,153.0,1,0.0,False
25399,0 days 00:56:08.095000,-5777.0,-1888.0,801.0,162.0,1,0.0,False
25400,0 days 00:56:08.315000,-5803.0,-1727.0,801.0,171.9,1,0.0,False
25401,0 days 00:56:08.495000,-5814.124338561116,-1676.817377245129,801.0026734778418,180.0,1,0.0,False
25402,0 days 00:56:08.575000,-5819.0,-1658.0,801.0,182.0,1,0.0,False
25403,0 days 00:56:08.775000,-5837.620508341161,-1575.405474573052,800.9973248284583,187.0,1,0.0,False
25404,0 days 00:56:08.915000,-5858.0,-1481.0,801.0,195.16666666666666,1,0.0,False
25405,0 days 00:56:09.015000,-5876.980393518479,-1392.6766215536,801.0046411103648,201.0,1,0.0,False
25406,0 days 00:56:09.135000,-5898.0,-1295.0,801.0,202.5,1,0.0,False
25407,0 days 00:56:09.255000,-5908.619256398939,-1246.4742786406573,800.9672935984219,204.0,1,0.0,False
25408,0 days 00:56:09.415000,-5918.0,-1204.0,801.0,210.0,1,0.0,False
25409,0 days 00:56:09.575000,-5938.561685695229,-1107.7662114371253,801.294006670761,216.0,1,0.0,False
25410,0 days 00:56:09.735000,-5963.170848522821,-992.2156466043416,801.8943962693508,221.0,1,0.0,False
25411,0 days 00:56:09.756000,-5966.0,-979.0,802.0,221.5249984,1,0.0,False
25412,0 days 00:56:09.935000,-5986.295404284205,-884.9380850075837,803.1528545586198,226.0,1,0.0,False
25413,0 days 00:56:10.116000,-6006.0,-794.0,805.0,229.69387678097078,1,0.0,False
25414,0 days 00:56:10.336000,-6036.0,-655.0,808.0,234.18367335091858,1,0.0,False
25415,0 days 00:56:10.376000,-6041.472701959857,-629.9952635855283,808.3708526385217,235.0,1,0.0,False
25416,0 days 00:56:10.436000,-6050.0,-591.0,809.0,235.9,1,0.0,False
25417,0 days 00:56:10.576000,-6074.202918605047,-478.1137492372475,812.2441170499687,238.0,1,0.0,False
25418,0 days 00:56:10.796000,-6116.0,-278.0,820.0,240.75,1,0.0,False
25419,0 days 00:56:10.976000,-6142.762579530004,-144.31333377631753,825.6755659677556,243.0,1,0.0,False
25420,0 days 00:56:11.136000,-6161.0,-51.0,830.0,245.0,1,0.0,False
25421,0 days 00:56:11.216000,-6168.262714097994,-13.858111998002737,831.8635426426301,246.0,1,0.0,False
25422,0 days 00:56:11.476000,-6189.0,97.0,838.0,246.92857142857142,1,0.0,False
25423,0 days 00:56:11.496000,-6191.031795946008,108.5997823636849,838.6355053685008,247.0,1,0.0,False
25424,0 days 00:56:11.696000,-6214.037185932344,247.51979950927606,845.8457701707749,250.0,1,0.0,False
25425,0 days 00:56:11.735000,-6218.0,275.0,847.0,250.2437504,1,0.0,False
25426,0 days 00:56:11.855000,-6228.0,357.0,850.0,250.9937504,1,0.0,False
