,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-9518.36854687508,9.064993098011971,897.3091815624799,276.0,1,0.0,False
25391,0 days 00:56:06.775000,-9663.0,53.0,892.0,277.5,1,0.0,False
25392,0 days 00:56:06.895000,-9754.223953121309,82.13103818286318,888.8818142281835,279.0,1,0.0,False
25393,0 days 00:56:07.055000,-9805.893680094267,101.91777872549999,887.7371623933622,281.0,1,0.0,False
25394,0 days 00:56:07.195000,-9870.0,127.0,887.0,282.05,1,0.0,False
25395,0 days 00:56:07.355000,-9987.0,172.0,886.0,283.25,1,0.0,False
25396,0 days 00:56:07.455000,-10082.569818326136,210.73340535940693,885.9391463138385,284.0,1,0.0,False
25397,0 days 00:56:07.655000,-10279.0,293.0,887.0,285.5,1,0.0,False
25398,0 days 00:56:07.855000,-10385.616271993658,338.2662167768855,888.7028162462592,287.0,1,0.0,False
25399,0 days 00:56:08.095000,-10518.0,418.0,894.0,287.0,1,0.0,False
25400,0 days 00:56:08.315000,-10744.0,571.0,903.0,288.1,1,0.0,False
25401,0 days 00:56:08.495000,-10810.288848612527,620.0429096027218,905.8789513139664,289.0,1,0.0,False
25402,0 days 00:56:08.575000,-10833.0,639.0,907.0,289.57142857142856,1,0.0,False
25403,0 days 00:56:08.775000,-10933.078487750294,721.9075977939614,911.8404739832754,291.0,1,0.0,False
25404,0 days 00:56:08.915000,-11036.0,822.0,916.0,291.0,1,0.0,False
25405,0 days 00:56:09.015000,-11124.576610323234,919.2503994368933,918.9915014107613,291.0,1,0.0,False
25406,0 days 00:56:09.135000,-11219.0,1028.0,922.0,291.5,1,0.0,False
25407,0 days 00:56:09.255000,-11264.049871756355,1081.5987963801276,923.6009469657319,292.0,1,0.0,False
25408,0 days 00:56:09.415000,-11297.0,1131.0,925.0,291.5,1,0.0,False
25409,0 days 00:56:09.575000,-11371.484957730177,1248.1992888468035,927.676468896862,291.0,1,0.0,False
25410,0 days 00:56:09.735000,-11456.967693121984,1389.8450595366535,930.6760025927229,292.0,1,0.0,False
25411,0 days 00:56:09.756000,-11466.0,1406.0,931.0,291.89500032,1,0.0,False
25412,0 days 00:56:09.935000,-11522.196458117305,1520.485926698343,933.0993153284658,291.0,1,0.0,False
25413,0 days 00:56:10.116000,-11567.0,1629.0,935.0,290.5895692465588,1,0.0,False
25414,0 days 00:56:10.336000,-11637.0,1792.0,938.0,290.0907029610091,1,0.0,False
25415,0 days 00:56:10.376000,-11649.5806323521,1821.3863607098465,938.4275406657877,290.0,1,0.0,False
25416,0 days 00:56:10.436000,-11669.0,1867.0,939.0,289.7,1,0.0,False
25417,0 days 00:56:10.576000,-11723.335881587018,1996.1259644317645,940.2495395874687,289.0,1,0.0,False
25418,0 days 00:56:10.796000,-11818.0,2219.0,942.0,288.45,1,0.0,False
25419,0 days 00:56:10.976000,-11882.868833423512,2362.394921010197,943.2643797699786,288.0,1,0.0,False
25420,0 days 00:56:11.136000,-11929.0,2459.0,944.0,282.6666666666667,1,0.0,False
25421,0 days 00:56:11.216000,-11947.515419020758,2496.394853261626,944.1477783701121,280.0,1,0.0,False
25422,0 days 00:56:11.476000,-12002.0,2600.0,944.0,254.92857142857142,1,0.0,False
