,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-13792.390298144666,2492.495332768733,940.1317384046816,158.0,1,0.0,False
25391,0 days 00:56:06.775000,-13795.0,2406.0,939.0,158.5,1,0.0,False
25392,0 days 00:56:06.895000,-13793.875298545287,2351.3266676489525,937.664711818271,159.0,1,0.0,False
25393,0 days 00:56:07.055000,-13786.600399004388,2320.0584419153242,935.6296374282546,162.0,1,0.0,False
25394,0 days 00:56:07.195000,-13775.0,2281.0,934.0,163.75,1,0.0,False
25395,0 days 00:56:07.355000,-13754.0,2210.0,932.0,165.75,1,0.0,False
25396,0 days 00:56:07.455000,-13731.446541345658,2152.968302158823,929.4756457685812,167.0,1,0.0,False
25397,0 days 00:56:07.655000,-13678.0,2037.0,923.0,171.0,1,0.0,False
25398,0 days 00:56:07.855000,-13647.265586068814,1974.4249386750068,919.079325019988,175.0,1,0.0,False
25399,0 days 00:56:08.095000,-13586.0,1897.0,912.0,182.0,1,0.0,False
25400,0 days 00:56:08.315000,-13467.0,1764.0,899.0,188.6,1,0.0,False
25401,0 days 00:56:08.495000,-13428.116425309392,1723.3535108650142,894.6671800863492,194.0,1,0.0,False
25402,0 days 00:56:08.575000,-13413.0,1709.0,893.0,196.85714285714286,1,0.0,False
25403,0 days 00:56:08.775000,-13347.78283445097,1647.274175555586,886.0086235860441,204.0,1,0.0,False
25404,0 days 00:56:08.915000,-13270.0,1581.0,878.0,206.91666666666666,1,0.0,False
25405,0 days 00:56:09.015000,-13194.85948291061,1521.6094759973932,870.4351136589623,209.0,1,0.0,False
25406,0 days 00:56:09.135000,-13111.0,1457.0,862.0,214.0,1,0.0,False
25407,0 days 00:56:09.255000,-13069.69691967866,1425.1673884346812,857.6883962331435,219.0,1,0.0,False
25408,0 days 00:56:09.415000,-13032.0,1397.0,854.0,223.0,1,0.0,False
25409,0 days 00:56:09.575000,-12942.893748015917,1331.5849189591825,846.3078211734994,227.0,1,0.0,False
25410,0 days 00:56:09.735000,-12838.348510397936,1255.2514773545379,837.8501516797143,233.0,1,0.0,False
25411,0 days 00:56:09.756000,-12827.0,1247.0,837.0,233.41999872,1,0.0,False
25412,0 days 00:56:09.935000,-12752.84305514431,1193.4759938188738,832.2217666670803,237.0,1,0.0,False
25413,0 days 00:56:10.116000,-12684.0,1145.0,828.0,240.69387678097078,1,0.0,False
25414,0 days 00:56:10.336000,-12567.0,1064.0,820.0,245.18367335091858,1,0.0,False
25415,0 days 00:56:10.376000,-12545.27018906312,1049.150731734355,819.114639176697,246.0,1,0.0,False
25416,0 days 00:56:10.436000,-12511.0,1026.0,818.0,247.2,1,0.0,False
25417,0 days 00:56:10.576000,-12409.936566272438,959.7025057879522,814.5596922953753,250.0,1,0.0,False
25418,0 days 00:56:10.796000,-12228.0,844.0,809.0,253.85,1,0.0,False
25419,0 days 00:56:10.976000,-12105.351230802316,768.8285639701777,807.2312609437938,257.0,1,0.0,False
