,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-3246.5678452732113,-1482.362707592546,856.5346943352387,279.0,1,0.0,False
25391,0 days 00:56:06.775000,-3337.0,-1602.0,855.0,279.5,1,0.0,False
25392,0 days 00:56:06.895000,-3394.012124872069,-1677.826127183758,853.8295667920615,280.0,1,0.0,False
25393,0 days 00:56:07.055000,-3426.442916421473,-1721.6231771561443,852.7812109165419,280.0,1,0.0,False
25394,0 days 00:56:07.195000,-3468.0,-1776.0,852.0,279.3,1,0.0,False
25395,0 days 00:56:07.355000,-3545.0,-1874.0,851.0,278.5,1,0.0,False
25396,0 days 00:56:07.455000,-3609.1232439906494,-1951.3859208110937,849.8223347221215,278.0,1,0.0,False
25397,0 days 00:56:07.655000,-3741.0,-2109.0,847.0,270.0,1,0.0,False
25398,0 days 00:56:07.855000,-3807.424492735193,-2201.2479529100005,845.7816226236623,262.0,1,0.0,False
25399,0 days 00:56:08.095000,-3897.0,-2289.0,844.0,250.0,1,0.0,False
25400,0 days 00:56:08.315000,-4069.0,-2402.0,840.0,243.4,1,0.0,False
25401,0 days 00:56:08.495000,-4132.596412086903,-2423.9884288380435,838.648326462703,238.0,1,0.0,False
25402,0 days 00:56:08.575000,-4160.0,-2427.0,838.0,237.42857142857142,1,0.0,False
25403,0 days 00:56:08.775000,-4273.4154740915865,-2446.5326828390207,834.9682560325416,236.0,1,0.0,False
25404,0 days 00:56:08.915000,-4393.0,-2468.0,832.0,237.16666666666666,1,0.0,False
25405,0 days 00:56:09.015000,-4499.458899189165,-2486.3402861305008,829.5886770033798,238.0,1,0.0,False
25406,0 days 00:56:09.135000,-4616.0,-2506.0,827.0,238.0,1,0.0,False
25407,0 days 00:56:09.255000,-4676.304057113868,-2515.852612539313,825.544780255498,238.0,1,0.0,False
25408,0 days 00:56:09.415000,-4731.0,-2524.0,824.0,241.0,1,0.0,False
25409,0 days 00:56:09.575000,-4846.45765738305,-2541.4258482377372,820.9139023658345,244.0,1,0.0,False
25410,0 days 00:56:09.735000,-4978.702869830196,-2560.2082069682074,817.3879308448616,241.0,1,0.0,False
25411,0 days 00:56:09.756000,-4993.0,-2562.0,817.0,239.11000576,1,0.0,False
25412,0 days 00:56:09.935000,-5085.769576325366,-2570.881018299812,814.4052250583686,223.0,1,0.0,False
