,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,38.4426416369261,-2597.812031724533,747.1351857880949,186.0,1,0.0,False
25391,0 days 00:56:06.775000,35.0,-2497.0,745.0,187.5,1,0.0,False
25392,0 days 00:56:06.895000,37.16607094030219,-2433.628159421304,743.394089555183,189.0,1,0.0,False
25393,0 days 00:56:07.055000,48.76191717828432,-2397.971788719294,742.0018618462201,189.0,1,0.0,False
25394,0 days 00:56:07.195000,67.0,-2352.0,741.0,192.15,1,0.0,False
25395,0 days 00:56:07.355000,98.0,-2267.0,740.0,195.75,1,0.0,False
25396,0 days 00:56:07.455000,125.5637057515802,-2198.032730855996,739.533281263088,198.0,1,0.0,False
25397,0 days 00:56:07.655000,185.0,-2057.0,739.0,202.5,1,0.0,False
25398,0 days 00:56:07.855000,216.55880553705822,-1980.6455720184836,738.9900686759279,207.0,1,0.0,False
25399,0 days 00:56:08.095000,258.0,-1873.0,742.0,216.0,1,0.0,False
25400,0 days 00:56:08.315000,332.0,-1679.0,749.0,218.75,1,0.0,False
25401,0 days 00:56:08.495000,352.4215831322835,-1619.7373951328743,752.3388646594991,221.0,1,0.0,False
25402,0 days 00:56:08.575000,358.0,-1598.0,754.0,221.28571428571428,1,0.0,False
25403,0 days 00:56:08.775000,380.62395056006835,-1502.1059114756627,760.5403798051058,222.0,1,0.0,False
25404,0 days 00:56:08.915000,380.0,-1397.0,768.0,220.83333333333334,1,0.0,False
25405,0 days 00:56:09.015000,362.11606015939566,-1301.754156605388,775.1077069843553,220.0,1,0.0,False
25406,0 days 00:56:09.135000,335.0,-1198.0,783.0,219.5,1,0.0,False
25407,0 days 00:56:09.255000,319.04207541872927,-1147.6691681163115,786.8741658203547,219.0,1,0.0,False
25408,0 days 00:56:09.415000,294.0,-1109.0,790.0,218.0,1,0.0,False
25409,0 days 00:56:09.575000,233.79801660995693,-1023.014946067933,796.944268353638,217.0,1,0.0,False
25410,0 days 00:56:09.735000,158.92478311330675,-924.4556637128512,805.0969250415718,217.0,1,0.0,False
25411,0 days 00:56:09.756000,150.0,-914.0,806.0,217.10499968,1,0.0,False
25412,0 days 00:56:09.935000,82.55258068106993,-848.4563818998122,812.1087089139658,218.0,1,0.0,False
25413,0 days 00:56:10.116000,8.0,-800.0,818.0,220.4625845206472,1,0.0,False
25414,0 days 00:56:10.336000,-115.0,-734.0,828.0,223.4557822339457,1,0.0,False
25415,0 days 00:56:10.376000,-137.59710861172383,-722.9125362904862,829.9615478228816,224.0,1,0.0,False
25416,0 days 00:56:10.436000,-173.0,-706.0,833.0,224.9,1,0.0,False
25417,0 days 00:56:10.576000,-275.8046583207437,-657.9105696618367,840.855671366082,227.0,1,0.0,False
25418,0 days 00:56:10.796000,-457.0,-577.0,853.0,230.85,1,0.0,False
25419,0 days 00:56:10.976000,-574.7547419404414,-530.5677347275027,859.7280325916355,234.0,1,0.0,False
25420,0 days 00:56:11.136000,-667.0,-500.0,864.0,236.0,1,0.0,False
25421,0 days 00:56:11.216000,-712.465871064156,-486.96809194649234,865.7825270620391,237.0,1,0.0,False
25422,0 days 00:56:11.476000,-865.0,-452.0,871.0,244.42857142857142,1,0.0,False
25423,0 days 00:56:11.496000,-877.8840357113257,-449.45329753958566,871.47935607758,245.0,1,0.0,False
25424,0 days 00:56:11.696000,-1014.9245177365293,-425.14702139166576,876.4190539640408,247.0,1,0.0,False
25425,0 days 00:56:11.735000,-1042.0,-421.0,877.0,247.7312512,1,0.0,False
25426,0 days 00:56:11.855000,-1125.0,-410.0,878.0,249.9812512,1,0.0,False
