,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-1458.5542120991918,323.7341910289585,903.1514557349699,99.0,1,0.0,False
25391,0 days 00:56:06.775000,-1405.0,325.0,902.0,98.0,1,0.0,False
25392,0 days 00:56:06.895000,-1371.4516876508467,327.4072669548898,901.299968097421,97.0,1,0.0,False
25393,0 days 00:56:07.055000,-1353.0798150599721,332.6662165019835,901.0146054729408,96.0,1,0.0,False
25394,0 days 00:56:07.195000,-1331.0,341.0,901.0,97.75,1,0.0,False
25395,0 days 00:56:07.355000,-1291.0,357.0,901.0,99.75,1,0.0,False
25396,0 days 00:56:07.455000,-1258.8775816156692,375.5072214781672,900.5674812446475,101.0,1,0.0,False
25397,0 days 00:56:07.655000,-1194.0,421.0,899.0,106.0,1,0.0,False
25398,0 days 00:56:07.855000,-1160.7209784035244,448.9936950501768,897.5844160621214,111.0,1,0.0,False
25399,0 days 00:56:08.095000,-1113.0,497.0,895.0,119.0,1,0.0,False
25400,0 days 00:56:08.315000,-1022.0,582.0,891.0,129.45,1,0.0,False
25401,0 days 00:56:08.495000,-991.9568952544405,607.5351215507327,888.82251558714,138.0,1,0.0,False
25402,0 days 00:56:08.575000,-980.0,617.0,888.0,142.0,1,0.0,False
25403,0 days 00:56:08.775000,-928.0840172071806,659.3538952601298,885.8195333724934,152.0,1,0.0,False
25404,0 days 00:56:08.915000,-862.0,698.0,883.0,156.66666666666666,1,0.0,False
25405,0 days 00:56:09.015000,-795.5748215537205,727.4999969859625,879.8786804106232,160.0,1,0.0,False
25406,0 days 00:56:09.135000,-720.0,757.0,876.0,166.5,1,0.0,False
25407,0 days 00:56:09.255000,-681.3197662120598,769.834722155875,873.3660022015353,173.0,1,0.0,False
25408,0 days 00:56:09.415000,-642.0,774.0,870.0,179.0,1,0.0,False
25409,0 days 00:56:09.575000,-550.8101602308585,782.3187488777514,864.1867067848123,185.0,1,0.0,False
25410,0 days 00:56:09.735000,-442.9542867433512,790.400234252082,856.9534827278586,192.0,1,0.0,False
25411,0 days 00:56:09.756000,-431.0,791.0,856.0,192.83999744,1,0.0,False
25412,0 days 00:56:09.935000,-350.061379340379,791.7426221841082,847.8403051416848,200.0,1,0.0,False
25413,0 days 00:56:10.116000,-257.0,782.0,840.0,204.92516904129437,1,0.0,False
25414,0 days 00:56:10.336000,-86.0,755.0,831.0,210.91156446789145,1,0.0,False
25415,0 days 00:56:10.376000,-62.010576880306104,749.7182148504384,829.0516675797226,212.0,1,0.0,False
25416,0 days 00:56:10.436000,-28.0,741.0,826.0,213.8,1,0.0,False
25417,0 days 00:56:10.576000,72.62745405093955,711.4998529130727,819.055693422563,218.0,1,0.0,False
25418,0 days 00:56:10.796000,253.0,650.0,809.0,223.5,1,0.0,False
25419,0 days 00:56:10.976000,370.9483122061805,599.9097589363388,801.9681116066074,228.0,1,0.0,False
25420,0 days 00:56:11.136000,452.0,560.0,797.0,231.33333333333334,1,0.0,False
25421,0 days 00:56:11.216000,484.0627450578215,542.9744277539098,795.0854825306262,233.0,1,0.0,False
25422,0 days 00:56:11.476000,578.0,486.0,790.0,238.57142857142858,1,0.0,False
25423,0 days 00:56:11.496000,587.6998160215908,479.86645682233484,789.5190953035583,239.0,1,0.0,False
25424,0 days 00:56:11.696000,702.7469688536212,404.8430154698608,784.0335532130282,243.0,1,0.0,False
25425,0 days 00:56:11.735000,725.0,389.0,783.0,243.9750016,1,0.0,False
25426,0 days 00:56:11.855000,790.0,339.0,780.0,246.9750016,1,0.0,False
25427,0 days 00:56:11.856000,790.5300836650026,338.56961775440374,779.9750563191883,247.0,1,0.0,False
25428,0 days 00:56:12.055000,894.0,248.0,775.0,250.31666773333333,1,0.0,False
25429,0 days 00:56:12.216000,975.7573696794743,169.11281859441505,771.4131195786226,253.0,1,0.0,False
25430,0 days 00:56:12.335000,1038.0,107.0,769.0,254.7000009142857,1,-0.773463193405753,True
25431,0 days 00:56:12.496000,1126.41272693176,17.67961339911698,765.8722049720556,257.0,1,-0.7416307897802198,True
25432,0 days 00:56:12.535000,1147.0,-4.0,765.0,257.611286146952,1,-0.7321225439713251,True
25433,0 days 00:56:12.815000,1280.5702998736413,-156.9024677772726,757.4613491384778,262.0,1,-0.6799575557569805,True
25434,0 days 00:56:12.835000,1290.0,-168.0,757.0,262.3333333333333,1,-0.6721061020741246,True
25435,0 days 00:56:13.035000,1386.0,-281.0,753.0,265.6666666666667,1,-0.629878097599773,True
25436,0 days 00:56:13.055000,1395.6405364983948,-292.36584723188423,752.5314122832395,266.0,1,-0.6175016116052529,True
25437,0 days 00:56:13.195000,1463.0,-372.0,749.0,267.94444444444446,1,-0.573993449325582,True
25438,0 days 00:56:13.295000,1511.0,-429.0,747.0,269.3333333333333,1,-0.5464184624496333,True
25439,0 days 00:56:13.415000,1569.6513171018526,-497.3502441865298,744.85495478082,271.0,1,-0.5091595806510653,True
25440,0 days 00:56:13.575000,1649.0,-589.0,742.0,273.2857142857143,1,-0.45114373803917956,False
25441,0 days 00:56:13.695000,1708.486083338398,-658.7392829931506,739.5703033781739,275.0,1,-0.4259338400000736,False
25442,0 days 00:56:13.815000,1768.0,-729.0,737.0,276.0,1,-0.4088629665866829,False
25443,0 days 00:56:13.995000,1858.0,-835.0,733.0,277.5,1,-0.3718423335595839,False
25444,0 days 00:56:14.055000,1888.8550770734753,-870.8252412389887,731.5239163508074,278.0,1,-0.3458711972064483,False
25445,0 days 00:56:14.195000,1960.0,-953.0,728.0,280.3333333333333,1,-0.3167393168708457,False
25446,0 days 00:56:14.295000,2005.979771181052,-1006.8308500120964,725.7791476557308,282.0,1,-0.29014701596957987,False
25447,0 days 00:56:14.455000,2092.0,-1108.0,722.0,283.0,1,-0.26930702056670824,False
25448,0 days 00:56:14.615000,2224.8041429697887,-1262.7177183363065,716.7527377898998,284.0,1,-0.24692739849591155,False
25449,0 days 00:56:14.675000,2268.0,-1313.0,715.0,285.125,1,-0.225396345265515,False
25450,0 days 00:56:14.775000,2318.9796011761514,-1372.4227224816366,712.7539043884403,287.0,1,-0.20034412943388377,False
25451,0 days 00:56:15.035000,2393.0,-1459.0,709.0,289.7857142857143,1,-0.19212222972732065,False
25452,0 days 00:56:15.055000,2401.491855057705,-1468.9036661475936,708.6537497314746,290.0,1,-0.17721236303973303,False
25453,0 days 00:56:15.275000,2519.0,-1606.0,704.0,291.65,1,-0.15470644945752873,False
25454,0 days 00:56:15.455000,2613.5856319700965,-1716.9093444892223,699.3808771129947,293.0,1,-0.12382749266954558,False
25455,0 days 00:56:15.475000,2624.0,-1729.0,699.0,293.0,1,-0.12006063662443621,False
25456,0 days 00:56:15.535000,2656.0,-1766.0,698.0,293.0,1,-0.11424770627512162,False
25457,0 days 00:56:15.655000,2735.3828080384164,-1858.5808196383275,694.7135742478623,293.0,1,-0.09812076612094649,False
25458,0 days 00:56:15.855000,2886.981270909314,-2036.785094785772,687.1226856013136,295.0,1,-0.07085779439655095,False
