,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,888.1101496902614,-3379.045645985794,753.4331049795302,216.0,1,0.0,False
25391,0 days 00:56:06.775000,769.0,-3362.0,756.0,215.0,1,0.0,False
25392,0 days 00:56:06.895000,695.5692333791208,-3348.0125049538724,757.361443395891,214.0,1,0.0,False
25393,0 days 00:56:07.055000,658.3970151154779,-3332.558480900738,757.5746490801067,212.0,1,0.0,False
25394,0 days 00:56:07.195000,616.0,-3312.0,758.0,208.5,1,0.0,False
25395,0 days 00:56:07.355000,539.0,-3275.0,759.0,204.5,1,0.0,False
25396,0 days 00:56:07.455000,477.1049571367599,-3236.5010814396355,759.2544651597152,202.0,1,0.0,False
25397,0 days 00:56:07.655000,352.0,-3147.0,759.0,197.5,1,0.0,False
25398,0 days 00:56:07.855000,287.6710809975548,-3097.8043180788886,758.6035141476524,193.0,1,0.0,False
25399,0 days 00:56:08.095000,226.0,-3023.0,757.0,185.0,1,0.0,False
25400,0 days 00:56:08.315000,127.0,-2885.0,754.0,182.25,1,0.0,False
25401,0 days 00:56:08.495000,101.95051818307327,-2840.20930874173,753.3099102763907,180.0,1,0.0,False
25402,0 days 00:56:08.575000,95.0,-2823.0,753.0,180.57142857142858,1,0.0,False
25403,0 days 00:56:08.775000,62.42340121792729,-2749.092212368396,751.1368540885668,182.0,1,0.0,False
25404,0 days 00:56:08.915000,43.0,-2663.0,749.0,184.33333333333334,1,0.0,False
25405,0 days 00:56:09.015000,37.07982219117286,-2581.075514842273,747.0893000254441,186.0,1,0.0,False
25406,0 days 00:56:09.135000,36.0,-2490.0,745.0,187.5,1,0.0,False
25407,0 days 00:56:09.255000,38.0019922206797,-2444.870137957081,743.9350934106941,189.0,1,0.0,False
25408,0 days 00:56:09.415000,51.0,-2405.0,743.0,195.0,1,0.0,False
25409,0 days 00:56:09.575000,83.87271371319667,-2313.638549882145,741.0007649306202,201.0,1,0.0,False
25410,0 days 00:56:09.735000,125.0815527242376,-2202.835544530862,739.1225564908058,201.0,1,0.0,False
25411,0 days 00:56:09.756000,130.0,-2190.0,739.0,201.41999872,1,0.0,False
25412,0 days 00:56:09.935000,167.23602665017142,-2096.874191125617,739.1302228030681,205.0,1,0.0,False
25413,0 days 00:56:10.116000,203.0,-2010.0,740.0,211.97732280850036,1,0.0,False
25414,0 days 00:56:10.336000,252.0,-1887.0,741.0,220.4580496628462,1,0.0,False
25415,0 days 00:56:10.376000,260.99582431510413,-1864.435107330435,741.6567078500623,222.0,1,0.0,False
25416,0 days 00:56:10.436000,275.0,-1829.0,743.0,222.3,1,0.0,False
25417,0 days 00:56:10.576000,313.7054584822228,-1727.197579803946,747.7674925827653,223.0,1,0.0,False
25418,0 days 00:56:10.796000,369.0,-1547.0,758.0,226.3,1,0.0,False
25419,0 days 00:56:10.976000,380.32252983397626,-1424.8974876418722,766.4709723992894,229.0,1,0.0,False
25420,0 days 00:56:11.136000,375.0,-1339.0,773.0,228.33333333333334,1,0.0,False
25421,0 days 00:56:11.216000,370.3700583237608,-1304.816921109624,775.5889426812935,228.0,1,0.0,False
25422,0 days 00:56:11.476000,339.0,-1206.0,783.0,226.14285714285714,1,0.0,False
25423,0 days 00:56:11.496000,334.76270004699813,-1196.119561275757,783.735964772071,226.0,1,0.0,False
25424,0 days 00:56:11.696000,278.17848224669683,-1080.9201119130569,792.3327392363146,226.0,1,0.0,False
25425,0 days 00:56:11.735000,265.0,-1059.0,794.0,226.0,1,0.0,False
25426,0 days 00:56:11.855000,221.0,-996.0,799.0,226.0,1,0.0,False
25427,0 days 00:56:11.856000,220.61429846201682,-995.4969759323345,799.0434137030105,226.0,1,0.0,False
25428,0 days 00:56:12.055000,138.0,-902.0,808.0,225.44722204444443,1,0.0,False
25429,0 days 00:56:12.216000,62.63045838984184,-837.036889082125,813.5082062676275,225.0,1,0.0,False
25430,0 days 00:56:12.335000,1.0,-795.0,818.0,224.57499977142857,1,1.4180582099480208,True
25431,0 days 00:56:12.496000,-90.19012433683707,-745.7709757663985,826.1110992239566,224.0,1,1.471344705765268,True
25432,0 days 00:56:12.535000,-112.0,-735.0,828.0,224.61128614695198,1,1.5146161721495197,True
25433,0 days 00:56:12.815000,-263.9061019224573,-664.5882015696815,839.1722020349871,229.0,1,1.546669361187072,True
25434,0 days 00:56:12.835000,-276.0,-659.0,840.0,229.25,1,1.58159776004151,True
25435,0 days 00:56:13.035000,-406.0,-599.0,849.0,231.75,1,1.5993659371994329,True
25436,0 days 00:56:13.055000,-418.53974080064773,-593.4720612168597,849.9278566528295,232.0,1,1.6339986737115937,True
25437,0 days 00:56:13.195000,-503.0,-558.0,856.0,235.11111111111111,1,1.6793699892052774,True
25438,0 days 00:56:13.295000,-564.0,-534.0,859.0,237.33333333333334,1,1.6940346911106006,True
25439,0 days 00:56:13.415000,-637.5218018666113,-508.55433205933485,862.4679303114376,240.0,1,1.7298325125455687,True
25440,0 days 00:56:13.575000,-744.0,-479.0,867.0,241.71428571428572,1,1.7349530896682726,True
25441,0 days 00:56:13.695000,-837.9916739334043,-458.31280837593863,870.0938017335798,243.0,1,1.7312076109446286,True
25442,0 days 00:56:13.815000,-932.0,-440.0,873.0,246.0,1,1.7202843858320267,True
25443,0 days 00:56:13.995000,-1055.0,-419.0,877.0,250.5,1,1.7098414903113606,True
