,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-1734.9597150876466,465.01479746406744,910.071594072004,92.0,1,0.0,False
25391,0 days 00:56:06.775000,-1696.0,432.0,909.0,92.0,1,0.0,False
25392,0 days 00:56:06.895000,-1671.5669526003896,410.51763164667875,908.2449385330208,92.0,1,0.0,False
25393,0 days 00:56:07.055000,-1657.6773497930053,397.09981876900883,907.6499806130113,93.0,1,0.0,False
25394,0 days 00:56:07.195000,-1638.0,382.0,907.0,96.5,1,0.0,False
25395,0 days 00:56:07.355000,-1600.0,358.0,906.0,100.5,1,0.0,False
25396,0 days 00:56:07.455000,-1567.2047231543438,344.5799882346436,905.3179989244632,103.0,1,0.0,False
25397,0 days 00:56:07.655000,-1497.0,325.0,904.0,101.0,1,0.0,False
25398,0 days 00:56:07.855000,-1455.6449330505816,317.2276370969239,903.0316212944682,99.0,1,0.0,False
25399,0 days 00:56:08.095000,-1403.0,325.0,902.0,95.0,1,0.0,False
25400,0 days 00:56:08.315000,-1319.0,346.0,901.0,95.55,1,0.0,False
25401,0 days 00:56:08.495000,-1293.138685370578,355.91221225239974,901.0277891062285,96.0,1,0.0,False
25402,0 days 00:56:08.575000,-1284.0,361.0,901.0,96.0,1,0.0,False
25403,0 days 00:56:08.775000,-1245.2068903413451,381.86474059874445,900.2754215912332,96.0,1,0.0,False
25404,0 days 00:56:08.915000,-1204.0,412.0,899.0,101.25,1,0.0,False
25405,0 days 00:56:09.015000,-1167.2909605083084,444.65500113859656,897.6206095484995,105.0,1,0.0,False
25406,0 days 00:56:09.135000,-1127.0,483.0,896.0,108.5,1,0.0,False
25407,0 days 00:56:09.255000,-1105.87896212803,503.66737144318745,895.1215782230515,112.0,1,0.0,False
25408,0 days 00:56:09.415000,-1085.0,524.0,894.0,118.5,1,0.0,False
25409,0 days 00:56:09.575000,-1039.5683760016393,565.6980725650723,891.3239982711307,125.0,1,0.0,False
25410,0 days 00:56:09.735000,-983.7152929717253,614.4727128545303,888.3044179752725,135.0,1,0.0,False
25411,0 days 00:56:09.756000,-977.0,620.0,888.0,135.94499712,1,0.0,False
25412,0 days 00:56:09.935000,-925.6451525257723,658.7887237958004,886.2782895665026,144.0,1,0.0,False
25413,0 days 00:56:10.116000,-872.0,692.0,884.0,150.15646130161798,1,0.0,False
25414,0 days 00:56:10.336000,-789.0,734.0,879.0,157.6394555848643,1,0.0,False
25415,0 days 00:56:10.376000,-772.6739139370553,740.2932379122745,878.6159137085834,159.0,1,0.0,False
25416,0 days 00:56:10.436000,-746.0,749.0,878.0,162.9,1,0.0,False
25417,0 days 00:56:10.576000,-663.0432897115371,768.0168422204624,873.2195344955184,172.0,1,0.0,False
25418,0 days 00:56:10.796000,-507.0,789.0,861.0,180.8,1,0.0,False
25419,0 days 00:56:10.976000,-398.4172032214177,791.3316687615501,852.9310348631865,188.0,1,0.0,False
25420,0 days 00:56:11.136000,-315.0,787.0,847.0,192.66666666666666,1,0.0,False
25421,0 days 00:56:11.216000,-277.17431358999494,784.1467094369159,844.3570785357267,195.0,1,0.0,False
25422,0 days 00:56:11.476000,-158.0,769.0,836.0,207.07142857142858,1,0.0,False
25423,0 days 00:56:11.496000,-147.53390505400915,767.1679505761607,835.2354795638452,208.0,1,0.0,False
25424,0 days 00:56:11.696000,-31.378754965498505,742.5344303700573,826.6877615396359,214.0,1,0.0,False
25425,0 days 00:56:11.735000,-7.0,736.0,825.0,214.7312512,1,0.0,False
25426,0 days 00:56:11.855000,69.0,713.0,820.0,216.9812512,1,0.0,False
25427,0 days 00:56:11.856000,69.60348578432722,712.8090777624041,819.9610893534689,217.0,1,0.0,False
25428,0 days 00:56:12.055000,180.0,676.0,813.0,222.52777955555555,1,0.0,False
25429,0 days 00:56:12.216000,273.97616540250056,641.4943855703079,807.2895660581262,227.0,1,0.0,False
25430,0 days 00:56:12.335000,345.0,612.0,803.0,229.9750016,1,-0.8770017618455558,True
25431,0 days 00:56:12.496000,439.0699994388902,566.5532563168543,797.2969101986495,234.0,1,-0.8807446689656128,True
25432,0 days 00:56:12.535000,461.0,555.0,796.0,234.85580060573278,1,-0.8888775398264711,True
25433,0 days 00:56:12.815000,614.5721407354533,463.14379330473804,787.619371029312,241.0,1,-0.8653962040366219,True
