,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-8314.809495435386,-802.2269227826722,864.0011472373068,300.0,1,0.0,False
25391,0 days 00:56:06.775000,-8165.0,-853.0,864.0,300.5,1,0.0,False
25392,0 days 00:56:06.895000,-8070.102525973446,-884.9909610832269,863.991723849267,301.0,1,0.0,False
25393,0 days 00:56:07.055000,-8014.911497477898,-903.2101058852954,863.9762533351902,302.0,1,0.0,False
25394,0 days 00:56:07.195000,-7943.0,-927.0,864.0,302.7,1,0.0,False
25395,0 days 00:56:07.355000,-7811.0,-971.0,864.0,303.5,1,0.0,False
25396,0 days 00:56:07.455000,-7705.443501676525,-1006.5213212318756,863.7512578036317,304.0,1,0.0,False
25397,0 days 00:56:07.655000,-7491.0,-1079.0,863.0,305.0,1,0.0,False
25398,0 days 00:56:07.855000,-7373.282072413223,-1118.4876547969536,862.832539619353,306.0,1,0.0,False
25399,0 days 00:56:08.095000,-7216.0,-1171.0,863.0,307.0,1,0.0,False
25400,0 days 00:56:08.315000,-6942.0,-1263.0,863.0,307.0,1,0.0,False
25401,0 days 00:56:08.495000,-6858.905195509525,-1290.9305231323594,862.9754006529674,307.0,1,0.0,False
25402,0 days 00:56:08.575000,-6829.0,-1301.0,863.0,307.2857142857143,1,0.0,False
25403,0 days 00:56:08.775000,-6697.749600660171,-1345.2065183927061,863.2031792940141,308.0,1,0.0,False
25404,0 days 00:56:08.915000,-6553.0,-1394.0,863.0,308.0,1,0.0,False
25405,0 days 00:56:09.015000,-6421.0848437332415,-1438.4925854257078,862.5021243353175,308.0,1,0.0,False
25406,0 days 00:56:09.135000,-6277.0,-1487.0,863.0,308.0,1,0.0,False
25407,0 days 00:56:09.255000,-6206.818470472133,-1510.3400980897916,866.5929269643973,308.0,1,0.0,False
25408,0 days 00:56:09.415000,-6147.0,-1530.0,863.0,308.5,1,0.0,False
25409,0 days 00:56:09.575000,-6007.2489991151215,-1576.9716882005573,830.6746413069759,309.0,1,0.0,False
25410,0 days 00:56:09.735000,-5840.648285559162,-1633.588656715074,801.5268825825316,309.0,1,0.0,False
25411,0 days 00:56:09.756000,-5822.0,-1640.0,801.0,309.0,1,0.0,False
25412,0 days 00:56:09.935000,-5693.687908723725,-1684.9347339592803,827.7748004937879,309.0,1,0.0,False
25413,0 days 00:56:10.116000,-5579.0,-1720.0,864.0,308.1791384931176,1,0.0,False
25414,0 days 00:56:10.336000,-5410.0,-1754.0,864.0,307.1814059220181,1,0.0,False
25415,0 days 00:56:10.376000,-5379.001274404564,-1756.598614500663,863.8209615652225,307.0,1,0.0,False
25416,0 days 00:56:10.436000,-5330.0,-1757.0,864.0,306.7,1,0.0,False
25417,0 days 00:56:10.576000,-5184.986850318637,-1735.5123438625023,864.006392528408,306.0,1,0.0,False
25418,0 days 00:56:10.796000,-4928.0,-1664.0,864.0,304.9,1,0.0,False
25419,0 days 00:56:10.976000,-4765.646977586995,-1604.2056305039002,865.5661211058324,304.0,1,0.0,False
25420,0 days 00:56:11.136000,-4657.0,-1558.0,867.0,303.3333333333333,1,0.0,False
25421,0 days 00:56:11.216000,-4614.531780383248,-1539.6038305122424,867.3569202947962,303.0,1,0.0,False
25422,0 days 00:56:11.476000,-4489.0,-1480.0,868.0,303.0,1,0.0,False
25423,0 days 00:56:11.496000,-4475.552469228227,-1473.0876422052809,868.1408999657663,303.0,1,0.0,False
25424,0 days 00:56:11.696000,-4314.455562646719,-1386.6097499190555,870.4091862114717,303.0,1,0.0,False
25425,0 days 00:56:11.735000,-4284.0,-1369.0,871.0,303.0,1,0.0,False
25426,0 days 00:56:11.855000,-4196.0,-1315.0,873.0,303.0,1,0.0,False
25427,0 days 00:56:11.856000,-4195.259938739244,-1314.533014804842,873.016092192534,303.0,1,0.0,False
25428,0 days 00:56:12.055000,-4044.0,-1216.0,876.0,303.0,1,0.0,False
25429,0 days 00:56:12.216000,-3931.590375549684,-1137.3903970145648,878.8682685953718,303.0,1,0.0,False
25430,0 days 00:56:12.335000,-3852.0,-1078.0,881.0,303.0,1,0.7000151236475575,True
25431,0 days 00:56:12.496000,-3745.452549199946,-993.3345461124787,883.5001102067228,303.0,1,0.6564423441383572,True
25432,0 days 00:56:12.535000,-3721.0,-973.0,884.0,303.1222572293904,1,0.6296291121520028,True
25433,0 days 00:56:12.815000,-3557.764180035063,-826.8920170482755,886.7454094891212,304.0,1,0.5553221656794237,True
25434,0 days 00:56:12.835000,-3545.0,-815.0,887.0,304.0,1,0.5254991759449777,True
25435,0 days 00:56:13.035000,-3409.0,-687.0,890.0,304.0,1,0.46602249721618066,False
25436,0 days 00:56:13.055000,-3396.1797391361642,-674.9321543401677,890.2514624732206,304.0,1,0.43460826801559405,False
25437,0 days 00:56:13.195000,-3311.0,-595.0,892.0,303.6111111111111,1,0.3653227925114337,False
25438,0 days 00:56:13.295000,-3249.0,-537.0,894.0,303.3333333333333,1,0.3264763657255401,False
25439,0 days 00:56:13.415000,-3175.445370338804,-467.63602366637895,895.5506887396241,303.0,1,0.25318817017303985,False
25440,0 days 00:56:13.575000,-3079.0,-375.0,897.0,303.0,1,0.1746237621640355,False
25441,0 days 00:56:13.695000,-3007.2809318102636,-304.3231192705089,898.8412014503468,303.0,1,0.12306733867131554,False
25442,0 days 00:56:13.815000,-2936.0,-233.0,901.0,301.3333333333333,1,0.08044620182842672,False
25443,0 days 00:56:13.995000,-2830.0,-126.0,904.0,298.8333333333333,1,-0.0029338328749510655,False
25444,0 days 00:56:14.055000,-2795.208011712956,-90.86107183575129,904.7180266203876,298.0,1,-0.046294166502067545,False
25445,0 days 00:56:14.195000,-2718.0,-13.0,906.0,279.9166666666667,1,-0.1126748354438279,False
25446,0 days 00:56:14.295000,-2670.197079595483,35.05963838837959,906.9714442361532,267.0,1,-0.16021260416349858,False
25447,0 days 00:56:14.455000,-2590.0,115.0,909.0,245.5,1,-0.20814715127830571,False
25448,0 days 00:56:14.615000,-2480.4077028772463,223.1123825259717,912.0383172647184,224.0,1,-0.2804903019727976,False
25449,0 days 00:56:14.675000,-2447.0,256.0,913.0,219.5,1,-0.3063686672897971,False
25450,0 days 00:56:14.775000,-2411.2741818439176,291.1443041233711,914.083922420288,212.0,1,-0.35546821077479884,False
25451,0 days 00:56:15.035000,-2376.0,323.0,915.0,174.85714285714286,1,-0.35141497182749337,False
25452,0 days 00:56:15.055000,-2370.9510411359834,327.3221886235858,915.0675239108779,172.0,1,-0.3607100721329053,False
25453,0 days 00:56:15.275000,-2295.0,390.0,916.0,154.4,1,-0.4214217621254691,False
25454,0 days 00:56:15.455000,-2236.025896359924,430.9153554920321,916.9676552868369,140.0,1,-0.4527103083716389,False
25455,0 days 00:56:15.475000,-2230.0,435.0,917.0,138.8,1,-0.4455121040273956,False
25456,0 days 00:56:15.535000,-2212.0,447.0,917.0,135.2,1,-0.44634229068544257,False
25457,0 days 00:56:15.655000,-2166.3457386590976,471.00695285172833,917.2570183085295,128.0,1,-0.46471934511027563,False
25458,0 days 00:56:15.855000,-2077.10819383691,506.8465030340244,918.0065582991318,121.0,1,-0.4869168380593556,False
25459,0 days 00:56:15.895000,-2063.0,512.0,918.0,119.4,1,-0.49655836631392947,False
25460,0 days 00:56:16.255000,-1987.315755327751,530.6276634573366,916.0964125847327,105.0,1,-0.48934455743761046,False
25461,0 days 00:56:16.316000,-1974.0,532.0,916.0,103.17000192,1,-0.48558682386989227,False
