,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,163.35697207971654,-2107.3067506712396,739.2927091743347,210.0,1,0.0,False
25391,0 days 00:56:06.775000,210.0,-1994.0,740.0,213.5,1,0.0,False
25392,0 days 00:56:06.895000,239.10224383314738,-1922.159987285236,740.6598627780934,217.0,1,0.0,False
25393,0 days 00:56:07.055000,254.81427541416895,-1881.0702606709026,741.5626713963038,217.0,1,0.0,False
25394,0 days 00:56:07.195000,274.0,-1833.0,743.0,220.5,1,0.0,False
25395,0 days 00:56:07.355000,308.0,-1746.0,746.0,224.5,1,0.0,False
25396,0 days 00:56:07.455000,331.8015762650015,-1670.5564471432097,749.9141974212101,227.0,1,0.0,False
25397,0 days 00:56:07.655000,375.0,-1509.0,760.0,226.5,1,0.0,False
25398,0 days 00:56:07.855000,394.78934078172796,-1417.226883528496,766.5556998396853,226.0,1,0.0,False
25399,0 days 00:56:08.095000,367.0,-1297.0,776.0,226.0,1,0.0,False
25400,0 days 00:56:08.315000,287.0,-1096.0,791.0,227.1,1,0.0,False
25401,0 days 00:56:08.495000,253.84670445289007,-1038.5063298287173,796.2967924592315,228.0,1,0.0,False
25402,0 days 00:56:08.575000,239.0,-1020.0,798.0,229.42857142857142,1,0.0,False
25403,0 days 00:56:08.775000,179.24646008278384,-939.2612643618874,803.78964640327,233.0,1,0.0,False
25404,0 days 00:56:08.915000,95.0,-863.0,811.0,233.0,1,0.0,False
25405,0 days 00:56:09.015000,4.550229468250619,-802.2369680292013,818.4537759099976,233.0,1,0.0,False
25406,0 days 00:56:09.135000,-100.0,-740.0,827.0,235.0,1,0.0,False
25407,0 days 00:56:09.255000,-152.42930616698038,-711.9558541261504,831.3556211496837,237.0,1,0.0,False
25408,0 days 00:56:09.415000,-200.0,-693.0,835.0,239.5,1,0.0,False
25409,0 days 00:56:09.575000,-307.8554268911552,-644.430782726968,842.5380399863146,242.0,1,0.0,False
25410,0 days 00:56:09.735000,-433.3833722166349,-587.1172823269723,851.0860888586213,244.0,1,0.0,False
25411,0 days 00:56:09.756000,-447.0,-581.0,852.0,244.10499968,1,0.0,False
