,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,4494.485020613291,-3923.696346412109,618.9443405893367,306.0,1,0.0,False
25391,0 days 00:56:06.775000,4606.0,-4055.0,614.0,305.5,1,0.0,False
25392,0 days 00:56:06.895000,4676.116601131467,-4137.468124024678,611.1123543527258,305.0,1,0.0,False
25393,0 days 00:56:07.055000,4714.877035030741,-4182.775323517406,609.9327602461954,304.0,1,0.0,False
25394,0 days 00:56:07.195000,4760.0,-4235.0,608.0,303.65,1,0.0,False
25395,0 days 00:56:07.355000,4842.0,-4330.0,604.0,303.25,1,0.0,False
25396,0 days 00:56:07.455000,4912.399211827827,-4412.50836845195,600.9573427607748,303.0,1,0.0,False
25397,0 days 00:56:07.655000,5062.0,-4589.0,595.0,302.5,1,0.0,False
25398,0 days 00:56:07.855000,5145.826197585486,-4688.104776573835,591.6776145358086,302.0,1,0.0,False
25399,0 days 00:56:08.095000,5255.0,-4817.0,587.0,301.0,1,0.0,False
25400,0 days 00:56:08.315000,5439.0,-5034.0,579.0,300.45,1,0.0,False
25401,0 days 00:56:08.495000,5489.811449395458,-5095.270254421599,577.5354852413969,300.0,1,0.0,False
25402,0 days 00:56:08.575000,5508.0,-5117.0,577.0,299.7142857142857,1,0.0,False
25403,0 days 00:56:08.775000,5595.085676581743,-5218.650722725139,573.1239656746036,299.0,1,0.0,False
25404,0 days 00:56:08.915000,5686.0,-5335.0,569.0,297.8333333333333,1,0.0,False
25405,0 days 00:56:09.015000,5763.964727123003,-5442.797435762255,565.6290104907531,297.0,1,0.0,False
25406,0 days 00:56:09.135000,5846.0,-5561.0,562.0,296.0,1,0.0,False
25407,0 days 00:56:09.255000,5882.350708753723,-5617.954140370342,559.9574011974529,295.0,1,0.0,False
25408,0 days 00:56:09.415000,5897.0,-5670.0,558.0,288.0,1,0.0,False
25409,0 days 00:56:09.575000,5927.450816504164,-5798.884814210492,554.4359230342789,281.0,1,0.0,False
25410,0 days 00:56:09.735000,5957.65459317697,-5952.193548914463,550.4410576465692,277.0,1,0.0,False
25411,0 days 00:56:09.756000,5960.0,-5969.0,550.0,275.74000384,1,0.0,False
25412,0 days 00:56:09.935000,5964.642230536286,-6080.7017724511015,547.0321374383739,265.0,1,0.0,False
25413,0 days 00:56:10.116000,5949.0,-6180.0,545.0,250.22449287611687,1,0.0,False
25414,0 days 00:56:10.336000,5916.0,-6329.0,543.0,232.26530659632567,1,0.0,False
25415,0 days 00:56:10.376000,5910.108857228275,-6352.071485942559,542.5822406317501,229.0,1,0.0,False
25416,0 days 00:56:10.436000,5901.0,-6386.0,542.0,224.8,1,0.0,False
25417,0 days 00:56:10.576000,5874.1978672816385,-6481.43910989784,541.4678097446074,215.0,1,0.0,False
25418,0 days 00:56:10.796000,5821.0,-6641.0,542.0,206.75,1,0.0,False
25419,0 days 00:56:10.976000,5773.515245019417,-6732.887548197754,542.4148979521339,200.0,1,0.0,False
25420,0 days 00:56:11.136000,5734.0,-6790.0,543.0,192.0,1,0.0,False
25421,0 days 00:56:11.216000,5716.946669843196,-6811.717119003882,543.4519029420484,188.0,1,0.0,False
25422,0 days 00:56:11.476000,5657.0,-6867.0,545.0,181.5,1,0.0,False
25423,0 days 00:56:11.496000,5650.2542867829825,-6872.046005663328,545.0528890499323,181.0,1,0.0,False
25424,0 days 00:56:11.696000,5567.056167611239,-6927.588265569316,545.5382237187514,178.0,1,0.0,False
25425,0 days 00:56:11.735000,5550.0,-6937.0,546.0,177.2687488,1,0.0,False
25426,0 days 00:56:11.855000,5498.0,-6961.0,548.0,175.0187488,1,0.0,False
25427,0 days 00:56:11.856000,5497.567897971042,-6961.172735991742,548.0105751454284,175.0,1,0.0,False
25428,0 days 00:56:12.055000,5411.0,-6988.0,548.0,170.0249984,1,0.0,False
25429,0 days 00:56:12.216000,5337.651371495134,-7001.567091545871,549.5021220633851,166.0,1,0.0,False
25430,0 days 00:56:12.335000,5282.0,-7007.0,551.0,163.44999862857142,1,-2.5799373909948513,True
25431,0 days 00:56:12.496000,5206.005396267053,-7007.867605803285,552.5458258511345,160.0,1,-2.5323435719967398,True
25432,0 days 00:56:12.535000,5188.0,-7007.0,553.0,160.12225722939039,1,-2.4904949311747027,True
25433,0 days 00:56:12.815000,5064.728776802952,-6988.260912046241,557.6625431554473,161.0,1,-2.428691935747872,True
25434,0 days 00:56:12.835000,5056.0,-6986.0,558.0,161.33333333333334,1,-2.389750330859612,True
