,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-6069.736094034567,-499.07627406536835,812.0718486888342,237.0,1,0.0,False
25391,0 days 00:56:06.775000,-6097.0,-371.0,816.0,237.0,1,0.0,False
25392,0 days 00:56:06.895000,-6113.611257169467,-289.967426844076,818.6721051372085,237.0,1,0.0,False
25393,0 days 00:56:07.055000,-6121.94501709535,-243.30134148340858,820.7308913899234,243.0,1,0.0,False
25394,0 days 00:56:07.195000,-6134.0,-184.0,824.0,245.8,1,0.0,False
25395,0 days 00:56:07.355000,-6157.0,-75.0,830.0,249.0,1,0.0,False
25396,0 days 00:56:07.455000,-6173.610994153419,14.915783288373134,834.4484499959408,251.0,1,0.0,False
25397,0 days 00:56:07.655000,-6206.0,201.0,843.0,253.5,1,0.0,False
25398,0 days 00:56:07.855000,-6227.528328159941,303.02947710768285,847.514296004736,256.0,1,0.0,False
25399,0 days 00:56:08.095000,-6234.0,439.0,854.0,257.0,1,0.0,False
25400,0 days 00:56:08.315000,-6220.0,676.0,866.0,255.9,1,0.0,False
25401,0 days 00:56:08.495000,-6209.201827017926,746.9239596620796,869.7338712443984,255.0,1,0.0,False
25402,0 days 00:56:08.575000,-6202.0,772.0,871.0,251.28571428571428,1,0.0,False
25403,0 days 00:56:08.775000,-6171.773650072253,882.0964280736159,876.2430171039645,242.0,1,0.0,False
25404,0 days 00:56:08.915000,-6133.0,992.0,882.0,240.83333333333334,1,0.0,False
25405,0 days 00:56:09.015000,-6093.652310287483,1084.1987633055612,887.2873360842987,240.0,1,0.0,False
25406,0 days 00:56:09.135000,-6049.0,1182.0,893.0,227.5,1,0.0,False
25407,0 days 00:56:09.255000,-6026.850382526207,1230.0534237835334,895.5573308951803,215.0,1,0.0,False
25408,0 days 00:56:09.415000,-6011.0,1263.0,897.0,195.0,1,0.0,False
25409,0 days 00:56:09.575000,-5979.605382668591,1327.926301864,900.4921285465068,175.0,1,0.0,False
25410,0 days 00:56:09.735000,-5943.896421086071,1402.6631170595597,904.5672117187182,166.0,1,0.0,False
25411,0 days 00:56:09.756000,-5940.0,1411.0,905.0,164.21500544,1,0.0,False
25412,0 days 00:56:09.935000,-5914.302841195456,1468.054290203532,907.7183974695888,149.0,1,0.0,False
25413,0 days 00:56:10.116000,-5895.0,1518.0,910.0,135.45578513644048,1,0.0,False
25414,0 days 00:56:10.336000,-5873.0,1587.0,913.0,118.99319771329853,1,0.0,False
25415,0 days 00:56:10.376000,-5870.288921290238,1597.434016074021,913.057420594926,116.0,1,0.0,False
25416,0 days 00:56:10.436000,-5867.0,1613.0,913.0,113.3,1,0.0,False
25417,0 days 00:56:10.576000,-5861.827214339421,1659.9485133008895,913.7060515612586,107.0,1,0.0,False
25418,0 days 00:56:10.796000,-5863.0,1742.0,916.0,98.75,1,0.0,False
25419,0 days 00:56:10.976000,-5875.287172962681,1788.3657894446194,917.357732471091,92.0,1,0.0,False
25420,0 days 00:56:11.136000,-5889.0,1817.0,918.0,88.0,1,0.0,False
25421,0 days 00:56:11.216000,-5894.993264997389,1828.0771281466775,918.0794009354679,86.0,1,0.0,False
25422,0 days 00:56:11.476000,-5917.0,1857.0,918.0,79.5,1,0.0,False
25423,0 days 00:56:11.496000,-5919.560915551942,1859.629913613968,918.0569411572837,79.0,1,0.0,False
25424,0 days 00:56:11.696000,-5951.476166563696,1888.7776997569244,918.9507360917405,75.0,1,0.0,False
25425,0 days 00:56:11.735000,-5958.0,1894.0,919.0,74.7562496,1,0.0,False
25426,0 days 00:56:11.855000,-5978.0,1908.0,919.0,74.0062496,1,0.0,False
25427,0 days 00:56:11.856000,-5978.1710441875275,1908.1006525425623,919.0043602391523,74.0,1,0.0,False
25428,0 days 00:56:12.055000,-6014.0,1923.0,921.0,71.78888817777778,1,0.0,False
25429,0 days 00:56:12.216000,-6044.318298354449,1929.5502864948082,920.4768326096191,70.0,1,0.0,False
25430,0 days 00:56:12.335000,-6067.0,1932.0,920.0,69.57499977142857,1,2.5000596477188988,True
25431,0 days 00:56:12.496000,-6097.65190364104,1932.5105382378788,920.7812450371675,69.0,1,2.506071237776489,True
25432,0 days 00:56:12.535000,-6105.0,1932.0,921.0,69.2445144587808,1,2.5049110897788505,True
25433,0 days 00:56:12.815000,-6157.174476840297,1920.3419643590194,921.9223172484466,71.0,1,2.485903771367975,True
25434,0 days 00:56:12.835000,-6161.0,1919.0,922.0,71.33333333333333,1,2.4752840440045554,True
25435,0 days 00:56:13.035000,-6200.0,1902.0,923.0,74.66666666666667,1,2.473763575238923,True
25436,0 days 00:56:13.055000,-6203.859723589704,1899.9549447205159,923.1070476497679,75.0,1,2.4639525496901786,True
25437,0 days 00:56:13.195000,-6230.0,1884.0,924.0,76.55555555555556,1,2.449466624489973,True
25438,0 days 00:56:13.295000,-6247.0,1871.0,925.0,77.66666666666667,1,2.4494767904926045,True
25439,0 days 00:56:13.415000,-6267.406344892356,1853.255705476295,925.7455588889723,79.0,1,2.385343949351426,True
25440,0 days 00:56:13.575000,-6294.0,1826.0,926.0,84.14285714285714,1,2.345150168213064,True
25441,0 days 00:56:13.695000,-6312.414409842119,1802.998980776323,925.8800448135459,88.0,1,2.294493857951168,True
25442,0 days 00:56:13.815000,-6330.0,1778.0,926.0,90.66666666666667,1,2.257224752342515,True
25443,0 days 00:56:13.995000,-6356.0,1737.0,927.0,94.66666666666667,1,2.1468078650206075,True
25444,0 days 00:56:14.055000,-6364.850425659612,1722.259844688161,926.8774465387348,96.0,1,2.023521106037843,True
25445,0 days 00:56:14.195000,-6385.0,1687.0,926.0,102.41666666666667,1,1.8518310381943606,True
25446,0 days 00:56:14.295000,-6397.512221199542,1662.926404654719,925.8179528744399,107.0,1,1.6363503136749415,True
25447,0 days 00:56:14.455000,-6422.0,1614.0,926.0,113.5,1,1.4186217158259662,True
25448,0 days 00:56:14.615000,-6463.687191936386,1534.259290281138,926.0208203952453,120.0,1,1.1563786734818038,True
25449,0 days 00:56:14.675000,-6477.0,1509.0,926.0,123.375,1,0.9318643470988985,True
25450,0 days 00:56:14.775000,-6491.6682931715895,1481.2829818344876,925.9435185025982,129.0,1,0.7102898851818972,True
25451,0 days 00:56:15.035000,-6521.0,1428.0,926.0,138.28571428571428,1,0.5550590246462086,True
25452,0 days 00:56:15.055000,-6526.171038652519,1418.632493407325,926.0488626671141,139.0,1,0.4210759090701621,False
25453,0 days 00:56:15.275000,-6600.0,1286.0,927.0,149.45,1,0.15323436543114802,False
25454,0 days 00:56:15.455000,-6639.673630232386,1219.3643516449974,927.9672247226308,158.0,1,-0.016186632224630588,False
25455,0 days 00:56:15.475000,-6644.0,1212.0,928.0,158.9,1,-0.048941027041591756,False
25456,0 days 00:56:15.535000,-6658.0,1188.0,928.0,161.6,1,-0.1010585437793987,False
25457,0 days 00:56:15.655000,-6695.794440925337,1126.8436242448226,928.174548539842,167.0,1,-0.20274286643204353,False
25458,0 days 00:56:15.855000,-6773.270646679306,1007.4854737694733,928.886748953378,180.0,1,-0.35810133676448397,False
25459,0 days 00:56:15.895000,-6786.0,988.0,929.0,181.5,1,-0.4157744567772536,False
25460,0 days 00:56:16.255000,-6863.232714811267,871.1043286036439,929.7284690903605,195.0,1,-0.5294301480590873,True
25461,0 days 00:56:16.316000,-6878.0,849.0,930.0,195.91499904,1,-0.5685464779336579,True
25462,0 days 00:56:16.455000,-6917.635048780966,789.6234036370143,930.8599747326484,198.0,1,-0.6327961236462673,True
25463,0 days 00:56:16.476000,-6924.0,780.0,931.0,198.7874976,1,-0.6513109750491531,True
25464,0 days 00:56:16.656000,-6981.0,694.0,932.0,205.5374976,1,-0.7226235787786788,True
25465,0 days 00:56:16.695000,-6994.05483957246,675.2689258516288,932.0440019409747,207.0,1,-0.7450174755781318,True
25466,0 days 00:56:16.836000,-7043.0,608.0,932.0,211.91044709586376,1,-0.7963299327946127,True
25467,0 days 00:56:16.896000,-7064.232976499678,579.5527030158189,932.274344186275,214.0,1,-0.8156762050186329,True
25468,0 days 00:56:17.016000,-7108.0,523.0,933.0,217.0,1,-0.897033900271003,True
25469,0 days 00:56:17.096000,-7138.9469584222925,485.59049456292405,933.0849333858803,219.0,1,-0.9299276135174944,True
25470,0 days 00:56:17.256000,-7205.0,412.0,933.0,223.0,1,-0.9675973463157237,True
25471,0 days 00:56:17.376000,-7257.890696325149,358.59848786081255,933.7907853543076,226.0,1,-1.0158293333732753,True
25472,0 days 00:56:17.516000,-7323.0,298.0,935.0,228.72222222222223,1,-1.0576776270174761,True
25473,0 days 00:56:17.736000,-7432.0,206.0,936.0,233.0,1,-1.1013437298995328,True
25474,0 days 00:56:17.916000,-7527.0,135.0,937.0,236.6,1,-1.134017961031068,True
25475,0 days 00:56:17.936000,-7538.062276958745,127.47825198648894,937.1142853247032,237.0,1,-1.1652262719491466,True
25476,0 days 00:56:18.096000,-7628.0,71.0,938.0,239.66666666666666,1,-1.1950473245860982,True
25477,0 days 00:56:18.275000,-7734.0,16.0,939.0,242.65000106666668,1,-1.2036001913697663,True
25478,0 days 00:56:18.296000,-7751.73785142758,9.074425730712822,939.1514289357268,243.0,1,-1.2194251770360973,True
25479,0 days 00:56:18.535000,-7995.0,-67.0,941.0,245.9875008,1,-1.226258157042751,True
25480,0 days 00:56:18.536000,-7995.711340367047,-67.19472777601199,941.0041259697638,246.0,1,-1.2423758806048453,True
25481,0 days 00:56:18.736000,-8066.595965414179,-81.20923993289209,941.0566253687615,250.0,1,-1.2613146410927711,True
25482,0 days 00:56:18.815000,-8092.0,-84.0,941.0,250.32916693333334,1,-1.259469968505391,True
25483,0 days 00:56:18.976000,-8179.159678150317,-96.6231957059035,941.0916106068863,251.0,1,-1.2807126403484406,True
25484,0 days 00:56:19.095000,-8291.0,-109.0,940.0,255.16500224,1,-1.2927999052915202,True
25485,0 days 00:56:19.176000,-8396.632722538725,-117.78579037738261,938.1826615161863,258.0,1,-1.291409198498642,True
25486,0 days 00:56:19.295000,-8557.0,-129.0,935.0,259.0842828852071,1,-1.3051703692610044,True
25487,0 days 00:56:19.615000,-8730.412788609447,-132.14714420547963,931.4826546760756,262.0,1,-1.3078720731407387,True
25488,0 days 00:56:19.775000,-8805.0,-125.0,929.0,264.0,1,-1.2996684259286688,True
25489,0 days 00:56:19.955000,-8938.0,-113.0,924.0,266.25,1,-1.2900577143187961,True
25490,0 days 00:56:20.015000,-8983.31618890441,-107.8404979801757,922.0482811722591,267.0,1,-1.2959916258786495,True
25491,0 days 00:56:20.215000,-9130.0,-86.0,915.0,269.22222222222223,1,-1.28009451307269,True
25492,0 days 00:56:20.355000,-9233.0,-66.0,910.0,270.77777777777777,1,-1.2788891080726508,True
25493,0 days 00:56:20.375000,-9247.729414266869,-62.7899013769633,909.284611350724,271.0,1,-1.2521979894018345,True
25494,0 days 00:56:20.535000,-9365.640482722763,-33.93555737725457,903.5546249387407,273.0,1,-1.2316593718744346,True
25495,0 days 00:56:20.635000,-9440.0,-14.0,900.0,274.0,1,-1.2282810040632806,True
25496,0 days 00:56:20.735000,-9515.102064413131,6.963499824177345,896.4842843724355,275.0,1,-1.216094557233017,True
25497,0 days 00:56:20.815000,-9573.0,24.0,894.0,276.2,1,-1.18559343103802,True
