,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-1086.7858512988146,522.2786001330813,893.7253105028823,117.0,1,0.0,False
25391,0 days 00:56:06.775000,-1037.0,569.0,891.0,124.5,1,0.0,False
25392,0 days 00:56:06.895000,-1004.5895833544761,598.5452422248363,889.5456562922766,132.0,1,0.0,False
25393,0 days 00:56:07.055000,-983.5820729291526,615.511271567054,889.2067400670581,132.0,1,0.0,False
25394,0 days 00:56:07.195000,-955.0,637.0,888.0,139.0,1,0.0,False
25395,0 days 00:56:07.355000,-901.0,675.0,885.0,147.0,1,0.0,False
25396,0 days 00:56:07.455000,-851.6684333286059,701.561862612906,882.4303545857437,152.0,1,0.0,False
25397,0 days 00:56:07.655000,-743.0,750.0,877.0,160.5,1,0.0,False
25398,0 days 00:56:07.855000,-680.0113103702525,773.2990445817263,873.7584958372582,169.0,1,0.0,False
25399,0 days 00:56:08.095000,-580.0,783.0,867.0,186.0,1,0.0,False
25400,0 days 00:56:08.315000,-401.0,791.0,854.0,193.7,1,0.0,False
25401,0 days 00:56:08.495000,-345.00864419881975,789.8863349029579,849.6576662652559,200.0,1,0.0,False
25402,0 days 00:56:08.575000,-324.0,788.0,848.0,201.42857142857142,1,0.0,False
25403,0 days 00:56:08.775000,-232.2439121812138,781.1369380971795,841.1051054620528,205.0,1,0.0,False
25404,0 days 00:56:08.915000,-130.0,764.0,834.0,210.83333333333334,1,0.0,False
25405,0 days 00:56:09.015000,-36.01295701674054,741.5126302973532,827.7987992870393,215.0,1,0.0,False
25406,0 days 00:56:09.135000,67.0,714.0,821.0,217.5,1,0.0,False
25407,0 days 00:56:09.255000,117.30766107450053,699.6739863706744,817.3122858327314,220.0,1,0.0,False
25408,0 days 00:56:09.415000,161.0,683.0,814.0,223.5,1,0.0,False
25409,0 days 00:56:09.575000,263.49088605966153,642.6950082872228,807.7994153178238,227.0,1,0.0,False
25410,0 days 00:56:09.735000,383.10944458690614,593.6371348622748,800.7790641382521,232.0,1,0.0,False
25411,0 days 00:56:09.756000,396.0,588.0,800.0,232.41999872,1,0.0,False
