,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,10563.0,-571.0,267.0,100.46944213333333,1,0.0,False
25814,0 days 00:57:15.466000,10563.817321539469,-565.7017129107757,267.209525621895,100.0,1,0.0,False
25815,0 days 00:57:15.746000,10564.452974224834,-494.4141469583085,270.3410840922193,94.0,1,0.0,False
25816,0 days 00:57:15.833000,10558.0,-479.0,271.0,92.0968792,1,0.0,False
25817,0 days 00:57:16.066000,10525.129025382865,-440.9494325495157,272.3124136327694,87.0,1,0.0,False
25818,0 days 00:57:16.333000,10479.0,-409.0,273.0,85.09285668571428,1,0.0,False
25819,0 days 00:57:16.346000,10477.121396641644,-407.9426009141977,273.0110187203241,85.0,1,0.0,False
25820,0 days 00:57:16.506000,10455.874625474817,-397.7603073300021,273.0017292720528,87.0,1,0.0,False
25821,0 days 00:57:16.573000,10445.0,-392.0,273.0,87.91363723636364,1,0.0,False
25822,0 days 00:57:16.813000,10397.0,-356.0,273.0,91.18636450909091,1,0.0,False
25823,0 days 00:57:16.946000,10382.954830395794,-325.4272775436395,272.5198907566594,93.0,1,0.0,False
25824,0 days 00:57:17.153000,10379.0,-270.0,271.0,93.8624992,1,0.0,False
25825,0 days 00:57:17.186000,10379.381041548253,-261.4086711566685,270.6830904424983,94.0,1,0.0,False
25826,0 days 00:57:17.466000,10391.840402156053,-191.3795358343201,267.24328381793873,92.0,1,0.0,False
25827,0 days 00:57:17.553000,10397.0,-170.0,266.0,92.8156232,1,0.0,False
25828,0 days 00:57:17.693000,10406.0,-134.0,264.0,94.1281256,1,0.0,False
25829,0 days 00:57:17.786000,10413.609167819086,-103.87402509353323,263.0670497230362,95.0,1,0.0,False
25830,0 days 00:57:17.973000,10430.0,-40.0,262.0,97.67142948571428,1,0.0,False
25831,0 days 00:57:18.066000,10436.017793126874,-17.744933506506243,261.59776298513674,99.0,1,0.0,False
25832,0 days 00:57:18.266000,10447.028802858067,19.476093160111585,261.0331749078212,104.0,1,0.0,False
25833,0 days 00:57:18.293000,10449.0,26.0,261.0,104.90000213333333,1,0.0,False
25834,0 days 00:57:18.506000,10469.101865685623,91.7328735695709,261.0513765150203,112.0,1,0.0,False
25835,0 days 00:57:18.593000,10478.0,119.0,261.0,112.3107136,1,0.0,False
25836,0 days 00:57:18.786000,10497.133100042678,171.98702566198017,260.4505691523173,113.0,1,0.0,False
