,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,-2724.0,-2648.0,248.0,219.81944533333333,1,0.0,False
25814,0 days 00:57:15.466000,-2732.1987553208696,-2640.71893013124,247.9154842959147,220.0,1,0.0,False
25815,0 days 00:57:15.746000,-2811.0545407748536,-2580.408231571672,247.97446271964918,230.0,1,0.0,False
25816,0 days 00:57:15.833000,-2837.0,-2569.0,248.0,231.9031208,1,0.0,False
25817,0 days 00:57:16.066000,-2959.535377838753,-2517.5281575866356,247.1739972067029,237.0,1,0.0,False
25818,0 days 00:57:16.333000,-3114.0,-2460.0,246.0,236.04642834285715,1,0.0,False
25819,0 days 00:57:16.346000,-3119.4150782678594,-2458.4350973613195,245.97888492402106,236.0,1,0.0,False
25820,0 days 00:57:16.506000,-3173.9725346178766,-2447.716134661307,245.96536301752027,234.0,1,0.0,False
25821,0 days 00:57:16.573000,-3203.0,-2445.0,246.0,233.69545425454547,1,0.0,False
25822,0 days 00:57:16.813000,-3358.0,-2440.0,246.0,232.60454516363637,1,0.0,False
25823,0 days 00:57:16.946000,-3450.526905271296,-2448.817443483205,245.7603052309145,232.0,1,0.0,False
25824,0 days 00:57:17.153000,-3589.0,-2477.0,245.0,232.0,1,0.0,False
25825,0 days 00:57:17.186000,-3609.665265746584,-2482.356296801303,244.83647070776416,232.0,1,0.0,False
25826,0 days 00:57:17.466000,-3770.686761214489,-2536.5491525823877,243.22568697559495,223.0,1,0.0,False
25827,0 days 00:57:17.553000,-3818.0,-2556.0,243.0,220.5531304,1,0.0,False
25828,0 days 00:57:17.693000,-3895.0,-2592.0,243.0,216.6156232,1,0.0,False
25829,0 days 00:57:17.786000,-3954.1559332346305,-2626.3948270191904,243.0156992171517,214.0,1,0.0,False
25830,0 days 00:57:17.973000,-4071.0,-2705.0,243.0,205.31785417142856,1,0.0,False
25831,0 days 00:57:18.066000,-4108.435305548609,-2733.537165934195,242.9964546858437,201.0,1,0.0,False
25832,0 days 00:57:18.266000,-4159.828354157748,-2784.1006899974554,242.99928396135635,191.0,1,0.0,False
25833,0 days 00:57:18.293000,-4168.0,-2793.0,243.0,191.0,1,0.0,False
25834,0 days 00:57:18.506000,-4246.90618158422,-2884.2843385732017,243.00539734097725,191.0,1,0.0,False
25835,0 days 00:57:18.593000,-4280.0,-2930.0,243.0,186.0285824,1,0.0,False
25836,0 days 00:57:18.786000,-4346.3020722136625,-3044.6791555854606,242.96872725920252,175.0,1,0.0,False
25837,0 days 00:57:18.893000,-4373.0,-3104.0,243.0,169.38249664,1,0.0,False
25838,0 days 00:57:19.133000,-4402.0,-3209.0,243.0,156.78249664,1,0.0,False
25839,0 days 00:57:19.186000,-4406.275420145716,-3229.7672889310306,242.7847898224049,154.0,1,0.0,False
25840,0 days 00:57:19.333000,-4415.0,-3293.0,242.0,148.22499748571428,1,0.0,False
25841,0 days 00:57:19.466000,-4415.8431142276195,-3376.4510316641395,241.83188420059528,143.0,1,0.0,False
25842,0 days 00:57:19.632000,-4412.0,-3471.0,242.0,138.8500032,1,0.0,False
25843,0 days 00:57:19.746000,-4409.991276087808,-3493.374751107637,242.01957730453847,136.0,1,0.0,False
25844,0 days 00:57:19.873000,-4406.0,-3507.0,242.0,132.8090469715428,1,0.0,False
25845,0 days 00:57:19.945000,-4401.677105521328,-3524.8820232645558,241.99746689404492,131.0,1,0.0,False
25846,0 days 00:57:20.133000,-4381.0,-3596.0,242.0,126.2999936,1,0.0,False
25847,0 days 00:57:20.265000,-4354.85892264393,-3651.4939672621294,241.97922072790936,123.0,1,0.0,False
25848,0 days 00:57:20.393000,-4329.0,-3697.0,242.0,121.40498537770345,1,0.0,False
25849,0 days 00:57:20.586000,-4304.098724628734,-3730.8306467424563,242.1818835558016,119.0,1,0.0,False
25850,0 days 00:57:20.693000,-4287.0,-3747.0,242.0,117.6624992,1,0.0,False
25851,0 days 00:57:20.826000,-4255.4943716549315,-3774.7090616485416,241.26209552136547,116.0,1,0.0,False
25852,0 days 00:57:20.933000,-4227.0,-3797.0,241.0,117.07000064,1,0.0,False
25853,0 days 00:57:21.026000,-4203.013991225722,-3812.6939238696627,241.45864834961847,118.0,1,2.352858063090581,True
25854,0 days 00:57:21.113000,-4176.0,-3826.0,242.0,119.6312464,1,2.34303989808392,True
25855,0 days 00:57:21.186000,-4146.258278675838,-3837.3453009217874,242.21208859829252,121.0,1,2.27829790762269,True
25856,0 days 00:57:21.386000,-4041.908558753967,-3867.389993017259,241.91204357300316,121.0,1,2.2265622908861453,True
25857,0 days 00:57:21.493000,-4004.0,-3877.0,242.0,125.0125024,1,2.1360221446664736,True
25858,0 days 00:57:21.546000,-3992.6494708371783,-3879.575089208574,242.17655851540715,127.0,1,2.0460558910872955,True
25859,0 days 00:57:21.733000,-3967.0,-3882.0,243.0,131.6750016,1,2.03060047755279,True
25860,0 days 00:57:21.746000,-3963.536725588162,-3882.277689972096,243.0180438606848,132.0,1,2.002413239246728,True
25861,0 days 00:57:21.906000,-3902.188165998846,-3887.258133118116,242.94283521953602,138.0,1,1.9512636848527594,True
25862,0 days 00:57:21.933000,-3891.0,-3888.0,243.0,138.9281272,1,1.8579638159161491,True
25863,0 days 00:57:22.213000,-3778.0,-3892.0,245.0,148.5531272,1,1.7290184388002534,True
25864,0 days 00:57:22.226000,-3772.599008301378,-3892.1219977922333,245.07793710977973,149.0,1,1.6370162435564444,True
25865,0 days 00:57:22.426000,-3686.65995655103,-3893.73796250808,245.83558073142032,157.0,1,1.562960775083609,True
25866,0 days 00:57:22.473000,-3666.0,-3894.0,246.0,158.3218696,1,1.432868479768626,True
25867,0 days 00:57:22.693000,-3567.0,-3895.0,247.0,164.5093768,1,1.3250880035944383,True
25868,0 days 00:57:22.746000,-3542.0739062673797,-3895.529097954781,247.32091830896744,166.0,1,1.2490947940523296,True
25869,0 days 00:57:22.853000,-3491.0,-3897.0,248.0,170.458336,1,1.1660468002238435,True
25870,0 days 00:57:22.986000,-3428.1959876071633,-3899.3664335998906,248.6839036750296,176.0,1,1.0247824335146085,True
25871,0 days 00:57:23.093000,-3371.0,-3903.0,249.0,182.95500416,1,0.9578759544852319,True
25872,0 days 00:57:23.186000,-3312.069152072236,-3908.1957743199428,249.04689686032685,189.0,1,0.8752186026404782,True
25873,0 days 00:57:23.333000,-3224.0,-3917.0,249.0,194.88000256,1,0.8265907797829256,True
25874,0 days 00:57:23.386000,-3203.192247637975,-3918.985709258837,249.0766002321094,197.0,1,0.7367085347105247,True
25875,0 days 00:57:23.746000,-3034.960310698006,-3942.4523441233746,249.0731369764655,206.0,1,0.6427714660456397,True
25876,0 days 00:57:23.753000,-3025.0,-3944.0,249.0,206.2624928,1,0.5573917497325613,True
25877,0 days 00:57:23.833000,-2897.0,-3964.0,248.0,209.2624928,1,0.4902523469706567,False
25878,0 days 00:57:23.906000,-2801.322722362827,-3979.2160930314867,247.2444935551168,212.0,1,0.41262273649334635,False
25879,0 days 00:57:24.146000,-2669.513857376423,-4002.4863095347605,246.24984752430456,215.0,1,0.38361025714636254,False
25880,0 days 00:57:24.293000,-2623.0,-4012.0,246.0,221.73750293333333,1,0.3417842739958752,False
25881,0 days 00:57:24.386000,-2590.126772829157,-4018.6733734462723,245.8584828307067,226.0,1,0.29381506113362,False
25882,0 days 00:57:24.586000,-2509.4584271450435,-4035.0463409856843,245.56569249970738,231.0,1,0.2406304083407335,False
25883,0 days 00:57:24.753000,-2422.0,-4054.0,245.0,234.24721848888888,1,0.23080185029788397,False
25884,0 days 00:57:24.946000,-2297.619090806425,-4081.988240998232,244.0235329478354,238.0,1,0.2118158691744122,False
25885,0 days 00:57:24.953000,-2293.0,-4083.0,244.0,238.14999588571428,1,0.2012099596322407,False
25886,0 days 00:57:25.173000,-2148.0,-4112.0,244.0,242.8642870857143,1,0.1658720193974829,False
25887,0 days 00:57:25.226000,-2112.1926135773183,-4117.648138242304,244.24100484451083,244.0,1,0.14152307869678837,False
25888,0 days 00:57:25.373000,-2014.0,-4130.0,245.0,246.7562512,1,0.11590750357773152,False
25889,0 days 00:57:25.546000,-1900.782137440616,-4138.0759440757965,244.93347474955792,250.0,1,0.0948597010581304,False
25890,0 days 00:57:25.573000,-1876.0,-4139.0,245.0,250.6750016,1,0.08021921111188615,False
25891,0 days 00:57:25.733000,-1691.0,-4143.0,246.0,254.6750016,1,0.04840398537083737,False
25892,0 days 00:57:25.786000,-1637.0919104611548,-4143.355169375157,246.2513954513253,256.0,1,0.03431716623673769,False
25893,0 days 00:57:25.946000,-1517.216692843394,-4141.1094278572255,246.47712967633834,256.0,1,0.015707647070828678,False
25894,0 days 00:57:26.146000,-1406.3144637247676,-4135.181960133021,246.0214008553098,261.0,1,-0.008935068890901642,False
25895,0 days 00:57:26.152000,-1403.0,-4135.0,246.0,261.08571245714285,1,-0.013585715314442123,False
