,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,10014.0,-1186.0,242.0,149.60277973333334,1,0.0,False
25814,0 days 00:57:15.466000,10022.120426469344,-1184.7253939093532,241.99690773107903,150.0,1,0.0,False
25815,0 days 00:57:15.746000,10138.66449199532,-1147.6687708525512,241.88850942422775,157.0,1,0.0,False
25816,0 days 00:57:15.833000,10168.0,-1132.0,242.0,157.8156232,1,0.0,False
25817,0 days 00:57:16.066000,10250.433904216385,-1079.8091966553066,242.84072561457168,160.0,1,0.0,False
25818,0 days 00:57:16.333000,10334.0,-1013.0,244.0,153.3249984,1,0.0,False
25819,0 days 00:57:16.346000,10337.223590598054,-1009.9039475944012,244.03795932475148,153.0,1,0.0,False
25820,0 days 00:57:16.506000,10371.455080766002,-972.1857836163457,244.47610630313838,151.0,1,0.0,False
25821,0 days 00:57:16.573000,10386.0,-954.0,245.0,149.62954414545456,1,0.0,False
25822,0 days 00:57:16.813000,10444.0,-874.0,249.0,144.72045323636362,1,0.0,False
25823,0 days 00:57:16.946000,10472.345831039343,-827.5255919671356,251.62884525313996,142.0,1,0.0,False
25824,0 days 00:57:17.153000,10508.0,-758.0,256.0,126.4750144,1,0.0,False
25825,0 days 00:57:17.186000,10512.681765676913,-747.7026521649225,256.73688740280915,124.0,1,0.0,False
25826,0 days 00:57:17.466000,10542.205363070809,-667.9527246445809,262.90001048780437,111.0,1,0.0,False
25827,0 days 00:57:17.553000,10549.0,-644.0,264.0,108.281256,1,0.0,False
25828,0 days 00:57:17.693000,10558.0,-604.0,265.0,103.906248,1,0.0,False
25829,0 days 00:57:17.786000,10562.087535094068,-572.2084801087523,266.3809930590756,101.0,1,0.0,False
25830,0 days 00:57:17.973000,10565.0,-508.0,270.0,97.66071314285715,1,0.0,False
25831,0 days 00:57:18.066000,10563.469419652349,-487.19500254778245,271.026687143785,96.0,1,0.0,False
25832,0 days 00:57:18.266000,10549.718572685037,-459.8430732466885,271.8981181476974,95.0,1,0.0,False
25833,0 days 00:57:18.293000,10546.0,-456.0,272.0,94.09999786666667,1,0.0,False
25834,0 days 00:57:18.506000,10501.513486773063,-422.47707484589904,272.80638649992693,87.0,1,0.0,False
25835,0 days 00:57:18.593000,10481.0,-410.0,273.0,87.0,1,0.0,False
25836,0 days 00:57:18.786000,10437.729032020667,-387.9726962490156,272.9988460117695,87.0,1,0.0,False
25837,0 days 00:57:18.893000,10417.0,-374.0,273.0,88.3375008,1,0.0,False
25838,0 days 00:57:19.133000,10384.0,-330.0,273.0,91.3375008,1,0.0,False
25839,0 days 00:57:19.186000,10380.343326101458,-318.49188741238964,272.69267736530395,92.0,1,0.0,False
25840,0 days 00:57:19.333000,10378.0,-279.0,271.0,91.47499977142857,1,0.0,False
25841,0 days 00:57:19.466000,10386.278663655037,-223.43679586054733,268.2522404444418,91.0,1,0.0,False
25842,0 days 00:57:19.632000,10400.0,-159.0,265.0,90.40714331428572,1,0.0,False
25843,0 days 00:57:19.746000,10403.421719805998,-143.19231813256107,264.2912764506073,90.0,1,0.0,False
25844,0 days 00:57:19.873000,10406.0,-133.0,264.0,91.27638121138288,1,0.0,False
25845,0 days 00:57:19.945000,10409.265095981258,-120.29398143388889,263.562340995923,92.0,1,0.0,False
25846,0 days 00:57:20.133000,10423.0,-68.0,262.0,94.3500032,1,0.0,False
25847,0 days 00:57:20.265000,10435.6956363303,-21.689709826916005,261.31164065274135,96.0,1,0.0,False
25848,0 days 00:57:20.393000,10447.0,19.0,261.0,98.39252193344483,1,0.0,False
25849,0 days 00:57:20.586000,10456.675318654774,53.63740429710072,261.1055155716607,102.0,1,0.0,False
25850,0 days 00:57:20.693000,10463.0,74.0,261.0,105.5666688,1,0.0,False
25851,0 days 00:57:20.826000,10474.96924313705,110.3529301965008,260.4041049061279,110.0,1,0.0,False
25852,0 days 00:57:20.933000,10486.0,142.0,260.0,109.46499968,1,0.0,False
25853,0 days 00:57:21.026000,10495.459222313555,167.35222861838548,259.9730756385947,109.0,1,1.4797766547263524,True
25854,0 days 00:57:21.113000,10505.0,193.0,260.0,107.9125024,1,1.521627120942293,True
25855,0 days 00:57:21.186000,10514.081316815735,218.58199721336342,259.90683012434573,107.0,1,1.4740243398889386,True
