,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,-2609.0,-4015.0,246.0,221.49444693333334,1,0.0,False
25814,0 days 00:57:15.466000,-2596.901040203653,-4017.3475359131603,245.89038928334108,222.0,1,0.0,False
25815,0 days 00:57:15.746000,-2418.8684519658473,-4055.3751428279734,245.1244860192115,230.0,1,0.0,False
25816,0 days 00:57:15.833000,-2370.0,-4066.0,245.0,231.9031208,1,0.0,False
25817,0 days 00:57:16.066000,-2221.864448121478,-4096.314341489683,244.2933750256738,237.0,1,0.0,False
25818,0 days 00:57:16.333000,-2068.0,-4124.0,244.0,243.6750016,1,0.0,False
25819,0 days 00:57:16.346000,-2062.3803375259467,-4124.836494585286,244.03622088392297,244.0,1,0.0,False
25820,0 days 00:57:16.506000,-2003.5448394033212,-4131.662912449655,244.7845013874135,246.0,1,0.0,False
25821,0 days 00:57:16.573000,-1972.0,-4134.0,245.0,247.37045585454544,1,0.0,False
25822,0 days 00:57:16.813000,-1805.0,-4142.0,245.0,252.27954676363638,1,0.0,False
25823,0 days 00:57:16.946000,-1703.5996965571194,-4142.92262603427,245.3525821371945,255.0,1,0.0,False
25824,0 days 00:57:17.153000,-1548.0,-4140.0,246.0,257.5874976,1,0.0,False
25825,0 days 00:57:17.186000,-1524.2180504821185,-4139.317327671407,246.0048754002641,258.0,1,0.0,False
25826,0 days 00:57:17.466000,-1331.8156933474975,-4131.288988869926,245.1742102081868,263.0,1,0.0,False
25827,0 days 00:57:17.553000,-1272.0,-4128.0,245.0,264.0874976,1,0.0,False
25828,0 days 00:57:17.693000,-1168.0,-4122.0,245.0,265.8375008,1,0.0,False
25829,0 days 00:57:17.786000,-1074.8351831392083,-4117.759881666492,245.22416951370724,267.0,1,0.0,False
25830,0 days 00:57:17.973000,-873.0,-4110.0,246.0,269.67142948571427,1,0.0,False
25831,0 days 00:57:18.066000,-806.8742463547376,-4107.499878108539,246.36625233248688,271.0,1,0.0,False
25832,0 days 00:57:18.266000,-708.155018857641,-4104.383219619223,246.96352792926604,274.0,1,0.0,False
25833,0 days 00:57:18.293000,-691.0,-4104.0,247.0,274.3375008,1,0.0,False
25834,0 days 00:57:18.506000,-517.1512370006631,-4101.048393023974,246.9505206340893,277.0,1,0.0,False
25835,0 days 00:57:18.593000,-445.0,-4100.0,247.0,277.9321408,1,0.0,False
25836,0 days 00:57:18.786000,-305.0214037838758,-4098.119822772419,247.55135226111472,280.0,1,0.0,False
25837,0 days 00:57:18.893000,-227.0,-4097.0,248.0,281.07000064,1,0.0,False
25838,0 days 00:57:19.133000,-38.0,-4094.0,249.0,283.47000064,1,0.0,False
25839,0 days 00:57:19.186000,0.545353775741708,-4093.454675687031,249.10636626425176,284.0,1,0.0,False
25840,0 days 00:57:19.333000,119.0,-4092.0,249.0,285.57500068571426,1,0.0,False
25841,0 days 00:57:19.466000,288.66480216384247,-4090.0940378589044,248.13778795852897,287.0,1,0.0,False
25842,0 days 00:57:19.632000,487.0,-4088.0,247.0,288.18571337142856,1,0.0,False
25843,0 days 00:57:19.746000,535.0646311323848,-4087.6376892326416,246.94764464883698,289.0,1,0.0,False
25844,0 days 00:57:19.873000,567.0,-4088.0,247.0,290.2763812113829,1,0.0,False
25845,0 days 00:57:19.945000,607.9343238774807,-4088.4218983624664,246.77322582127178,291.0,1,0.0,False
25846,0 days 00:57:20.133000,776.0,-4095.0,246.0,292.1750016,1,0.0,False
25847,0 days 00:57:20.265000,921.3531553062153,-4111.437237837992,246.3431012932805,293.0,1,0.0,False
