,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,4327.0,-4771.0,243.0,324.92777813333333,1,0.0,False
25814,0 days 00:57:15.466000,4344.75339400845,-4769.670972806899,242.94367263171932,325.0,1,0.0,False
25815,0 days 00:57:15.746000,4600.686929466843,-4742.384802520806,241.9926969691617,326.0,1,0.0,False
25816,0 days 00:57:15.833000,4669.0,-4732.0,242.0,326.5437488,1,0.0,False
25817,0 days 00:57:16.066000,4873.597528978776,-4696.680588873775,242.97918415831302,328.0,1,0.0,False
25818,0 days 00:57:16.333000,5082.0,-4655.0,245.0,328.95357165714285,1,0.0,False
25819,0 days 00:57:16.346000,5089.443981666118,-4653.313890026338,245.09769873451046,329.0,1,0.0,False
25820,0 days 00:57:16.506000,5165.712338135595,-4634.012696771016,246.33433825803402,330.0,1,0.0,False
25821,0 days 00:57:16.573000,5206.0,-4623.0,247.0,330.0,1,0.0,False
25822,0 days 00:57:16.813000,5418.0,-4563.0,250.0,330.0,1,0.0,False
25823,0 days 00:57:16.946000,5543.999884729916,-4523.460156679618,251.1047842991869,330.0,1,0.0,False
25824,0 days 00:57:17.153000,5734.0,-4460.0,252.0,331.7249984,1,0.0,False
25825,0 days 00:57:17.186000,5762.825573419422,-4450.333137576261,252.097939185847,332.0,1,0.0,False
25826,0 days 00:57:17.466000,5994.114010070552,-4372.448593346423,252.33154192302217,333.0,1,0.0,False
25827,0 days 00:57:17.553000,6066.0,-4348.0,252.0,333.2718744,1,0.0,False
25828,0 days 00:57:17.693000,6189.0,-4306.0,251.0,333.7093752,1,0.0,False
25829,0 days 00:57:17.786000,6291.219348456651,-4271.379134084127,250.08588177140228,334.0,1,0.0,False
25830,0 days 00:57:17.973000,6506.0,-4199.0,248.0,334.66785737142857,1,0.0,False
25831,0 days 00:57:18.066000,6579.876427055187,-4174.060437991799,247.08766380434363,335.0,1,0.0,False
25832,0 days 00:57:18.266000,6698.080926456506,-4133.831793952695,245.26801217237173,336.0,1,0.0,False
25833,0 days 00:57:18.293000,6718.0,-4127.0,245.0,336.11250026666664,1,0.0,False
25834,0 days 00:57:18.506000,6915.176986753451,-4058.9272071661453,242.7245239814492,337.0,1,0.0,False
25835,0 days 00:57:18.593000,7000.0,-4029.0,242.0,337.3107136,1,0.0,False
25836,0 days 00:57:18.786000,7176.78633405132,-3964.556358401194,241.1675162937785,338.0,1,0.0,False
25837,0 days 00:57:18.893000,7272.0,-3928.0,241.0,338.26750016,1,0.0,False
25838,0 days 00:57:19.133000,7481.0,-3843.0,241.0,338.86750016,1,0.0,False
25839,0 days 00:57:19.186000,7523.4630888150805,-3825.4220693066695,241.00515591721302,339.0,1,0.0,False
25840,0 days 00:57:19.333000,7654.0,-3770.0,241.0,339.0,1,0.0,False
25841,0 days 00:57:19.466000,7836.848254652505,-3688.7931310308536,240.99601594899016,339.0,1,0.0,False
25842,0 days 00:57:19.632000,8049.0,-3593.0,241.0,338.4071433142857,1,0.0,False
25843,0 days 00:57:19.746000,8100.411326909445,-3569.341624779681,241.01242688584898,338.0,1,0.0,False
25844,0 days 00:57:19.873000,8134.0,-3553.0,241.0,337.3618093943086,1,0.0,False
25845,0 days 00:57:19.945000,8176.89581537004,-3532.5119202962564,240.96225028724055,337.0,1,0.0,False
25846,0 days 00:57:20.133000,8352.0,-3449.0,241.0,331.7124928,1,0.0,False
25847,0 days 00:57:20.265000,8501.5602356397,-3377.0631718602385,241.50502312761168,328.0,1,0.0,False
25848,0 days 00:57:20.393000,8630.0,-3315.0,242.0,319.62617323294313,1,0.0,False
25849,0 days 00:57:20.586000,8733.161036826992,-3264.607644417644,242.06214965970136,307.0,1,0.0,False
25850,0 days 00:57:20.693000,8789.0,-3236.0,242.0,307.0,1,0.0,False
25851,0 days 00:57:20.826000,8887.053360750864,-3184.6002599974086,241.9973760569932,307.0,1,0.0,False
25852,0 days 00:57:20.933000,8967.0,-3142.0,242.0,279.71498368,1,0.0,False
25853,0 days 00:57:21.026000,9024.051060274041,-3110.9727524230184,241.97255347578047,256.0,1,1.0854379376059125,True
25854,0 days 00:57:21.113000,9077.0,-3081.0,242.0,243.4937776,1,1.1500574630821376,True
25855,0 days 00:57:21.186000,9128.14710037018,-3050.9457126381703,242.11734843698872,233.0,1,1.1775298919037642,True
