,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,9582.0,-2292.0,245.0,83.14444373333333,1,0.0,False
25814,0 days 00:57:15.466000,9578.906691296103,-2288.5297602151572,245.0484082191234,83.0,1,0.0,False
25815,0 days 00:57:15.746000,9529.719380306047,-2240.528921771522,245.08197312078505,87.0,1,0.0,False
25816,0 days 00:57:15.833000,9515.0,-2228.0,245.0,88.6312464,1,0.0,False
25817,0 days 00:57:16.066000,9469.065449962463,-2189.9217532549055,244.9425674804654,93.0,1,0.0,False
25818,0 days 00:57:16.333000,9420.0,-2150.0,245.0,100.62857325714286,1,0.0,False
25819,0 days 00:57:16.346000,9418.17689284092,-2148.5207137906946,245.00102153023235,101.0,1,0.0,False
25820,0 days 00:57:16.506000,9398.728771130216,-2132.7579358059625,245.00142472083422,104.0,1,0.0,False
25821,0 days 00:57:16.573000,9388.0,-2124.0,245.0,107.3500032,1,0.0,False
25822,0 days 00:57:16.813000,9330.0,-2075.0,245.0,119.3500032,1,0.0,False
25823,0 days 00:57:16.946000,9293.603398061425,-2040.3810096807256,245.00230353754876,126.0,1,0.0,False
25824,0 days 00:57:17.153000,9240.0,-1983.0,245.0,126.8624992,1,0.0,False
25825,0 days 00:57:17.186000,9232.708152843452,-1974.3095381547269,244.9976220882861,127.0,1,0.0,False
25826,0 days 00:57:17.466000,9183.711531171764,-1904.5270486452134,244.97595430513104,119.0,1,0.0,False
25827,0 days 00:57:17.553000,9171.0,-1882.0,245.0,117.640628,1,0.0,False
25828,0 days 00:57:17.693000,9152.0,-1842.0,245.0,115.453124,1,0.0,False
25829,0 days 00:57:17.786000,9140.25991640757,-1807.18253779249,244.71570253337012,114.0,1,0.0,False
25830,0 days 00:57:17.973000,9122.0,-1733.0,244.0,111.99642788571428,1,0.0,False
25831,0 days 00:57:18.066000,9118.116512164092,-1708.5442927755241,244.09761403850362,111.0,1,0.0,False
25832,0 days 00:57:18.266000,9119.353584593173,-1671.464087279517,244.925128167516,106.0,1,0.0,False
25833,0 days 00:57:18.293000,9120.0,-1665.0,245.0,105.77499946666667,1,0.0,False
25834,0 days 00:57:18.506000,9128.294196123952,-1599.772886378335,245.1482943795035,104.0,1,0.0,False
25835,0 days 00:57:18.593000,9133.0,-1574.0,245.0,102.7571456,1,0.0,False
25836,0 days 00:57:18.786000,9146.077918241544,-1528.0946076739995,244.29264608744148,100.0,1,0.0,False
25837,0 days 00:57:18.893000,9158.0,-1500.0,244.0,98.6624992,1,0.0,False
25838,0 days 00:57:19.133000,9197.0,-1424.0,244.0,95.6624992,1,0.0,False
25839,0 days 00:57:19.186000,9204.352597675897,-1411.6329821767138,244.00952489284313,95.0,1,0.0,False
25840,0 days 00:57:19.333000,9227.0,-1382.0,244.0,94.47499977142857,1,0.0,False
25841,0 days 00:57:19.466000,9265.80638685639,-1343.1491726105012,243.98274706647348,94.0,1,0.0,False
25842,0 days 00:57:19.632000,9314.0,-1299.0,244.0,94.59285668571428,1,0.0,False
25843,0 days 00:57:19.746000,9326.376612038755,-1288.9536950443526,244.07247602926336,95.0,1,0.0,False
25844,0 days 00:57:19.873000,9336.0,-1284.0,244.0,96.27638121138288,1,0.0,False
25845,0 days 00:57:19.945000,9347.73437306236,-1277.1939459658129,243.77773143128343,97.0,1,0.0,False
25846,0 days 00:57:20.133000,9398.0,-1251.0,243.0,99.3500032,1,0.0,False
25847,0 days 00:57:20.265000,9447.432804208764,-1233.2431777003737,242.91430989250017,101.0,1,0.0,False
25848,0 days 00:57:20.393000,9492.0,-1220.0,243.0,102.99376827787069,1,0.0,False
25849,0 days 00:57:20.586000,9528.829332703366,-1212.2367575905955,243.0131090784717,106.0,1,0.0,False
25850,0 days 00:57:20.693000,9551.0,-1210.0,243.0,109.1208352,1,0.0,False
25851,0 days 00:57:20.826000,9591.819673143578,-1206.4591085360437,242.99002923797815,113.0,1,0.0,False
25852,0 days 00:57:20.933000,9627.0,-1204.0,243.0,116.21000192,1,0.0,False
25853,0 days 00:57:21.026000,9654.27362365997,-1202.7464882170846,243.02937248715656,119.0,1,-0.5702689837121098,True
25854,0 days 00:57:21.113000,9684.0,-1202.0,243.0,121.1749952,1,-0.5100995975404614,True
25855,0 days 00:57:21.186000,9716.979687039213,-1201.468923256349,242.8809618916732,123.0,1,-0.40611780418548366,False
25856,0 days 00:57:21.386000,9833.6550386118,-1200.4236358681217,242.22091150898385,131.0,1,-0.18895810818058173,False
