,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,5066.0,-4658.0,245.0,315.96388906666664,1,0.0,False
25814,0 days 00:57:15.466000,5082.91467044275,-4654.335140437945,245.19810917214855,316.0,1,0.0,False
25815,0 days 00:57:15.746000,5324.188864850767,-4591.598375792781,248.2677732782077,316.0,1,0.0,False
25816,0 days 00:57:15.833000,5388.0,-4572.0,249.0,316.5437488,1,0.0,False
25817,0 days 00:57:16.066000,5579.063040665328,-4511.20143947902,250.75119409290258,318.0,1,0.0,False
25818,0 days 00:57:16.333000,5774.0,-4447.0,252.0,318.0,1,0.0,False
25819,0 days 00:57:16.346000,5780.988287431834,-4444.64894058505,252.02838476403107,318.0,1,0.0,False
25820,0 days 00:57:16.506000,5852.865240875254,-4420.028201780732,252.12323931805588,318.0,1,0.0,False
25821,0 days 00:57:16.573000,5891.0,-4407.0,252.0,318.0,1,0.0,False
25822,0 days 00:57:16.813000,6092.0,-4339.0,251.0,318.0,1,0.0,False
25823,0 days 00:57:16.946000,6211.477707765025,-4298.399716765971,250.71608273275012,318.0,1,0.0,False
25824,0 days 00:57:17.153000,6392.0,-4237.0,250.0,318.0,1,0.0,False
25825,0 days 00:57:17.186000,6419.489574921908,-4227.701038769439,249.71845840183553,318.0,1,0.0,False
25826,0 days 00:57:17.466000,6640.749344321067,-4153.218115250792,245.92662099177943,316.0,1,0.0,False
25827,0 days 00:57:17.553000,6709.0,-4130.0,245.0,316.0,1,0.0,False
25828,0 days 00:57:17.693000,6825.0,-4090.0,244.0,316.0,1,0.0,False
25829,0 days 00:57:17.786000,6921.256700832422,-4056.14921268259,243.32385080950138,316.0,1,0.0,False
25830,0 days 00:57:17.973000,7123.0,-3984.0,242.0,315.33214262857143,1,0.0,False
25831,0 days 00:57:18.066000,7191.731699169736,-3958.7744793814345,241.54954864035727,315.0,1,0.0,False
25832,0 days 00:57:18.266000,7300.524284360033,-3916.414541672808,241.03240622136025,314.0,1,0.0,False
25833,0 days 00:57:18.293000,7319.0,-3909.0,241.0,314.0,1,0.0,False
25834,0 days 00:57:18.506000,7502.118267160094,-3834.3090717751975,241.0053155963105,314.0,1,0.0,False
25835,0 days 00:57:18.593000,7577.0,-3803.0,241.0,313.6892864,1,0.0,False
25836,0 days 00:57:18.786000,7720.297496198973,-3740.9411842944155,240.8287991103841,313.0,1,0.0,False
25837,0 days 00:57:18.893000,7799.0,-3706.0,241.0,312.46499968,1,0.0,False
25838,0 days 00:57:19.133000,7988.0,-3621.0,242.0,311.26499968,1,0.0,False
25839,0 days 00:57:19.186000,8026.704740380586,-3603.256737125508,241.8628142427505,311.0,1,0.0,False
25840,0 days 00:57:19.333000,8145.0,-3548.0,241.0,311.5250002285714,1,0.0,False
25841,0 days 00:57:19.466000,8311.094976002667,-3469.130486741266,240.7148049185766,312.0,1,0.0,False
25842,0 days 00:57:19.632000,8504.0,-3377.0,241.0,311.4071433142857,1,0.0,False
