,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,-688.0,379.0,247.0,227.81944533333333,1,0.0,False
25814,0 days 00:57:15.466000,-676.4440917905304,384.54421470492156,246.81512731462144,228.0,1,0.0,False
25815,0 days 00:57:15.746000,-506.985536622799,466.1783458760039,243.52320067589008,237.0,1,0.0,False
25816,0 days 00:57:15.833000,-460.0,486.0,243.0,238.9031208,1,0.0,False
25817,0 days 00:57:16.066000,-315.6292776538486,537.667673784601,243.05635877531154,244.0,1,0.0,False
25818,0 days 00:57:16.333000,-163.0,582.0,244.0,249.72142994285716,1,0.0,False
25819,0 days 00:57:16.346000,-157.33220587080166,583.3736099205897,244.01669487427463,250.0,1,0.0,False
25820,0 days 00:57:16.506000,-97.17945128769543,595.1541003520628,244.0231921413677,254.0,1,0.0,False
25821,0 days 00:57:16.573000,-65.0,600.0,244.0,254.76136436363637,1,0.0,False
25822,0 days 00:57:16.813000,104.0,621.0,244.0,257.4886370909091,1,0.0,False
25823,0 days 00:57:16.946000,206.65738237872378,628.2567791864462,244.03423754727768,259.0,1,0.0,False
25824,0 days 00:57:17.153000,364.0,632.0,244.0,259.0,1,0.0,False
25825,0 days 00:57:17.186000,387.9522366325995,631.9142104554861,243.9649224933484,259.0,1,0.0,False
25826,0 days 00:57:17.466000,580.8848183803327,622.6194738160702,243.64553265826177,267.0,1,0.0,False
25827,0 days 00:57:17.553000,641.0,615.0,244.0,267.8156232,1,0.0,False
25828,0 days 00:57:17.693000,744.0,596.0,245.0,269.1281256,1,0.0,False
25829,0 days 00:57:17.786000,829.8518546996324,574.8372129102245,245.2314351284837,270.0,1,0.0,False
25830,0 days 00:57:17.973000,1009.0,524.0,245.0,272.67142948571427,1,0.0,False
25831,0 days 00:57:18.066000,1068.419692655418,505.7714407023443,245.1025798974437,274.0,1,0.0,False
25832,0 days 00:57:18.266000,1159.2828976862795,473.0623530506033,245.85372183313663,276.0,1,0.0,False
25833,0 days 00:57:18.293000,1175.0,467.0,246.0,276.3375008,1,0.0,False
25834,0 days 00:57:18.506000,1333.0393686947555,403.80283817864205,247.45797950342507,279.0,1,0.0,False
25835,0 days 00:57:18.593000,1397.0,376.0,248.0,279.3107136,1,0.0,False
25836,0 days 00:57:18.786000,1515.9560843487393,317.25084645292606,248.82008129297904,280.0,1,0.0,False
25837,0 days 00:57:18.893000,1581.0,282.0,249.0,281.07000064,1,0.0,False
25838,0 days 00:57:19.133000,1740.0,191.0,249.0,283.47000064,1,0.0,False
25839,0 days 00:57:19.186000,1773.0224570115372,170.5182485446963,249.18809971228166,284.0,1,0.0,False
25840,0 days 00:57:19.333000,1875.0,105.0,250.0,285.57500068571426,1,0.0,False
25841,0 days 00:57:19.466000,2019.1789372912322,14.088421571058557,250.58294750917005,287.0,1,0.0,False
25842,0 days 00:57:19.632000,2187.0,-91.0,251.0,288.7785700571429,1,0.0,False
25843,0 days 00:57:19.746000,2227.7334350405285,-116.63647993017418,251.0500578376811,290.0,1,0.0,False
25844,0 days 00:57:19.873000,2255.0,-134.0,251.0,291.2763812113829,1,0.0,False
25845,0 days 00:57:19.945000,2289.9116614551353,-156.10091949536002,250.98473139610985,292.0,1,0.0,False
25846,0 days 00:57:20.133000,2434.0,-247.0,251.0,293.1750016,1,0.0,False
25847,0 days 00:57:20.265000,2560.352829614536,-326.3182800498289,251.07286843629473,294.0,1,0.0,False
25848,0 days 00:57:20.393000,2670.0,-395.0,251.0,294.3987536555741,1,0.0,False
25849,0 days 00:57:20.586000,2758.973764533737,-450.5826166566233,250.31020743430824,295.0,1,0.0,False
25850,0 days 00:57:20.693000,2809.0,-482.0,250.0,295.4458336,1,0.0,False
25851,0 days 00:57:20.826000,2898.431163453262,-538.4367555185943,249.93225196064822,296.0,1,0.0,False
25852,0 days 00:57:20.933000,2976.0,-587.0,250.0,296.0,1,0.0,False
25853,0 days 00:57:21.026000,3037.7038370415657,-624.9965890865267,250.0670592627858,296.0,1,-0.42315343117933135,False
25854,0 days 00:57:21.113000,3102.0,-664.0,250.0,296.0,1,-0.437151120302744,False
25855,0 days 00:57:21.186000,3168.821317674404,-704.2092307799949,249.75126760812861,296.0,1,-0.4058046753416469,False
25856,0 days 00:57:21.386000,3391.3769304026246,-837.1266789918393,248.40236943634153,297.0,1,-0.43367312720684204,False
25857,0 days 00:57:21.493000,3470.0,-884.0,248.0,297.0,1,-0.41695020382273534,False
25858,0 days 00:57:21.546000,3492.8265745960384,-897.6068759349645,247.9468616991597,297.0,1,-0.4385812811306443,False
25859,0 days 00:57:21.733000,3541.0,-926.0,248.0,297.0,1,-0.4512940542390491,False
25860,0 days 00:57:21.746000,3547.8178282640547,-929.9919874245587,247.9638320283155,297.0,1,-0.47182960391637363,False
25861,0 days 00:57:21.906000,3669.527699036873,-1000.7921001573214,247.12907029283195,295.0,1,-0.493540389328669,False
25862,0 days 00:57:21.933000,3691.0,-1013.0,247.0,294.578124,1,-0.5219336240044491,True
25863,0 days 00:57:22.213000,3891.0,-1121.0,246.0,290.203124,1,-0.590362457584897,True
25864,0 days 00:57:22.226000,3900.0814132528426,-1125.7747242019825,245.91615667579703,290.0,1,-0.6010643322034137,True
25865,0 days 00:57:22.426000,4040.613509777459,-1199.12760273765,244.2319527652371,282.0,1,-0.6832016508394829,True
25866,0 days 00:57:22.473000,4073.0,-1216.0,244.0,278.6218888,1,-0.7038459510696998,True
25867,0 days 00:57:22.693000,4219.0,-1292.0,244.0,262.8093704,1,-0.8132190003509917,True
25868,0 days 00:57:22.746000,4252.641476104631,-1309.3724994071601,243.9691070900743,259.0,1,-0.8709317420354742,True
25869,0 days 00:57:22.853000,4318.0,-1343.0,244.0,248.2999936,1,-0.9398691113439178,True
25870,0 days 00:57:22.986000,4392.495733596984,-1381.3845611284753,244.95134088817952,235.0,1,-1.0108387932791456,True
25871,0 days 00:57:23.093000,4453.0,-1413.0,246.0,222.15999232000001,1,-1.0610015820962002,True
25872,0 days 00:57:23.186000,4509.653787434758,-1443.1209839071919,246.8283239931378,211.0,1,-1.1020738930744869,True
