,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,9476.0,-2196.0,245.0,86.92777813333333,1,0.0,False
25814,0 days 00:57:15.466000,9472.202660096276,-2192.808660529058,244.9998548954064,87.0,1,0.0,False
25815,0 days 00:57:15.746000,9415.435304703515,-2146.5747185092528,244.99975392871676,96.0,1,0.0,False
25816,0 days 00:57:15.833000,9399.0,-2133.0,245.0,98.718744,1,0.0,False
25817,0 days 00:57:16.066000,9347.053408298474,-2088.4665451578408,245.00017495359606,106.0,1,0.0,False
25818,0 days 00:57:16.333000,9292.0,-2039.0,245.0,118.39643154285714,1,0.0,False
25819,0 days 00:57:16.346000,9290.015625368116,-2037.1325901237183,244.99999635159773,119.0,1,0.0,False
25820,0 days 00:57:16.506000,9269.58232645019,-2016.7935767264144,244.999987919624,127.0,1,0.0,False
25821,0 days 00:57:16.573000,9259.0,-2005.0,245.0,127.15227287272727,1,0.0,False
25822,0 days 00:57:16.813000,9206.0,-1939.0,245.0,127.69772741818181,1,0.0,False
25823,0 days 00:57:16.946000,9179.250545489436,-1896.4145157426956,244.99973289888294,128.0,1,0.0,False
25824,0 days 00:57:17.153000,9147.0,-1829.0,245.0,122.8250048,1,0.0,False
25825,0 days 00:57:17.186000,9143.088500490712,-1818.7181767145064,245.00029588299918,122.0,1,0.0,False
25826,0 days 00:57:17.466000,9122.792663889773,-1736.1410843542542,245.00301023335632,113.0,1,0.0,False
25827,0 days 00:57:17.553000,9120.0,-1711.0,245.0,111.0968792,1,0.0,False
25828,0 days 00:57:17.693000,9119.0,-1669.0,245.0,108.0343736,1,0.0,False
25829,0 days 00:57:17.786000,9122.395283926608,-1635.404378472806,245.03560203804844,106.0,1,0.0,False
25830,0 days 00:57:17.973000,9135.0,-1567.0,245.0,101.3249984,1,0.0,False
25831,0 days 00:57:18.066000,9140.338191946235,-1544.4440246137967,244.76614113026176,99.0,1,0.0,False
25832,0 days 00:57:18.266000,9153.24762560384,-1510.01169609088,244.05466385950325,97.0,1,0.0,False
25833,0 days 00:57:18.293000,9156.0,-1504.0,244.0,96.88749973333333,1,0.0,False
25834,0 days 00:57:18.506000,9186.433215185494,-1443.4368784168614,243.96177101599608,96.0,1,0.0,False
25835,0 days 00:57:18.593000,9200.0,-1420.0,244.0,96.0,1,0.0,False
25836,0 days 00:57:18.786000,9228.478889131708,-1380.4474506714,244.01121758918768,96.0,1,0.0,False
25837,0 days 00:57:18.893000,9246.0,-1361.0,244.0,96.0,1,0.0,False
25838,0 days 00:57:19.133000,9292.0,-1317.0,244.0,96.0,1,0.0,False
25839,0 days 00:57:19.186000,9301.73117040332,-1308.3928647742864,244.02113479366588,96.0,1,0.0,False
25840,0 days 00:57:19.333000,9334.0,-1285.0,244.0,97.05000045714286,1,0.0,False
25841,0 days 00:57:19.466000,9385.981402391659,-1259.1239581673851,243.58636024619312,98.0,1,0.0,False
25842,0 days 00:57:19.632000,9449.0,-1232.0,243.0,99.77857005714286,1,0.0,False
25843,0 days 00:57:19.746000,9464.573115988347,-1226.0809327715563,242.9331086751709,101.0,1,0.0,False
25844,0 days 00:57:19.873000,9476.0,-1224.0,243.0,103.55276242276575,1,0.0,False
25845,0 days 00:57:19.945000,9490.519548848682,-1220.9163964009563,243.0087378608489,105.0,1,0.0,False
25846,0 days 00:57:20.133000,9552.0,-1210.0,243.0,109.7000064,1,0.0,False
25847,0 days 00:57:20.265000,9609.574192145748,-1205.3540127833537,243.06981154853494,113.0,1,0.0,False
25848,0 days 00:57:20.393000,9661.0,-1203.0,243.0,116.98753655574137,1,0.0,False
25849,0 days 00:57:20.586000,9704.631745307232,-1202.1975863166097,242.30646841388563,123.0,1,0.0,False
25850,0 days 00:57:20.693000,9731.0,-1202.0,242.0,128.3500032,1,0.0,False
25851,0 days 00:57:20.826000,9778.957696506768,-1201.2287176887023,241.9489332022646,135.0,1,0.0,False
25852,0 days 00:57:20.933000,9821.0,-1201.0,242.0,140.3500032,1,0.0,False
25853,0 days 00:57:21.026000,9854.792526251576,-1201.5716400638255,242.0070165377164,145.0,1,-0.09540039024498802,False
25854,0 days 00:57:21.113000,9891.0,-1200.0,242.0,145.0,1,-0.030835787548925835,False
25855,0 days 00:57:21.186000,9929.644375346727,-1195.181952999336,241.99649864938837,145.0,1,0.09102161552510939,False
25856,0 days 00:57:21.386000,10061.610146097753,-1169.0647500791688,241.99699032647766,150.0,1,0.2894382971357759,False
25857,0 days 00:57:21.493000,10109.0,-1158.0,242.0,158.6937552,1,0.40612625750319914,False
25858,0 days 00:57:21.546000,10123.040753667969,-1154.2143454351303,242.00190620251678,163.0,1,0.48063542298630557,False
25859,0 days 00:57:21.733000,10152.0,-1140.0,242.0,163.0,1,0.5090519169473516,True
25860,0 days 00:57:21.746000,10155.782948030686,-1137.970007685655,241.99827406678693,163.0,1,0.531404942812922,True
25861,0 days 00:57:21.906000,10221.66312146414,-1101.9076256859032,241.985732799136,169.0,1,0.5992395721668988,True
25862,0 days 00:57:21.933000,10233.0,-1095.0,242.0,168.2406232,1,0.6656122655046555,True
25863,0 days 00:57:22.213000,10333.0,-1015.0,243.0,160.3656232,1,0.7595943999413226,True
25864,0 days 00:57:22.226000,10337.316295638992,-1010.5339216870243,243.1316497473939,160.0,1,0.8096658279195962,True
25865,0 days 00:57:22.426000,10401.015328088695,-934.3094959021217,246.17340567942784,160.0,1,0.8380117312277804,True
25866,0 days 00:57:22.473000,10414.0,-917.0,247.0,156.4750144,1,0.8933049787705485,True
25867,0 days 00:57:22.693000,10463.0,-844.0,251.0,139.9749952,1,0.9206472805642095,True
25868,0 days 00:57:22.746000,10472.879326469512,-827.2193143096495,251.98020922156957,136.0,1,0.955053965818981,True
25869,0 days 00:57:22.853000,10491.0,-794.0,254.0,127.9749952,1,0.9832825116890588,True
25870,0 days 00:57:22.986000,10510.312015191692,-754.4268871419739,256.6695728996654,118.0,1,1.0349229905486597,True
25871,0 days 00:57:23.093000,10524.0,-721.0,259.0,113.71999744,1,1.0612927668010512,True
25872,0 days 00:57:23.186000,10534.995715670671,-688.996594669548,261.18891517973987,110.0,1,1.0749007416058087,True
25873,0 days 00:57:23.333000,10550.0,-642.0,264.0,104.85499776,1,1.10206131118401,True
25874,0 days 00:57:23.386000,10554.417608422431,-629.9681355523192,264.4183876914307,103.0,1,1.1474265631687222,True
25875,0 days 00:57:23.746000,10566.222535109995,-546.1200590951802,266.69698959186536,93.0,1,1.1389219470832075,True
25876,0 days 00:57:23.753000,10566.0,-542.0,267.0,92.8687536,1,1.178577358893115,True
25877,0 days 00:57:23.833000,10562.0,-490.0,271.0,91.3687536,1,1.1731597870702921,True
25878,0 days 00:57:23.906000,10555.556198609318,-453.16854857209455,273.6504242673166,90.0,1,1.1718999567473027,True
25879,0 days 00:57:24.146000,10516.98779733446,-419.5030520795878,274.03205685565314,90.0,1,1.1352105414721347,True
25880,0 days 00:57:24.293000,10491.0,-415.0,273.0,87.54999893333333,1,1.134128334516355,True
25881,0 days 00:57:24.386000,10475.380105446611,-410.362282389413,272.6673578564497,86.0,1,1.1304965477259714,True
25882,0 days 00:57:24.586000,10443.723781906325,-395.42725817960263,272.73459120453464,86.0,1,1.091760250500166,True
25883,0 days 00:57:24.753000,10417.0,-375.0,273.0,88.78333013333334,1,1.0423298304684774,True
25884,0 days 00:57:24.946000,10387.735290083456,-340.5339522427379,273.02976264063574,92.0,1,1.0483492627149267,True
25885,0 days 00:57:24.953000,10387.0,-339.0,273.0,92.12499657142857,1,1.0549342702087932,True
25886,0 days 00:57:25.173000,10378.0,-282.0,271.0,96.05357257142857,1,1.0375529008727178,True
25887,0 days 00:57:25.226000,10378.641267229888,-267.2624072869488,270.48534661840574,97.0,1,1.0185236240072,True
25888,0 days 00:57:25.373000,10384.0,-227.0,269.0,96.5406248,1,1.03021079849609,True
25889,0 days 00:57:25.546000,10393.732347580359,-181.57754213350188,266.47807046687274,96.0,1,1.039880347945538,True
25890,0 days 00:57:25.573000,10396.0,-172.0,266.0,96.11250026666667,1,1.0766441482164921,True
25891,0 days 00:57:25.733000,10413.0,-102.0,263.0,96.77916693333333,1,1.1558273893000452,True
25892,0 days 00:57:25.786000,10418.133875919846,-81.86252816865125,262.2721353500191,97.0,1,1.1628652233843269,True
25893,0 days 00:57:25.946000,10430.387230172253,-37.8964721609482,261.1887677100848,98.0,1,1.2010249396166366,True
25894,0 days 00:57:26.146000,10442.637013777021,2.756068258388552,261.00071013186516,101.0,1,1.309559347503796,True
25895,0 days 00:57:26.152000,10443.0,4.0,261.0,101.1499968,1,1.2969251067397454,True
25896,0 days 00:57:26.426000,10460.465150798023,64.26235849367778,261.01319267220543,108.0,1,1.3179060578246247,True
25897,0 days 00:57:26.433000,10461.0,66.0,261.0,108.1364865799594,1,1.2903899555181426,True
25898,0 days 00:57:26.733000,10488.0,147.0,260.0,113.9860768727765,1,1.4056640260749285,True
25899,0 days 00:57:26.785000,10492.774344533756,159.9877815056583,259.9804635357492,115.0,1,1.4257691403796213,True
25900,0 days 00:57:26.973000,10512.0,211.0,260.0,108.41999104,1,1.4707146464525465,True
25901,0 days 00:57:26.985000,10513.557080911893,215.30146784645166,259.9575644663002,108.0,1,1.4715457761630777,True
25902,0 days 00:57:27.153000,10537.0,282.0,259.0,99.63486143612698,1,1.5186352943032557,True
25903,0 days 00:57:27.226000,10544.173894414998,303.3747963847421,258.77892668726065,96.0,1,1.4992613362100156,True
25904,0 days 00:57:27.386000,10551.977638630904,330.09085349321583,258.87182984388807,92.0,1,1.5191945424707805,True
25905,0 days 00:57:27.513000,10556.0,351.0,259.0,88.29583893333333,1,1.4988213341122445,True
25906,0 days 00:57:27.626000,10559.490667825905,374.7094353473283,259.0144468982669,85.0,1,1.5079965769593293,True
25907,0 days 00:57:27.733000,10559.0,402.0,259.0,82.3249984,1,1.4881359678337351,True
25908,0 days 00:57:27.866000,10548.516052467952,442.90873927223225,259.0181939511907,79.0,1,1.4957410426035316,True
25909,0 days 00:57:27.973000,10537.0,473.0,259.0,77.8111104,1,1.4891077765337526,True
25910,0 days 00:57:28.226000,10513.12413051402,509.3818762492513,258.6583052725528,75.0,1,1.4754448136224696,True
25911,0 days 00:57:28.426000,10489.944708609877,525.2434499944405,258.09548158685834,74.0,1,1.4530479062703758,True
25912,0 days 00:57:28.453000,10486.0,528.0,258.0,74.24545512727273,1,1.4435988964767175,True
25913,0 days 00:57:28.673000,10448.0,554.0,257.0,76.2454528,1,1.4117789410006953,True
25914,0 days 00:57:28.833000,10418.0,571.0,256.0,77.69999825454545,1,1.392433332951408,True
25915,0 days 00:57:28.866000,10411.552918446256,574.3102292199474,255.85160422392624,78.0,1,1.3717355636461068,True
25916,0 days 00:57:29.053000,10374.0,592.0,255.0,81.33928685714285,1,1.3478798643878924,True
25917,0 days 00:57:29.146000,10355.726778867178,600.0171567507265,253.863989317984,83.0,1,1.3339139379169462,True
25918,0 days 00:57:29.213000,10340.0,606.0,253.0,84.6750016,1,1.3228960428502754,True
25919,0 days 00:57:29.306000,10311.62918339716,615.161686890051,252.05952822132525,87.0,1,1.3311396228341885,True
25920,0 days 00:57:29.433000,10271.0,627.0,251.0,89.26785371428572,1,1.3234878550734028,True
25921,0 days 00:57:29.586000,10239.728451014165,635.7150132685697,249.5514972867363,92.0,1,1.3129021014784772,True
25922,0 days 00:57:29.746000,10211.562963738104,641.7184954257123,248.0586535331286,98.0,1,1.3169331736659062,True
25923,0 days 00:57:29.753000,10210.0,642.0,248.0,98.2406184,1,1.3366407700402898,True
25924,0 days 00:57:30.013000,10137.0,653.0,246.0,107.1781272,1,1.2935541251804996,True
25925,0 days 00:57:30.066000,10121.1267185857,655.0517172904717,245.5175669148753,109.0,1,1.2808015052656645,True
25926,0 days 00:57:30.213000,10076.0,660.0,244.0,116.3500032,1,1.2332811178528136,True
