,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,-1918.0,217.0,251.0,163.2416704,1,0.0,False
25814,0 days 00:57:15.466000,-1910.0691192516576,212.27817151302887,251.06523946319862,164.0,1,0.0,False
25815,0 days 00:57:15.746000,-1786.8544242302057,149.1195915130247,252.60366023089938,176.0,1,0.0,False
25816,0 days 00:57:15.833000,-1750.0,136.0,253.0,179.2624928,1,0.0,False
25817,0 days 00:57:16.066000,-1633.1241044198707,105.36312956240884,253.7027364385358,188.0,1,0.0,False
25818,0 days 00:57:16.333000,-1510.0,86.0,254.0,197.53571657142857,1,0.0,False
25819,0 days 00:57:16.346000,-1505.6327190975567,85.72290117711472,254.0047511066253,198.0,1,0.0,False
25820,0 days 00:57:16.506000,-1460.6492054595449,87.41234437222262,254.00071081041122,201.0,1,0.0,False
25821,0 days 00:57:16.573000,-1435.0,91.0,254.0,203.2840930909091,1,0.0,False
25822,0 days 00:57:16.813000,-1293.0,118.0,254.0,211.46591127272728,1,0.0,False
25823,0 days 00:57:16.946000,-1210.117458099021,142.46968101225542,253.79169470623063,216.0,1,0.0,False
25824,0 days 00:57:17.153000,-1087.0,190.0,253.0,220.312496,1,0.0,False
25825,0 days 00:57:17.186000,-1068.2415789286122,198.01906973737894,252.80616540494094,221.0,1,0.0,False
25826,0 days 00:57:17.466000,-916.5996583915188,270.02807509186226,250.60190780471507,228.0,1,0.0,False
25827,0 days 00:57:17.553000,-869.0,293.0,250.0,230.1749952,1,0.0,False
25828,0 days 00:57:17.693000,-787.0,332.0,249.0,233.6750016,1,0.0,False
25829,0 days 00:57:17.786000,-718.2964784703581,364.9279329781612,247.5546664305538,236.0,1,0.0,False
25830,0 days 00:57:17.973000,-573.0,435.0,244.0,240.6750016,1,0.0,False
25831,0 days 00:57:18.066000,-522.5670859678813,459.3330153050868,243.1772956863194,243.0,1,0.0,False
25832,0 days 00:57:18.266000,-438.7003897471743,496.4189761598111,243.0078279710268,248.0,1,0.0,False
25833,0 days 00:57:18.293000,-424.0,502.0,243.0,248.3375008,1,0.0,False
25834,0 days 00:57:18.506000,-275.5668931516223,552.2277423050288,242.8980063330245,251.0,1,0.0,False
25835,0 days 00:57:18.593000,-213.0,570.0,243.0,252.553568,1,0.0,False
