,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,3522.0,-4784.0,246.0,318.8916672,1,0.0,False
25814,0 days 00:57:15.466000,3539.55454043887,-4785.470324800534,245.9958871222341,319.0,1,0.0,False
25815,0 days 00:57:15.746000,3793.392428105756,-4795.19081279701,245.25906039553865,322.0,1,0.0,False
25816,0 days 00:57:15.833000,3862.0,-4794.0,245.0,322.5437488,1,0.0,False
25817,0 days 00:57:16.066000,4069.713237581177,-4786.426479721414,244.51540923568595,324.0,1,0.0,False
25818,0 days 00:57:16.333000,4277.0,-4775.0,244.0,325.9071433142857,1,0.0,False
25819,0 days 00:57:16.346000,4283.989685170348,-4774.5256264778045,243.96570113914487,326.0,1,0.0,False
25820,0 days 00:57:16.506000,4352.468897713795,-4768.834212881374,243.4285376730292,326.0,1,0.0,False
25821,0 days 00:57:16.573000,4391.0,-4765.0,243.0,326.30454574545456,1,0.0,False
25822,0 days 00:57:16.813000,4608.0,-4741.0,241.0,327.3954548363636,1,0.0,False
25823,0 days 00:57:16.946000,4737.495418343742,-4722.504003004565,241.55002159071006,328.0,1,0.0,False
25824,0 days 00:57:17.153000,4932.0,-4688.0,244.0,328.0,1,0.0,False
25825,0 days 00:57:17.186000,4961.511407031349,-4682.017056329464,244.34551634727677,328.0,1,0.0,False
25826,0 days 00:57:17.466000,5198.052109428402,-4625.7843913321985,246.92843274456098,331.0,1,0.0,False
25827,0 days 00:57:17.553000,5271.0,-4606.0,248.0,331.2718744,1,0.0,False
25828,0 days 00:57:17.693000,5395.0,-4570.0,250.0,331.7093752,1,0.0,False
25829,0 days 00:57:17.786000,5497.483527450628,-4537.976897269088,250.97608977847156,332.0,1,0.0,False
25830,0 days 00:57:17.973000,5712.0,-4468.0,252.0,333.33571474285714,1,0.0,False
25831,0 days 00:57:18.066000,5785.4487119992855,-4443.41103794354,252.19346132190933,334.0,1,0.0,False
25832,0 days 00:57:18.266000,5902.965973128569,-4402.843320953855,252.05112330946673,334.0,1,0.0,False
25833,0 days 00:57:18.293000,5923.0,-4396.0,252.0,334.0,1,0.0,False
25834,0 days 00:57:18.506000,6121.995182509257,-4328.712268477923,251.36857308682738,334.0,1,0.0,False
25835,0 days 00:57:18.593000,6204.0,-4301.0,251.0,334.3107136,1,0.0,False
25836,0 days 00:57:18.786000,6362.968961954336,-4246.992390993443,249.93987391748595,335.0,1,0.0,False
25837,0 days 00:57:18.893000,6451.0,-4217.0,249.0,335.53500032,1,0.0,False
25838,0 days 00:57:19.133000,6663.0,-4145.0,246.0,336.73500032,1,0.0,False
25839,0 days 00:57:19.186000,6706.6084555038005,-4130.39358179254,245.4297019584117,337.0,1,0.0,False
25840,0 days 00:57:19.333000,6840.0,-4085.0,244.0,337.0,1,0.0,False
25841,0 days 00:57:19.466000,7026.564525382331,-4018.139472235063,242.48476051593656,337.0,1,0.0,False
25842,0 days 00:57:19.632000,7243.0,-3939.0,241.0,335.81428662857144,1,0.0,False
25843,0 days 00:57:19.746000,7295.534984994987,-3919.2660816390926,240.8248876897292,335.0,1,0.0,False
25844,0 days 00:57:19.873000,7330.0,-3905.0,241.0,335.6381906056914,1,0.0,False
25845,0 days 00:57:19.945000,7373.932571395964,-3887.186194604011,241.04219100331065,336.0,1,0.0,False
25846,0 days 00:57:20.133000,7554.0,-3813.0,241.0,335.4124992,1,0.0,False
25847,0 days 00:57:20.265000,7709.601991865581,-3745.457089091547,240.90591747389118,335.0,1,0.0,False
25848,0 days 00:57:20.393000,7844.0,-3686.0,241.0,335.0,1,0.0,False
25849,0 days 00:57:20.586000,7953.11804338189,-3637.1683948178625,241.83856932808698,335.0,1,0.0,False
25850,0 days 00:57:20.693000,8014.0,-3609.0,242.0,335.0,1,0.0,False
25851,0 days 00:57:20.826000,8122.279541596733,-3558.228393185419,241.46414425841976,335.0,1,0.0,False
25852,0 days 00:57:20.933000,8216.0,-3514.0,241.0,335.53500032,1,0.0,False
25853,0 days 00:57:21.026000,8290.463411230858,-3478.6898607346548,240.90887399843498,336.0,1,0.6097350257528767,True
25854,0 days 00:57:21.113000,8367.0,-3442.0,241.0,334.9125024,1,0.6526822370397031,True
25855,0 days 00:57:21.186000,8445.28518560323,-3404.0806193174167,241.147432687249,334.0,1,0.6592679656698618,True
25856,0 days 00:57:21.386000,8702.041431253625,-3278.4171368509246,241.7922236716764,333.0,1,0.7936032845979192,True
25857,0 days 00:57:21.493000,8792.0,-3234.0,242.0,327.6499968,1,0.8275872270767977,True
25858,0 days 00:57:21.546000,8817.879961411978,-3221.0638166577255,242.04255751719333,325.0,1,0.8973090235319892,True
25859,0 days 00:57:21.733000,8865.0,-3196.0,242.0,297.88499072,1,0.9339783986079129,True
25860,0 days 00:57:21.746000,8871.234035836533,-3192.684123297548,241.99867146468216,296.0,1,0.9712162108270598,True
25861,0 days 00:57:21.906000,8981.141377915734,-3134.2300096920876,242.00625700892144,282.0,1,1.0433367571953172,True
25862,0 days 00:57:21.933000,9000.0,-3124.0,242.0,277.359364,1,1.0872001390155355,True
25863,0 days 00:57:22.213000,9163.0,-3031.0,242.0,229.234364,1,1.2144114936584178,True
