,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,2558.0,-325.0,251.0,294.8916672,1,0.0,False
25814,0 days 00:57:15.466000,2571.779885287209,-333.69407877273835,250.98780828004504,295.0,1,0.0,False
25815,0 days 00:57:15.746000,2772.0603458550304,-459.45593931190587,250.26619790703046,299.0,1,0.0,False
25816,0 days 00:57:15.833000,2826.0,-493.0,250.0,299.5437488,1,0.0,False
25817,0 days 00:57:16.066000,2987.934394104116,-593.0729949211402,249.360992674745,301.0,1,0.0,False
25818,0 days 00:57:16.333000,3154.0,-695.0,249.0,302.9071433142857,1,0.0,False
25819,0 days 00:57:16.346000,3159.9922549838234,-698.659525028039,248.99989264985464,303.0,1,0.0,False
25820,0 days 00:57:16.506000,3222.005304100299,-736.2822826853718,249.08104887765614,303.0,1,0.0,False
25821,0 days 00:57:16.573000,3255.0,-756.0,249.0,303.0,1,0.0,False
25822,0 days 00:57:16.813000,3429.0,-859.0,248.0,303.0,1,0.0,False
25823,0 days 00:57:16.946000,3533.0359289865805,-920.4061082816877,247.56102372539482,303.0,1,0.0,False
25824,0 days 00:57:17.153000,3691.0,-1012.0,247.0,303.0,1,0.0,False
25825,0 days 00:57:17.186000,3715.101686590109,-1025.5502112857578,246.8855949568745,303.0,1,0.0,False
25826,0 days 00:57:17.466000,3909.6779031977403,-1130.4059640253922,245.58079773265533,297.0,1,0.0,False
25827,0 days 00:57:17.553000,3970.0,-1162.0,245.0,294.5531304,1,0.0,False
25828,0 days 00:57:17.693000,4072.0,-1215.0,244.0,290.6156232,1,0.0,False
25829,0 days 00:57:17.786000,4153.736586903958,-1257.4912689723149,243.7034944274719,288.0,1,0.0,False
25830,0 days 00:57:17.973000,4320.0,-1344.0,244.0,269.2999936,1,0.0,False
25831,0 days 00:57:18.066000,4374.638035397161,-1372.3881354958198,244.42774253712903,260.0,1,0.0,False
25832,0 days 00:57:18.266000,4453.383777583752,-1413.3785945073992,245.79926398041843,234.0,1,0.0,False
25833,0 days 00:57:18.293000,4466.0,-1420.0,246.0,232.53749653333333,1,0.0,False
25834,0 days 00:57:18.506000,4586.710810230622,-1483.8580826247694,247.6000789353555,221.0,1,0.0,False
25835,0 days 00:57:18.593000,4633.0,-1509.0,248.0,213.5428736,1,0.0,False
25836,0 days 00:57:18.786000,4712.566878160139,-1554.560698548496,248.06554536505016,197.0,1,0.0,False
25837,0 days 00:57:18.893000,4751.0,-1579.0,248.0,184.9624928,1,0.0,False
25838,0 days 00:57:19.133000,4834.0,-1638.0,248.0,157.9624928,1,0.0,False
25839,0 days 00:57:19.186000,4850.026186899046,-1649.8922483564925,247.85078337854728,152.0,1,0.0,False
25840,0 days 00:57:19.333000,4893.0,-1687.0,247.0,139.92499474285714,1,0.0,False
25841,0 days 00:57:19.466000,4938.919514511079,-1742.6604469144265,245.57663699901113,129.0,1,0.0,False
25842,0 days 00:57:19.632000,4986.0,-1809.0,244.0,125.44285988571428,1,0.0,False
25843,0 days 00:57:19.746000,4995.701460412056,-1825.702899226149,243.88684782569726,123.0,1,0.0,False
25844,0 days 00:57:19.873000,4998.0,-1838.0,244.0,117.8944751544685,1,0.0,False
