,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25813,0 days 00:57:15.453000,9492.0,680.0,238.0,168.6750016,1,0.0,False
25814,0 days 00:57:15.466000,9480.966295275199,680.3020287644641,238.08449920606373,169.0,1,0.0,False
25815,0 days 00:57:15.746000,9317.011089306168,685.5387434187942,239.57359656612505,189.0,1,0.0,False
25816,0 days 00:57:15.833000,9273.0,687.0,240.0,190.9031208,1,0.0,False
25817,0 days 00:57:16.066000,9143.952152048481,690.938687953257,241.17365204955416,196.0,1,0.0,False
25818,0 days 00:57:16.333000,9013.0,695.0,242.0,208.39643154285713,1,0.0,False
25819,0 days 00:57:16.346000,9008.221528093,695.1701242135482,242.00840591145175,209.0,1,0.0,False
25820,0 days 00:57:16.506000,8958.144969966816,697.1066083373931,241.93187649633813,212.0,1,0.0,False
25821,0 days 00:57:16.573000,8931.0,698.0,242.0,214.13182021818182,1,0.0,False
25822,0 days 00:57:16.813000,8786.0,702.0,243.0,221.76818385454544,1,0.0,False
25823,0 days 00:57:16.946000,8697.627949309317,704.6616942044839,243.50772538731636,226.0,1,0.0,False
25824,0 days 00:57:17.153000,8561.0,709.0,244.0,230.312496,1,0.0,False
25825,0 days 00:57:17.186000,8539.895596133076,709.6516592493165,244.0395400311363,231.0,1,0.0,False
25826,0 days 00:57:17.466000,8366.63344008751,714.6725299955058,244.02018301375847,238.0,1,0.0,False
25827,0 days 00:57:17.553000,8312.0,716.0,244.0,239.9031208,1,0.0,False
25828,0 days 00:57:17.693000,8218.0,718.0,244.0,242.9656264,1,0.0,False
25829,0 days 00:57:17.786000,8139.292698451455,719.5965290437573,244.0013396901561,245.0,1,0.0,False
25830,0 days 00:57:17.973000,7973.0,723.0,244.0,249.00714422857143,1,0.0,False
25831,0 days 00:57:18.066000,7915.445087901599,724.2906611566198,244.0001075854231,251.0,1,0.0,False
25832,0 days 00:57:18.266000,7821.226287467689,726.6201547914537,244.00039790776128,255.0,1,0.0,False
25833,0 days 00:57:18.293000,7805.0,727.0,244.0,255.3375008,1,0.0,False
